group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5999066829681396,0.5748600959777832,0.5775752067565918,0.5661100149154663,0.5680000185966492
Gender: Male,0,0.6118175387382507,0.6004137992858887,0.6024066209793091,0.5826840400695801,0.5829876065254211
Gender: Female,0,0.591629147529602,0.5529431104660034,0.5549852252006531,0.5493361949920654,0.5540540218353271
Age: <40,0,0.6006739139556885,0.568976640701294,0.5656434893608093,0.5532841682434082,0.5559105277061462
Age: 40-50,0,0.6202733516693115,0.6025218963623047,0.6031439304351807,0.592968225479126,0.5930232405662537
Age: 50-65,0,0.5661697387695312,0.5483598709106445,0.5534512996673584,0.542975664138794,0.5617715716362
Race: White,0,0.6138007640838623,0.585523247718811,0.5802187919616699,0.5639525651931763,0.5671641826629639
Race: Black,0,0.5254385471343994,0.5060707926750183,0.5074959993362427,0.49761703610420227,0.5625
Race: Other,0,0.5482571125030518,0.5729166269302368,0.5734632611274719,0.5729749798774719,0.5769230723381042
Overall,1,0.6074912548065186,0.5782520771026611,0.5801324248313904,0.5749764442443848,0.5770000219345093
Gender: Male,1,0.616876482963562,0.5929830074310303,0.593752920627594,0.5786547660827637,0.5787233710289001
Gender: Female,1,0.6075577735900879,0.5692892670631409,0.5699866414070129,0.5693873167037964,0.5754716992378235
Age: <40,1,0.6288198828697205,0.5911228656768799,0.5866492986679077,0.5761433839797974,0.579104483127594
Age: 40-50,1,0.6436651945114136,0.6525954008102417,0.6552602052688599,0.6519855260848999,0.6541666984558105
Age: 50-65,1,0.5602262616157532,0.5166666507720947,0.5173684358596802,0.5154433250427246,0.5317646861076355
Race: White,1,0.5791483521461487,0.5687500238418579,0.5664834976196289,0.5605517625808716,0.5629629492759705
Race: Black,1,0.6184573173522949,0.5596076250076294,0.5732322931289673,0.5576692223548889,0.625
Race: Other,1,0.5589919090270996,0.5508925914764404,0.5507653951644897,0.5505992770195007,0.5510203838348389
Overall,2,0.5870012044906616,0.5615233778953552,0.5623207092285156,0.5556000471115112,0.5560000538825989
Gender: Male,2,0.5842379331588745,0.5727395415306091,0.5722920298576355,0.5541356801986694,0.5541666746139526
Gender: Female,2,0.5950561761856079,0.5563352108001709,0.5569080710411072,0.555793285369873,0.557692289352417
Age: <40,2,0.5994085073471069,0.5695940256118774,0.5655666589736938,0.5589889287948608,0.5652174353599548
Age: 40-50,2,0.5804916024208069,0.5615589618682861,0.5624467134475708,0.553787112236023,0.5541666746139526
Age: 50-65,2,0.5603605508804321,0.5412640571594238,0.543540358543396,0.5384199023246765,0.5493975877761841
Race: White,2,0.5965774059295654,0.5751173496246338,0.5704365372657776,0.56257563829422,0.5686619877815247
Race: Black,2,0.4952254891395569,0.46922025084495544,0.4641909599304199,0.46272557973861694,0.5355648398399353
Race: Other,2,0.522121012210846,0.5442976951599121,0.5447299480438232,0.5430477857589722,0.5440414547920227
Overall,3,0.5937279462814331,0.570354700088501,0.5715609788894653,0.5652331113815308,0.5660000443458557
Gender: Male,3,0.6328192949295044,0.5932949781417847,0.5922895669937134,0.5812437534332275,0.5813953280448914
Gender: Female,3,0.558335542678833,0.5496323704719543,0.5509049892425537,0.5479485988616943,0.552182137966156
Age: <40,3,0.5864450931549072,0.5542986392974854,0.5508309006690979,0.5468704700469971,0.5584045648574829
Age: 40-50,3,0.6151742935180664,0.6342209577560425,0.6366674304008484,0.6286203861236572,0.6293103694915771
Age: 50-65,3,0.5591422319412231,0.5199906826019287,0.5218254327774048,0.5155978202819824,0.5371702909469604
Race: White,3,0.5398037433624268,0.524044930934906,0.5214945673942566,0.5090909004211426,0.5227273106575012
Race: Black,3,0.5981122255325317,0.5661977529525757,0.5725241303443909,0.5677781701087952,0.6412214040756226
Race: Other,3,0.5829035043716431,0.5762060880661011,0.5768238306045532,0.5763022899627686,0.5809524059295654
Overall,4,0.6378954648971558,0.6021227836608887,0.6051754951477051,0.5977975130081177,0.6000000238418579
Gender: Male,4,0.6551536321640015,0.6211267709732056,0.6211267709732056,0.6111111044883728,0.6111111640930176
Gender: Female,4,0.6142725348472595,0.5804529786109924,0.583907961845398,0.5793464779853821,0.5887096524238586
Age: <40,4,0.6422959566116333,0.58860182762146,0.5841439962387085,0.5802217721939087,0.586705207824707
Age: 40-50,4,0.6491748094558716,0.614352285861969,0.6204401254653931,0.6003768444061279,0.6026785969734192
Age: 50-65,4,0.6032989025115967,0.5866550803184509,0.591986894607544,0.5869640111923218,0.6093023419380188
Race: White,4,0.6281387805938721,0.5961494445800781,0.5894449949264526,0.5825800895690918,0.5901639461517334
Race: Black,4,0.5625495910644531,0.5156294107437134,0.519659698009491,0.511177122592926,0.61328125
Race: Other,4,0.5816547870635986,0.599881649017334,0.6005523204803467,0.6001510620117188,0.6102564334869385
Overall,5,0.6088886260986328,0.5736427307128906,0.5754574537277222,0.5676922798156738,0.5690000057220459
Gender: Male,5,0.6665379405021667,0.6001664996147156,0.5973663330078125,0.5745660662651062,0.5750528573989868
Gender: Female,5,0.569603443145752,0.5554940104484558,0.556309700012207,0.5554993152618408,0.5635673403739929
Age: <40,5,0.6008754372596741,0.5796208381652832,0.5757818818092346,0.5702298879623413,0.5751444697380066
Age: 40-50,5,0.592703104019165,0.5881944298744202,0.5904313325881958,0.5781106352806091,0.5789473652839661
Age: 50-65,5,0.608344316482544,0.5423654317855835,0.5456172227859497,0.5395001769065857,0.5577395558357239
Race: White,5,0.6059897541999817,0.5884730815887451,0.5837638974189758,0.5772268772125244,0.5822550654411316
Race: Black,5,0.5756173133850098,0.519565224647522,0.5231481194496155,0.5144186019897461,0.570881187915802
Race: Other,5,0.5330283641815186,0.5252659320831299,0.5262738466262817,0.5226936936378479,0.5303030014038086
Overall,6,0.6402482986450195,0.6042338609695435,0.6064105033874512,0.5989974737167358,0.6000000238418579
Gender: Male,6,0.6916133165359497,0.6499959230422974,0.6471511125564575,0.6326110363006592,0.6329365372657776
Gender: Female,6,0.5859353542327881,0.5594468116760254,0.5609387755393982,0.5589579343795776,0.5665322542190552
Age: <40,6,0.621138334274292,0.585022509098053,0.5789826512336731,0.5683625936508179,0.5742856860160828
Age: 40-50,6,0.701884388923645,0.6726408004760742,0.6721247434616089,0.6666451692581177,0.6666666269302368
