group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5909349918365479,0.5562368631362915,0.5481080412864685,0.5441973805427551,0.5879999995231628
Gender: Male,0,0.5564655065536499,0.5372424125671387,0.5340158343315125,0.5323182344436646,0.5684647560119629
Gender: Female,0,0.6259735822677612,0.5775803327560425,0.5615118741989136,0.5547803640365601,0.606177568435669
Age: <40,0,0.5871137380599976,0.5627219676971436,0.5595003366470337,0.5573955774307251,0.5686900615692139
Age: 40-50,0,0.6523258090019226,0.6317000389099121,0.6052583456039429,0.5990079641342163,0.6356589198112488
Age: 50-65,0,0.537102460861206,0.4846353530883789,0.48768091201782227,0.47980016469955444,0.5734266042709351
Race: White,0,0.612045168876648,0.5982891321182251,0.5821430087089539,0.5732738375663757,0.6007462739944458
Race: Black,0,0.5733652114868164,0.484375,0.48468899726867676,0.48449456691741943,0.609375
Race: Other,0,0.5469452738761902,0.5100840330123901,0.508995532989502,0.5023437738418579,0.5288461446762085
Overall,1,0.5789585709571838,0.52852863073349,0.5248677730560303,0.5189300179481506,0.5540000200271606
Gender: Male,1,0.5630955696105957,0.5157194137573242,0.5143589973449707,0.5112194418907166,0.542553186416626
Gender: Female,1,0.5945451259613037,0.5418668985366821,0.5347972512245178,0.5256471633911133,0.5641509294509888
Age: <40,1,0.5693838000297546,0.5255182981491089,0.5253703594207764,0.5252744555473328,0.5283582210540771
Age: 40-50,1,0.6371606588363647,0.5722094774246216,0.5602375268936157,0.5526350736618042,0.5875000357627869
Age: 50-65,1,0.5386331081390381,0.47714751958847046,0.48422756791114807,0.4632439911365509,0.5552940964698792
Race: White,1,0.5796703100204468,0.5497708320617676,0.54340660572052,0.5316097736358643,0.550000011920929
Race: Black,1,0.580655038356781,0.4848484992980957,0.4848484992980957,0.4848484992980957,0.6136363744735718
Race: Other,1,0.5297303199768066,0.4813878536224365,0.4831302762031555,0.47147244215011597,0.48469385504722595
Overall,2,0.5818295478820801,0.5514788627624512,0.5447150468826294,0.5388245582580566,0.5700000524520874
Gender: Male,2,0.5753858089447021,0.5376601815223694,0.5351043343544006,0.5336480140686035,0.5604166984558105
Gender: Female,2,0.595444917678833,0.5696214437484741,0.5558837056159973,0.5433383584022522,0.5788461565971375
Age: <40,2,0.5951404571533203,0.543120801448822,0.5417730808258057,0.5383012890815735,0.5420290231704712
Age: 40-50,2,0.6051435470581055,0.572845458984375,0.560528576374054,0.5537002086639404,0.5916666984558105
Age: 50-65,2,0.5371866226196289,0.5246410965919495,0.5188518762588501,0.5085883140563965,0.5807229280471802
Race: White,2,0.6346726417541504,0.586483359336853,0.57490074634552,0.5616156458854675,0.577464759349823
Race: Black,2,0.4592396020889282,0.46366071701049805,0.4640141427516937,0.4638279974460602,0.5774058699607849
Race: Other,2,0.5165907144546509,0.5251332521438599,0.5225005149841309,0.5159363150596619,0.5388600826263428
Overall,3,0.5875717401504517,0.5488417744636536,0.5434582829475403,0.5392000079154968,0.5680000185966492
Gender: Male,3,0.5872641801834106,0.5634489059448242,0.5597423911094666,0.5583443641662598,0.5750528573989868
Gender: Female,3,0.5872149467468262,0.5325803756713867,0.5270236134529114,0.518378734588623,0.5616698265075684
Age: <40,3,0.5483870506286621,0.5138440132141113,0.5136852264404297,0.5094897747039795,0.5099714994430542
Age: 40-50,3,0.6482114791870117,0.5779318809509277,0.5665679574012756,0.5614542961120605,0.5948275923728943
Age: 50-65,3,0.5370879173278809,0.527733325958252,0.5220543146133423,0.516822099685669,0.6019184589385986
Race: White,3,0.583438515663147,0.54176926612854,0.5372352600097656,0.523639440536499,0.5359848737716675
Race: Black,3,0.5954575538635254,0.5370687246322632,0.533515214920044,0.5341682434082031,0.6488549709320068
Race: Other,3,0.565954327583313,0.5362394452095032,0.5351879000663757,0.5346938967704773,0.5476190447807312
Overall,4,0.6020675897598267,0.5716689825057983,0.5631893873214722,0.5605223178863525,0.5940000414848328
Gender: Male,4,0.5806818008422852,0.5584607124328613,0.5523367524147034,0.548227071762085,0.5734127163887024
Gender: Female,4,0.623865008354187,0.5842322111129761,0.5731719732284546,0.5720410346984863,0.6149193644523621
Age: <40,4,0.5801825523376465,0.5662925243377686,0.5651556253433228,0.5622638463973999,0.5635837912559509
Age: 40-50,4,0.6044858694076538,0.5487213730812073,0.5433770418167114,0.5419630408287048,0.5892857313156128
Age: 50-65,4,0.5860706567764282,0.5557416677474976,0.5413432717323303,0.5348266363143921,0.6209302544593811
Race: White,4,0.6134867668151855,0.580201268196106,0.5727822780609131,0.5621816515922546,0.5719490051269531
Race: Black,4,0.5947279930114746,0.5569875240325928,0.5623732805252075,0.5588062405586243,0.6796875
Race: Other,4,0.5467836260795593,0.5072892308235168,0.5060104131698608,0.49586057662963867,0.5435897707939148
Overall,5,0.6000099182128906,0.5485900044441223,0.5433170795440674,0.5399353504180908,0.5720000267028809
Gender: Male,5,0.6080151796340942,0.5395499467849731,0.5396619439125061,0.5395959615707397,0.5517970323562622
Gender: Female,5,0.5862981677055359,0.5656512975692749,0.5471342206001282,0.5310924649238586,0.5901328325271606
Age: <40,5,0.5773522853851318,0.5410705208778381,0.5399959683418274,0.5372113585472107,0.5404624342918396
Age: 40-50,5,0.6160314679145813,0.5490957498550415,0.5416045188903809,0.5361837148666382,0.5789473652839661
Age: 50-65,5,0.5863911509513855,0.5304886102676392,0.5249670743942261,0.5204892158508301,0.5945945978164673
Race: White,5,0.6068099737167358,0.5634305477142334,0.556022584438324,0.5438625812530518,0.5582255125045776
Race: Black,5,0.6122133731842041,0.5322310328483582,0.5310846567153931,0.5314884185791016,0.6321839094161987
Race: Other,5,0.5448356866836548,0.5029761791229248,0.5028720498085022,0.5022570490837097,0.5303030014038086
Overall,6,0.6066889762878418,0.566879153251648,0.5587821006774902,0.5549842119216919,0.5860000252723694
Gender: Male,6,0.6103553771972656,0.5673564672470093,0.5637643933296204,0.5628365278244019,0.5793651342391968
Gender: Female,6,0.6019506454467773,0.5647790431976318,0.5506983399391174,0.5413714051246643,0.5927419066429138
Age: <40,6,0.5815162658691406,0.5676577687263489,0.5656118392944336,0.56369549036026,0.5685714483261108
Age: 40-50,6,0.6651722192764282,0.5998677015304565,0.5883041024208069,0.5827875137329102,0.6024096012115479
Age: 50-65,6,0.5638570785522461,0.5103411674499512,0.5077059268951416,0.4974937438964844,0.5910224914550781
Race: White,6,0.611061692237854,0.5813561677932739,0.5727752447128296,0.5610323548316956,0.5724770426750183
Race: Black,6,0.5455303192138672,0.5292384028434753,0.5289393663406372,0.5290780663490295,0.6503759622573853
Race: Other,6,0.6106334924697876,0.5198412537574768,0.5178167223930359,0.5113983154296875,0.5343915224075317
Overall,7,0.5943604707717896,0.5490207076072693,0.5436387062072754,0.5418167114257812,0.5850000381469727
Gender: Male,7,0.5649412870407104,0.518321692943573,0.51714026927948,0.5158885717391968,0.5510203838348389
Gender: Female,7,0.6220589876174927,0.5819872617721558,0.5686988234519958,0.5666194558143616,0.617647111415863
Age: <40,7,0.5595912933349609,0.53763747215271,0.5367666482925415,0.5357499122619629,0.5415472984313965
Age: 40-50,7,0.6167654395103455,0.5754053592681885,0.5598928928375244,0.5540549159049988,0.6088560819625854
Age: 50-65,7,0.5881097316741943,0.5100004076957703,0.5083775520324707,0.505376935005188,0.607894778251648
Race: White,7,0.5875096321105957,0.5445879101753235,0.5382742881774902,0.5292755365371704,0.5571956038475037
Race: Black,7,0.6506202220916748,0.5738148093223572,0.5781941413879395,0.5755050182342529,0.6666666269302368
