group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5860387086868286,0.5870627164840698,0.5679012537002563,0.5427418947219849,0.5679012537002563
Gender: Male,0,0.5860387086868286,0.5870627164840698,0.5679012537002563,0.5427418947219849,0.5679012537002563
Age: <40,0,0.6176239252090454,0.6308784484863281,0.6160503625869751,0.614814817905426,0.6388888955116272
Age: 40-50,0,0.7043478488922119,0.6985294222831726,0.5782608985900879,0.543859601020813,0.6578947305679321
Age: 50-65,0,0.4470587968826294,0.4652777910232544,0.4663865566253662,0.40362560749053955,0.4038461744785309
Race: White,0,0.5598669052124023,0.5051020383834839,0.5038802623748779,0.49444445967674255,0.5873016119003296
Race: Black,0,0.6875,0.5714285969734192,0.625,0.32499998807907104,0.3333333432674408
Race: Other,0,0.6627907752990723,0.6367857456207275,0.6171970367431641,0.5944931507110596,0.604938268661499
Overall,1,0.5200494527816772,0.5685907006263733,0.5646529197692871,0.565920352935791,0.6358024477958679
Gender: Male,1,0.5200494527816772,0.5685907006263733,0.5646529197692871,0.565920352935791,0.6358024477958679
Age: <40,1,0.4826388955116272,0.53125,0.53125,0.53125,0.5833333134651184
Age: 40-50,1,0.7903225421905518,0.7314814925193787,0.8360214829444885,0.7607758641242981,0.8378378748893738
Age: 50-65,1,0.4345238208770752,0.5132113695144653,0.5096726417541504,0.49398091435432434,0.5660377740859985
Race: White,1,0.5608899593353271,0.516978919506073,0.516978919506073,0.516978919506073,0.7066667079925537
Race: Black,1,1.0,0.5714285969734192,0.7692307829856873,0.4749999940395355,0.5714285969734192
Race: Other,1,0.465986430644989,0.5237500071525574,0.5242346525192261,0.5238796472549438,0.5753424763679504
Overall,2,0.627142071723938,0.5502021312713623,0.5515838861465454,0.5506720542907715,0.5987654328346252
Gender: Male,2,0.627142071723938,0.5502021312713623,0.5515838861465454,0.5506720542907715,0.5987654328346252
Age: <40,2,0.49444445967674255,0.44487428665161133,0.4472222328186035,0.44565218687057495,0.5072463750839233
Age: 40-50,2,0.7815788984298706,0.671875,0.7315789461135864,0.6835165023803711,0.75
Age: 50-65,2,0.6497975587844849,0.5648148059844971,0.5637651681900024,0.5639979839324951,0.5777778029441833
Race: White,2,0.6810344457626343,0.5104166865348816,0.5147783160209656,0.499503493309021,0.6111111044883728
Race: Black,2,0.8461538553237915,0.7142857313156128,0.8461538553237915,0.7090909481048584,0.75
Race: Other,2,0.5857372283935547,0.49744248390197754,0.4975961446762085,0.49659866094589233,0.5540540814399719
Overall,3,0.5889285802841187,0.5420805215835571,0.541607141494751,0.5418182015419006,0.6111111044883728
Gender: Male,3,0.5889285802841187,0.5420805215835571,0.541607141494751,0.5418182015419006,0.6111111044883728
Age: <40,3,0.42100000381469727,0.38436633348464966,0.375,0.3790457844734192,0.4714285731315613
Age: 40-50,3,0.7592592239379883,0.7464286088943481,0.7129629850387573,0.7272727489471436,0.8484848737716675
Age: 50-65,3,0.6499999761581421,0.6278195381164551,0.6214286088943481,0.6228311061859131,0.6440678238868713
Race: White,3,0.5818182229995728,0.5104166269302368,0.5128342509269714,0.5055647492408752,0.5972222089767456
Race: Black,3,0.9692307710647583,0.7272727489471436,0.7692307829856873,0.6625000238418579,0.6666666865348816
Race: Other,3,0.5855768918991089,0.5,0.5,0.499503493309021,0.6111111044883728
Overall,4,0.59632408618927,0.5795840620994568,0.5626566410064697,0.5606527328491211,0.6358024477958679
Gender: Male,4,0.59632408618927,0.5795840620994568,0.5626566410064697,0.5606527328491211,0.6358024477958679
Age: <40,4,0.4188311696052551,0.49275362491607666,0.4935064911842346,0.4909090995788574,0.5625
Age: 40-50,4,0.5107526779174805,0.5218750238418579,0.5188171863555908,0.5194805264472961,0.7567567825317383
Age: 50-65,4,0.7403017282485962,0.6710144877433777,0.6271551847457886,0.6089743375778198,0.6393442153930664
Race: White,4,0.6938775777816772,0.5696271657943726,0.5719954967498779,0.5706324577331543,0.6567164063453674
Race: Black,4,0.8181818127632141,0.6363636255264282,0.6363636255264282,0.4285714328289032,0.4285714626312256
Race: Other,4,0.5801886916160583,0.5961538553237915,0.5673854351043701,0.5631741285324097,0.654321014881134
Overall,5,0.6374859809875488,0.5658928751945496,0.5591630339622498,0.5583609342575073,0.5987654328346252
Gender: Male,5,0.6374859809875488,0.5658928751945496,0.5591630339622498,0.5583609342575073,0.5987654328346252
Age: <40,5,0.5203251838684082,0.49444445967674255,0.49548327922821045,0.4852259159088135,0.5441176295280457
Age: 40-50,5,0.7706093788146973,0.5956113338470459,0.6093189716339111,0.6000000238418579,0.699999988079071
Age: 50-65,5,0.6858710646629333,0.5974025726318359,0.5925925970077515,0.5874999761581421,0.5925925970077515
Race: White,5,0.6790122985839844,0.53125,0.5277777910232544,0.5278592109680176,0.6349206566810608
Race: Black,5,1.0,0.699999988079071,0.8500000238418579,0.6974790096282959,0.75
Race: Other,5,0.5934065580368042,0.519370436668396,0.5175824165344238,0.514800488948822,0.5517241358757019
Overall,6,0.6276578903198242,0.5958099961280823,0.5861061811447144,0.5870858430862427,0.6296296119689941
Gender: Male,6,0.6276578903198242,0.5958099961280823,0.5861061811447144,0.5870858430862427,0.6296296119689941
Age: <40,6,0.553894579410553,0.5228070020675659,0.5153422355651855,0.488908588886261,0.5555555820465088
Age: 40-50,6,0.8494623899459839,0.7155172824859619,0.7688171863555908,0.735714316368103,0.8378378748893738
Age: 50-65,6,0.6451148986816406,0.5840455889701843,0.5847700834274292,0.5835714340209961,0.5849056839942932
