group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5382592082023621,0.5202599167823792,0.5126733779907227,0.48935431241989136,0.5864661931991577
Gender: Male,0,0.582169771194458,0.484375,0.4957035481929779,0.4505578875541687,0.6911764740943909
Gender: Female,0,0.39772725105285645,0.4694444537162781,0.4739583432674408,0.4551282227039337,0.4769230782985687
Age: <40,0,0.5451127886772156,0.53125,0.5338345766067505,0.5315315127372742,0.6153846383094788
Age: 40-50,0,0.8421052694320679,0.6363636255264282,0.5902255773544312,0.5964523553848267,0.7307692766189575
Age: 50-65,0,0.4573333263397217,0.6102941036224365,0.5299999713897705,0.40402474999427795,0.49090906977653503
Race: White,0,0.5382592082023621,0.5202599167823792,0.5126733779907227,0.48935431241989136,0.5864661931991577
Overall,1,0.57077956199646,0.5964285731315613,0.5677905082702637,0.5588573813438416,0.6315789818763733
Gender: Male,1,0.49559080600738525,0.5277777910232544,0.5052910447120667,0.454365074634552,0.7066667079925537
Gender: Female,1,0.5321428775787354,0.5375757217407227,0.5369047522544861,0.5332340002059937,0.5344827771186829
Age: <40,1,0.6766667366027832,0.6299999952316284,0.6299999952316284,0.6299999952316284,0.6756756901741028
Age: 40-50,1,0.6982248425483704,0.6299999952316284,0.634615421295166,0.6318082809448242,0.6666666865348816
Age: 50-65,1,0.49875932931900024,0.781818151473999,0.5384615659713745,0.4318936765193939,0.5789473652839661
Race: White,1,0.57077956199646,0.5964285731315613,0.5677905082702637,0.5588573813438416,0.6315789818763733
Overall,2,0.5005233287811279,0.5113268494606018,0.5091575384140015,0.5048682689666748,0.6090225577354431
Gender: Male,2,0.5603174567222595,0.4756944477558136,0.4833333194255829,0.472222238779068,0.6491228342056274
Gender: Female,2,0.4436885714530945,0.5177488923072815,0.5154950618743896,0.5128205418586731,0.5789473652839661
Age: <40,2,0.5871710777282715,0.498410165309906,0.49835526943206787,0.4981818199157715,0.5740740895271301
Age: 40-50,2,0.3999999761581421,0.45108696818351746,0.4571428596973419,0.45202019810676575,0.5483870506286621
Age: 50-65,2,0.439453125,0.6488372087478638,0.5625,0.5428571701049805,0.6875
Race: White,2,0.5005233287811279,0.5113268494606018,0.5091575384140015,0.5048682689666748,0.6090225577354431
Overall,3,0.5379159450531006,0.5538366436958313,0.5474631786346436,0.5485012531280518,0.6466165781021118
Gender: Male,3,0.6544811725616455,0.6889401078224182,0.5966981053352356,0.6086956262588501,0.782608687877655
Gender: Female,3,0.3764581084251404,0.4676923155784607,0.46659594774246216,0.46666669845581055,0.5
Age: <40,3,0.6336996555328369,0.5536859035491943,0.5613552927970886,0.555129885673523,0.6545454263687134
Age: 40-50,3,0.5158729553222656,0.5698529481887817,0.5753968358039856,0.5714285969734192,0.6399999856948853
