group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5044962763786316,0.25,0.5,0.3333333432674408,0.5
Gender: Male,0,0.5044962763786316,0.25,0.5,0.3333333432674408,0.5
Age: <40,0,0.48859167098999023,0.2847222089767456,0.5,0.36283186078071594,0.569444477558136
Age: 40-50,0,0.3072463870048523,0.30263158679008484,0.5,0.37704917788505554,0.6052631735801697
Age: 50-65,0,0.5747898817062378,0.16346153616905212,0.5,0.24637681245803833,0.32692310214042664
Race: White,0,0.6108647584915161,0.3253968358039856,0.5,0.39423078298568726,0.6507936716079712
Race: Black,0,0.1875,0.0555555559694767,0.5,0.10000000149011612,0.1111111119389534
Race: Other,0,0.4204406440258026,0.23456789553165436,0.5,0.3193277418613434,0.4691358208656311
Overall,1,0.5308248996734619,0.34259259700775146,0.5,0.4065934121608734,0.6851851940155029
Gender: Male,1,0.5308248996734619,0.34259259700775146,0.5,0.4065934121608734,0.6851851940155029
Age: <40,1,0.6137152910232544,0.3333333432674408,0.5,0.4000000059604645,0.6666666865348816
Age: 40-50,1,0.19354838132858276,0.4189189076423645,0.5,0.45588234066963196,0.8378378748893738
Age: 50-65,1,0.5625,0.30188679695129395,0.5,0.3764705955982208,0.6037735939025879
Race: White,1,0.4344262182712555,0.40666666626930237,0.5,0.4485294222831726,0.8133333325386047
Race: Black,1,0.692307710647583,0.0357142873108387,0.5,0.06666667014360428,0.0714285746216774
Race: Other,1,0.6437075138092041,0.33561643958091736,0.5,0.40163934230804443,0.6712328791618347
Overall,2,0.48935431241989136,0.3364197611808777,0.5,0.40221402049064636,0.6728395223617554
Gender: Male,2,0.48935431241989136,0.3364197611808777,0.5,0.40221402049064636,0.6728395223617554
Age: <40,2,0.5601851940155029,0.32608696818351746,0.5,0.3947368562221527,0.6521739363670349
Age: 40-50,2,0.2657894492149353,0.3958333432674408,0.5,0.44186046719551086,0.7916666865348816
Age: 50-65,2,0.5728745460510254,0.2888889014720917,0.5,0.3661971688270569,0.5777778029441833
Race: White,2,0.5283251404762268,0.4027777910232544,0.5,0.446153849363327,0.8055555820465088
Race: Black,2,0.3589743375778198,0.09375,0.5,0.15789473056793213,0.1875
Race: Other,2,0.5913461446762085,0.3243243098258972,0.5,0.39344263076782227,0.6486486792564392
Overall,3,0.5816071033477783,0.34567901492118835,0.5,0.40875911712646484,0.6913580298423767
Gender: Male,3,0.5816071033477783,0.34567901492118835,0.5,0.40875911712646484,0.6913580298423767
Age: <40,3,0.6510000228881836,0.3571428656578064,0.5,0.4166666567325592,0.7142857313156128
Age: 40-50,3,0.2839506268501282,0.40909090638160706,0.5,0.44999998807907104,0.8181818723678589
Age: 50-65,3,0.6499999761581421,0.29661017656326294,0.5,0.3723404109477997,0.5932203531265259
Race: White,3,0.5935828685760498,0.3819444477558136,0.5,0.4330708682537079,0.7638888955116272
Race: Black,3,0.5846153497695923,0.1388888955116272,0.5,0.21739129722118378,0.2777777910232544
Race: Other,3,0.620192289352417,0.3611111044883728,0.5,0.4193548262119293,0.7222222089767456
Overall,4,0.4907268285751343,0.32407405972480774,0.5,0.3932584226131439,0.6481481790542603
Gender: Male,4,0.4907268285751343,0.32407405972480774,0.5,0.3932584226131439,0.6481481790542603
Age: <40,4,0.5670995712280273,0.328125,0.5,0.3962264060974121,0.65625
Age: 40-50,4,0.27419355511665344,0.4189189076423645,0.5,0.45588234066963196,0.8378378748893738
Age: 50-65,4,0.5193965435028076,0.26229506731033325,0.5,0.34408602118492126,0.5245901346206665
Race: White,4,0.4773242473602295,0.36567163467407227,0.5,0.42241379618644714,0.7313432693481445
