group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6655997037887573,0.6033163070678711,0.5987654328346252,0.5942978262901306,0.5987654328346252
Gender: Male,0,0.6655997037887573,0.6033163070678711,0.5987654328346252,0.5942978262901306,0.5987654328346252
Age: <40,0,0.7930763363838196,0.7395833730697632,0.7171518802642822,0.7205311059951782,0.7361111044883728
Age: 40-50,0,0.4898550808429718,0.45512819290161133,0.4594203233718872,0.454270601272583,0.5
Age: 50-65,0,0.492436945438385,0.4672619104385376,0.46302521228790283,0.45644599199295044,0.48076924681663513
Race: White,0,0.6962305903434753,0.6611226797103882,0.6718403100967407,0.6634615659713745,0.682539701461792
Race: Black,0,0.125,0.40909090638160706,0.28125,0.3333333432674408,0.5
Race: Other,0,0.6829864978790283,0.5740740299224854,0.5660954713821411,0.5472049713134766,0.5555555820465088
Overall,1,0.6871577501296997,0.6171108484268188,0.632750391960144,0.6161764860153198,0.6419752836227417
Gender: Male,1,0.6871577501296997,0.6171108484268188,0.632750391960144,0.6161764860153198,0.6419752836227417
Age: <40,1,0.6866319179534912,0.6429787278175354,0.6458333730697632,0.6442534923553467,0.6805555820465088
Age: 40-50,1,0.8010752201080322,0.632440447807312,0.7392473220825195,0.6118881106376648,0.6756756901741028
Age: 50-65,1,0.6190476417541504,0.5721428394317627,0.5751488208770752,0.5635517239570618,0.5660377740859985
Race: White,1,0.7658079862594604,0.6580086946487427,0.756440281867981,0.6436686515808105,0.6933333277702332
Race: Black,1,0.615384578704834,0.4615384638309479,0.4615384638309479,0.4615384638309479,0.8571429252624512
Race: Other,1,0.5263605117797852,0.4821739196777344,0.48256802558898926,0.4822695255279541,0.5479452013969421
Overall,2,0.5516704320907593,0.5102134346961975,0.511597752571106,0.4962012469768524,0.5123456716537476
Gender: Male,2,0.5516704320907593,0.5102134346961975,0.511597752571106,0.4962012469768524,0.5123456716537476
Age: <40,2,0.5185185074806213,0.5078397393226624,0.5083333253860474,0.5062611699104309,0.5362318754196167
Age: 40-50,2,0.7236841917037964,0.5582010746002197,0.5868421196937561,0.49427393078804016,0.5208333730697632
Age: 50-65,2,0.5161943435668945,0.4750000238418579,0.4746963679790497,0.46640318632125854,0.46666666865348816
