group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5310657620429993,0.38818567991256714,0.43990930914878845,0.3603830635547638,0.42553189396858215
Gender: Male,0,0.7076461911201477,0.4920635223388672,0.4962518811225891,0.4378378391265869,0.5384615659713745
Gender: Female,0,0.370192289352417,0.2720588445663452,0.3509615361690521,0.25882354378700256,0.2857142984867096
Age: 50-65,0,0.5310657620429993,0.38818567991256714,0.43990930914878845,0.3603830635547638,0.42553189396858215
Race: White,0,0.3842974901199341,0.2741546034812927,0.3712121248245239,0.26820728182792664,0.30909091234207153
Race: Other,0,0.6622222661972046,0.5,0.5,0.45054948329925537,0.5
Overall,1,0.5085135698318481,0.3989899158477783,0.4263690710067749,0.36778759956359863,0.39361700415611267
Gender: Male,1,0.5629630088806152,0.4595237970352173,0.46851852536201477,0.4309178590774536,0.45614033937454224
Gender: Female,1,0.4503105878829956,0.29285717010498047,0.36490681767463684,0.2712121307849884,0.29729729890823364
Age: 50-65,1,0.5085135698318481,0.3989899158477783,0.4263690710067749,0.36778759956359863,0.39361700415611267
Race: White,1,0.2447916716337204,0.18859648704528809,0.2534722089767456,0.18831169605255127,0.19999998807907104
Race: Black,1,0.7272727489471436,0.4583333432674408,0.5,0.47826087474823,0.9166666865348816
Race: Other,1,0.7208333015441895,0.5545454621315002,0.550000011920929,0.49803924560546875,0.5
Overall,2,0.6222221851348877,0.4166666865348816,0.46281179785728455,0.3831525444984436,0.4787233769893646
Gender: Male,2,0.7129629850387573,0.44331395626068115,0.46990740299224854,0.4080357253551483,0.4901961088180542
Gender: Female,2,0.5281385183334351,0.36858975887298584,0.4556277096271515,0.35147538781166077,0.4651162624359131
Age: 50-65,2,0.6222221851348877,0.4166666865348816,0.46281179785728455,0.3831525444984436,0.4787233769893646
Race: White,2,0.470822274684906,0.29654255509376526,0.398541122674942,0.3188854455947876,0.41818180680274963
Race: Other,2,0.8111110925674438,0.6163793206214905,0.550000011920929,0.45454543828964233,0.5151515007019043
Overall,3,0.6009091138839722,0.43394309282302856,0.47045454382896423,0.3742959499359131,0.44680848717689514
Gender: Male,3,0.6335282325744629,0.4013157784938812,0.44152048230171204,0.39715099334716797,0.5
Gender: Female,3,0.6394686698913574,0.5568181872367859,0.5189753174781799,0.3480093479156494,0.3958333432674408
Age: 50-65,3,0.6009091138839722,0.43394309282302856,0.47045454382896423,0.3742959499359131,0.44680848717689514
Race: White,3,0.5535714626312256,0.4375,0.4702380895614624,0.3468559682369232,0.3913043439388275
Race: Other,3,0.6818181872367859,0.43137258291244507,0.46464645862579346,0.4047619104385376,0.5
Overall,4,0.5464852452278137,0.38377195596694946,0.42789116501808167,0.3622795343399048,0.41489359736442566
Gender: Male,4,0.5884354114532471,0.42222222685813904,0.4523809552192688,0.3704031705856323,0.40816324949264526
Gender: Female,4,0.4682539701461792,0.3472222089767456,0.4017857015132904,0.3499999940395355,0.42222222685813904
Age: 50-65,4,0.5464852452278137,0.38377195596694946,0.42789116501808167,0.3622795343399048,0.41489359736442566
Race: White,4,0.4051613211631775,0.2261904776096344,0.29225805401802063,0.2384742945432663,0.267857164144516
Race: Other,4,0.8413461446762085,0.7599999904632568,0.625,0.5421052575111389,0.5862069129943848
Overall,5,0.6606060266494751,0.4691983461380005,0.48298367857933044,0.3854721486568451,0.42553189396858215
Gender: Male,5,0.7439999580383301,0.493261456489563,0.49714285135269165,0.37728938460350037,0.4333333671092987
Gender: Female,5,0.5321428775787354,0.442307710647583,0.4571428596973419,0.3928571343421936,0.4117647111415863
Age: 50-65,5,0.6606060266494751,0.4691983461380005,0.48298367857933044,0.3854721486568451,0.42553189396858215
Race: White,5,0.5846561193466187,0.35957446694374084,0.4126984179019928,0.3075447678565979,0.3333333432674408
Race: Other,5,0.7592592239379883,0.6200000047683716,0.569444477558136,0.4712103605270386,0.5
Overall,6,0.601915180683136,0.41518986225128174,0.45417237281799316,0.3695976138114929,0.42553189396858215
Gender: Male,6,0.6461769342422485,0.4642857313156128,0.4775112271308899,0.40512824058532715,0.442307710647583
Gender: Female,6,0.5659090876579285,0.31621623039245605,0.4227272868156433,0.317738801240921,0.4047619104385376
Age: 50-65,6,0.601915180683136,0.41518986225128174,0.45417237281799316,0.3695976138114929,0.42553189396858215
Race: White,6,0.5015528202056885,0.2485465109348297,0.3656832277774811,0.27020204067230225,0.3333333432674408
Race: Other,6,0.7362319231033325,0.5668202638626099,0.5420289635658264,0.4492753744125366,0.4736842215061188
Overall,7,0.5339673757553101,0.41826921701431274,0.4538043439388275,0.38407257199287415,0.44680848717689514
Gender: Male,7,0.5603448152542114,0.4156503975391388,0.4403735399246216,0.3834896981716156,0.4150943458080292
Gender: Female,7,0.4736841917037964,0.3817567527294159,0.4581339657306671,0.3655121624469757,0.4878048598766327
Age: 50-65,7,0.5339673757553101,0.41826921701431274,0.4538043439388275,0.38407257199287415,0.44680848717689514
Race: White,7,0.4159544110298157,0.2601010203361511,0.36467236280441284,0.28492066264152527,0.35849058628082275
Race: Other,7,0.6904761791229248,0.5714285969734192,0.5476190447807312,0.4642857313156128,0.48571428656578064
Overall,8,0.5916353464126587,0.4451219439506531,0.47462406754493713,0.3549019694328308,0.40425530076026917
Gender: Male,8,0.5440115928649902,0.3130699098110199,0.411255419254303,0.2852941155433655,0.3333333432674408
Gender: Female,8,0.6496163606643677,0.6285714507102966,0.5575447678565979,0.45054948329925537,0.5
Age: 50-65,8,0.5916353464126587,0.4451219439506531,0.47462406754493713,0.3549019694328308,0.40425530076026917
Race: White,8,0.5281955003738403,0.4079365134239197,0.44548872113227844,0.2753295600414276,0.2884615361690521
Race: Other,8,0.6972222328186035,0.4575757384300232,0.48055556416511536,0.4077112376689911,0.5
Overall,9,0.5606883764266968,0.5135021209716797,0.5072463750839233,0.4389841556549072,0.4999999701976776
Gender: Male,9,0.5538461208343506,0.4982110857963562,0.49871793389320374,0.46891462802886963,0.5178571939468384
Gender: Female,9,0.5767045021057129,0.7222222089767456,0.5454545617103577,0.3910256624221802,0.4736842215061188
Age: 50-65,9,0.5606883764266968,0.5135021209716797,0.5072463750839233,0.4389841556549072,0.4999999701976776
Race: White,9,0.4126983880996704,0.3690476417541504,0.44179895520210266,0.33044734597206116,0.3958333432674408
Race: Other,9,0.6705881953239441,0.5833333730697632,0.5617647171020508,0.5180076956748962,0.5405405759811401
Overall,10,0.5070488452911377,0.3598214387893677,0.4262218177318573,0.3171912729740143,0.3617021143436432
Gender: Male,10,0.5431234836578369,0.30026453733444214,0.41200464963912964,0.2671624720096588,0.31147539615631104
Gender: Female,10,0.43382352590560913,0.44505494832992554,0.4632352888584137,0.4107142984867096,0.4545454680919647
Age: 50-65,10,0.5070488452911377,0.3598214387893677,0.4262218177318573,0.3171912729740143,0.3617021143436432
Race: White,10,0.2987987995147705,0.27222222089767456,0.34609609842300415,0.23843297362327576,0.2545454502105713
Race: Other,10,0.7789473533630371,0.46666666865348816,0.48596492409706116,0.37584543228149414,0.44117647409439087
Overall,11,0.6010338068008423,0.442307710647583,0.4661654233932495,0.3697317838668823,0.40425530076026917
Gender: Male,11,0.6025640964508057,0.3929293155670166,0.43205127120018005,0.3651666045188904,0.4107142984867096
Gender: Female,11,0.6602563858032227,0.5666666626930237,0.5352564454078674,0.37347668409347534,0.3947368562221527
Age: 50-65,11,0.6010338068008423,0.442307710647583,0.4661654233932495,0.3697317838668823,0.40425530076026917
Race: White,11,0.488095223903656,0.369047611951828,0.4126984179019928,0.26948052644729614,0.2800000011920929
Race: Other,11,0.7625000476837158,0.5,0.5,0.45054948329925537,0.5
Overall,12,0.6402777433395386,0.4835706353187561,0.4930555522441864,0.37686052918434143,0.43617019057273865
Gender: Male,12,0.7027649879455566,0.4852941036224365,0.4930875599384308,0.40636155009269714,0.47457626461982727
Gender: Female,12,0.5507246255874634,0.5052083730697632,0.5018116235733032,0.32692307233810425,0.37142857909202576
Age: 50-65,12,0.6402777433395386,0.4835706353187561,0.4930555522441864,0.37686052918434143,0.43617019057273865
Race: White,12,0.4776315689086914,0.3205128312110901,0.4263157844543457,0.26767677068710327,0.3103448152542114
Race: Other,12,0.8522727489471436,0.6272727251052856,0.5795454978942871,0.4935064911842346,0.5185185074806213
Overall,13,0.5737781524658203,0.3857142925262451,0.4548872113227844,0.38452380895614624,0.5319148898124695
Gender: Male,13,0.5680147409439087,0.3839285671710968,0.4283088147640228,0.3969298005104065,0.5600000023841858
Gender: Female,13,0.6363636255264282,0.5,0.5,0.3697916567325592,0.5
Age: 50-65,13,0.5737781524658203,0.3857142925262451,0.4548872113227844,0.38452380895614624,0.5319148898124695
Race: White,13,0.5132211446762085,0.3125,0.40985578298568726,0.3342898190021515,0.4482758641242981
Race: Other,13,0.7942583560943604,0.5714285373687744,0.519138753414154,0.4599018096923828,0.6333333849906921
Overall,14,0.6094322204589844,0.4441401958465576,0.47664836049079895,0.3673650622367859,0.43617019057273865
