group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6109386682510376,0.5831418037414551,0.5777406096458435,0.578067421913147,0.6060606241226196
Gender: Female,0,0.6109386682510376,0.5831418037414551,0.5777406096458435,0.578067421913147,0.6060606241226196
Age: <40,0,0.789566695690155,0.6643356680870056,0.6038903594017029,0.5866261124610901,0.6470588445663452
Age: 40-50,0,0.48148149251937866,0.5494505763053894,0.5555555820465088,0.5397727489471436,0.5555555820465088
Age: 50-65,0,0.43939393758773804,0.5701754689216614,0.5727273225784302,0.5647059082984924,0.5675675868988037
Race: White,0,0.4265872836112976,0.46590909361839294,0.4672619104385376,0.4661273956298828,0.5151515007019043
Race: Black,0,0.5333333015441895,0.7333333492279053,0.7333333492279053,0.7272727489471436,0.7272727489471436
Race: Other,0,0.8413978815078735,0.6950464248657227,0.6693547964096069,0.6694945096969604,0.6909090876579285
Overall,1,0.6535204648971558,0.6302177906036377,0.6278966069221497,0.6255309581756592,0.6268656849861145
Gender: Female,1,0.6535204648971558,0.6302177906036377,0.6278966069221497,0.6255309581756592,0.6268656849861145
Age: <40,1,0.7654054164886475,0.6715909242630005,0.6632432341575623,0.6281616687774658,0.6290322542190552
Age: 40-50,1,0.6491228342056274,0.6220238208770752,0.6198830604553223,0.6191176176071167,0.6216216087341309
Age: 50-65,1,0.48188406229019165,0.6083333492279053,0.6177536249160767,0.6080964803695679,0.6285714507102966
Race: White,1,0.5822222232818604,0.6086711883544922,0.6072221994400024,0.6077718734741211,0.6229507923126221
Race: Black,1,0.4523809552192688,0.612500011920929,0.6071428656578064,0.6060606241226196,0.6153846383094788
Race: Other,1,0.7627314925193787,0.6493213176727295,0.6527777910232544,0.6329254508018494,0.6333333849906921
Overall,2,0.6374459266662598,0.5703974962234497,0.5686147212982178,0.5642682313919067,0.5661764740943909
Gender: Female,2,0.6374459266662598,0.5703974962234497,0.5686147212982178,0.5642682313919067,0.5661764740943909
Age: <40,2,0.7903509140014648,0.6469098329544067,0.6271929740905762,0.5958617925643921,0.6029411554336548
Age: 40-50,2,0.5669642686843872,0.4642857313156128,0.4642857313156128,0.4642857313156128,0.46666669845581055
Age: 50-65,2,0.4888888895511627,0.5852272510528564,0.5833333730697632,0.5777778029441833,0.5789473652839661
Race: White,2,0.4693693518638611,0.48874297738075256,0.4891892075538635,0.4757433533668518,0.4776119291782379
Race: Other,2,0.8215725421905518,0.6704781651496887,0.6653225421905518,0.6636155843734741,0.6666666865348816
Overall,3,0.5088095664978027,0.46717172861099243,0.4675000011920929,0.4672248661518097,0.48091602325439453
Gender: Female,3,0.5088095664978027,0.46717172861099243,0.4675000011920929,0.4672248661518097,0.48091602325439453
Age: <40,3,0.5900000333786011,0.5424836874008179,0.5371428728103638,0.5267857313156128,0.5471698045730591
Age: 40-50,3,0.4935064911842346,0.4457142949104309,0.4588744640350342,0.3650793731212616,0.375
Age: 50-65,3,0.6277778148651123,0.5708333253860474,0.5944444537162781,0.4692307710647583,0.47826087474823
Race: White,3,0.453125,0.4434782564640045,0.4419642686843872,0.44240644574165344,0.4736842215061188
Race: Black,3,0.1071428582072258,0.4166666865348816,0.4464285671710968,0.34188035130500793,0.3636363744735718
