group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5068756341934204,0.32121211290359497,0.5,0.39114391803741455,0.6424242258071899
Gender: Male,0,0.5068756341934204,0.32121211290359497,0.5,0.39114391803741455,0.6424242258071899
Age: <40,0,0.48582231998443604,0.3333333432674408,0.5,0.4000000059604645,0.6666666865348816
Age: 40-50,0,0.6296296119689941,0.4000000059604645,0.5,0.4444444477558136,0.800000011920929
Age: 50-65,0,0.43981480598449707,0.23529411852359772,0.5,0.3199999928474426,0.4705882668495178
Race: White,0,0.5225694179534912,0.40909090638160706,0.5,0.44999998807907104,0.8181818723678589
Race: Black,0,0.9500000476837158,0.02380952425301075,0.5,0.04545454680919647,0.0476190485060215
Race: Other,0,0.4584980010986328,0.2946428656578064,0.5,0.37078651785850525,0.5892857313156128
Overall,1,0.6240983009338379,0.3105590045452118,0.5,0.38314175605773926,0.6211180090904236
Gender: Male,1,0.6240983009338379,0.3105590045452118,0.5,0.38314175605773926,0.6211180090904236
Age: <40,1,0.6974025964736938,0.3313252925872803,0.5,0.39855071902275085,0.6626505851745605
Age: 40-50,1,0.682539701461792,0.4375,0.5,0.46666666865348816,0.875
Age: 50-65,1,0.3861111104488373,0.2222222238779068,0.5,0.3076923191547394,0.4444444477558136
Race: White,1,0.6677018404006958,0.3544303774833679,0.5,0.4148148000240326,0.7088607549667358
Race: Black,1,0.8333333730697632,0.05882352963089943,0.5,0.10526315867900848,0.11764705926179886
Race: Other,1,0.5983437299728394,0.32307693362236023,0.5,0.3925233781337738,0.6461538672447205
Overall,2,0.6245532035827637,0.3018292784690857,0.5,0.3764258623123169,0.6036584973335266
Gender: Male,2,0.6245532035827637,0.3018292784690857,0.5,0.3764258623123169,0.6036584973335266
Age: <40,2,0.6365517377853394,0.3164556920528412,0.5,0.38759690523147583,0.6329113841056824
Age: 40-50,2,0.7000000476837158,0.3684210479259491,0.5,0.42424243688583374,0.7368420958518982
Age: 50-65,2,0.5384615659713745,0.22340425848960876,0.5,0.30882352590560913,0.44680848717689514
Race: White,2,0.6649030447006226,0.36000001430511475,0.5,0.41860464215278625,0.7200000286102295
Race: Black,2,0.8333333730697632,0.05882352963089943,0.5,0.10526315867900848,0.11764705926179886
Race: Other,2,0.5653568506240845,0.2986111044883728,0.5,0.373913049697876,0.5972222089767456
Overall,3,0.6052173376083374,0.2958579957485199,0.5,0.371747225522995,0.5917159914970398
Gender: Male,3,0.6052173376083374,0.2958579957485199,0.5,0.371747225522995,0.5917159914970398
Age: <40,3,0.5658119916915894,0.31690141558647156,0.5,0.38793104887008667,0.6338028311729431
Age: 40-50,3,0.7211538553237915,0.3243243098258972,0.5,0.39344263076782227,0.6486486792564392
Age: 50-65,3,0.5322580337524414,0.2540983557701111,0.5,0.33695653080940247,0.5081967115402222
Race: White,3,0.7764705419540405,0.35087719559669495,0.5,0.41237112879753113,0.7017543911933899
Race: Black,3,0.8586956262588501,0.07407407462596893,0.5,0.12903225421905518,0.14814814925193787
Race: Other,3,0.43288177251815796,0.3294117748737335,0.5,0.39716312289237976,0.658823549747467
Overall,4,0.5456902980804443,0.2896341383457184,0.5,0.3667953610420227,0.5792682766914368
Gender: Male,4,0.5456902980804443,0.2896341383457184,0.5,0.3667953610420227,0.5792682766914368
Age: <40,4,0.4817170202732086,0.26056337356567383,0.5,0.34259259700775146,0.5211267471313477
Age: 40-50,4,0.521235466003418,0.4204545319080353,0.5,0.45679011940956116,0.8409091234207153
Age: 50-65,4,0.6870747804641724,0.2142857164144516,0.5,0.30000001192092896,0.4285714328289032
