group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5564738512039185,0.5909091234207153,0.5909091234207153,0.5252525210380554,0.5252525210380554
Gender: Male,0,0.6270833015441895,0.6961961984634399,0.7041666507720947,0.6711524724960327,0.671875
Gender: Female,0,0.5683760643005371,0.3534482717514038,0.3910256624221802,0.25164473056793213,0.2571428716182709
Age: 50-65,0,0.5564738512039185,0.5909091234207153,0.5909091234207153,0.5252525210380554,0.5252525210380554
Race: White,0,0.5585317611694336,0.5565476417541504,0.5565476417541504,0.5151515007019043,0.5151515007019043
Race: Other,0,0.574999988079071,0.625,0.6875,0.47272729873657227,0.48275861144065857
Overall,1,0.6542161703109741,0.5878787636756897,0.5902659893035889,0.5452196598052979,0.5454545617103577
Gender: Male,1,0.8357143402099609,0.7233333587646484,0.7392857074737549,0.7066667079925537,0.7090908885002136
Gender: Female,1,0.41735538840293884,0.3075000047683716,0.34090909361839294,0.2666666805744171,0.27272728085517883
Age: 50-65,1,0.6542161703109741,0.5878787636756897,0.5902659893035889,0.5452196598052979,0.5454545617103577
Race: White,1,0.6071428060531616,0.49696969985961914,0.49624061584472656,0.448484867811203,0.46153849363327026
Race: Other,1,0.7280701398849487,0.6590908765792847,0.6535087823867798,0.612500011920929,0.6129032373428345
Overall,2,0.6663534045219421,0.6331285238265991,0.6221804618835449,0.5827927589416504,0.585106372833252
Gender: Male,2,0.7217631340026855,0.6942934989929199,0.6969696879386902,0.6726190447807312,0.6727272272109985
Gender: Female,2,0.6385868787765503,0.5221773982048035,0.5149456262588501,0.4378860592842102,0.4615384638309479
Age: 50-65,2,0.6663534045219421,0.6331285238265991,0.6221804618835449,0.5827927589416504,0.585106372833252
Race: White,2,0.5556818246841431,0.5401337742805481,0.5409091114997864,0.4998699128627777,0.5
Race: Other,2,0.8999999761581421,0.8157894611358643,0.7666666507720947,0.7349228858947754,0.7407407760620117
Overall,3,0.5768707990646362,0.6120129823684692,0.5938775539398193,0.5710775852203369,0.585106372833252
Gender: Male,3,0.7179486751556396,0.7920203804969788,0.7756410241127014,0.7756018042564392,0.7799999713897705
Gender: Female,3,0.503157913684845,0.3523809611797333,0.40210527181625366,0.328976035118103,0.3636363744735718
Age: 50-65,3,0.5768707990646362,0.6120129823684692,0.5938775539398193,0.5710775852203369,0.585106372833252
Race: White,3,0.4309764504432678,0.3911764621734619,0.4065656363964081,0.375,0.3877550959587097
Race: Other,3,0.8049535751342773,0.8695652484893799,0.8421052694320679,0.831250011920929,0.8333333134651184
Overall,4,0.5441861152648926,0.6801801919937134,0.6353065967559814,0.5864979028701782,0.6020408272743225
Gender: Male,4,0.6042327880859375,0.7212543487548828,0.7015873193740845,0.674369752407074,0.6774193048477173
Gender: Female,4,0.4625000059604645,0.560606062412262,0.518750011920929,0.3930789828300476,0.472222238779068
Age: 50-65,4,0.5441861152648926,0.6801801919937134,0.6353065967559814,0.5864979028701782,0.6020408272743225
Race: White,4,0.4088670015335083,0.5524193644523621,0.5480295419692993,0.46395665407180786,0.4651162624359131
Race: Black,4,0.0,0.46666666865348816,0.5,0.48275861144065857,0.9333333969116211
Race: Other,4,0.690666675567627,0.7083333730697632,0.6866666674613953,0.6228786706924438,0.625
Overall,5,0.6115311980247498,0.6884057521820068,0.6413043737411499,0.6173912882804871,0.6413043737411499
Gender: Male,5,0.8136200904846191,0.8598039150238037,0.8288530111312866,0.8400932550430298,0.8571428656578064
Gender: Female,5,0.5404762029647827,0.4839285612106323,0.4892857074737549,0.37888890504837036,0.39534884691238403
Age: 50-65,5,0.6115311980247498,0.6884057521820068,0.6413043737411499,0.6173912882804871,0.6413043737411499
Race: White,5,0.3759259283542633,0.49340659379959106,0.49444442987442017,0.43132954835891724,0.4375
Race: Other,5,0.8811594247817993,0.9107142686843872,0.8333333730697632,0.8509804010391235,0.8684210777282715
Overall,6,0.6311688423156738,0.6322091817855835,0.6170995831489563,0.6156458854675293,0.6391752362251282
Gender: Male,6,0.8224637508392334,0.8258145451545715,0.8140096664428711,0.8187960386276245,0.8305084705352783
Gender: Female,6,0.4238227307796478,0.2964285612106323,0.34210526943206787,0.3030080795288086,0.34210526943206787
Age: 50-65,6,0.6311688423156738,0.6322091817855835,0.6170995831489563,0.6156458854675293,0.6391752362251282
Race: White,6,0.5087412595748901,0.503496527671814,0.503496527671814,0.5,0.5
Race: Black,6,0.0,0.42307692766189575,0.5,0.4583333432674408,0.8461538553237915
