group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5874861478805542,0.3359375,0.5,0.40186914801597595,0.671875
Gender: Male,0,0.6784689426422119,0.37162160873413086,0.5,0.42635658383369446,0.7432432770729065
Gender: Female,0,0.41654980182647705,0.28703704476356506,0.5,0.364705890417099,0.5740740895271301
Age: <40,0,0.7861111164093018,0.3076923191547394,0.5,0.380952388048172,0.6153846383094788
Age: 40-50,0,0.5037037134170532,0.421875,0.5,0.4576271176338196,0.84375
Age: 50-65,0,0.48571428656578064,0.3070175349712372,0.5,0.3804347813129425,0.6140350699424744
Race: White,0,0.5874861478805542,0.3359375,0.5,0.40186914801597595,0.671875
Overall,1,0.5761693716049194,0.33712121844291687,0.5,0.40271493792533875,0.6742424368858337
Gender: Male,1,0.7939393520355225,0.3928571343421936,0.5,0.4399999976158142,0.7857142686843872
Gender: Female,1,0.2731092572212219,0.27419355511665344,0.5,0.3541666567325592,0.5483870506286621
Age: <40,1,0.7857142686843872,0.3888888955116272,0.5,0.4375,0.7777777910232544
Age: 40-50,1,0.4960317611694336,0.28125,0.5,0.36000001430511475,0.5625
Age: 50-65,1,0.46929824352264404,0.3272727131843567,0.5,0.3956044018268585,0.6545454263687134
Race: White,1,0.5761693716049194,0.33712121844291687,0.5,0.40271493792533875,0.6742424368858337
Overall,2,0.6882352828979492,0.31481480598449707,0.5,0.3863636255264282,0.6296296119689941
Gender: Male,2,0.6588345766067505,0.3733333349227905,0.5,0.42748090624809265,0.746666669845581
Gender: Female,2,0.6307007670402527,0.24166665971279144,0.5,0.3258427083492279,0.4833333492279053
Age: <40,2,0.6615384817123413,0.3979591727256775,0.5,0.4431818127632141,0.795918345451355
Age: 40-50,2,0.8545150756835938,0.26530611515045166,0.5,0.3466666638851166,0.5306122303009033
Age: 50-65,2,0.4264705777168274,0.2702702581882477,0.5,0.35087719559669495,0.5405405759811401
Race: White,2,0.6882352828979492,0.31481480598449707,0.5,0.3863636255264282,0.6296296119689941
Overall,3,0.5731546878814697,0.31640625,0.5,0.38755980134010315,0.6328125
Gender: Male,3,0.6902173757553101,0.3965517282485962,0.5,0.4423076808452606,0.7931034564971924
Gender: Female,3,0.48000001907348633,0.25,0.5,0.3333333432674408,0.5
Age: <40,3,0.8605769276618958,0.35555556416511536,0.5,0.41558441519737244,0.7111111283302307
Age: 40-50,3,0.5510203838348389,0.30000001192092896,0.5,0.375,0.6000000238418579
Age: 50-65,3,0.4017857015132904,0.2916666567325592,0.5,0.3684210479259491,0.5833333730697632
Race: White,3,0.5731546878814697,0.31640625,0.5,0.38755980134010315,0.6328125
