group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6806783080101013,0.6190476417541504,0.6146405339241028,0.5827346444129944,0.5833333730697632
Gender: Female,0,0.6806783080101013,0.6190476417541504,0.6146405339241028,0.5827346444129944,0.5833333730697632
Age: <40,0,0.704686164855957,0.6079493761062622,0.6056587100028992,0.5878788232803345,0.5882353186607361
Age: 40-50,0,0.5740740299224854,0.6499999761581421,0.6666666865348816,0.625,0.6296296119689941
Age: 50-65,0,0.7242424488067627,0.6210317611694336,0.5924242734909058,0.5281320214271545,0.5405405759811401
Race: White,0,0.5029761791229248,0.5056390762329102,0.5059523582458496,0.48294931650161743,0.4848484992980957
Race: Black,0,0.4000000059604645,0.20000000298023224,0.4000000059604645,0.2666666805744171,0.3636363744735718
Race: Other,0,0.9099462032318115,0.7931286692619324,0.7694892287254333,0.7433333396911621,0.7454545497894287
Overall,1,0.6813725233078003,0.6286377906799316,0.6172014474868774,0.6098201274871826,0.6194029450416565
Gender: Female,1,0.6813725233078003,0.6286377906799316,0.6172014474868774,0.6098201274871826,0.6194029450416565
Age: <40,1,0.7945945858955383,0.7149122953414917,0.7118918895721436,0.7131972312927246,0.7258064150810242
Age: 40-50,1,0.6812865734100342,0.6333333253860474,0.6169590950012207,0.6075757741928101,0.6216216087341309
Age: 50-65,1,0.5289855003356934,0.4848484992980957,0.4855072498321533,0.42810457944869995,0.4285714328289032
Race: White,1,0.5577777624130249,0.5148741006851196,0.5144444704055786,0.4912564158439636,0.49180325865745544
Race: Black,1,0.4523809552192688,0.8181818127632141,0.6666666865348816,0.6388888955116272,0.692307710647583
Race: Other,1,0.8101851940155029,0.7224880456924438,0.7152777910232544,0.717978835105896,0.7333333492279053
Overall,2,0.6235930919647217,0.5352352857589722,0.5335497856140137,0.529411792755127,0.5367646813392639
Gender: Female,2,0.6235930919647217,0.5352352857589722,0.5335497856140137,0.529411792755127,0.5367646813392639
Age: <40,2,0.7236841917037964,0.612500011920929,0.5947368741035461,0.588837206363678,0.6176470518112183
Age: 40-50,2,0.625,0.4954751133918762,0.4955357313156128,0.4949495196342468,0.5
Age: 50-65,2,0.49166667461395264,0.42329543828964233,0.42500001192092896,0.4194444417953491,0.42105263471603394
Race: White,2,0.4333333373069763,0.40374332666397095,0.4027026891708374,0.4017857313156128,0.4029850661754608
Race: Other,2,0.8709677457809448,0.7666666507720947,0.7177419662475586,0.7015789747238159,0.7142857313156128
Overall,3,0.5997618436813354,0.5181103944778442,0.5170238018035889,0.49379390478134155,0.49618321657180786
Gender: Female,3,0.5997618436813354,0.5181103944778442,0.5170238018035889,0.49379390478134155,0.49618321657180786
Age: <40,3,0.558571457862854,0.5357142686843872,0.5342857241630554,0.5255997180938721,0.5283018946647644
Age: 40-50,3,0.7835497856140137,0.625,0.6298701763153076,0.6267232298851013,0.65625
Age: 50-65,3,0.519444465637207,0.4508928656578064,0.43888890743255615,0.34285715222358704,0.3478260934352875
Race: White,3,0.3861607313156128,0.39128923416137695,0.3839285671710968,0.3762877583503723,0.3815789520740509
Race: Black,3,0.2142857015132904,0.15000000596046448,0.375,0.2142857164144516,0.27272728085517883
Race: Other,3,0.8958333730697632,0.8030303120613098,0.7291666269302368,0.7260894179344177,0.75
Overall,4,0.675635576248169,0.5931583642959595,0.5917372703552246,0.5921579003334045,0.6043165326118469
Gender: Female,4,0.675635576248169,0.5931583642959595,0.5917372703552246,0.5921579003334045,0.6043165326118469
Age: <40,4,0.7097561359405518,0.5908536911010742,0.5908536911010742,0.5908536911010742,0.6393442153930664
Age: 40-50,4,0.62890625,0.5634920597076416,0.5625,0.5607843399047852,0.5625
Age: 50-65,4,0.640831708908081,0.591269850730896,0.5869565010070801,0.5820181965827942,0.5869565606117249
Race: White,4,0.4828628897666931,0.46018144488334656,0.46018144488334656,0.46018144488334656,0.4603174924850464
Race: Black,4,0.20408162474632263,0.2083333432674408,0.2142857313156128,0.210256427526474,0.2142857313156128
Race: Other,4,0.9163762927055359,0.8249694108963013,0.8083623647689819,0.8154761791229248,0.8387096524238586
Overall,5,0.7041125297546387,0.6529412269592285,0.6435065269470215,0.635269045829773,0.6397058963775635
Gender: Female,5,0.7041125297546387,0.6529412269592285,0.6435065269470215,0.635269045829773,0.6397058963775635
Age: <40,5,0.7766748666763306,0.68376624584198,0.67555832862854,0.6761363744735718,0.6842105388641357
Age: 40-50,5,0.8630951642990112,0.791176438331604,0.7946428656578064,0.7836257219314575,0.7837837934494019
Age: 50-65,5,0.4919908344745636,0.46666666865348816,0.4725400507450104,0.436734676361084,0.4523809552192688
Race: White,5,0.5975610017776489,0.5608527064323425,0.5598323345184326,0.5476056337356567,0.5479452013969421
Race: Other,5,0.866047739982605,0.8093093037605286,0.7732095718383789,0.7727272510528564,0.781818151473999
Overall,6,0.7124226093292236,0.6505910158157349,0.6408045887947083,0.6437318325042725,0.6762589812278748
Gender: Female,6,0.7124226093292236,0.6505910158157349,0.6408045887947083,0.6437318325042725,0.6762589812278748
Age: <40,6,0.7728571891784668,0.668749988079071,0.6735714673995972,0.6706544756889343,0.692307710647583
Age: 40-50,6,0.692307710647583,0.7324560880661011,0.6698718070983887,0.6527777910232544,0.6800000071525574
Age: 50-65,6,0.6076388359069824,0.5740740895271301,0.5625,0.5630252361297607,0.6388888955116272
Race: White,6,0.5022221803665161,0.5022488832473755,0.5022222399711609,0.49925923347473145,0.5
Race: Black,6,0.2571428418159485,0.444444477558136,0.4571428596973419,0.4375,0.5
Race: Other,6,0.889090895652771,0.7796052694320679,0.7704545259475708,0.7747747898101807,0.8266667127609253
Overall,7,0.5892709493637085,0.5406731963157654,0.5360397696495056,0.5203588604927063,0.5323740839958191
Gender: Female,7,0.5892709493637085,0.5406731963157654,0.5360397696495056,0.5203588604927063,0.5323740839958191
Age: <40,7,0.6935312747955322,0.6386363506317139,0.6293743252754211,0.6322845220565796,0.671875
Age: 40-50,7,0.5583333969116211,0.5625,0.5666666626930237,0.5555555820465088,0.5625
Age: 50-65,7,0.45714282989501953,0.33636364340782166,0.37142857909202576,0.2927631735801697,0.302325576543808
Race: White,7,0.5218604803085327,0.47441861033439636,0.47441861033439636,0.44117647409439087,0.44117647409439087
Race: Black,7,0.0833333283662796,0.22727273404598236,0.3125,0.2631579041481018,0.3571428656578064
Race: Other,7,0.7220779061317444,0.6645299196243286,0.6499999761581421,0.6533783674240112,0.6842105388641357
Overall,8,0.7077625393867493,0.6459212303161621,0.642123281955719,0.6308276653289795,0.6315789818763733
Gender: Female,8,0.7077625393867493,0.6459212303161621,0.642123281955719,0.6308276653289795,0.6315789818763733
Age: <40,8,0.7657952308654785,0.6417112350463867,0.6154683828353882,0.6089743375778198,0.6393442153930664
Age: 40-50,8,0.7727272510528564,0.6729166507720947,0.6886363625526428,0.6688034534454346,0.6774193048477173
Age: 50-65,8,0.6230769157409668,0.5821428298950195,0.5884615182876587,0.5762917995452881,0.5853658318519592
Race: White,8,0.5862069129943848,0.525921642780304,0.5258620977401733,0.525287389755249,0.5254237055778503
Race: Black,8,0.4285714030265808,0.7777777910232544,0.7142857313156128,0.6571428775787354,0.6666666865348816
Race: Other,8,0.8803418874740601,0.764214038848877,0.7532051205635071,0.7251629829406738,0.7258064150810242
Overall,9,0.7126273512840271,0.6825000047683716,0.6729447841644287,0.6658896803855896,0.6692307591438293
Gender: Female,9,0.7126273512840271,0.6825000047683716,0.6729447841644287,0.6658896803855896,0.6692307591438293
Age: <40,9,0.7836021184921265,0.7247899174690247,0.7157257795333862,0.7179487347602844,0.7272726893424988
Age: 40-50,9,0.8141025304794312,0.739393949508667,0.7532051205635071,0.7018315196037292,0.7027027010917664
Age: 50-65,9,0.5706371068954468,0.5565476417541504,0.5526316165924072,0.5447498559951782,0.5526315569877625
Race: White,9,0.5227272510528564,0.5068965554237366,0.5071022510528564,0.49845200777053833,0.5
Race: Black,9,0.1666666567325592,0.25,0.5,0.3333333432674408,0.5
Race: Other,9,0.9123152494430542,0.8502564430236816,0.8364531993865967,0.8398398160934448,0.84375
Overall,10,0.5977678298950195,0.5966628193855286,0.59375,0.5876923203468323,0.5895522236824036
Gender: Female,10,0.5977678298950195,0.5966628193855286,0.59375,0.5876923203468323,0.5895522236824036
Age: <40,10,0.781291127204895,0.7048748731613159,0.7048748731613159,0.7048748731613159,0.7142857313156128
Age: 40-50,10,0.7648903131484985,0.6666666865348816,0.6959247589111328,0.5959596037864685,0.6000000238418579
Age: 50-65,10,0.3583333194255829,0.3907563090324402,0.3916666507720947,0.39094078540802,0.3947368562221527
Race: White,10,0.44652408361434937,0.49242424964904785,0.49242424964904785,0.49242424964904785,0.4925372898578644
Race: Other,10,0.7761905193328857,0.7353895902633667,0.7071428298950195,0.6862934231758118,0.692307710647583
Overall,11,0.7341015934944153,0.6718391180038452,0.6595177054405212,0.6561545133590698,0.6642335653305054
Gender: Female,11,0.7341015934944153,0.6718391180038452,0.6595177054405212,0.6561545133590698,0.6642335653305054
Age: <40,11,0.8479167222976685,0.7462253570556641,0.7208333015441895,0.7168949842453003,0.7258064150810242
Age: 40-50,11,0.7457143068313599,0.6416666507720947,0.645714282989502,0.6432089805603027,0.6666666865348816
Age: 50-65,11,0.5551948547363281,0.58441561460495,0.58441561460495,0.5555555820465088,0.5555555820465088
Race: White,11,0.6691176891326904,0.6142857074737549,0.6143790483474731,0.6142069697380066,0.6142857074737549
Race: Black,11,0.3125,0.6111111044883728,0.5625,0.2929292917251587,0.30000001192092896
Race: Other,11,0.8883117437362671,0.8122923374176025,0.7441558837890625,0.7564102411270142,0.7894737124443054
Overall,12,0.6895685195922852,0.6312260627746582,0.6291370391845703,0.6183890104293823,0.6187050342559814
Gender: Female,12,0.6895685195922852,0.6312260627746582,0.6291370391845703,0.6183890104293823,0.6187050342559814
Age: <40,12,0.673160195350647,0.5852402448654175,0.5806276798248291,0.5788456201553345,0.5901638865470886
Age: 40-50,12,0.817460298538208,0.7443181872367859,0.7559523582458496,0.7371428608894348,0.739130437374115
Age: 50-65,12,0.5627705454826355,0.5303643941879272,0.5324675440788269,0.49803924560546875,0.5
Race: White,12,0.5756824016571045,0.5428571701049805,0.5434243679046631,0.541359543800354,0.5428571701049805
Race: Other,12,0.8921371102333069,0.7847825884819031,0.7641128897666931,0.7580025792121887,0.7619048357009888
Overall,13,0.6503385305404663,0.583949089050293,0.5814416408538818,0.5816182494163513,0.5944055914878845
Gender: Female,13,0.6503385305404663,0.583949089050293,0.5814416408538818,0.5816182494163513,0.5944055914878845
Age: <40,13,0.6986842155456543,0.6349527835845947,0.6315789222717285,0.6330336332321167,0.6724137663841248
Age: 40-50,13,0.8045454025268555,0.6729166507720947,0.6886363625526428,0.6688034534454346,0.6774193048477173
Age: 50-65,13,0.5175315141677856,0.47585228085517883,0.4761570692062378,0.4627787470817566,0.46296295523643494
Race: White,13,0.5185897350311279,0.4558441638946533,0.45641028881073,0.45429718494415283,0.4556962251663208
Race: Black,13,0.25,0.8500000238418579,0.625,0.6117647290229797,0.7272727489471436
Race: Other,13,0.8809523582458496,0.7492424249649048,0.7611111402511597,0.7538700103759766,0.7735849022865295
Overall,14,0.6738402843475342,0.598915696144104,0.5981587767601013,0.5638850927352905,0.5639097690582275
Gender: Female,14,0.6738402843475342,0.598915696144104,0.5981587767601013,0.5638850927352905,0.5639097690582275
Age: <40,14,0.6236559152603149,0.5678571462631226,0.5638440847396851,0.5430375337600708,0.5454545021057129
Age: 40-50,14,0.7337661981582642,0.6237457990646362,0.6201298832893372,0.5830116271972656,0.5833333134651184
Age: 50-65,14,0.7214853763580322,0.6117647290229797,0.6259946823120117,0.5675057172775269,0.5714285969734192
Race: White,14,0.5,0.4404762089252472,0.4447368383407593,0.41032129526138306,0.4126984477043152
Race: Other,14,0.8920940160751343,0.7685185074806213,0.7788461446762085,0.7454545497894287,0.7460317611694336
Overall,15,0.6764569282531738,0.6355152130126953,0.6269230842590332,0.6202898621559143,0.6259542107582092
Gender: Female,15,0.6764569282531738,0.6355152130126953,0.6269230842590332,0.6202898621559143,0.6259542107582092
Age: <40,15,0.6845238208770752,0.6278802156448364,0.6101190447807312,0.6025974154472351,0.6222222447395325
Age: 40-50,15,0.7384616136550903,0.6560150384902954,0.6596153974533081,0.6360294222831726,0.6363636255264282
Age: 50-65,15,0.6371428370475769,0.6220238208770752,0.6171428561210632,0.6159420013427734,0.6226415038108826
Race: White,15,0.4760536551475525,0.4719873070716858,0.4746168553829193,0.46760982275009155,0.4923076927661896
Race: Other,15,0.8643162250518799,0.7730158567428589,0.7756410241127014,0.7580015659332275,0.7580645084381104
Overall,16,0.6281565427780151,0.6408765316009521,0.6325757503509521,0.6299077272415161,0.6376811861991882
Gender: Female,16,0.6281565427780151,0.6408765316009521,0.6325757503509521,0.6299077272415161,0.6376811861991882
Age: <40,16,0.7175324559211731,0.7222222089767456,0.7191558480262756,0.7205311059951782,0.7361111044883728
Age: 40-50,16,0.6269841194152832,0.6255411505699158,0.6150793433189392,0.5901477932929993,0.59375
Age: 50-65,16,0.4285714030265808,0.485714316368103,0.485714316368103,0.47058823704719543,0.47058823704719543
