group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5086344480514526,0.5214637517929077,0.5195075273513794,0.5182682871818542,0.5757575631141663
Gender: Male,0,0.5086344480514526,0.5214637517929077,0.5195075273513794,0.5182682871818542,0.5757575631141663
Age: <40,0,0.3960302472114563,0.3722222149372101,0.4021739065647125,0.3826315999031067,0.5072463750839233
Age: 40-50,0,0.4969135820865631,0.5909091234207153,0.6111111044883728,0.5962733030319214,0.7111111283302307
Age: 50-65,0,0.6111111044883728,0.5540752410888672,0.5532407760620117,0.5483249425888062,0.5490196347236633
Race: White,0,0.4652777910232544,0.4652174115180969,0.4548611044883728,0.4564851224422455,0.625
Race: Black,0,1.0,0.5454545617103577,0.75,0.4166666865348816,0.523809552192688
Race: Other,0,0.5599472522735596,0.4749999940395355,0.4789196252822876,0.46891462802886963,0.5178571939468384
Overall,1,0.6470491886138916,0.6395003795623779,0.6309016346931458,0.6333502531051636,0.6645962595939636
Gender: Male,1,0.6470491886138916,0.6395003795623779,0.6309016346931458,0.6333502531051636,0.6645962595939636
Age: <40,1,0.534415602684021,0.5098039507865906,0.5071428418159485,0.49696969985961914,0.6024096012115479
Age: 40-50,1,0.5873016119003296,0.5277777910232544,0.5476190447807312,0.5213675498962402,0.7083333730697632
Age: 50-65,1,0.7666666507720947,0.7374999523162842,0.7374999523162842,0.7374999523162842,0.7407407760620117
Race: White,1,0.7756211161613464,0.6894257664680481,0.7100155353546143,0.695986807346344,0.7341772317886353
Race: Black,1,0.7999999523162842,0.6000000238418579,0.7333333492279053,0.4848484992980957,0.529411792755127
Race: Other,1,0.5869565010070801,0.5626477599143982,0.5548654198646545,0.5546724796295166,0.6153846383094788
Overall,2,0.6096348166465759,0.5609756112098694,0.5477855801582336,0.5400305986404419,0.5975609421730042
Gender: Male,2,0.6096348166465759,0.5609756112098694,0.5477855801582336,0.5400305986404419,0.5975609421730042
Age: <40,2,0.5448275804519653,0.4781420826911926,0.4834482669830322,0.4700019359588623,0.5569620132446289
Age: 40-50,2,0.6178571581840515,0.6915708780288696,0.6785714626312256,0.6842105388641357,0.7631579041481018
Age: 50-65,2,0.6886447072029114,0.5638527870178223,0.5540293455123901,0.5212962627410889,0.5319148898124695
Race: White,2,0.5740740299224854,0.42369726300239563,0.44576719403266907,0.42951318621635437,0.6000000238418579
Race: Black,2,0.8999999761581421,0.5833333134651184,0.6666666865348816,0.3928571343421936,0.4117647111415863
Race: Other,2,0.6776262521743774,0.6193434000015259,0.6078588962554932,0.6086956262588501,0.6388888955116272
Overall,3,0.6586956977844238,0.6298395395278931,0.6078985333442688,0.6062441468238831,0.6449704170227051
Gender: Male,3,0.6586956977844238,0.6298395395278931,0.6078985333442688,0.6062441468238831,0.6449704170227051
Age: <40,3,0.547863245010376,0.5151991844177246,0.5123931765556335,0.5060297250747681,0.577464759349823
Age: 40-50,3,0.75,0.7817460298538208,0.7275640964508057,0.7412587404251099,0.7837837934494019
Age: 50-65,3,0.725806474685669,0.6548780202865601,0.6365591287612915,0.6272221803665161,0.6393442153930664
Race: White,3,0.75,0.5863787531852722,0.5764706134796143,0.5790905356407166,0.6666666865348816
Race: Black,3,0.8695652484893799,0.6333333253860474,0.760869562625885,0.553383469581604,0.5925925970077515
Race: Other,3,0.6126847267150879,0.589657723903656,0.5741994976997375,0.574999988079071,0.6470588445663452
Overall,4,0.5685735940933228,0.6004053354263306,0.5831426382064819,0.5781996250152588,0.6158536076545715
Gender: Male,4,0.5685735940933228,0.6004053354263306,0.5831426382064819,0.5781996250152588,0.6158536076545715
Age: <40,4,0.519872784614563,0.46867167949676514,0.4801271855831146,0.4335106313228607,0.49295774102211
Age: 40-50,4,0.5173745155334473,0.5396825671195984,0.5482625365257263,0.5416666269302368,0.7272727489471436
Age: 50-65,4,0.680272102355957,0.6989966630935669,0.7023809552192688,0.6933667063713074,0.6938775181770325
Race: White,4,0.6100000143051147,0.5881272554397583,0.6200000047683716,0.5913978815078735,0.6935483813285828
Race: Black,4,0.824561357498169,0.6153846383094788,0.7368420958518982,0.5089285373687744,0.5454545617103577
Race: Other,4,0.5802004933357239,0.5878136157989502,0.5614035129547119,0.5329670310020447,0.574999988079071
Overall,5,0.5845562219619751,0.565855860710144,0.5638539791107178,0.5646140575408936,0.6211180090904236
Gender: Male,5,0.5845562219619751,0.565855860710144,0.5638539791107178,0.5646140575408936,0.6211180090904236
Age: <40,5,0.3139393925666809,0.44212964177131653,0.43939393758773804,0.4406629204750061,0.6142857074737549
Age: 40-50,5,0.5266666412353516,0.47863247990608215,0.46666666865348816,0.4642857015132904,0.6571428775787354
Age: 50-65,5,0.7180501222610474,0.6180645227432251,0.6205533742904663,0.6066411137580872,0.6071428656578064
Race: White,5,0.6900584697723389,0.6065062284469604,0.6164717674255371,0.6099883913993835,0.6849315166473389
Race: Black,5,0.9230769276618958,0.5909091234207153,0.6538461446762085,0.3891402781009674,0.40000003576278687
Race: Other,5,0.5750916004180908,0.5340136289596558,0.5366300344467163,0.5342134237289429,0.602739691734314
Overall,6,0.6366696357727051,0.5530907511711121,0.5467514991760254,0.5442988872528076,0.5857987999916077
Gender: Male,6,0.6366696357727051,0.5530907511711121,0.5467514991760254,0.5442988872528076,0.5857987999916077
Age: <40,6,0.5722049474716187,0.4571678340435028,0.46195653080940247,0.45632654428482056,0.5135135054588318
Age: 40-50,6,0.6424731016159058,0.5343137383460999,0.5282257795333862,0.5274725556373596,0.6511628031730652
Age: 50-65,6,0.687407374382019,0.6468750238418579,0.6392592191696167,0.631205677986145,0.634615421295166
Race: White,6,0.6576246023178101,0.512881338596344,0.5139296054840088,0.5125725269317627,0.6071428656578064
