group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.49816346168518066,0.526938796043396,0.5303030014038086,0.5125196576118469,0.5252525210380554
Gender: Male,0,0.5218750238418579,0.5430107712745667,0.5458333492279053,0.5377334952354431,0.546875
Gender: Female,0,0.5213675498962402,0.5065789222717285,0.5085470080375671,0.4642857313156128,0.48571428656578064
Age: 50-65,0,0.49816346168518066,0.526938796043396,0.5303030014038086,0.5125196576118469,0.5252525210380554
Race: White,0,0.4196428656578064,0.516775369644165,0.5178571343421936,0.49711382389068604,0.5
Race: Other,0,0.6166666746139526,0.5075757503509521,0.512499988079071,0.4821428656578064,0.5862069129943848
Overall,1,0.5563101172447205,0.4765795171260834,0.47566497325897217,0.4755370616912842,0.5113636255264282
Gender: Male,1,0.6471428871154785,0.5708333253860474,0.5607143044471741,0.5600000023841858,0.6181818246841431
Gender: Female,1,0.4586777091026306,0.3552631735801697,0.34090909361839294,0.32777780294418335,0.3333333432674408
Age: 50-65,1,0.5563101172447205,0.4765795171260834,0.47566497325897217,0.4755370616912842,0.5113636255264282
Race: White,1,0.4605262875556946,0.4636363685131073,0.4548872113227844,0.44771242141723633,0.5
Race: Other,1,0.6008771657943726,0.4621211886405945,0.46710526943206787,0.45993030071258545,0.5161290168762207
Overall,2,0.567669153213501,0.5893424153327942,0.592575192451477,0.5827927589416504,0.585106372833252
Gender: Male,2,0.6597796082496643,0.6571428775787354,0.6515151262283325,0.6533613204956055,0.6727272272109985
Gender: Female,2,0.41847825050354004,0.5068965554237366,0.5054347515106201,0.448484867811203,0.4615384638309479
Age: 50-65,2,0.567669153213501,0.5893424153327942,0.592575192451477,0.5827927589416504,0.585106372833252
Race: White,2,0.4579545557498932,0.5737179517745972,0.5784090757369995,0.546499490737915,0.5483870506286621
Race: Other,2,0.7333333492279053,0.6666666865348816,0.6499999761581421,0.649350643157959,0.6666666865348816
Overall,3,0.569161057472229,0.5125399231910706,0.5124716758728027,0.5104166269302368,0.5106382966041565
Gender: Male,3,0.7355769276618958,0.6408199667930603,0.6266025900840759,0.612403154373169,0.6200000047683716
Gender: Female,3,0.5199999809265137,0.3911764621734619,0.42210525274276733,0.3595687448978424,0.3863636553287506
Age: 50-65,3,0.569161057472229,0.5125399231910706,0.5124716758728027,0.5104166269302368,0.5106382966041565
Race: White,3,0.31313133239746094,0.3724138140678406,0.37542086839675903,0.36629119515419006,0.36734694242477417
Race: Other,3,0.7956656217575073,0.6722408533096313,0.6594427824020386,0.6571428775787354,0.6666666865348816
Overall,4,0.7192388772964478,0.6506733894348145,0.6513742208480835,0.6428199410438538,0.6428571343421936
Gender: Male,4,0.7047618627548218,0.6415883302688599,0.6433862447738647,0.6418067216873169,0.6451612710952759
Gender: Female,4,0.75,0.6890909075737,0.6625000238418579,0.6317859888076782,0.6388888955116272
Age: 50-65,4,0.7192388772964478,0.6506733894348145,0.6513742208480835,0.6428199410438538,0.6428571343421936
Race: White,4,0.5270936489105225,0.49242424964904785,0.4913793206214905,0.4744444489479065,0.4883720874786377
Race: Black,4,0.0,0.46666666865348816,0.5,0.48275861144065857,0.9333333969116211
Race: Other,4,0.7280000448226929,0.6854220032691956,0.6933333873748779,0.6875,0.699999988079071
Overall,5,0.6049149036407471,0.5543735027313232,0.554347813129425,0.5542951822280884,0.554347813129425
Gender: Male,5,0.7293906211853027,0.6571428775787354,0.6379928588867188,0.5685534477233887,0.5714285373687744
Gender: Female,5,0.6714285612106323,0.6263440847396851,0.6119047403335571,0.532608687877655,0.5348837375640869
Age: 50-65,5,0.6049149036407471,0.5543735027313232,0.554347813129425,0.5542951822280884,0.554347813129425
Race: White,5,0.47962963581085205,0.4843478202819824,0.4833333492279053,0.4734532833099365,0.4791666865348816
Race: Other,5,0.7507246732711792,0.6428571343421936,0.6391304731369019,0.6049896478652954,0.6052631735801697
Overall,6,0.5597401857376099,0.5278723239898682,0.5283550024032593,0.5245097875595093,0.5257731676101685
Gender: Male,6,0.6388888359069824,0.5827381014823914,0.5839371681213379,0.5591953992843628,0.5593220591545105
Gender: Female,6,0.4819944500923157,0.47246378660202026,0.4736841917037964,0.46778714656829834,0.4736842215061188
Age: 50-65,6,0.5597401857376099,0.5278723239898682,0.5283550024032593,0.5245097875595093,0.5257731676101685
Race: White,6,0.3986014127731323,0.3888888955116272,0.3898601531982422,0.38920581340789795,0.3958333432674408
Race: Black,6,0.0,0.4166666567325592,0.4545454680919647,0.43478259444236755,0.7692307829856873
Race: Other,6,0.6461038589477539,0.6428571343421936,0.6428571343421936,0.6111111044883728,0.6111111044883728
Overall,7,0.6348683834075928,0.5775861740112305,0.576127827167511,0.5765765905380249,0.5957446694374084
Gender: Male,7,0.6920289993286133,0.5980392694473267,0.5845410823822021,0.5839743614196777,0.6271186470985413
Gender: Female,7,0.5399999618530273,0.5493420958518982,0.550000011920929,0.5424836874008179,0.5428571701049805
Age: 50-65,7,0.6348683834075928,0.5775861740112305,0.576127827167511,0.5765765905380249,0.5957446694374084
Race: White,7,0.606249988079071,0.5855263471603394,0.5947916507720947,0.5852941274642944,0.6170212626457214
Race: Other,7,0.6425120830535889,0.5431034564971924,0.5362318754196167,0.5269230604171753,0.5609756112098694
Overall,8,0.5387499928474426,0.4663792848587036,0.4675000011920929,0.4638047218322754,0.4693877398967743
Gender: Male,8,0.813043475151062,0.6189024448394775,0.584782600402832,0.5267857313156128,0.5471698045730591
Gender: Female,8,0.35185185074806213,0.3960084021091461,0.39814814925193787,0.37747037410736084,0.3777777850627899
Age: 50-65,8,0.5387499928474426,0.4663792848587036,0.4675000011920929,0.4638047218322754,0.4693877398967743
Race: White,8,0.463848739862442,0.4253818988800049,0.42936596274375916,0.42307692766189575,0.4333333671092987
Race: Other,8,0.6875,0.593181848526001,0.5854166746139526,0.573544979095459,0.5806451439857483
Overall,9,0.663636326789856,0.5817099809646606,0.5807486772537231,0.5811483263969421,0.6067416071891785
Gender: Male,9,0.696223258972168,0.6074560880661011,0.5804597735404968,0.5703301429748535,0.6200000047683716
Gender: Female,9,0.7514792680740356,0.60317462682724,0.6153846383094788,0.5828877091407776,0.5897436141967773
Age: 50-65,9,0.663636326789856,0.5817099809646606,0.5807486772537231,0.5811483263969421,0.6067416071891785
Race: White,9,0.4476190507411957,0.4278438091278076,0.41904765367507935,0.4206773638725281,0.47999998927116394
Race: Other,9,0.8666666746139526,0.8600000143051147,0.7666666507720947,0.7664307355880737,0.7878788113594055
Overall,10,0.5956790447235107,0.5107142925262451,0.5105820298194885,0.5104212760925293,0.5208333730697632
Gender: Male,10,0.7328571081161499,0.5894737243652344,0.572857141494751,0.5583333373069763,0.5849056839942932
Gender: Female,10,0.5067873001098633,0.45777779817581177,0.4570136070251465,0.44155845046043396,0.44186046719551086
Age: 50-65,10,0.5956790447235107,0.5107142925262451,0.5105820298194885,0.5104212760925293,0.5208333730697632
Race: White,10,0.5199999809265137,0.49166667461395264,0.49166667461395264,0.49166667461395264,0.5081967115402222
Race: Other,10,0.7016806602478027,0.5394736528396606,0.5378151535987854,0.5363247990608215,0.5483870506286621
Overall,11,0.48045453429222107,0.41898149251937866,0.42045456171035767,0.41895604133605957,0.42553189396858215
Gender: Male,11,0.5365079045295715,0.4318181872367859,0.4357143044471741,0.4097222089767456,0.4117647111415863
Gender: Female,11,0.4950738847255707,0.4458874464035034,0.43842363357543945,0.4266666769981384,0.44186046719551086
Age: 50-65,11,0.48045453429222107,0.41898149251937866,0.42045456171035767,0.41895604133605957,0.42553189396858215
Race: White,11,0.3978021740913391,0.37012988328933716,0.3681318759918213,0.3687363862991333,0.37704914808273315
Race: Other,11,0.625,0.5277777910232544,0.523809552192688,0.512499988079071,0.5384615659713745
Overall,12,0.5957239866256714,0.5682927370071411,0.5680272579193115,0.568090558052063,0.5714285969734192
Gender: Male,12,0.6271551847457886,0.5720238089561462,0.5651939511299133,0.5496308207511902,0.5573770403862
Gender: Female,12,0.7949999570846558,0.6749999523162842,0.6749999523162842,0.6000000238418579,0.6000000238418579
Age: 50-65,12,0.5957239866256714,0.5682927370071411,0.5680272579193115,0.568090558052063,0.5714285969734192
Race: White,12,0.4714285731315613,0.5489510297775269,0.550000011920929,0.5408695936203003,0.5416666865348816
Race: Other,12,0.807894766330719,0.6296296119689941,0.6105263233184814,0.5984899997711182,0.6153846383094788
Overall,13,0.4819444417953491,0.5404135584831238,0.539814829826355,0.5398601293563843,0.5531914830207825
Gender: Male,13,0.5338461399078369,0.6224696636199951,0.5930769443511963,0.5641025900840759,0.5882353186607361
Gender: Female,13,0.5,0.5411111116409302,0.5455664992332458,0.5073649883270264,0.5116279125213623
Age: 50-65,13,0.4819444417953491,0.5404135584831238,0.539814829826355,0.5398601293563843,0.5531914830207825
Race: White,13,0.469038188457489,0.5204216241836548,0.5204216241836548,0.5204216241836548,0.535714328289032
Race: Other,13,0.4920634627342224,0.5681818127632141,0.5666666626930237,0.5669606924057007,0.5833333134651184
Overall,14,0.5762238502502441,0.5283446907997131,0.5291375517845154,0.5265567898750305,0.5319148898124695
Gender: Male,14,0.6145833730697632,0.5848485231399536,0.5833333730697632,0.576296329498291,0.5769230723381042
Gender: Female,14,0.607038140296936,0.4988558292388916,0.4985337257385254,0.4564706087112427,0.4761904776096344
Age: 50-65,14,0.5762238502502441,0.5283446907997131,0.5291375517845154,0.5265567898750305,0.5319148898124695
Race: White,14,0.42580646276474,0.4464285671710968,0.44580644369125366,0.4448353052139282,0.4464285969734192
Race: Other,14,0.6988636255264282,0.5476190447807312,0.5511363744735718,0.5485635995864868,0.6333333849906921
Overall,15,0.5169752836227417,0.533088207244873,0.5324074029922485,0.5324675440788269,0.5555555820465088
Gender: Male,15,0.46166667342185974,0.535885214805603,0.5249999761581421,0.4888889193534851,0.5306122303009033
Gender: Female,15,0.6954022645950317,0.6123188138008118,0.6336206793785095,0.5762917995452881,0.5853658318519592
Age: 50-65,15,0.5169752836227417,0.533088207244873,0.5324074029922485,0.5324675440788269,0.5555555820465088
Race: White,15,0.4588744640350342,0.5110887289047241,0.511904776096344,0.5104166865348816,0.5744680762290955
Race: Other,15,0.6601307392120361,0.6159420013427734,0.6045751571655273,0.5916666984558105,0.6000000238418579
Overall,16,0.5704567432403564,0.5460975170135498,0.545918345451355,0.5459413528442383,0.5494505763053894
Gender: Male,16,0.6428571939468384,0.613003134727478,0.5965608358383179,0.5833333730697632,0.5999999642372131
Gender: Female,16,0.5492063760757446,0.5,0.5,0.4685314893722534,0.472222238779068
Age: 50-65,16,0.5704567432403564,0.5460975170135498,0.545918345451355,0.5459413528442383,0.5494505763053894
Race: White,16,0.5370370149612427,0.5763888955116272,0.5916666984558105,0.5641025900840759,0.5882353186607361
Race: Other,16,0.6899999976158142,0.5484848618507385,0.5533333420753479,0.5102941393852234,0.5135135054588318
Overall,17,0.5555555820465088,0.4467849135398865,0.4479166567325592,0.4449656307697296,0.4479166865348816
Gender: Male,17,0.5877777934074402,0.4422336220741272,0.44999998807907104,0.4308709502220154,0.45000001788139343
Gender: Female,17,0.5154320597648621,0.44155845046043396,0.444444477558136,0.4375,0.4444444477558136
Age: 50-65,17,0.5555555820465088,0.4467849135398865,0.4479166567325592,0.4449656307697296,0.4479166865348816
Race: White,17,0.430059552192688,0.38257575035095215,0.384672611951828,0.3834896981716156,0.4150943458080292
Race: Other,17,0.6412698030471802,0.4571428894996643,0.4571428894996643,0.4444444477558136,0.4444444477558136
Overall,18,0.7292453050613403,0.6459296941757202,0.6488207578659058,0.6436781883239746,0.6451612710952759
Gender: Male,18,0.8508064150810242,0.7228261232376099,0.7204301357269287,0.7213779091835022,0.7272726893424988
Gender: Female,18,0.5681818723678589,0.550595223903656,0.5482954382896423,0.5249999761581421,0.5263158082962036
Age: 50-65,18,0.7292453050613403,0.6459296941757202,0.6488207578659058,0.6436781883239746,0.6451612710952759
Race: White,18,0.6565216779708862,0.5919539928436279,0.5927536487579346,0.5847578048706055,0.5849056839942932
Race: Other,18,0.8388278484344482,0.7196969985961914,0.7124541997909546,0.7153488397598267,0.7352941036224365
Overall,19,0.5507246255874634,0.46559828519821167,0.46568626165390015,0.46386057138442993,0.4639175236225128
Gender: Male,19,0.6073415279388428,0.45095694065093994,0.45439377427101135,0.44241058826446533,0.45000001788139343
Gender: Female,19,0.4941176176071167,0.4751552939414978,0.47647058963775635,0.4726181626319885,0.4864864945411682
Age: 50-65,19,0.5507246255874634,0.46559828519821167,0.46568626165390015,0.46386057138442993,0.4639175236225128
Race: White,19,0.5029585361480713,0.5,0.5,0.49925923347473145,0.5
Race: Black,19,0.0,0.2857142984867096,0.2857142984867096,0.2857142984867096,0.4000000059604645
Race: Other,19,0.6503268480300903,0.42000001668930054,0.4346405267715454,0.4047619104385376,0.4285714328289032
