group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5633997917175293,0.4871795177459717,0.49058693647384644,0.47934916615486145,0.59375
Gender: Male,0,0.7052631378173828,0.6068376302719116,0.559808611869812,0.5595238208770752,0.7297297716140747
Gender: Female,0,0.2931275963783264,0.36089029908180237,0.3772791028022766,0.364705890417099,0.40740740299224854
Age: <40,0,0.5777777433395386,0.39411765336990356,0.44999998807907104,0.39482760429382324,0.5384615659713745
Age: 40-50,0,0.6518518924713135,0.644444465637207,0.644444465637207,0.644444465637207,0.8125
Age: 50-65,0,0.48831167817115784,0.4489329159259796,0.4564935266971588,0.44736841320991516,0.5087719559669495
Race: White,0,0.5633997917175293,0.4871795177459717,0.49058693647384644,0.47934916615486145,0.59375
Overall,1,0.5644108057022095,0.48022758960723877,0.4818395674228668,0.479891300201416,0.560606062412262
Gender: Male,1,0.774545431137085,0.5718390941619873,0.560606062412262,0.5640773773193359,0.7285714149475098
Gender: Female,1,0.29726892709732056,0.3562162220478058,0.3602941036224365,0.35742759704589844,0.3709677457809448
Age: <40,1,0.5542857646942139,0.45192307233810425,0.44285714626312256,0.4451654851436615,0.5777778029441833
Age: 40-50,1,0.5714285969734192,0.5962963104248047,0.5515872836112976,0.5134502649307251,0.59375
Age: 50-65,1,0.5204678177833557,0.4773391783237457,0.4773391783237457,0.4773391783237457,0.5272727012634277
Race: White,1,0.5644108057022095,0.48022758960723877,0.4818395674228668,0.479891300201416,0.560606062412262
Overall,2,0.6331764459609985,0.5940860509872437,0.5864706039428711,0.5878114700317383,0.6296296119689941
Gender: Male,2,0.5780074596405029,0.5113636255264282,0.5075187683105469,0.5,0.6800000071525574
Gender: Female,2,0.5305895805358887,0.5661846399307251,0.5661846399307251,0.5661846399307251,0.5666667222976685
Age: <40,2,0.2974358797073364,0.3611111044883728,0.3333333432674408,0.3466666638851166,0.5306122303009033
Age: 40-50,2,0.9414715766906738,0.8939393758773804,0.8478261232376099,0.8509343862533569,0.8571428656578064
Age: 50-65,2,0.4470587968826294,0.442307710647583,0.44705885648727417,0.43939393758773804,0.45945948362350464
Race: White,2,0.6331764459609985,0.5940860509872437,0.5864706039428711,0.5878114700317383,0.6296296119689941
Overall,3,0.6440767049789429,0.6511363983154297,0.6397426128387451,0.6430660486221313,0.6796875
Gender: Male,3,0.75,0.7425000071525574,0.6757246255874634,0.6979166269302368,0.8275861740112305
Gender: Female,3,0.5134693384170532,0.5575658082962036,0.5571428537368774,0.5563279390335083,0.5571428537368774
Age: <40,3,0.5456730127334595,0.5523648262023926,0.5372596383094788,0.5341615080833435,0.6666666865348816
Age: 40-50,3,0.8367347121238708,0.8712121248245239,0.8333333730697632,0.8444444537162781,0.8571428656578064
Age: 50-65,3,0.5874999761581421,0.5529100298881531,0.5535714626312256,0.5529933571815491,0.5625
Race: White,3,0.6440767049789429,0.6511363983154297,0.6397426128387451,0.6430660486221313,0.6796875
Overall,4,0.4982030391693115,0.504662036895752,0.503593921661377,0.491588294506073,0.5620437860488892
Gender: Male,4,0.5322741270065308,0.4921875,0.4960278272628784,0.47578346729278564,0.6805555820465088
Gender: Female,4,0.3728652894496918,0.4325000047683716,0.43595826625823975,0.42587730288505554,0.4307692348957062
Age: <40,4,0.27807486057281494,0.3513513505458832,0.38235294818878174,0.3661971688270569,0.5777778029441833
Age: 40-50,4,0.7142857313156128,0.7430555820465088,0.6973683834075928,0.6996966600418091,0.7272727489471436
Age: 50-65,4,0.4447004795074463,0.43168604373931885,0.4458525478839874,0.4201474189758301,0.4576271176338196
Race: White,4,0.4982030391693115,0.504662036895752,0.503593921661377,0.491588294506073,0.5620437860488892
Overall,5,0.48796147108078003,0.4821103811264038,0.4842161536216736,0.4810413122177124,0.572519063949585
Gender: Male,5,0.5702381134033203,0.49425286054611206,0.4988095164299011,0.4294217526912689,0.6393442153930664
Gender: Female,5,0.4548105001449585,0.4913151264190674,0.4897959232330322,0.47989511489868164,0.5142857432365417
Age: <40,5,0.5232815742492676,0.4928571283817291,0.4933481216430664,0.49282845854759216,0.6730769276618958
Age: 40-50,5,0.8645833730697632,0.7417582273483276,0.7291666269302368,0.7333333492279053,0.75
Age: 50-65,5,0.30676329135894775,0.3501400649547577,0.37077295780181885,0.3570513129234314,0.4237288236618042
Race: White,5,0.48796147108078003,0.4821103811264038,0.4842161536216736,0.4810413122177124,0.572519063949585
Overall,6,0.6143292784690857,0.5781362056732178,0.5712108016014099,0.5705799460411072,0.6014493107795715
Gender: Male,6,0.5790081024169922,0.7124999761581421,0.6176470518112183,0.6324324607849121,0.779411792755127
Gender: Female,6,0.5045492649078369,0.42506143450737,0.4243175983428955,0.4243420958518982,0.4285714328289032
Age: <40,6,0.4214285612106323,0.4623016119003296,0.4773809611797333,0.45028409361839294,0.5813953280448914
Age: 40-50,6,0.8052631616592407,0.7204301357269287,0.7157894372940063,0.7177669405937195,0.7346938848495483
Age: 50-65,6,0.4962121248245239,0.4749999940395355,0.4753788113594055,0.47428572177886963,0.47826087474823
Race: White,6,0.6143292784690857,0.5781362056732178,0.5712108016014099,0.5705799460411072,0.6014493107795715
Overall,7,0.4824497699737549,0.5088235139846802,0.5065359473228455,0.49241045117378235,0.5681818127632141
Gender: Male,7,0.5098038911819458,0.5338541865348816,0.5134158730506897,0.4886956214904785,0.699999988079071
Gender: Female,7,0.3541666865348816,0.41885966062545776,0.4229166805744171,0.4138655662536621,0.4193548262119293
Age: <40,7,0.37837839126586914,0.3927648663520813,0.42522522807121277,0.40416666865348816,0.5769230723381042
Age: 40-50,7,0.8131868243217468,0.7235294580459595,0.7087912559509277,0.7000000476837158,0.7037037014961243
