group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5065679550170898,0.5421568751335144,0.5308096408843994,0.5167409777641296,0.5833333730697632
Gender: Female,0,0.5065679550170898,0.5421568751335144,0.5308096408843994,0.5167409777641296,0.5833333730697632
Age: <40,0,0.5145888328552246,0.6643356680870056,0.6038903594017029,0.5866261124610901,0.6470588445663452
Age: 40-50,0,0.4259259104728699,0.46785712242126465,0.4722222089767456,0.46710526943206787,0.5555555820465088
Age: 50-65,0,0.5272727012634277,0.42777779698371887,0.44090908765792847,0.4261224567890167,0.4864864945411682
Race: White,0,0.2579364776611328,0.35098040103912354,0.3869047462940216,0.3631100058555603,0.4696969985961914
Race: Black,0,0.6666666269302368,0.8166666626930237,0.8166666626930237,0.8166666626930237,0.8181818723678589
Race: Other,0,0.7446236610412598,0.7222222089767456,0.6344085931777954,0.6168730854988098,0.6727272272109985
Overall,1,0.5523618459701538,0.5415157079696655,0.533199667930603,0.5067484974861145,0.5298507213592529
Gender: Female,1,0.5523618459701538,0.5415157079696655,0.533199667930603,0.5067484974861145,0.5298507213592529
Age: <40,1,0.5545946359634399,0.60326087474823,0.5821621417999268,0.522189736366272,0.5322580337524414
Age: 40-50,1,0.5526316165924072,0.5727273225784302,0.5701754689216614,0.5647059082984924,0.5675675868988037
Age: 50-65,1,0.44565218687057495,0.2931034564971924,0.3695652186870575,0.32692307233810425,0.48571428656578064
Race: White,1,0.3844444751739502,0.4350961446762085,0.45499998331069946,0.4266917109489441,0.5081967115402222
Race: Black,1,0.6904761791229248,0.612500011920929,0.6071428656578064,0.6060606241226196,0.6153846383094788
Race: Other,1,0.6412037014961243,0.6022727489471436,0.5833333134651184,0.5248869061470032,0.5333333611488342
Overall,2,0.548701286315918,0.5655555725097656,0.5510822534561157,0.5208001732826233,0.5441176295280457
Gender: Female,2,0.548701286315918,0.5655555725097656,0.5510822534561157,0.5208001732826233,0.5441176295280457
Age: <40,2,0.543859601020813,0.6813576221466064,0.6570175290107727,0.6257979273796082,0.6323529481887817
Age: 40-50,2,0.6071428656578064,0.5192307829856873,0.5089285969734192,0.4444444477558136,0.5333333611488342
Age: 50-65,2,0.46666669845581055,0.3585858643054962,0.38333335518836975,0.35876742005348206,0.3947368562221527
Race: White,2,0.38288289308547974,0.3589743673801422,0.4009009003639221,0.34005630016326904,0.3731343150138855
Race: Other,2,0.6663306951522827,0.7388888597488403,0.6950604915618896,0.6827458143234253,0.6984127163887024
Overall,3,0.5733333826065063,0.5883041024208069,0.5719047784805298,0.5644501447677612,0.6030534505844116
Gender: Female,3,0.5733333826065063,0.5883041024208069,0.5719047784805298,0.5644501447677612,0.6030534505844116
Age: <40,3,0.5342857241630554,0.6097972989082336,0.5928571224212646,0.5823639631271362,0.6037735939025879
Age: 40-50,3,0.4848484992980957,0.4791666865348816,0.4826839864253998,0.4009852409362793,0.40625
Age: 50-65,3,0.6750000715255737,0.6348038911819458,0.6527777910232544,0.6415584683418274,0.739130437374115
Race: White,3,0.4732142686843872,0.44405597448349,0.4702380895614624,0.43090537190437317,0.5657894611358643
Race: Black,3,0.2142857164144516,0.5208333730697632,0.5178571343421936,0.44999998807907104,0.4545454680919647
Race: Other,3,0.7458333373069763,0.7265795469284058,0.7166666984558105,0.7031655311584473,0.7045454978942871
Overall,4,0.5938559770584106,0.5698232650756836,0.5585805177688599,0.5161392688751221,0.5251798629760742
Gender: Female,4,0.5938559770584106,0.5698232650756836,0.5585805177688599,0.5161392688751221,0.5251798629760742
Age: <40,4,0.6585365533828735,0.6422222256660461,0.6560975313186646,0.6038961410522461,0.6065573692321777
Age: 40-50,4,0.50390625,0.45428571105003357,0.46875,0.4231176972389221,0.46875
Age: 50-65,4,0.4971644878387451,0.4243420958518982,0.45652174949645996,0.3918561637401581,0.45652174949645996
Race: White,4,0.3548387289047241,0.34068626165390015,0.40171369910240173,0.3364745080471039,0.3968254327774048
Race: Black,4,0.6530612111091614,0.7916666269302368,0.7857142686843872,0.7846153974533081,0.785714328289032
Race: Other,4,0.8176538944244385,0.6761904954910278,0.6718931198120117,0.5966693162918091,0.596774160861969
Overall,5,0.6367965340614319,0.6678951978683472,0.6331169009208679,0.6171655058860779,0.6397058963775635
Gender: Female,5,0.6367965340614319,0.6678951978683472,0.6331169009208679,0.6171655058860779,0.6397058963775635
Age: <40,5,0.688585638999939,0.7857142686843872,0.7679901123046875,0.7524813413619995,0.7543859481811523
Age: 40-50,5,0.6458333134651184,0.7124999761581421,0.601190447807312,0.5678346753120422,0.6486486792564392
Age: 50-65,5,0.46681922674179077,0.43988269567489624,0.45308923721313477,0.4296296238899231,0.4761904776096344
Race: White,5,0.5190548896789551,0.5210084319114685,0.5152438879013062,0.49316221475601196,0.5479452013969421
Race: Other,5,0.7466843128204346,0.7791666984558105,0.7221485376358032,0.6969696879386902,0.7090908885002136
Overall,6,0.6487621665000916,0.6486254334449768,0.6338417530059814,0.5733312368392944,0.5755395889282227
Gender: Female,6,0.6487621665000916,0.6486254334449768,0.6338417530059814,0.5733312368392944,0.5755395889282227
Age: <40,6,0.7092857360839844,0.6895424723625183,0.6864285469055176,0.6281440258026123,0.6282051205635071
Age: 40-50,6,0.5833333730697632,0.6145833730697632,0.6057692170143127,0.5941558480262756,0.5999999642372131
Age: 50-65,6,0.493055522441864,0.6000000238418579,0.5625,0.4285714626312256,0.4444444477558136
Race: White,6,0.42814815044403076,0.5738095045089722,0.5459259152412415,0.5047619342803955,0.5576923489570618
Race: Black,6,0.514285683631897,0.6571428775787354,0.6571428775787354,0.6571428775787354,0.6666666865348816
Race: Other,6,0.8190909624099731,0.6699999570846558,0.6931818127632141,0.5714285969734192,0.5733333230018616
Overall,7,0.5130488872528076,0.5490543842315674,0.5429784655570984,0.5303298234939575,0.5467625856399536
Gender: Female,7,0.5130488872528076,0.5490543842315674,0.5429784655570984,0.5303298234939575,0.5467625856399536
Age: <40,7,0.553552508354187,0.6447507739067078,0.6447507739067078,0.59375,0.59375
Age: 40-50,7,0.5208333134651184,0.5148147940635681,0.5083333253860474,0.47934916615486145,0.59375
Age: 50-65,7,0.4095238149166107,0.4061085879802704,0.40119045972824097,0.4027777910232544,0.44186046719551086
Race: White,7,0.30418604612350464,0.37254902720451355,0.3972093164920807,0.3799391984939575,0.47058823704719543
Race: Black,7,0.4166666865348816,0.6428571939468384,0.6458333730697632,0.6410256624221802,0.6428571939468384
Race: Other,7,0.6974025964736938,0.6547619104385376,0.6519480347633362,0.613916277885437,0.6140350699424744
Overall,8,0.550684928894043,0.5309523940086365,0.5207762718200684,0.49055159091949463,0.548872172832489
Gender: Female,8,0.550684928894043,0.5309523940086365,0.5207762718200684,0.49055159091949463,0.548872172832489
Age: <40,8,0.5795207023620605,0.6166666746139526,0.5876906514167786,0.5395582914352417,0.5573770403862
Age: 40-50,8,0.5772727727890015,0.5135869979858398,0.5113636255264282,0.5067319273948669,0.5806451439857483
Age: 50-65,8,0.41794872283935547,0.2916666567325592,0.4038461446762085,0.33870968222618103,0.5121951103210449
Race: White,8,0.3931034207344055,0.431438148021698,0.4528735876083374,0.40852129459381104,0.4576271176338196
Race: Black,8,0.48571425676345825,0.375,0.3857142925262451,0.3777777850627899,0.4166666865348816
Race: Other,8,0.7243589758872986,0.6871657967567444,0.6121795177459717,0.5955265760421753,0.6612902879714966
Overall,9,0.6012792587280273,0.5813808441162109,0.5617152452468872,0.5376016497612,0.5692307949066162
Gender: Female,9,0.6012792587280273,0.5813808441162109,0.5617152452468872,0.5376016497612,0.5692307949066162
Age: <40,9,0.6747311353683472,0.6625000238418579,0.6310483813285828,0.588994562625885,0.5999999642372131
Age: 40-50,9,0.5288461446762085,0.5476190447807312,0.5320512652397156,0.520370364189148,0.6216216087341309
Age: 50-65,9,0.5124653577804565,0.4680134654045105,0.4736842215061188,0.4492753744125366,0.4736842215061188
Race: White,9,0.39204543828964233,0.37272727489471436,0.42045456171035767,0.37828946113586426,0.48148149251937866
Race: Black,9,0.5,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
Race: Other,9,0.770443320274353,0.6883604526519775,0.6482758522033691,0.6113360524177551,0.625
Overall,10,0.5575892925262451,0.624403715133667,0.5756696462631226,0.5373799204826355,0.5895522236824036
Gender: Female,10,0.5575892925262451,0.624403715133667,0.5756696462631226,0.5373799204826355,0.5895522236824036
Age: <40,10,0.7233201265335083,0.7804877758026123,0.7272727489471436,0.671875,0.6785714626312256
Age: 40-50,10,0.5047022104263306,0.34285715222358704,0.4137931168079376,0.375,0.6000000238418579
Age: 50-65,10,0.3055555820465088,0.4272727370262146,0.46666666865348816,0.3741176724433899,0.44736841320991516
Race: White,10,0.36274510622024536,0.5363984704017639,0.5169340372085571,0.44513458013534546,0.5223880410194397
Race: Other,10,0.7361904382705688,0.6913264989852905,0.6428571343421936,0.6299171447753906,0.6615384817123413
Overall,11,0.5842936635017395,0.5595238208770752,0.5309432148933411,0.4599856734275818,0.5182482004165649
Gender: Female,11,0.5842936635017395,0.5595238208770752,0.5309432148933411,0.4599856734275818,0.5182482004165649
Age: <40,11,0.6114583611488342,0.7180293798446655,0.6083333492279053,0.5445195436477661,0.596774160861969
Age: 40-50,11,0.5428571701049805,0.41129031777381897,0.43714284896850586,0.34343433380126953,0.3589743673801422
Age: 50-65,11,0.4253246784210205,0.421875,0.4675324857234955,0.40740740299224854,0.5555555820465088
Race: White,11,0.5261437892913818,0.4682539701461792,0.48856210708618164,0.396403044462204,0.5
Race: Black,11,0.5,0.5416666269302368,0.5625,0.523809552192688,0.6000000238418579
Race: Other,11,0.701298713684082,0.6734042167663574,0.6058441400527954,0.5043478012084961,0.5263158082962036
Overall,12,0.626099705696106,0.5829709768295288,0.5479681491851807,0.5117490291595459,0.5827338099479675
Gender: Female,12,0.626099705696106,0.5829709768295288,0.5479681491851807,0.5117490291595459,0.5827338099479675
Age: <40,12,0.6645021438598633,0.7338435649871826,0.648809552192688,0.5950937867164612,0.6229507923126221
Age: 40-50,12,0.6408730149269104,0.49013158679008484,0.4940476417541504,0.46386945247650146,0.5652173757553101
Age: 50-65,12,0.4458874464035034,0.3035714328289032,0.4047619104385376,0.3469387888908386,0.53125
Race: White,12,0.46236562728881836,0.4530046284198761,0.47477254271507263,0.4217686951160431,0.5142857432365417
Race: Other,12,0.8477822542190552,0.7526223659515381,0.6456652879714966,0.6071428656578064,0.6507936716079712
Overall,13,0.4968140125274658,0.4529702961444855,0.4602748155593872,0.4222654700279236,0.4335664212703705
Gender: Female,13,0.4968140125274658,0.4529702961444855,0.4602748155593872,0.4222654700279236,0.4335664212703705
Age: <40,13,0.5263158082962036,0.5342105031013489,0.5342105031013489,0.48275861144065857,0.48275861144065857
Age: 40-50,13,0.7409090995788574,0.5923076868057251,0.5545454621315002,0.430270254611969,0.4516128897666931
Age: 50-65,13,0.3576437830924988,0.317965030670166,0.3394109606742859,0.32499998807907104,0.37037038803100586
Race: White,13,0.3602564334869385,0.28389155864715576,0.3262820541858673,0.29237788915634155,0.3291139304637909
Race: Black,13,0.3214285671710968,0.3928571343421936,0.3928571343421936,0.3636363744735718,0.3636363744735718
Race: Other,13,0.720634937286377,0.6984797120094299,0.6865079402923584,0.6032085418701172,0.6037735939025879
Overall,14,0.5607364773750305,0.5654649138450623,0.5494978427886963,0.541622519493103,0.6090225577354431
Gender: Female,14,0.5607364773750305,0.5654649138450623,0.5494978427886963,0.541622519493103,0.6090225577354431
Age: <40,14,0.602150559425354,0.5905923843383789,0.5698924660682678,0.557748556137085,0.5999999642372131
Age: 40-50,14,0.48376625776290894,0.5076923370361328,0.5064935088157654,0.5,0.5555555820465088
Age: 50-65,14,0.5225464105606079,0.5714285969734192,0.546419084072113,0.5406249761581421,0.6666666865348816
Race: White,14,0.36000001430511475,0.42966753244400024,0.4421052634716034,0.4285714328289032,0.4920635223388672
Race: Other,14,0.7350427508354187,0.7490565776824951,0.6410256624221802,0.6374680399894714,0.7142857313156128
Overall,15,0.5832167863845825,0.6209742426872253,0.570046603679657,0.5208986401557922,0.572519063949585
Gender: Female,15,0.5832167863845825,0.6209742426872253,0.570046603679657,0.5208986401557922,0.572519063949585
Age: <40,15,0.6210317611694336,0.6885026693344116,0.6398809552192688,0.6025974154472351,0.6222222447395325
Age: 40-50,15,0.5884615182876587,0.5648148059844971,0.5403846502304077,0.5195968151092529,0.6060606241226196
Age: 50-65,15,0.5414285659790039,0.5780141949653625,0.5314285755157471,0.43709149956703186,0.5094339847564697
Race: White,15,0.29214560985565186,0.442307710647583,0.46264368295669556,0.3940539062023163,0.4307692348957062
Race: Other,15,0.8258546590805054,0.8333333730697632,0.6538461446762085,0.6352941393852234,0.7096773982048035
Overall,16,0.5553451180458069,0.5973095297813416,0.5814393758773804,0.5579564571380615,0.5724637508392334
Gender: Female,16,0.5553451180458069,0.5973095297813416,0.5814393758773804,0.5579564571380615,0.5724637508392334
Age: <40,16,0.6047078371047974,0.6354166865348816,0.6266233921051025,0.5820433497428894,0.5833333134651184
Age: 40-50,16,0.591269850730896,0.6166666746139526,0.6111111044883728,0.6113360524177551,0.625
Age: 50-65,16,0.28928571939468384,0.3758620619773865,0.4357143044471741,0.3791621923446655,0.5
Race: White,16,0.3321428596973419,0.420634925365448,0.4464285671710968,0.4143870174884796,0.5
Race: Black,16,0.4375,0.5625,0.5625,0.5625,0.5714285969734192
Race: Other,16,0.7967836856842041,0.7190476059913635,0.7353801131248474,0.659737765789032,0.660714328289032
Overall,17,0.578201174736023,0.5417183637619019,0.5297961831092834,0.5053737163543701,0.555555522441864
Gender: Female,17,0.578201174736023,0.5417183637619019,0.5297961831092834,0.5053737163543701,0.555555522441864
Age: <40,17,0.5881006717681885,0.6418269276618958,0.6012585759162903,0.5114609003067017,0.5245901346206665
Age: 40-50,17,0.6095237731933594,0.510869562625885,0.5071428418159485,0.46578946709632874,0.517241358757019
Age: 50-65,17,0.6265431642532349,0.47727274894714355,0.4722222089767456,0.47204968333244324,0.6222222447395325
Race: White,17,0.41458332538604736,0.3857142925262451,0.4124999940395355,0.3915298283100128,0.484375
Race: Black,17,0.3333333134651184,0.75,0.6666666865348816,0.5833333730697632,0.6000000238418579
Race: Other,17,0.7311828136444092,0.680091142654419,0.6274193525314331,0.5950937867164612,0.6229507923126221
Overall,18,0.6641851663589478,0.6828840970993042,0.6365190744400024,0.6130750775337219,0.6382978558540344
Gender: Female,18,0.6641851663589478,0.6828840970993042,0.6365190744400024,0.6130750775337219,0.6382978558540344
Age: <40,18,0.62678062915802,0.7250000238418579,0.6762820482254028,0.6507729291915894,0.6666666865348816
Age: 40-50,18,0.5423280000686646,0.5681818127632141,0.5555555820465088,0.523097813129425,0.5384615659713745
Age: 50-65,18,0.8058823347091675,0.7228261232376099,0.6205882430076599,0.6142857074737549,0.7037037014961243
Race: White,18,0.6069295406341553,0.679347813129425,0.6182795763015747,0.5944055914878845,0.6379310488700867
Race: Black,18,0.4333333373069763,0.5952380895614624,0.6333333253860474,0.5751634240150452,0.6153846383094788
Race: Other,18,0.7900000214576721,0.7441731691360474,0.6833333373069763,0.630099356174469,0.6428571343421936
Overall,19,0.5643835663795471,0.5278472900390625,0.5221668481826782,0.5091165900230408,0.5546875
Gender: Female,19,0.5643835663795471,0.5278472900390625,0.5221668481826782,0.5091165900230408,0.5546875
Age: <40,19,0.7229437828063965,0.7446540594100952,0.6683982610702515,0.6458333730697632,0.6764705777168274
Age: 40-50,19,0.23529410362243652,0.23529411852359772,0.23529411852359772,0.23529411852359772,0.3076923191547394
Age: 50-65,19,0.4871794879436493,0.4416666626930237,0.44871795177459717,0.44154590368270874,0.5
Race: White,19,0.3999999761581421,0.39423078298568726,0.4214285612106323,0.395256906747818,0.47058823704719543
Race: Black,19,0.4166666865348816,0.6166666746139526,0.6458333730697632,0.6071428656578064,0.6363636255264282
Race: Other,19,0.8116666674613953,0.69017094373703,0.6483333110809326,0.6309260129928589,0.6530612111091614
Overall,20,0.5398505926132202,0.5881868600845337,0.5666251182556152,0.5306100249290466,0.5539568662643433
Gender: Female,20,0.5398505926132202,0.5881868600845337,0.5666251182556152,0.5306100249290466,0.5539568662643433
Age: <40,20,0.5247058868408203,0.6736694574356079,0.6458823680877686,0.6028680205345154,0.6101694703102112
Age: 40-50,20,0.5666667222976685,0.4722222089767456,0.4833333492279053,0.4107142984867096,0.4545454680919647
Age: 50-65,20,0.49267399311065674,0.5357142686843872,0.5274725556373596,0.509687066078186,0.5531914830207825
Race: White,20,0.37837839126586914,0.41258740425109863,0.45668745040893555,0.3741176724433899,0.44736841320991516
Race: Black,20,0.48000001907348633,0.6785714626312256,0.7000000476837158,0.6606335043907166,0.6666666865348816
Race: Other,20,0.7552083730697632,0.7049335837364197,0.6875,0.6807095408439636,0.6875
Overall,21,0.625,0.6750916242599487,0.6114739179611206,0.5768733620643616,0.6183205842971802
Gender: Female,21,0.625,0.6750916242599487,0.6114739179611206,0.5768733620643616,0.6183205842971802
Age: <40,21,0.6459695100784302,0.7660427689552307,0.7167755961418152,0.6799226999282837,0.6885245442390442
Age: 40-50,21,0.6883116960525513,0.6225806474685669,0.5616883039474487,0.5352532267570496,0.6388888955116272
Age: 50-65,21,0.4340277910232544,0.375,0.4479166567325592,0.36250001192092896,0.47058823704719543
Race: White,21,0.4236453175544739,0.5149051547050476,0.5090312361717224,0.4761905074119568,0.5600000023841858
Race: Black,21,0.75,0.8999999761581421,0.8571428656578064,0.8611111044883728,0.8666667342185974
Race: Other,21,0.7416666746139526,0.7268518209457397,0.6361110806465149,0.574404776096344,0.6060606241226196
Overall,22,0.5580220222473145,0.6290761232376099,0.5730769038200378,0.5279720425605774,0.585185170173645
Gender: Female,22,0.5580220222473145,0.6290761232376099,0.5730769038200378,0.5279720425605774,0.585185170173645
Age: <40,22,0.5731292963027954,0.686965823173523,0.648809552192688,0.6016260385513306,0.6122449040412903
Age: 40-50,22,0.5055555105209351,0.6235294342041016,0.5583333373069763,0.5293103456497192,0.6410256624221802
Age: 50-65,22,0.5018181800842285,0.46190476417541504,0.4854545593261719,0.40243226289749146,0.5106382966041565
Race: White,22,0.4571428894996643,0.523809552192688,0.5104247331619263,0.4250221848487854,0.5
Race: Other,22,0.7209876775741577,0.7277777791023254,0.6518518328666687,0.6297435760498047,0.6666666865348816
Overall,23,0.6194911003112793,0.6650197505950928,0.5948432683944702,0.559116005897522,0.6165413856506348
Gender: Female,23,0.6194911003112793,0.6650197505950928,0.5948432683944702,0.559116005897522,0.6165413856506348
Age: <40,23,0.6038461923599243,0.6254901885986328,0.5923076868057251,0.516883134841919,0.5303030610084534
Age: 40-50,23,0.5,0.5961538553237915,0.550000011920929,0.5341615080833435,0.6666666865348816
Age: 50-65,23,0.690000057220459,0.7386363744735718,0.6050000190734863,0.6012930870056152,0.7297297716140747
Race: White,23,0.4661654233932495,0.5801886916160583,0.5319548845291138,0.49572649598121643,0.6440678238868713
