group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6437479853630066,0.625,0.6259194016456604,0.625433087348938,0.6545454263687134
Gender: Male,0,0.6437479853630066,0.625,0.6259194016456604,0.625433087348938,0.6545454263687134
Age: <40,0,0.6947070360183716,0.70652174949646,0.70652174949646,0.70652174949646,0.739130437374115
Age: 40-50,0,0.5709877014160156,0.550000011920929,0.5694444179534912,0.5454545617103577,0.644444465637207
Age: 50-65,0,0.5601851940155029,0.5540752410888672,0.5532407760620117,0.5483249425888062,0.5490196347236633
Race: White,0,0.5659722089767456,0.5347394347190857,0.5486111044883728,0.5309168696403503,0.6590909361839294
Race: Black,0,0.7999999523162842,0.4722222089767456,0.42500001192092896,0.44736841320991516,0.8095238208770752
Race: Other,0,0.5243741869926453,0.5625,0.552700936794281,0.5475939512252808,0.5892857313156128
Overall,1,0.7045902013778687,0.6312171816825867,0.639262318611145,0.6231273412704468,0.6273292303085327
Gender: Male,1,0.7045902013778687,0.6312171816825867,0.639262318611145,0.6231273412704468,0.6273292303085327
Age: <40,1,0.7071428298950195,0.6896853446960449,0.711363673210144,0.6871702075004578,0.6987951397895813
Age: 40-50,1,0.523809552192688,0.47857144474983215,0.4523809552192688,0.4197802245616913,0.5416666865348816
Age: 50-65,1,0.6875,0.5441176891326904,0.5416666865348816,0.5397727489471436,0.5555555820465088
Race: White,1,0.7135093212127686,0.5998074412345886,0.6207298040390015,0.5861078500747681,0.6075949668884277
Race: Black,1,0.6000000238418579,0.4375,0.46666666865348816,0.4516128897666931,0.8235294222831726
Race: Other,1,0.6231883764266968,0.5852490663528442,0.5921325087547302,0.5833333730697632,0.6000000238418579
Overall,2,0.599689245223999,0.5331807732582092,0.5337995290756226,0.5331589579582214,0.5487804412841797
Gender: Male,2,0.599689245223999,0.5331807732582092,0.5337995290756226,0.5331589579582214,0.5487804412841797
Age: <40,2,0.6027586460113525,0.5476190447807312,0.5468965768814087,0.5471599698066711,0.5822784900665283
Age: 40-50,2,0.6285713911056519,0.5,0.5,0.47028613090515137,0.5
Age: 50-65,2,0.5677655935287476,0.535454511642456,0.5357142686843872,0.5317028760910034,0.5319148898124695
Race: White,2,0.658730149269104,0.6047008633613586,0.6296296119689941,0.5897000432014465,0.6133333444595337
Race: Black,2,0.30000001192092896,0.40909090638160706,0.30000001192092896,0.3461538553237915,0.529411792755127
Race: Other,2,0.5501202940940857,0.43909090757369995,0.44627106189727783,0.43833017349243164,0.4861111044883728
Overall,3,0.6160869598388672,0.5530557632446289,0.5548550486564636,0.547619104385376,0.550295889377594
Gender: Male,3,0.6160869598388672,0.5530557632446289,0.5548550486564636,0.547619104385376,0.550295889377594
Age: <40,3,0.6401709318161011,0.5878260731697083,0.5863248109817505,0.5869424939155579,0.6197183132171631
Age: 40-50,3,0.5608974695205688,0.49852943420410156,0.49839746952056885,0.48041391372680664,0.4864864945411682
Age: 50-65,3,0.625806450843811,0.5131579041481018,0.5112903118133545,0.49166667461395264,0.5081967115402222
Race: White,3,0.7058823108673096,0.5973945260047913,0.6154412031173706,0.5681818127632141,0.5789473652839661
Race: Black,3,0.18478259444236755,0.4047619104385376,0.3695652186870575,0.3863636255264282,0.6296296119689941
Race: Other,3,0.5264778137207031,0.477142870426178,0.4753694534301758,0.47376179695129395,0.5058823823928833
Overall,4,0.5928299427032471,0.5663264989852905,0.5654462575912476,0.5656879544258118,0.5792682766914368
Gender: Male,4,0.5928299427032471,0.5663264989852905,0.5654462575912476,0.5656879544258118,0.5792682766914368
Age: <40,4,0.6979332566261292,0.6733155846595764,0.6554054021835327,0.6502463221549988,0.6619718074798584
Age: 40-50,4,0.37837839126586914,0.4389233887195587,0.3861004114151001,0.37142857909202576,0.4545454680919647
Age: 50-65,4,0.6241496801376343,0.5833333730697632,0.5833333730697632,0.5714285969734192,0.5714285373687744
Race: White,4,0.6183333396911621,0.5785714387893677,0.6100000143051147,0.5788043737411499,0.6774193048477173
Race: Black,4,0.28070175647735596,0.4166666567325592,0.3947368562221527,0.4054054021835327,0.6818181872367859
Race: Other,4,0.5112781524658203,0.4642857313156128,0.4674185514450073,0.4584139287471771,0.4749999940395355
Overall,5,0.6245632171630859,0.5661198496818542,0.5690076947212219,0.5669271349906921,0.6086956858634949
Gender: Male,5,0.6245632171630859,0.5661198496818542,0.5690076947212219,0.5669271349906921,0.6086956858634949
Age: <40,5,0.6254545450210571,0.5757575631141663,0.5757575631141663,0.5757575631141663,0.7142857313156128
Age: 40-50,5,0.5,0.47549018263816833,0.44999998807907104,0.40340909361839294,0.48571428656578064
Age: 50-65,5,0.5757575631141663,0.5602564215660095,0.5619235634803772,0.5522865056991577,0.5535714626312256
Race: White,5,0.7631579637527466,0.6273912787437439,0.6427875757217407,0.6323260068893433,0.698630154132843
Race: Black,5,0.307692289352417,0.4000000059604645,0.3076923191547394,0.3478260934352875,0.5333333611488342
Race: Other,5,0.4642857313156128,0.4637500047683716,0.4601648449897766,0.46043479442596436,0.534246563911438
Overall,6,0.6204272508621216,0.5528846383094788,0.5523119568824768,0.55251544713974,0.5739644765853882
Gender: Male,6,0.6204272508621216,0.5528846383094788,0.5523119568824768,0.55251544713974,0.5739644765853882
Age: <40,6,0.5799689292907715,0.509377658367157,0.5085403919219971,0.5063675045967102,0.5540540814399719
Age: 40-50,6,0.5940860509872437,0.5049260854721069,0.5053763389587402,0.5038461685180664,0.5813953280448914
