group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6056014895439148,0.45258620381355286,0.47727274894714355,0.32307693362236023,0.35353535413742065
Gender: Male,0,0.6031249761581421,0.4285714328289032,0.46666666865348816,0.3333333432674408,0.375
Gender: Female,0,0.6752136945724487,0.5040322542190552,0.502136766910553,0.30000001192092896,0.3142857253551483
Age: 50-65,0,0.6056014895439148,0.45258620381355286,0.47727274894714355,0.32307693362236023,0.35353535413742065
Race: White,0,0.5505952835083008,0.35129308700561523,0.4315476417541504,0.291707307100296,0.3333333432674408
Race: Other,0,0.6833333969116211,0.6000000238418579,0.5833333134651184,0.3095238208770752,0.3103448152542114
Overall,1,0.4991511106491089,0.41447368264198303,0.45585739612579346,0.32060137391090393,0.35227274894714355
Gender: Male,1,0.5514285564422607,0.4516908526420593,0.4714285731315613,0.35606062412261963,0.38181817531585693
Gender: Female,1,0.39256197214126587,0.3166666626930237,0.4318181872367859,0.25951218605041504,0.3030303120613098
Age: 50-65,1,0.4991511106491089,0.41447368264198303,0.45585739612579346,0.32060137391090393,0.35227274894714355
Race: White,1,0.31954890489578247,0.2395833432674408,0.4060150384902954,0.20122887194156647,0.23076924681663513
Race: Other,1,0.6842105388641357,0.508152186870575,0.5065789222717285,0.4423280358314514,0.4516128897666931
Overall,2,0.6564849615097046,0.5392156839370728,0.5140977501869202,0.37686052918434143,0.43617019057273865
Gender: Male,2,0.7493113279342651,0.5374149680137634,0.5151515007019043,0.38425424695014954,0.4363636374473572
Gender: Female,2,0.5543478727340698,0.5416666865348816,0.51222825050354,0.36538460850715637,0.43589743971824646
Age: 50-65,2,0.6564849615097046,0.5392156839370728,0.5140977501869202,0.37686052918434143,0.43617019057273865
Race: White,2,0.538636326789856,0.36666667461395264,0.45681819319725037,0.28495079278945923,0.33870965242385864
Race: Other,2,0.8944444060325623,0.760869562625885,0.6333333253860474,0.553383469581604,0.5925925970077515
Overall,3,0.6630386114120483,0.6310975551605225,0.5585033893585205,0.4782496392726898,0.542553186416626
Gender: Male,3,0.7852563858032227,0.5666667222976685,0.5240384340286255,0.441476434469223,0.5399999618530273
Gender: Female,3,0.5831578969955444,0.6718146800994873,0.593684196472168,0.5089285373687744,0.5454545617103577
Age: 50-65,3,0.6630386114120483,0.6310975551605225,0.5585033893585205,0.4782496392726898,0.542553186416626
Race: White,3,0.6111111640930176,0.6189024448394775,0.5656566023826599,0.4888889193534851,0.5306122303009033
Race: Other,3,0.792569637298584,0.625,0.5495356321334839,0.4569653868675232,0.5277777910232544
Overall,4,0.6934460401535034,0.4102272689342499,0.46659618616104126,0.34398120641708374,0.41836732625961304
Gender: Male,4,0.6613756418228149,0.39120370149612427,0.4502645432949066,0.34137237071990967,0.40322577953338623
Gender: Female,4,0.7281249761581421,0.47058823704719543,0.4937500059604645,0.3454545736312866,0.4444444477558136
Age: 50-65,4,0.6934460401535034,0.4102272689342499,0.46659618616104126,0.34398120641708374,0.41836732625961304
Race: White,4,0.47783249616622925,0.20495495200157166,0.33866995573043823,0.2050420194864273,0.23255813121795654
Race: Black,4,0.7142857313156128,0.46666666865348816,0.5,0.48275861144065857,0.9333333969116211
Race: Other,4,0.7946666479110718,0.5694444179534912,0.5266666412353516,0.3779580891132355,0.42500001192092896
Overall,5,0.6063326597213745,0.4225589334964752,0.4673912823200226,0.37726205587387085,0.46739131212234497
Gender: Male,5,0.7508960962295532,0.4791666865348816,0.4865591526031494,0.46322378516197205,0.5714285373687744
Gender: Female,5,0.5642857551574707,0.42073172330856323,0.48452380299568176,0.28333333134651184,0.3488371968269348
Age: 50-65,5,0.6063326597213745,0.4225589334964752,0.4673912823200226,0.37726205587387085,0.46739131212234497
Race: White,5,0.37222224473953247,0.2380952537059784,0.3777777850627899,0.24444444477558136,0.2916666865348816
Race: Other,5,0.8666666746139526,0.6181818246841431,0.5565217733383179,0.5249999761581421,0.6315789222717285
Overall,6,0.6489177942276001,0.45567986369132996,0.47770562767982483,0.4226190447807312,0.5257731676101685
Gender: Male,6,0.8128019571304321,0.563725471496582,0.5314009785652161,0.49684834480285645,0.6101694703102112
Gender: Female,6,0.4515235424041748,0.3020833432674408,0.3947368264198303,0.3145098090171814,0.3947368562221527
Age: 50-65,6,0.6489177942276001,0.45567986369132996,0.47770562767982483,0.4226190447807312,0.5257731676101685
Race: White,6,0.46153849363327026,0.25,0.3601398766040802,0.2713472545146942,0.3333333432674408
Race: Black,6,0.8181818127632141,0.42307692766189575,0.5,0.4583333432674408,0.8461538553237915
Race: Other,6,0.7954545021057129,0.6666666865348816,0.5974026322364807,0.5846154093742371,0.6666666865348816
Overall,7,0.6165413856506348,0.5406504273414612,0.518796980381012,0.4009803831577301,0.44680848717689514
Gender: Male,7,0.6727052927017212,0.5333333611488342,0.5181159377098083,0.4073059558868408,0.4406779706478119
Gender: Female,7,0.5466666221618652,0.5520833730697632,0.5166666507720947,0.3848288655281067,0.4571428596973419
Age: 50-65,7,0.6165413856506348,0.5406504273414612,0.518796980381012,0.4009803831577301,0.44680848717689514
Race: White,7,0.4833333492279053,0.4011628031730652,0.4645833373069763,0.27969348430633545,0.3191489279270172
Race: Other,7,0.7318840622901917,0.6174242496490479,0.5748792290687561,0.5072739124298096,0.5365853309631348
Overall,8,0.5216666460037231,0.2945701479911804,0.40541666746139526,0.30994153022766113,0.3979591727256775
Gender: Male,8,0.6739130020141602,0.372474730014801,0.4268115758895874,0.37331080436706543,0.4716981053352356
Gender: Female,8,0.3786008358001709,0.17073170840740204,0.3888888955116272,0.23728813230991364,0.31111112236976624
Age: 50-65,8,0.5216666460037231,0.2945701479911804,0.40541666746139526,0.30994153022766113,0.3979591727256775
Race: White,8,0.49944382905960083,0.2075471729040146,0.37931033968925476,0.26829269528388977,0.36666667461395264
Race: Other,8,0.6208333969116211,0.40666666626930237,0.4416666626930237,0.387921005487442,0.4516128897666931
Overall,9,0.6272727251052856,0.47238096594810486,0.4844919741153717,0.37282276153564453,0.40449437499046326
Gender: Male,9,0.6059113144874573,0.44999998807907104,0.4671592712402344,0.39050018787384033,0.41999998688697815
Gender: Female,9,0.6834319829940796,0.5464285612106323,0.5192307829856873,0.3499999940395355,0.38461539149284363
Age: 50-65,9,0.6272727251052856,0.47238096594810486,0.4844919741153717,0.37282276153564453,0.40449437499046326
Race: White,9,0.4838095009326935,0.306547611951828,0.3761904835700989,0.2452060431241989,0.25999999046325684
Race: Other,9,0.8666666746139526,0.6759259104728699,0.605555534362793,0.5416666865348816,0.575757622718811
Overall,10,0.540123462677002,0.3214285671710968,0.420634925365448,0.30735933780670166,0.375
Gender: Male,10,0.5771428346633911,0.38257575035095215,0.4335714280605316,0.3564434051513672,0.4150943458080292
Gender: Female,10,0.5090497732162476,0.17499999701976776,0.4117647111415863,0.24561403691768646,0.3255814015865326
Age: 50-65,10,0.540123462677002,0.3214285671710968,0.420634925365448,0.30735933780670166,0.375
Race: White,10,0.43888887763023376,0.1666666716337204,0.36000001430511475,0.2278480976819992,0.2950819432735443
Race: Other,10,0.7521008253097534,0.5307692289352417,0.5168067216873169,0.4363636374473572,0.4838709533214569
Overall,11,0.5763636827468872,0.3901960849761963,0.4618181884288788,0.34542107582092285,0.43617019057273865
Gender: Male,11,0.6238095164299011,0.42694807052612305,0.4642857015132904,0.4092664122581482,0.529411792755127
Gender: Female,11,0.5246305465698242,0.4085365831851959,0.48152709007263184,0.26862168312072754,0.3255814015865326
Age: 50-65,11,0.5763636827468872,0.3901960849761963,0.4618181884288788,0.34542107582092285,0.43617019057273865
Race: White,11,0.5615384578704834,0.3735632300376892,0.47582417726516724,0.3120300769805908,0.4098360538482666
Race: Other,11,0.5892857313156128,0.36666667461395264,0.4047619104385376,0.3499999940395355,0.38461539149284363
Overall,12,0.5539358854293823,0.4350649416446686,0.4659864008426666,0.380952388048172,0.4395604431629181
Gender: Male,12,0.5193965435028076,0.46960484981536865,0.4784482717514038,0.44333234429359436,0.49180325865745544
Gender: Female,12,0.8100000023841858,0.1666666716337204,0.5,0.25,0.3333333432674408
Age: 50-65,12,0.5539358854293823,0.4350649416446686,0.4659864008426666,0.380952388048172,0.4395604431629181
Race: White,12,0.4267857074737549,0.1744185984134674,0.375,0.2380952388048172,0.3125
Race: Other,12,0.7289474010467529,0.6000000238418579,0.5710526704788208,0.5334271788597107,0.5641025900840759
Overall,13,0.542129635810852,0.45394736528396606,0.47083333134651184,0.39224138855934143,0.42553189396858215
Gender: Male,13,0.6430768966674805,0.5067567825317383,0.505384624004364,0.4810745120048523,0.5098039507865906
Gender: Female,13,0.5197044610977173,0.4038461446762085,0.46305418014526367,0.2870211601257324,0.3255814015865326
Age: 50-65,13,0.542129635810852,0.45394736528396606,0.47083333134651184,0.39224138855934143,0.42553189396858215
Race: White,13,0.3847167491912842,0.26304349303245544,0.35638999938964844,0.2639029324054718,0.3035714328289032
Race: Other,13,0.7936508059501648,0.6875,0.6333333253860474,0.5669606924057007,0.5833333134651184
Overall,14,0.5986014008522034,0.3836657404899597,0.442890465259552,0.33186274766921997,0.3829787075519562
Gender: Male,14,0.6532738208770752,0.43791574239730835,0.4583333432674408,0.41863352060317993,0.48076924681663513
Gender: Female,14,0.633431077003479,0.375,0.4706745147705078,0.22638146579265594,0.261904776096344
Age: 50-65,14,0.5986014008522034,0.3836657404899597,0.442890465259552,0.33186274766921997,0.3829787075519562
Race: White,14,0.48903223872184753,0.236406609416008,0.3561290502548218,0.2611111104488373,0.3214285969734192
