group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6081506013870239,0.5559262633323669,0.5600916147232056,0.5553945899009705,0.5845410823822021
Gender: Male,0,0.624610185623169,0.5697197914123535,0.5784313678741455,0.558043360710144,0.570806086063385
Gender: Female,0,0.597445547580719,0.545302152633667,0.5411696434020996,0.5411107540130615,0.6016260385513306
Age: 50-65,0,0.6081506013870239,0.5559262633323669,0.5600916147232056,0.5553945899009705,0.5845410823822021
Race: White,0,0.5919499397277832,0.5540616512298584,0.5554627180099487,0.5514070987701416,0.5543932914733887
Race: Black,0,0.6078869104385376,0.5727110505104065,0.5970238447189331,0.5750432014465332,0.6875
Race: Other,0,0.5600490570068359,0.4043501019477844,0.4105392098426819,0.40713560581207275,0.5352112650871277
Overall,1,0.6756765842437744,0.6062368154525757,0.614897608757019,0.6074895858764648,0.6364734172821045
Gender: Male,1,0.6805956363677979,0.6073284149169922,0.617519199848175,0.602698802947998,0.6150537729263306
Gender: Female,1,0.6685613393783569,0.6027233600616455,0.6016731262207031,0.602173924446106,0.6639118790626526
Age: 50-65,1,0.6756765842437744,0.6062368154525757,0.614897608757019,0.6074895858764648,0.6364734172821045
Race: White,1,0.6251672506332397,0.5856810808181763,0.5878503322601318,0.5826048851013184,0.5848670601844788
Race: Black,1,0.7730462551116943,0.6706689596176147,0.6904306411743164,0.6790876388549805,0.7931034564971924
Race: Other,1,0.6176100373268127,0.456498384475708,0.44905659556388855,0.45098039507865906,0.5882353186607361
Overall,2,0.614678144454956,0.5741673111915588,0.5822312831878662,0.5721063017845154,0.5978260636329651
Gender: Male,2,0.6243586540222168,0.5867753624916077,0.5990979671478271,0.5711678862571716,0.5829787254333496
Gender: Female,2,0.6157213449478149,0.5654506087303162,0.5634453892707825,0.5641866326332092,0.6173183917999268
Age: 50-65,2,0.614678144454956,0.5741673111915588,0.5822312831878662,0.5721063017845154,0.5978260636329651
Race: White,2,0.561488687992096,0.5333349704742432,0.5343225598335266,0.5308350920677185,0.5352112650871277
Race: Black,2,0.7775157690048218,0.6858217716217041,0.7524371147155762,0.7006148099899292,0.7688441872596741
Race: Other,2,0.5195935964584351,0.4823053777217865,0.4746008515357971,0.465277761220932,0.575757622718811
Overall,3,0.6054960489273071,0.534080982208252,0.53513103723526,0.5340003967285156,0.5567632913589478
Gender: Male,3,0.6355326771736145,0.555538535118103,0.5609808564186096,0.551752507686615,0.5717212557792664
Gender: Female,3,0.5830488204956055,0.5111467242240906,0.5103855133056641,0.5080586075782776,0.5352941155433655
Age: 50-65,3,0.6054960489273071,0.534080982208252,0.53513103723526,0.5340003967285156,0.5567632913589478
Race: White,3,0.5664259195327759,0.5025510191917419,0.5025792121887207,0.5021510124206543,0.5066666603088379
