group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5878782272338867,0.5492115616798401,0.5350244641304016,0.5274357795715332,0.6280193328857422
Gender: Male,0,0.6102994680404663,0.55553138256073,0.5490196347236633,0.5492686033248901,0.6209149956703186
Gender: Female,0,0.5552061796188354,0.5460900068283081,0.5205199718475342,0.48792460560798645,0.6368563771247864
Age: 50-65,0,0.5878782272338867,0.5492115616798401,0.5350244641304016,0.5274357795715332,0.6280193328857422
Race: White,0,0.569373369216919,0.5246427655220032,0.5197298526763916,0.5080394744873047,0.5564853549003601
Race: Black,0,0.6266368627548218,0.551948070526123,0.5303571224212646,0.5293465852737427,0.764423131942749
Race: Other,0,0.44068628549575806,0.50705885887146,0.5036764740943909,0.4841950535774231,0.6690140962600708
Overall,1,0.6357150077819824,0.5995211601257324,0.5673667192459106,0.5638611912727356,0.6666666865348816
Gender: Male,1,0.6475845575332642,0.584844708442688,0.5693739056587219,0.569007396697998,0.6387096643447876
Gender: Female,1,0.5928070545196533,0.6306996941566467,0.5563599467277527,0.5417095422744751,0.702479362487793
Age: 50-65,1,0.6357150077819824,0.5995211601257324,0.5673667192459106,0.5638611912727356,0.6666666865348816
Race: White,1,0.6004666090011597,0.5527397394180298,0.5409448146820068,0.5289281606674194,0.5787320733070374
Race: Black,1,0.6470494270324707,0.6697860956192017,0.581020712852478,0.594170868396759,0.8128078579902649
Race: Other,1,0.5327043533325195,0.6075268983840942,0.5503144860267639,0.5494824051856995,0.7647058963775635
Overall,2,0.5937235355377197,0.5652486681938171,0.5420281291007996,0.5330113172531128,0.6497584581375122
Gender: Male,2,0.5913190841674805,0.5376439094543457,0.5292328596115112,0.5252634286880493,0.6255319118499756
Gender: Female,2,0.5944327712059021,0.6349842548370361,0.5601190328598022,0.5412319898605347,0.681564211845398
Age: 50-65,2,0.5937235355377197,0.5652486681938171,0.5420281291007996,0.5330113172531128,0.6497584581375122
Race: White,2,0.5863443613052368,0.5342026948928833,0.5241300463676453,0.5050564408302307,0.5714285373687744
Race: Black,2,0.5819182395935059,0.6005885601043701,0.5591195225715637,0.5643819570541382,0.7738693356513977
Race: Other,2,0.4782293438911438,0.5291666984558105,0.5152394771575928,0.5081509351730347,0.7575757503509521
Overall,3,0.5720111131668091,0.5644868612289429,0.5423611402511597,0.5281711220741272,0.6183574795722961
Gender: Male,3,0.6195086240768433,0.5928767919540405,0.5756430625915527,0.5762662887573242,0.6495901346206665
Gender: Female,3,0.5187437534332275,0.5247891545295715,0.5103499889373779,0.45415693521499634,0.5735294222831726
Age: 50-65,3,0.5720111131668091,0.5644868612289429,0.5423611402511597,0.5281711220741272,0.6183574795722961
Race: White,3,0.5594989061355591,0.5436046123504639,0.532829761505127,0.5153566002845764,0.5638095140457153
Race: Black,3,0.6082097291946411,0.5622363090515137,0.5239788889884949,0.5111859440803528,0.758823573589325
Race: Other,3,0.46389323472976685,0.5336538553237915,0.5164835453033447,0.49287134408950806,0.6541353464126587
Overall,4,0.5828547477722168,0.5416666865348816,0.5296115875244141,0.5201172232627869,0.6159420013427734
Gender: Male,4,0.578588604927063,0.5467936396598816,0.5418867468833923,0.5417066216468811,0.6066945195198059
Gender: Female,4,0.6010841727256775,0.544955313205719,0.5171130895614624,0.47337964177131653,0.6285714507102966
Age: 50-65,4,0.5828547477722168,0.5416666865348816,0.5296115875244141,0.5201172232627869,0.6159420013427734
Race: White,4,0.5566796660423279,0.5183476805686951,0.5139449834823608,0.4951925277709961,0.5439672470092773
Race: Black,4,0.6378737688064575,0.5730994343757629,0.5595840215682983,0.56341153383255,0.7352941632270813
Race: Other,4,0.4550970792770386,0.4539722502231598,0.477851927280426,0.45333331823349,0.6962962746620178
Overall,5,0.5916010141372681,0.5691304802894592,0.545269787311554,0.535621166229248,0.6413043141365051
Gender: Male,5,0.6156225204467773,0.5793262720108032,0.5674729347229004,0.5683794617652893,0.6410256624221802
Gender: Female,5,0.5675374269485474,0.5621212124824524,0.5207833051681519,0.4746071398258209,0.6416667103767395
Age: 50-65,5,0.5916010141372681,0.5691304802894592,0.545269787311554,0.535621166229248,0.6413043141365051
Race: White,5,0.6065605878829956,0.5646551847457886,0.5462646484375,0.5317788124084473,0.5957854390144348
Race: Black,5,0.5224002003669739,0.5519323348999023,0.5350257754325867,0.5365716814994812,0.7628205418586731
Race: Other,5,0.5006613731384277,0.49259257316589355,0.49669310450553894,0.4693523943424225,0.6733333468437195
Overall,6,0.5666522979736328,0.5568326115608215,0.5378696918487549,0.5269531011581421,0.6292270421981812
Gender: Male,6,0.5988221168518066,0.5666807293891907,0.5540223121643066,0.5529378056526184,0.6343115568161011
Gender: Female,6,0.5277551412582397,0.5488945841789246,0.5234693884849548,0.49161726236343384,0.6233766078948975
Age: 50-65,6,0.5666522979736328,0.5568326115608215,0.5378696918487549,0.5269531011581421,0.6292270421981812
Race: White,6,0.5458554029464722,0.5223469138145447,0.5169023871421814,0.49998152256011963,0.553639829158783
Race: Black,6,0.5479484796524048,0.6023076772689819,0.5475906133651733,0.5488335490226746,0.7852760553359985
Race: Other,6,0.4433351159095764,0.5384615659713745,0.5175391435623169,0.503516435623169,0.7272727489471436
Overall,7,0.5815964937210083,0.5598561763763428,0.5374146103858948,0.520928680896759,0.6207729578018188
Gender: Male,7,0.6163973808288574,0.5708692073822021,0.5567616820335388,0.5552495718002319,0.633891224861145
Gender: Female,7,0.5495238304138184,0.5635694265365601,0.5226190686225891,0.4663873314857483,0.6028571128845215
Age: 50-65,7,0.5815964937210083,0.5598561763763428,0.5374146103858948,0.520928680896759,0.6207729578018188
Race: White,7,0.57780921459198,0.5362851023674011,0.5262612104415894,0.509929895401001,0.5750487446784973
Race: Black,7,0.6028571128845215,0.6625387072563171,0.570588231086731,0.5625378489494324,0.7218934893608093
Race: Other,7,0.4692513346672058,0.503470242023468,0.5013368725776672,0.4659201204776764,0.6643835306167603
Overall,8,0.5829588174819946,0.5599696636199951,0.5406692624092102,0.5331199169158936,0.6437197923660278
Gender: Male,8,0.5846437215805054,0.5640797019004822,0.5518693923950195,0.5497146248817444,0.6239316463470459
Gender: Female,8,0.5614240169525146,0.5366950035095215,0.5164114236831665,0.4913986623287201,0.6694444417953491
Age: 50-65,8,0.5829588174819946,0.5599696636199951,0.5406692624092102,0.5331199169158936,0.6437197923660278
Race: White,8,0.5526130199432373,0.5276592969894409,0.5219809412956238,0.5128313302993774,0.5728952884674072
Race: Black,8,0.5837534666061401,0.5839659571647644,0.5511204600334167,0.5548318028450012,0.7688679099082947
Race: Other,8,0.5863248109817505,0.6548386812210083,0.5273504257202148,0.4793967604637146,0.7054263353347778
