group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6207633018493652,0.6151536703109741,0.5891640186309814,0.581725537776947,0.6270000338554382
Gender: Female,0,0.6207633018493652,0.6151536703109741,0.5891640186309814,0.581725537776947,0.6270000338554382
Age: <40,0,0.619784951210022,0.6053364276885986,0.5956182479858398,0.5890210270881653,0.6010362505912781
Age: 40-50,0,0.6418783664703369,0.6544090509414673,0.6179691553115845,0.6160894632339478,0.6666666269302368
Age: 50-65,0,0.5879569053649902,0.5623095035552979,0.534986138343811,0.5129457712173462,0.625
Race: White,0,0.6362082362174988,0.6344006061553955,0.6150517463684082,0.5986008644104004,0.6118143200874329
Race: Black,0,0.5612539052963257,0.5427427291870117,0.5284131169319153,0.5248095989227295,0.6955128312110901
Race: Other,0,0.5686429738998413,0.5550574064254761,0.5442248582839966,0.5284575819969177,0.5607476234436035
Overall,1,0.6332814693450928,0.6317477822303772,0.5979977250099182,0.5918034315109253,0.6450000405311584
Gender: Female,1,0.6332814693450928,0.6317477822303772,0.5979977250099182,0.5918034315109253,0.6450000405311584
Age: <40,1,0.6158957481384277,0.6104052066802979,0.6027024984359741,0.5931429862976074,0.598870038986206
Age: 40-50,1,0.637424886226654,0.6349969506263733,0.6022306680679321,0.6005511283874512,0.660516619682312
Age: 50-65,1,0.5914379358291626,0.5942018032073975,0.5421568751335144,0.5215071439743042,0.6773333549499512
Race: White,1,0.6535988450050354,0.6409024000167847,0.6170516610145569,0.6064642071723938,0.6282051801681519
Race: Black,1,0.6172056198120117,0.6112839579582214,0.5623810887336731,0.561540961265564,0.7234726548194885
Race: Other,1,0.5428217649459839,0.5642056465148926,0.5500825047492981,0.533413290977478,0.570135772228241
Overall,2,0.6380454301834106,0.6343855857849121,0.6030994653701782,0.5974671840667725,0.6440000534057617
Gender: Female,2,0.6380454301834106,0.6343855857849121,0.6030994653701782,0.5974671840667725,0.6440000534057617
Age: <40,2,0.5990333557128906,0.6040668487548828,0.5944005846977234,0.5842621326446533,0.5935829281806946
Age: 40-50,2,0.6629070043563843,0.6534981727600098,0.6206836700439453,0.6158241629600525,0.6541353464126587
Age: 50-65,2,0.6160354614257812,0.6089743375778198,0.5587557554244995,0.550000011920929,0.6888889074325562
Race: White,2,0.6593912839889526,0.6432698965072632,0.6274195909500122,0.6232523918151855,0.639511227607727
Race: Black,2,0.5726970434188843,0.5811340808868408,0.5462397933006287,0.5422172546386719,0.7123287916183472
Race: Other,2,0.5925076603889465,0.5921474695205688,0.5634981393814087,0.5259720683097839,0.5622119903564453
Overall,3,0.6442245244979858,0.6473193168640137,0.6051598191261292,0.5986540913581848,0.656000018119812
Gender: Female,3,0.6442245244979858,0.6473193168640137,0.6051598191261292,0.5986540913581848,0.656000018119812
Age: <40,3,0.5964319705963135,0.6036034822463989,0.5897219181060791,0.5806564092636108,0.5994831919670105
Age: 40-50,3,0.6828124523162842,0.6687074899673462,0.6291666626930237,0.6312301754951477,0.6875
Age: 50-65,3,0.632443904876709,0.6900676488876343,0.5800500512123108,0.562937319278717,0.6946778893470764
Race: White,3,0.6849073171615601,0.6826505064964294,0.6481814384460449,0.6363687515258789,0.657200813293457
Race: Black,3,0.5921580791473389,0.5475529432296753,0.5289579629898071,0.5222734212875366,0.6913183331489563
Race: Other,3,0.5605075359344482,0.5801132321357727,0.5512847900390625,0.527797281742096,0.5969387888908386
Overall,4,0.6628354787826538,0.6567097902297974,0.6204617023468018,0.6218996047973633,0.6800000071525574
Gender: Female,4,0.6628354787826538,0.6567097902297974,0.6204617023468018,0.6218996047973633,0.6800000071525574
Age: <40,4,0.6653097867965698,0.6840260028839111,0.6666410565376282,0.6658448576927185,0.6801007390022278
Age: 40-50,4,0.6409872174263,0.6400462985038757,0.5982818007469177,0.5952985286712646,0.6679389476776123
Age: 50-65,4,0.6367347240447998,0.5634487867355347,0.5366071462631226,0.5286124348640442,0.6891495585441589
Race: White,4,0.6925914287567139,0.6722663044929504,0.6426560878753662,0.6392995119094849,0.6666666865348816
Race: Black,4,0.5867425203323364,0.6484477519989014,0.5903503894805908,0.6006413698196411,0.7712418437004089
Race: Other,4,0.5856269598007202,0.551646888256073,0.5428134799003601,0.5334226489067078,0.5699481964111328
Overall,5,0.642815887928009,0.6272552013397217,0.6003074645996094,0.5920382738113403,0.6290000081062317
Gender: Female,5,0.642815887928009,0.6272552013397217,0.6003074645996094,0.5920382738113403,0.6290000081062317
Age: <40,5,0.629320502281189,0.6015173196792603,0.5971909761428833,0.5963362455368042,0.6056700944900513
Age: 40-50,5,0.646095871925354,0.6734975576400757,0.6357178092002869,0.6282485723495483,0.66015625
Age: 50-65,5,0.6568396091461182,0.6373347640037537,0.5629585981369019,0.5282001495361328,0.632022500038147
Race: White,5,0.6660475730895996,0.6407520174980164,0.6263542175292969,0.611431896686554,0.6189516186714172
Race: Black,5,0.5794202089309692,0.548046886920929,0.5286997556686401,0.5214525461196899,0.6925675868988037
Race: Other,5,0.5711503028869629,0.5628639459609985,0.5490723848342896,0.5296105742454529,0.5625
Overall,6,0.626805305480957,0.6163558959960938,0.5811134576797485,0.5736857056617737,0.6450000405311584
Gender: Female,6,0.626805305480957,0.6163558959960938,0.5811134576797485,0.5736857056617737,0.6450000405311584
Age: <40,6,0.5700980424880981,0.5798056125640869,0.5697712302207947,0.5612051486968994,0.5807291865348816
Age: 40-50,6,0.675230860710144,0.6492596864700317,0.5998260378837585,0.5954651236534119,0.6719368100166321
Age: 50-65,6,0.6182185411453247,0.5954383611679077,0.5405800342559814,0.5217164158821106,0.6942148804664612
Race: White,6,0.6543071269989014,0.6299594640731812,0.6071809530258179,0.6001373529434204,0.6289308071136475
Race: Black,6,0.5709166526794434,0.594170868396759,0.542201042175293,0.531164824962616,0.7203647494316101
Race: Other,6,0.5709930658340454,0.5172077417373657,0.5115417838096619,0.4858868420124054,0.5567010045051575
Overall,7,0.6575050354003906,0.6315940618515015,0.6045728921890259,0.5992339849472046,0.6390000581741333
Gender: Female,7,0.6575050354003906,0.6315940618515015,0.6045728921890259,0.5992339849472046,0.6390000581741333
Age: <40,7,0.5826719999313354,0.5523817539215088,0.5474386811256409,0.5418846607208252,0.5601092576980591
Age: 40-50,7,0.6946284770965576,0.695105791091919,0.6480923891067505,0.6453568935394287,0.6853146553039551
Age: 50-65,7,0.697133481502533,0.6810924410820007,0.6202399134635925,0.6163867712020874,0.6839080452919006
Race: White,7,0.6865460872650146,0.6442687511444092,0.6263779401779175,0.6114144325256348,0.6218487620353699
Race: Black,7,0.6402596235275269,0.6151952743530273,0.5778266787528992,0.5833333134651184,0.7333333492279053
Race: Other,7,0.5426079034805298,0.5301733613014221,0.5252525210380554,0.5100418329238892,0.5358851552009583
Overall,8,0.6150146126747131,0.6230835914611816,0.5909383296966553,0.5822376012802124,0.6340000033378601
Gender: Female,8,0.6150146126747131,0.6230835914611816,0.5909383296966553,0.5822376012802124,0.6340000033378601
Age: <40,8,0.5826340913772583,0.5871073007583618,0.5796020030975342,0.5703471302986145,0.5796020030975342
Age: 40-50,8,0.6298519372940063,0.6219478845596313,0.5899359583854675,0.5846611261367798,0.6454183459281921
Age: 50-65,8,0.6054723262786865,0.6493589878082275,0.5611319541931152,0.5407353043556213,0.6887607574462891
Race: White,8,0.6581482887268066,0.6382240653038025,0.619201123714447,0.6035842299461365,0.6160337328910828
Race: Black,8,0.4912816286087036,0.5254998207092285,0.5161690711975098,0.5104477405548096,0.707317054271698
Race: Other,8,0.5472835302352905,0.5700549483299255,0.546875,0.5106167793273926,0.5555555820465088
Overall,9,0.6238291263580322,0.5949529409408569,0.5689735412597656,0.56123286485672,0.6290000081062317
Gender: Female,9,0.6238291263580322,0.5949529409408569,0.5689735412597656,0.56123286485672,0.6290000081062317
Age: <40,9,0.6373112797737122,0.589135468006134,0.5750744342803955,0.5653658509254456,0.5909090638160706
Age: 40-50,9,0.6288875341415405,0.6333816647529602,0.6100478768348694,0.6121212244033813,0.6666666865348816
Age: 50-65,9,0.5691393613815308,0.5128369927406311,0.5059093236923218,0.4762122631072998,0.6456044316291809
Race: White,9,0.6202037334442139,0.6035467982292175,0.5825555324554443,0.568661630153656,0.5987124443054199
