group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6522167921066284,0.6425434350967407,0.5573244094848633,0.5103828310966492,0.6190000176429749
Gender: Female,0,0.6522167921066284,0.6425434350967407,0.5573244094848633,0.5103828310966492,0.6190000176429749
Age: <40,0,0.679784893989563,0.6222666501998901,0.5625268816947937,0.5086314082145691,0.575129508972168
Age: 40-50,0,0.6525428295135498,0.702961802482605,0.5813313722610474,0.547903299331665,0.6592592597007751
Age: 50-65,0,0.5852628946304321,0.583299458026886,0.5223897099494934,0.4645814299583435,0.6366279125213623
Race: White,0,0.6429754495620728,0.6084871888160706,0.5644667148590088,0.5121511816978455,0.5590717196464539
Race: Black,0,0.57282555103302,0.6266447305679321,0.5167327523231506,0.47242021560668945,0.7467948794364929
Race: Other,0,0.6159859895706177,0.6215277910232544,0.5338164567947388,0.4470898509025574,0.5654205679893494
Overall,1,0.655889630317688,0.6388649940490723,0.5536985397338867,0.5085114240646362,0.6270000338554382
Gender: Female,1,0.655889630317688,0.6388649940490723,0.5536985397338867,0.5085114240646362,0.6270000338554382
Age: <40,1,0.6405891180038452,0.5490873456001282,0.5265461206436157,0.45995664596557617,0.5169491767883301
Age: 40-50,1,0.6829056739807129,0.7666794061660767,0.6210413575172424,0.6073601841926575,0.7047970294952393
Age: 50-65,1,0.5969281196594238,0.5563910007476807,0.509313702583313,0.4457501471042633,0.6746666431427002
Race: White,1,0.6712954044342041,0.6078371405601501,0.5582281351089478,0.5108530521392822,0.576923131942749
Race: Black,1,0.6434158086776733,0.7447068691253662,0.5158793330192566,0.45878180861473083,0.7395498156547546
Race: Other,1,0.5515676736831665,0.6031632423400879,0.5417079329490662,0.4782499670982361,0.5746606588363647
Overall,2,0.6591154336929321,0.6042217016220093,0.5450705289840698,0.5006248950958252,0.6100000143051147
Gender: Female,2,0.6591154336929321,0.6042217016220093,0.5450705289840698,0.5006248950958252,0.6100000143051147
Age: <40,2,0.6409860849380493,0.5346449613571167,0.5179020762443542,0.45069175958633423,0.5160427689552307
