group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6110846996307373,0.5673313736915588,0.5739849209785461,0.5644745230674744,0.5857487916946411
Gender: Male,0,0.6312956809997559,0.5742294788360596,0.5833333730697632,0.5572955012321472,0.5664488077163696
Gender: Female,0,0.600330650806427,0.5667215585708618,0.5657092928886414,0.5661375522613525,0.6097561120986938
Age: 50-65,0,0.6110846996307373,0.5673313736915588,0.5739849209785461,0.5644745230674744,0.5857487916946411
Race: White,0,0.5870826244354248,0.550835132598877,0.5520951151847839,0.5463301539421082,0.5481171607971191
Race: Black,0,0.5833333730697632,0.5685714483261108,0.6017856597900391,0.5613462328910828,0.6490384936332703
Race: Other,0,0.6049019694328308,0.5366666913032532,0.5377451181411743,0.5370683670043945,0.6197183132171631
Overall,1,0.67682284116745,0.61663419008255,0.6277108192443848,0.6174325942993164,0.6425120830535889
Gender: Male,1,0.6928045749664307,0.6216323375701904,0.6335371732711792,0.6115288734436035,0.6193548440933228
Gender: Female,1,0.645931601524353,0.6105095148086548,0.6076254844665527,0.6089105606079102,0.6721763014793396
Age: 50-65,1,0.67682284116745,0.61663419008255,0.6277108192443848,0.6174325942993164,0.6425120830535889
Race: White,1,0.6403993368148804,0.6089280247688293,0.6116933822631836,0.6067758202552795,0.6094069480895996
Race: Black,1,0.7078149914741516,0.595044732093811,0.6287878751754761,0.6004070043563843,0.7093595862388611
Race: Other,1,0.6405660510063171,0.5562499761581421,0.5679245591163635,0.5575671792030334,0.6617646813392639
Overall,2,0.616430401802063,0.5520060658454895,0.556337296962738,0.5514378547668457,0.5857487916946411
Gender: Male,2,0.6161246299743652,0.5409420132637024,0.5467560291290283,0.5281389951705933,0.5446808338165283
Gender: Female,2,0.6242647171020508,0.5812102556228638,0.5719888210296631,0.5735064744949341,0.6396647691726685
Age: 50-65,2,0.616430401802063,0.5520060658454895,0.556337296962738,0.5514378547668457,0.5857487916946411
Race: White,2,0.5712641477584839,0.5243570804595947,0.5248056650161743,0.5240249633789062,0.5331991910934448
Race: Black,2,0.7080188393592834,0.5947242379188538,0.6242138147354126,0.599328875541687,0.6984924674034119
Race: Other,2,0.5888969898223877,0.5191571116447449,0.5272133350372314,0.5087206959724426,0.6136363744735718
Overall,3,0.6048288345336914,0.5618448853492737,0.564565896987915,0.5616648197174072,0.5797101259231567
