group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5571118593215942,0.5463414192199707,0.548026442527771,0.5467069149017334,0.5857487916946411
Gender: Male,0,0.5723226070404053,0.5625404119491577,0.5702614784240723,0.5533088445663452,0.5686274170875549
Gender: Female,0,0.5454810857772827,0.5327112674713135,0.5251718163490295,0.518826961517334,0.6070460677146912
Age: 50-65,0,0.5571118593215942,0.5463414192199707,0.548026442527771,0.5467069149017334,0.5857487916946411
Race: White,0,0.5042476654052734,0.5186678767204285,0.5187869071960449,0.5186691880226135,0.5292887091636658
Race: Black,0,0.6178571581840515,0.5639639496803284,0.5845237970352173,0.5655696392059326,0.6826923489570618
Race: Other,0,0.5401960611343384,0.5412449836730957,0.539950966835022,0.5404530763626099,0.6338028311729431
Overall,1,0.6050620079040527,0.5758273601531982,0.5763788223266602,0.5760869383811951,0.6231883764266968
Gender: Male,1,0.611262321472168,0.5927417874336243,0.600089430809021,0.591877818107605,0.6107527017593384
Gender: Female,1,0.5814743041992188,0.5396112203598022,0.530888020992279,0.5282112956047058,0.639118492603302
Age: 50-65,1,0.6050620079040527,0.5758273601531982,0.5763788223266602,0.5760869383811951,0.6231883764266968
Race: White,1,0.5758345127105713,0.5596332550048828,0.5596332550048828,0.5596332550048828,0.5705521106719971
Race: Black,1,0.5696970224380493,0.5380333662033081,0.5457735061645508,0.5391849279403687,0.6896551847457886
Race: Other,1,0.4858490824699402,0.5504039525985718,0.5411949753761292,0.5430343747138977,0.7132353186607361
Overall,2,0.5398658514022827,0.5267443656921387,0.5275471210479736,0.526891827583313,0.5760869383811951
Gender: Male,2,0.5330395698547363,0.5262508988380432,0.5297293663024902,0.5185229182243347,0.542553186416626
Gender: Female,2,0.5515406131744385,0.5377939343452454,0.5283613204956055,0.5222920179367065,0.6201117038726807
Age: 50-65,2,0.5398658514022827,0.5267443656921387,0.5275471210479736,0.526891827583313,0.5760869383811951
Race: White,2,0.5142961740493774,0.5158400535583496,0.5155889987945557,0.5154968500137329,0.5331991910934448
Race: Black,2,0.5995283126831055,0.5678308010101318,0.5897798538208008,0.5687901973724365,0.6733668446540833
Race: Other,2,0.37010157108306885,0.4112499952316284,0.3969520926475525,0.403414785861969,0.5909091234207153
Overall,3,0.5500558018684387,0.5324563384056091,0.5327833890914917,0.5325661301612854,0.5603864789009094
Gender: Male,3,0.596526563167572,0.554472804069519,0.5603746175765991,0.5467361211776733,0.561475396156311
Gender: Female,3,0.5149381160736084,0.523065447807312,0.5176411867141724,0.5029433369636536,0.5588235259056091
Age: 50-65,3,0.5500558018684387,0.5324563384056091,0.5327833890914917,0.5325661301612854,0.5603864789009094
Race: White,3,0.5186293125152588,0.5103638172149658,0.510353684425354,0.5103569030761719,0.5180952548980713
Race: Black,3,0.6344238519668579,0.5866666436195374,0.6056695580482483,0.5906592011451721,0.6882352828979492
Race: Other,3,0.4869178533554077,0.4815789461135864,0.48260074853897095,0.4815860390663147,0.5639097690582275
Overall,4,0.5369055271148682,0.5362598299980164,0.535905659198761,0.5360507965087891,0.5797101259231567
Gender: Male,4,0.5368766784667969,0.533326268196106,0.5366241931915283,0.5282894372940063,0.5481171607971191
Gender: Female,4,0.5451743006706238,0.5595014691352844,0.5404265522956848,0.5293590426445007,0.6228571534156799
Age: 50-65,4,0.5369055271148682,0.5362598299980164,0.535905659198761,0.5360507965087891,0.5797101259231567
Race: White,4,0.481819748878479,0.48374059796333313,0.4838482141494751,0.48372048139572144,0.49284252524375916
Race: Black,4,0.6787520051002502,0.6446064710617065,0.6518127918243408,0.6479165554046631,0.7598039507865906
Race: Other,4,0.4141383767127991,0.45884841680526733,0.46162015199661255,0.45995762944221497,0.6222221851348877
Overall,5,0.5757819414138794,0.5780802965164185,0.5798208713531494,0.5787594318389893,0.6159420013427734
Gender: Male,5,0.60294508934021,0.5890939235687256,0.5998832583427429,0.5792773365974426,0.5918803811073303
Gender: Female,5,0.5566219091415405,0.590753436088562,0.5608968734741211,0.5534065961837769,0.6472222208976746
Age: 50-65,5,0.5757819414138794,0.5780802965164185,0.5798208713531494,0.5787594318389893,0.6159420013427734
Race: White,5,0.5551149845123291,0.5727169513702393,0.5737498998641968,0.5729683041572571,0.5842911601066589
Race: Black,5,0.573173999786377,0.5299145579338074,0.5370621681213379,0.5298939347267151,0.6794871687889099
Race: Other,5,0.5343915224075317,0.55962735414505,0.5529100894927979,0.5544813871383667,0.6600000262260437
Overall,6,0.5261377096176147,0.526668906211853,0.5267957448959351,0.5267245769500732,0.5688405632972717
Gender: Male,6,0.5551979541778564,0.5487479567527771,0.5542162656784058,0.5427838563919067,0.56207674741745
Gender: Female,6,0.49997082352638245,0.5046499967575073,0.5035714507102966,0.4934578537940979,0.5766233801841736
Age: 50-65,6,0.5261377096176147,0.526668906211853,0.5267957448959351,0.5267245769500732,0.5688405632972717
Race: White,6,0.4913988411426544,0.5034253001213074,0.5034044981002808,0.50336754322052,0.515325665473938
Race: Black,6,0.5868320465087891,0.5827970504760742,0.5920801162719727,0.5863643884658813,0.7239263653755188
Race: Other,6,0.4120345413684845,0.4490056037902832,0.44603344798088074,0.44729775190353394,0.5874125957489014
Overall,7,0.5491914749145508,0.5442677736282349,0.5427882671356201,0.5430958867073059,0.5821256041526794
Gender: Male,7,0.5839871168136597,0.5619664192199707,0.5677917003631592,0.5590223670005798,0.5794978737831116
Gender: Female,7,0.531598687171936,0.5406380891799927,0.5273809432983398,0.5081363320350647,0.5857142806053162
Age: 50-65,7,0.5491914749145508,0.5442677736282349,0.5427882671356201,0.5430958867073059,0.5821256041526794
Race: White,7,0.529828667640686,0.519302487373352,0.5190240144729614,0.5189958810806274,0.5380116701126099
Race: Black,7,0.6211764812469482,0.6445773839950562,0.6523529291152954,0.6477007865905762,0.6982248425483704
Race: Other,7,0.4407308101654053,0.45705127716064453,0.4701426029205322,0.4550836384296417,0.602739691734314
Overall,8,0.556948184967041,0.5536476373672485,0.5557568669319153,0.5542075037956238,0.5978260636329651
Gender: Male,8,0.5558006763458252,0.5563557147979736,0.5612965226173401,0.5528556108474731,0.5705128312110901
Gender: Female,8,0.5454512238502502,0.5405347347259521,0.5346320867538452,0.5343185067176819,0.6333333253860474
Age: 50-65,8,0.556948184967041,0.5536476373672485,0.5557568669319153,0.5542075037956238,0.5978260636329651
Race: White,8,0.5173728466033936,0.5359710454940796,0.5371027588844299,0.5354020595550537,0.548254668712616
Race: Black,8,0.6163865327835083,0.5651612877845764,0.5848739743232727,0.5668269395828247,0.6792452931404114
Race: Other,8,0.5170940160751343,0.5282109975814819,0.5175213813781738,0.5055787563323975,0.6511628031730652
Overall,9,0.5364131331443787,0.5473318099975586,0.5463864803314209,0.5467069149017334,0.5857487916946411
Gender: Male,9,0.5650671720504761,0.5646201372146606,0.5710324048995972,0.5606175661087036,0.5790646076202393
