group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6185246706008911,0.5954115390777588,0.5948553681373596,0.5947290658950806,0.5960000157356262
Gender: Male,0,0.5794522762298584,0.557671070098877,0.5567765831947327,0.5550512075424194,0.5567765831947327
Gender: Female,0,0.6608841419219971,0.6422882676124573,0.642776370048523,0.6423319578170776,0.6431717872619629
Age: <40,0,0.5708867311477661,0.5670158863067627,0.5611330270767212,0.5604454874992371,0.5945017337799072
Age: 40-50,0,0.6659694910049438,0.6666666865348816,0.6666461229324341,0.6666461229324341,0.6666666865348816
Age: 50-65,0,0.5908089876174927,0.5561343431472778,0.5562601089477539,0.5561295747756958,0.5572686791419983
Race: White,0,0.6185246706008911,0.5954115390777588,0.5948553681373596,0.5947290658950806,0.5960000157356262
Overall,1,0.5994220972061157,0.5746437907218933,0.5740478038787842,0.5724762678146362,0.5730000138282776
Gender: Male,1,0.586309552192688,0.5560735464096069,0.5549812316894531,0.5526530742645264,0.5547170042991638
Gender: Female,1,0.6140044927597046,0.5945705771446228,0.5946031808853149,0.5936151742935181,0.5936170220375061
Age: <40,1,0.5487843751907349,0.5192055702209473,0.5162791013717651,0.5106031894683838,0.563829779624939
Age: 40-50,1,0.6352189779281616,0.6407182216644287,0.6407685875892639,0.6407338380813599,0.6409265995025635
Age: 50-65,1,0.5604438781738281,0.5354938507080078,0.536395251750946,0.5343283414840698,0.5403050184249878
Race: White,1,0.5994220972061157,0.5746437907218933,0.5740478038787842,0.5724762678146362,0.5730000138282776
Overall,2,0.5827357172966003,0.5619917511940002,0.5616105794906616,0.5588054656982422,0.5590000152587891
Gender: Male,2,0.5465081334114075,0.5322633981704712,0.5307024717330933,0.5248478651046753,0.5304991006851196
Gender: Female,2,0.6090542078018188,0.5898331999778748,0.5906863212585449,0.5897809267044067,0.5925925970077515
Age: <40,2,0.5892005562782288,0.5950034856796265,0.5883590579032898,0.5894975662231445,0.6245846748352051
Age: 40-50,2,0.6016186475753784,0.630520224571228,0.6305499076843262,0.6304278373718262,0.6304347515106201
Age: 50-65,2,0.4896581172943115,0.4792705178260803,0.4776384234428406,0.47075048089027405,0.48187634348869324
Race: White,2,0.5827357172966003,0.5619917511940002,0.5616105794906616,0.5588054656982422,0.5590000152587891
