group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6047128438949585,0.5912721753120422,0.5665315389633179,0.5457016229629517,0.5875486135482788
Gender: Female,0,0.6047128438949585,0.5912721753120422,0.5665315389633179,0.5457016229629517,0.5875486135482788
Age: <40,0,0.6164431571960449,0.6082631349563599,0.6009528636932373,0.5903291702270508,0.5953608155250549
Age: 40-50,0,0.6256067156791687,0.5854771137237549,0.5614587664604187,0.5312760472297668,0.5668016076087952
Age: 50-65,0,0.5350423455238342,0.4960465133190155,0.4983634054660797,0.4486532211303711,0.5928753018379211
Race: White,0,0.6247048377990723,0.5974650382995605,0.5815844535827637,0.5420944690704346,0.5515151619911194
Race: Black,0,0.5786527395248413,0.47752439975738525,0.4888271987438202,0.4632415473461151,0.6584615111351013
Race: Other,0,0.4805856943130493,0.5625,0.5533778071403503,0.5410169959068298,0.5625
Overall,1,0.627951979637146,0.5905443429946899,0.5647634267807007,0.546875,0.5972222685813904
Gender: Female,1,0.627951979637146,0.5905443429946899,0.5647634267807007,0.546875,0.5972222685813904
Age: <40,1,0.615833044052124,0.5743317008018494,0.5691472291946411,0.5613293051719666,0.5688487887382507
Age: 40-50,1,0.6764621734619141,0.664903461933136,0.5893778800964355,0.5513324737548828,0.6160337328910828
Age: 50-65,1,0.5405820608139038,0.4656902551651001,0.48764893412590027,0.43698781728744507,0.6219512224197388
Race: White,1,0.6682870388031006,0.6112184524536133,0.5854000449180603,0.5539358854293823,0.5759637355804443
Race: Black,1,0.609646737575531,0.5035377144813538,0.5020507574081421,0.48770493268966675,0.6721311211585999
Race: Other,1,0.5249111652374268,0.5556027293205261,0.5458015203475952,0.5248632431030273,0.5458015203475952
Overall,2,0.6347993612289429,0.586076557636261,0.5608404278755188,0.5380539894104004,0.5847542881965637
Gender: Female,2,0.6347993612289429,0.586076557636261,0.5608404278755188,0.5380539894104004,0.5847542881965637
Age: <40,2,0.6355537176132202,0.6000834107398987,0.5932093858718872,0.58590167760849,0.5928753018379211
Age: 40-50,2,0.6427609920501709,0.5760610103607178,0.5518265962600708,0.5297916531562805,0.5878378748893738
Age: 50-65,2,0.6239583492279053,0.48582375049591064,0.4967882037162781,0.407519668340683,0.5714285969734192
Race: White,2,0.6882709264755249,0.5987211465835571,0.5802228450775146,0.5340633392333984,0.5448852181434631
Race: Black,2,0.5496784448623657,0.45802468061447144,0.47427815198898315,0.45590391755104065,0.6431095600128174
Race: Other,2,0.5501253008842468,0.5845959186553955,0.561735212802887,0.5456950664520264,0.5957446694374084
Overall,3,0.6042219400405884,0.5813928842544556,0.5581698417663574,0.5421326756477356,0.5981211066246033
Gender: Female,3,0.6042219400405884,0.5813928842544556,0.5581698417663574,0.5421326756477356,0.5981211066246033
Age: <40,3,0.649405837059021,0.6066319346427917,0.5978893041610718,0.5950692892074585,0.6100278496742249
Age: 40-50,3,0.6422234773635864,0.6164251565933228,0.5832949280738831,0.5711807608604431,0.6254681944847107
Age: 50-65,3,0.5169192552566528,0.429690957069397,0.4758079946041107,0.40555426478385925,0.5632529854774475
Race: White,3,0.6249308586120605,0.5789726972579956,0.5667001008987427,0.5552514791488647,0.5788382291793823
Race: Black,3,0.5879524946212769,0.49641793966293335,0.49850112199783325,0.47148117423057556,0.6910299062728882
Race: Other,3,0.49371153116226196,0.5395558476448059,0.5305057764053345,0.47603029012680054,0.49142855405807495
Overall,4,0.6412968635559082,0.5934314131736755,0.5687253475189209,0.5605423450469971,0.6240000128746033
Gender: Female,4,0.6412968635559082,0.5934314131736755,0.5687253475189209,0.5605423450469971,0.6240000128746033
Age: <40,4,0.5881485939025879,0.5540775060653687,0.5493760108947754,0.5432692170143127,0.557894766330719
Age: 40-50,4,0.7105696201324463,0.6603657603263855,0.6342141628265381,0.637447714805603,0.6827309131622314
Age: 50-65,4,0.5997011661529541,0.5053294897079468,0.5016434192657471,0.45282113552093506,0.6522911190986633
Race: White,4,0.6595908403396606,0.6093881130218506,0.5893617272377014,0.5754643678665161,0.6000000238418579
Race: Black,4,0.5954316854476929,0.4821428656578064,0.4918679893016815,0.4684620797634125,0.699999988079071
Race: Other,4,0.5667060613632202,0.5388810634613037,0.5326151251792908,0.5259617567062378,0.5707316994667053
Overall,5,0.6075593829154968,0.5599159598350525,0.5414294004440308,0.5289150476455688,0.6110563278198242
Gender: Female,5,0.6075593829154968,0.5599159598350525,0.5414294004440308,0.5289150476455688,0.6110563278198242
Age: <40,5,0.5964584350585938,0.557692289352417,0.5500580072402954,0.5400348901748657,0.5614035129547119
