group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7037461400032043,0.6309837698936462,0.6166309118270874,0.6172205209732056,0.6466165781021118
Gender: Male,0,0.7037461400032043,0.6309837698936462,0.6166309118270874,0.6172205209732056,0.6466165781021118
Age: <40,0,0.6651697158813477,0.617089033126831,0.6177849769592285,0.6151575446128845,0.6153846383094788
Age: 40-50,0,0.729468584060669,0.6073059439659119,0.6034352779388428,0.6042780876159668,0.6224489808082581
Age: 50-65,0,0.682275652885437,0.6193814277648926,0.5866571664810181,0.5865720510482788,0.6721311211585999
Race: White,0,0.6403446793556213,0.5818848609924316,0.5778563022613525,0.5723696947097778,0.577464759349823
Race: Black,0,0.7220256924629211,0.6441890001296997,0.605101466178894,0.6150895357131958,0.7558139562606812
Race: Other,0,0.7741978168487549,0.6968150734901428,0.6701871752738953,0.6795873641967773,0.753926694393158
Overall,1,0.684822678565979,0.620764434337616,0.6102847456932068,0.6085289716720581,0.6256741881370544
Gender: Male,1,0.684822678565979,0.620764434337616,0.6102847456932068,0.6085289716720581,0.6256741881370544
Age: <40,1,0.6879705190658569,0.648635745048523,0.6476967334747314,0.6447596549987793,0.6449275612831116
Age: 40-50,1,0.7937500476837158,0.665086030960083,0.6506410241127014,0.6483516693115234,0.660714328289032
Age: 50-65,1,0.6120518445968628,0.5543020367622375,0.5453157424926758,0.541210949420929,0.5948477387428284
Race: White,1,0.5866104364395142,0.5359026789665222,0.534744143486023,0.5280612707138062,0.5303292870521545
Race: Black,1,0.7597560882568359,0.731243371963501,0.7001524567604065,0.713149905204773,0.8258706331253052
Race: Other,1,0.803178071975708,0.7434343099594116,0.7175875902175903,0.7147592902183533,0.7248322367668152
Overall,2,0.6883865594863892,0.6404762268066406,0.628229022026062,0.6291106939315796,0.6518518328666687
Gender: Male,2,0.6883865594863892,0.6404762268066406,0.628229022026062,0.6291106939315796,0.6518518328666687
Age: <40,2,0.71457839012146,0.6545214056968689,0.6518912315368652,0.6526698470115662,0.6604360938072205
Age: 40-50,2,0.7885390520095825,0.6821212768554688,0.677884578704834,0.6786469221115112,0.6842105388641357
Age: 50-65,2,0.6027300953865051,0.5874171853065491,0.5645627975463867,0.5576087236404419,0.6262626051902771
Race: White,2,0.6137668490409851,0.5865283012390137,0.5823139548301697,0.5760635137557983,0.5805310010910034
Race: Black,2,0.7434396743774414,0.6838400959968567,0.67367023229599,0.6783322095870972,0.7845304012298584
Race: Other,2,0.7816053628921509,0.7054903507232666,0.6873466968536377,0.6935526132583618,0.733668327331543
Overall,3,0.6700853109359741,0.5978419780731201,0.5861201286315918,0.5807611346244812,0.601995587348938
Gender: Male,3,0.6700853109359741,0.5978419780731201,0.5861201286315918,0.5807611346244812,0.601995587348938
Age: <40,3,0.6911401748657227,0.6186848282814026,0.6169826984405518,0.6142783164978027,0.6151419878005981
Age: 40-50,3,0.7215321063995361,0.5910590887069702,0.5897663831710815,0.5687230825424194,0.5688623189926147
Age: 50-65,3,0.5771020650863647,0.5288288593292236,0.5204204320907593,0.5091068744659424,0.6052631139755249
Race: White,3,0.602531909942627,0.5440918803215027,0.5421259999275208,0.532734215259552,0.5357798337936401
Race: Black,3,0.7494840621948242,0.7558770179748535,0.6825335025787354,0.7003105878829956,0.782383382320404
Race: Other,3,0.6723437309265137,0.5737705230712891,0.5590624809265137,0.5539690256118774,0.6097560524940491
Overall,4,0.6984279155731201,0.6347180604934692,0.616661548614502,0.6128451824188232,0.6359788179397583
Gender: Male,4,0.6984279155731201,0.6347180604934692,0.616661548614502,0.6128451824188232,0.6359788179397583
Age: <40,4,0.6882591247558594,0.6328217387199402,0.6301330327987671,0.6221859455108643,0.6228373646736145
Age: 40-50,4,0.8316107988357544,0.7233093976974487,0.7074127197265625,0.7103264331817627,0.7242990136146545
Age: 50-65,4,0.6153597831726074,0.5596593618392944,0.542901337146759,0.5307515859603882,0.6018099784851074
Race: White,4,0.6470787525177002,0.5959659814834595,0.5882758498191833,0.5721886157989502,0.5773381590843201
Race: Black,4,0.797032356262207,0.7077200412750244,0.6907128095626831,0.6979856491088867,0.7788944840431213
Race: Other,4,0.7310498952865601,0.6296374797821045,0.6081685423851013,0.6093131899833679,0.6578947901725769
Overall,5,0.7585582733154297,0.6748642921447754,0.6559804677963257,0.6586180925369263,0.6853070259094238
Gender: Male,5,0.7585582733154297,0.6748642921447754,0.6559804677963257,0.6586180925369263,0.6853070259094238
Age: <40,5,0.7295806407928467,0.6530241966247559,0.6508346796035767,0.6472575664520264,0.6478872895240784
Age: 40-50,5,0.7742745876312256,0.6578691601753235,0.6510416269302368,0.6508994102478027,0.6586538553237915
Age: 50-65,5,0.7275805473327637,0.6644816398620605,0.6213754415512085,0.6293817162513733,0.723809540271759
Race: White,5,0.6903835535049438,0.6314834356307983,0.6281179189682007,0.6271708607673645,0.630885124206543
Race: Black,5,0.8629019260406494,0.7894736528396606,0.6970884799957275,0.7221052646636963,0.8166666626930237
Race: Other,5,0.7965502142906189,0.683080792427063,0.6202454566955566,0.6238384246826172,0.711442768573761
Overall,6,0.7123528718948364,0.6263830661773682,0.6077970862388611,0.6064432263374329,0.6405295729637146
Gender: Male,6,0.7123528718948364,0.6263830661773682,0.6077970862388611,0.6064432263374329,0.6405295729637146
