group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6466488838195801,0.5771400928497314,0.5786451101303101,0.5777255296707153,0.6105651259422302
Gender: Male,0,0.6403481960296631,0.5884022116661072,0.5909370183944702,0.589017391204834,0.6072144508361816
Gender: Female,0,0.64539635181427,0.5485645532608032,0.5477287769317627,0.548084557056427,0.6158730387687683
Age: 50-65,0,0.6466488838195801,0.5771400928497314,0.5786451101303101,0.5777255296707153,0.6105651259422302
Race: White,0,0.5527408123016357,0.5207875370979309,0.520890474319458,0.5206998586654663,0.523421585559845
Race: Black,0,0.8125280141830444,0.6393812894821167,0.6794183254241943,0.6522921323776245,0.7765362858772278
Race: Other,0,0.6770052909851074,0.55982905626297,0.550534725189209,0.5528273582458496,0.7013888955116272
Overall,1,0.6658228635787964,0.5972762703895569,0.5977392196655273,0.5974926948547363,0.619617223739624
Gender: Male,1,0.6708176136016846,0.6120482087135315,0.6150120496749878,0.6103421449661255,0.6134968996047974
Gender: Female,1,0.6389833688735962,0.5502761006355286,0.5413168668746948,0.5399722456932068,0.6282420754432678
Age: 50-65,1,0.6658228635787964,0.5972762703895569,0.5977392196655273,0.5974926948547363,0.619617223739624
Race: White,1,0.6347007751464844,0.5825234055519104,0.5823690891265869,0.5824121236801147,0.5839694738388062
Race: Black,1,0.624414324760437,0.5602903962135315,0.5745705366134644,0.5602853298187256,0.6462584733963013
Race: Other,1,0.6976743936538696,0.550000011920929,0.5436046123504639,0.5454545617103577,0.7090908885002136
Overall,2,0.6263856291770935,0.5680063962936401,0.5748193264007568,0.5657429695129395,0.5894988179206848
Gender: Male,2,0.6802870631217957,0.5991718769073486,0.6170860528945923,0.5817843079566956,0.5968379974365234
Gender: Female,2,0.587862491607666,0.540633499622345,0.5371999144554138,0.5362387895584106,0.5783132314682007
Age: 50-65,2,0.6263856291770935,0.5680063962936401,0.5748193264007568,0.5657429695129395,0.5894988179206848
Race: White,2,0.5881311893463135,0.5524004697799683,0.5548940896987915,0.5463801026344299,0.5508981943130493
Race: Black,2,0.7605792284011841,0.7013574838638306,0.6933225989341736,0.696800708770752,0.738095223903656
Race: Other,2,0.5068964958190918,0.4384481608867645,0.4040640592575073,0.4106021821498871,0.5562130212783813
Overall,3,0.621893048286438,0.5658349990844727,0.5721355676651001,0.5642658472061157,0.5903890132904053
Gender: Male,3,0.620964765548706,0.5599406361579895,0.5678315758705139,0.5520570874214172,0.571142315864563
Gender: Female,3,0.6218252182006836,0.5784721970558167,0.5801191329956055,0.5791245698928833,0.6159999966621399
Age: 50-65,3,0.621893048286438,0.5658349990844727,0.5721355676651001,0.5642658472061157,0.5903890132904053
Race: White,3,0.5724164247512817,0.5429456233978271,0.5450429916381836,0.5369192957878113,0.5418118238449097
Race: Black,3,0.7905529737472534,0.6815201640129089,0.6722350120544434,0.6765957474708557,0.8128654956817627
Race: Other,3,0.49641579389572144,0.4559949040412903,0.4484766721725464,0.4473308324813843,0.5116279125213623
Overall,4,0.6228030920028687,0.5705417990684509,0.5791780948638916,0.5684718489646912,0.5990279912948608
Gender: Male,4,0.6112735271453857,0.5670735836029053,0.5777062177658081,0.5459635257720947,0.5578947067260742
Gender: Female,4,0.6604495048522949,0.5928966403007507,0.5839134454727173,0.5862888693809509,0.6551724076271057
Age: 50-65,4,0.6228030920028687,0.5705417990684509,0.5791780948638916,0.5684718489646912,0.5990279912948608
Race: White,4,0.5945688486099243,0.5539610981941223,0.5573171377182007,0.5458333492279053,0.5514402985572815
Race: Black,4,0.6792452335357666,0.5962604284286499,0.626891016960144,0.6023188233375549,0.714285671710968
Race: Other,4,0.5613861083984375,0.5113861560821533,0.5113861560821533,0.5113861560821533,0.6028368473052979
Overall,5,0.6255605220794678,0.5552494525909424,0.559434711933136,0.5547954440116882,0.5856422781944275
Gender: Male,5,0.6560268402099609,0.5848967432975769,0.6034507751464844,0.565687358379364,0.5853658318519592
Gender: Female,5,0.6248671412467957,0.5505591630935669,0.5416519045829773,0.5356025695800781,0.5860058665275574
Age: 50-65,5,0.6255605220794678,0.5552494525909424,0.559434711933136,0.5547954440116882,0.5856422781944275
Race: White,5,0.6056249141693115,0.5519294142723083,0.5545470714569092,0.5490237474441528,0.557729959487915
Race: Black,5,0.6680874824523926,0.5712530612945557,0.5698665380477905,0.5705263018608093,0.7166666984558105
Race: Other,5,0.541218638420105,0.44350960850715637,0.43682795763015747,0.43739497661590576,0.49514564871788025
Overall,6,0.647361159324646,0.5838720202445984,0.5905284881591797,0.5827955007553101,0.6023809909820557
Gender: Male,6,0.6929476261138916,0.6186167001724243,0.6334843635559082,0.6158831119537354,0.6356275677680969
Gender: Female,6,0.5884429216384888,0.535946786403656,0.5368350744247437,0.5359183549880981,0.5549132823944092
Age: 50-65,6,0.647361159324646,0.5838720202445984,0.5905284881591797,0.5827955007553101,0.6023809909820557
Race: White,6,0.5683305263519287,0.5415094494819641,0.5418181419372559,0.5371848344802856,0.5373737812042236
Race: Black,6,0.8391062021255493,0.7046775817871094,0.7163407802581787,0.7101306915283203,0.8219177722930908
Race: Other,6,0.44533246755599976,0.45000001788139343,0.4373401403427124,0.4296296238899231,0.4761905074119568
Overall,7,0.598969042301178,0.5255670547485352,0.5293946266174316,0.5182791948318481,0.5489949584007263
Gender: Male,7,0.6027581691741943,0.5201910138130188,0.5249118208885193,0.4869920313358307,0.5044444799423218
Gender: Female,7,0.642314076423645,0.5580494999885559,0.5545270442962646,0.5552026629447937,0.6069363951683044
Age: 50-65,7,0.598969042301178,0.5255670547485352,0.5293946266174316,0.5182791948318481,0.5489949584007263
Race: White,7,0.5831137895584106,0.5254215002059937,0.5278030633926392,0.5145732760429382,0.5245579481124878
Race: Black,7,0.664801836013794,0.5566239356994629,0.5864802002906799,0.5512522459030151,0.6647398471832275
Race: Other,7,0.5566865801811218,0.4049145579338074,0.406282901763916,0.40556782484054565,0.48245614767074585
Overall,8,0.5818265676498413,0.5235708355903625,0.5250101685523987,0.5214781165122986,0.540229856967926
