group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6625145673751831,0.62507164478302,0.6237393617630005,0.6197656393051147,0.6201269030570984
Gender: Male,0,0.6615349054336548,0.6306955814361572,0.6303964257240295,0.6270965337753296,0.6271186470985413
Gender: Female,0,0.6618138551712036,0.6167215704917908,0.6136292815208435,0.6085349321365356,0.6101321578025818
Age: <40,0,0.6634854078292847,0.6714675426483154,0.6587368249893188,0.6606118679046631,0.6790540814399719
Age: 40-50,0,0.8286805152893066,0.7394484281539917,0.7382485866546631,0.7372598648071289,0.7374517321586609
Age: 50-65,0,0.5622352361679077,0.5359424352645874,0.5371921062469482,0.5300863981246948,0.5328466892242432
Race: White,0,0.6625145673751831,0.62507164478302,0.6237393617630005,0.6197656393051147,0.6201269030570984
Overall,1,0.6915923357009888,0.6456712484359741,0.6457968354225159,0.6447381973266602,0.644748866558075
Gender: Male,1,0.6674841642379761,0.6322048902511597,0.6330533027648926,0.6304223537445068,0.630691409111023
Gender: Female,1,0.7165555953979492,0.661490797996521,0.6612856984138489,0.661220133304596,0.6613546013832092
Age: <40,1,0.6570007801055908,0.6772139072418213,0.6643954515457153,0.664861798286438,0.6779661178588867
Age: 40-50,1,0.7915663719177246,0.7175766229629517,0.7175766229629517,0.7175766229629517,0.7177419066429138
Age: 50-65,1,0.6441933512687683,0.5754274129867554,0.5764098167419434,0.5756227970123291,0.5841785073280334
Race: White,1,0.6915923357009888,0.6456712484359741,0.6457968354225159,0.6447381973266602,0.644748866558075
Overall,2,0.6975358724594116,0.6534303426742554,0.6521131992340088,0.6520122289657593,0.6533980965614319
Gender: Male,2,0.6820772886276245,0.6526144742965698,0.6526144742965698,0.6526144742965698,0.6526315808296204
Gender: Female,2,0.7172631025314331,0.6552098989486694,0.6489256620407104,0.6481606960296631,0.6543477773666382
Age: <40,2,0.6242354512214661,0.6126735806465149,0.6099218726158142,0.6111164689064026,0.6595091819763184
Age: 40-50,2,0.784645140171051,0.7101162075996399,0.6983225345611572,0.6943585276603699,0.6987951397895813
Age: 50-65,2,0.6579535007476807,0.6121006011962891,0.6122795343399048,0.6121869087219238,0.6241758465766907
Race: White,2,0.6975358724594116,0.6534303426742554,0.6521131992340088,0.6520122289657593,0.6533980965614319
Overall,3,0.7103444337844849,0.6610701680183411,0.6610920429229736,0.6610804796218872,0.661493718624115
Gender: Male,3,0.7033804655075073,0.6793093681335449,0.6795488595962524,0.6793693900108337,0.6797752976417542
Gender: Female,3,0.7102738618850708,0.6415511965751648,0.6413952112197876,0.6414315700531006,0.6418510675430298
Age: <40,3,0.6523829698562622,0.6714138984680176,0.6640526056289673,0.6668572425842285,0.6973684430122375
Age: 40-50,3,0.7694274187088013,0.6946168541908264,0.6938878297805786,0.694158673286438,0.6961538195610046
Age: 50-65,3,0.6795254945755005,0.6098718643188477,0.6076592803001404,0.608191967010498,0.618843674659729
Race: White,3,0.7103444337844849,0.6610701680183411,0.6610920429229736,0.6610804796218872,0.661493718624115
Overall,4,0.6782506704330444,0.6547249555587769,0.6497814655303955,0.6498510837554932,0.6560636162757874
Gender: Male,4,0.6918567419052124,0.6734944581985474,0.6715545654296875,0.6722490787506104,0.6785714626312256
Gender: Female,4,0.670558512210846,0.6373845338821411,0.6304008960723877,0.6274101734161377,0.6334661245346069
Age: <40,4,0.635144829750061,0.6408307552337646,0.6208636164665222,0.6228636503219604,0.6644951105117798
Age: 40-50,4,0.8260869383811951,0.7766928672790527,0.753741979598999,0.7583592534065247,0.7710280418395996
Age: 50-65,4,0.6252387762069702,0.5996190309524536,0.5999078750610352,0.5995079278945923,0.6000000238418579
Race: White,4,0.6782506704330444,0.6547249555587769,0.6497814655303955,0.6498510837554932,0.6560636162757874
Overall,5,0.6944534778594971,0.6601802110671997,0.6566611528396606,0.6537032723426819,0.6551724076271057
Gender: Male,5,0.6879397630691528,0.6648285984992981,0.6597585678100586,0.6598334908485413,0.6653771996498108
Gender: Female,5,0.7050789594650269,0.6529200077056885,0.6526661515235901,0.6451561450958252,0.6451612710952759
Age: <40,5,0.602543294429779,0.6482492685317993,0.6205086708068848,0.6195944547653198,0.660649836063385
Age: 40-50,5,0.701962947845459,0.6648834943771362,0.6542957425117493,0.6449217796325684,0.6491228342056274
Age: 50-65,5,0.7122724056243896,0.6508375406265259,0.6519782543182373,0.6512240171432495,0.6556016802787781
Race: White,5,0.6944534778594971,0.6601802110671997,0.6566611528396606,0.6537032723426819,0.6551724076271057
Overall,6,0.6789075136184692,0.6444482207298279,0.6441673040390015,0.6435142755508423,0.6435826420783997
Gender: Male,6,0.6846619844436646,0.6619682312011719,0.6615151166915894,0.661548376083374,0.6621159911155701
Gender: Female,6,0.6768937110900879,0.6272134780883789,0.6233557462692261,0.6193866729736328,0.621730387210846
Age: <40,6,0.6697975397109985,0.6528787612915039,0.6433779001235962,0.64420485496521,0.6590909361839294
Age: 40-50,6,0.823290228843689,0.7403192520141602,0.7537661194801331,0.739591121673584,0.7443609237670898
Age: 50-65,6,0.5983016490936279,0.5816547870635986,0.5814883708953857,0.5812997221946716,0.5815324187278748
Race: White,6,0.6789075136184692,0.6444482207298279,0.6441673040390015,0.6435142755508423,0.6435826420783997
Overall,7,0.6797509789466858,0.6372116208076477,0.6368922591209412,0.6358611583709717,0.6359269618988037
Gender: Male,7,0.6964184045791626,0.6548810005187988,0.6549999713897705,0.6546136736869812,0.6546391844749451
Gender: Female,7,0.6605229377746582,0.6151961088180542,0.6138652563095093,0.611534833908081,0.6122004389762878
Age: <40,7,0.6352680325508118,0.6539604067802429,0.6446832418441772,0.6470420956611633,0.6710097193717957
Age: 40-50,7,0.8009690046310425,0.7097059488296509,0.7090989351272583,0.7035387754440308,0.7035573124885559
Age: 50-65,7,0.6209208965301514,0.5692108869552612,0.5696272850036621,0.5693557262420654,0.5779625773429871
Race: White,7,0.6797509789466858,0.6372116208076477,0.6368922591209412,0.6358611583709717,0.6359269618988037
Overall,8,0.6769697070121765,0.6314278841018677,0.629144549369812,0.6262806057929993,0.6273946166038513
Gender: Male,8,0.6507954597473145,0.6100672483444214,0.609673261642456,0.6081737279891968,0.6082862615585327
Gender: Female,8,0.7048647403717041,0.6547830104827881,0.6485710144042969,0.6440572738647461,0.6471735239028931
Age: <40,8,0.5943669080734253,0.6175086498260498,0.5874603986740112,0.5738950967788696,0.6167146563529968
Age: 40-50,8,0.7929205894470215,0.7082676887512207,0.7062217593193054,0.7067413330078125,0.7092510461807251
Age: 50-65,8,0.6554796695709229,0.5851743817329407,0.5861160755157471,0.5854686498641968,0.5957446694374084
Race: White,8,0.6769697070121765,0.6314278841018677,0.629144549369812,0.6262806057929993,0.6273946166038513
Overall,9,0.70390784740448,0.6463601589202881,0.6482632160186768,0.6442643404006958,0.6450450420379639
