group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6272367238998413,0.5914735794067383,0.5736495852470398,0.5606837868690491,0.5914396643638611
Gender: Female,0,0.6272367238998413,0.5914735794067383,0.5736495852470398,0.5606837868690491,0.5914396643638611
Age: <40,0,0.6122643947601318,0.5779892206192017,0.5742840766906738,0.5660565495491028,0.5695875883102417
Age: 40-50,0,0.6184573173522949,0.6235575675964355,0.5898923873901367,0.5629865527153015,0.5951417088508606
Age: 50-65,0,0.6189900040626526,0.5578030943870544,0.5375316143035889,0.5210714340209961,0.6106870174407959
Race: White,0,0.6579638719558716,0.6102769374847412,0.5989290475845337,0.5689808130264282,0.573737382888794
Race: Black,0,0.599225640296936,0.5294825434684753,0.5182870030403137,0.5084033608436584,0.6676923036575317
Race: Other,0,0.49884164333343506,0.5081685781478882,0.507506251335144,0.500273585319519,0.5144230723381042
Overall,1,0.6552731990814209,0.6275057792663574,0.604572057723999,0.5982969403266907,0.6299603581428528
Gender: Female,1,0.6552731990814209,0.6275057792663574,0.604572057723999,0.5982969403266907,0.6299603581428528
Age: <40,1,0.6466511487960815,0.6273813247680664,0.6210203170776367,0.6160703301429749,0.6207675337791443
Age: 40-50,1,0.6542431116104126,0.6012759208679199,0.5819237232208252,0.569708526134491,0.5991560816764832
Age: 50-65,1,0.6065512895584106,0.6000785827636719,0.5529123544692993,0.5374358892440796,0.664634108543396
Race: White,1,0.6954766511917114,0.6540306210517883,0.6389346718788147,0.6254875659942627,0.6326530575752258
Race: Black,1,0.6352947950363159,0.6211208701133728,0.5858033299446106,0.5913525819778442,0.7213114500045776
Race: Other,1,0.5475788116455078,0.5223381519317627,0.5190839767456055,0.5009071230888367,0.5190839767456055
Overall,2,0.6392208337783813,0.6073930263519287,0.5828486084938049,0.568286120891571,0.6038114428520203
Gender: Female,2,0.6392208337783813,0.6073930263519287,0.5828486084938049,0.568286120891571,0.6038114428520203
Age: <40,2,0.6473376154899597,0.6151804327964783,0.6084507703781128,0.6024566292762756,0.6081424951553345
Age: 40-50,2,0.6259573698043823,0.5655999183654785,0.5467205047607422,0.527107834815979,0.5810810923576355
Age: 50-65,2,0.6295572519302368,0.6260619163513184,0.5598958730697632,0.5229736566543579,0.6201298832893372
Race: White,2,0.689910888671875,0.6477581858634949,0.6335828900337219,0.6017552018165588,0.6054279804229736
Race: Black,2,0.6069222092628479,0.5499407052993774,0.5318686366081238,0.5264978408813477,0.685512363910675
Race: Other,2,0.4918915033340454,0.4566824436187744,0.46760284900665283,0.4439725875854492,0.5021276473999023
Overall,3,0.6395162343978882,0.6428587436676025,0.6127545833587646,0.6073784828186035,0.6461377739906311
Gender: Female,3,0.6395162343978882,0.6428587436676025,0.6127545833587646,0.6073784828186035,0.6461377739906311
Age: <40,3,0.6565666198730469,0.6632014513015747,0.6524233818054199,0.6518892645835876,0.6629526615142822
Age: 40-50,3,0.6574884653091431,0.6787393093109131,0.64455646276474,0.6434471607208252,0.6779026389122009
Age: 50-65,3,0.603661060333252,0.5552071332931519,0.5280847549438477,0.49341100454330444,0.6024096012115479
Race: White,3,0.6942062973976135,0.6832122206687927,0.662109375,0.6580639481544495,0.6721991896629333
Race: Black,3,0.5797511339187622,0.612574577331543,0.5746889114379883,0.5784313678741455,0.7209302186965942
Race: Other,3,0.48675408959388733,0.47716546058654785,0.48187047243118286,0.43115177750587463,0.4457142949104309
Overall,4,0.632527232170105,0.624764084815979,0.5975388884544373,0.594774067401886,0.6470000147819519
Gender: Female,4,0.632527232170105,0.624764084815979,0.5975388884544373,0.594774067401886,0.6470000147819519
Age: <40,4,0.6087440252304077,0.5851190090179443,0.5794908404350281,0.5759139657020569,0.5868421196937561
Age: 40-50,4,0.6686341762542725,0.6635593175888062,0.6258407831192017,0.6273373365402222,0.6827309131622314
Age: 50-65,4,0.5914342403411865,0.6193434000015259,0.5625166296958923,0.5517519116401672,0.684636116027832
Race: White,4,0.6602127552032471,0.6341589689254761,0.6148936152458191,0.6058242321014404,0.6242424249649048
Race: Black,4,0.576417088508606,0.5718283653259277,0.5368332862854004,0.5302115678787231,0.7266666889190674
Race: Other,4,0.5497835278511047,0.5594120025634766,0.5522924065589905,0.5492873787879944,0.5853658318519592
Overall,5,0.6498279571533203,0.6540665626525879,0.6132081747055054,0.6122573614120483,0.6742349863052368
Gender: Female,5,0.6498279571533203,0.6540665626525879,0.6132081747055054,0.6122573614120483,0.6742349863052368
Age: <40,5,0.6035465598106384,0.6139768362045288,0.6013268232345581,0.5952578783035278,0.6115288138389587
Age: 40-50,5,0.6603566408157349,0.6571553945541382,0.6104938387870789,0.6110427379608154,0.6865079998970032
Age: 50-65,5,0.6589770317077637,0.6845238208770752,0.5913915038108826,0.5923423171043396,0.7348066568374634
Race: White,5,0.6779838800430298,0.6949189901351929,0.6561436653137207,0.655608057975769,0.6895910501480103
Race: Black,5,0.5853480100631714,0.5518018007278442,0.533699631690979,0.5312840938568115,0.7093023061752319
Race: Other,5,0.5948797464370728,0.5837782621383667,0.5569970607757568,0.5360544323921204,0.5944700241088867
Overall,6,0.6646039485931396,0.6487019062042236,0.6025699377059937,0.5975306630134583,0.6653992533683777
Gender: Female,6,0.6646039485931396,0.6487019062042236,0.6025699377059937,0.5975306630134583,0.6653992533683777
Age: <40,6,0.6428251266479492,0.6493809223175049,0.6282416582107544,0.6234848499298096,0.6450703740119934
Age: 40-50,6,0.6946103572845459,0.6723098754882812,0.6044199466705322,0.5797016620635986,0.6375000476837158
Age: 50-65,6,0.6421568393707275,0.6035774946212769,0.5588922500610352,0.5535509586334229,0.695842444896698
Race: White,6,0.6747443675994873,0.6584476232528687,0.628520131111145,0.6171681880950928,0.6405919790267944
Race: Black,6,0.6074775457382202,0.5978828072547913,0.5466389060020447,0.5412672758102417,0.737313449382782
Race: Other,6,0.6527816653251648,0.5870103240013123,0.5589879751205444,0.544197142124176,0.6147540807723999
Overall,7,0.5977765321731567,0.6106719374656677,0.5870190858840942,0.5798649787902832,0.6230847835540771
Gender: Female,7,0.5977765321731567,0.6106719374656677,0.5870190858840942,0.5798649787902832,0.6230847835540771
Age: <40,7,0.5761904716491699,0.5992146730422974,0.5930137634277344,0.5901693105697632,0.6005586385726929
Age: 40-50,7,0.5746065378189087,0.6081196665763855,0.5859277844429016,0.5740203261375427,0.6067416071891785
Age: 50-65,7,0.6248548030853271,0.6002859473228455,0.551842451095581,0.533535897731781,0.6581920981407166
Race: White,7,0.6237221956253052,0.6357213258743286,0.6179167032241821,0.6083239912986755,0.6236559152603149
Race: Black,7,0.5945382118225098,0.6257587671279907,0.5802383422851562,0.5801632404327393,0.6970683932304382
Race: Other,7,0.486672967672348,0.482117235660553,0.48586955666542053,0.46732398867607117,0.512077271938324
Overall,8,0.6361266374588013,0.6332224607467651,0.6031162142753601,0.5994356870651245,0.6488326787948608
Gender: Female,8,0.6361266374588013,0.6332224607467651,0.6031162142753601,0.5994356870651245,0.6488326787948608
Age: <40,8,0.5939799547195435,0.6089035272598267,0.5991193056106567,0.59013432264328,0.5994961857795715
Age: 40-50,8,0.625,0.6626794338226318,0.6167470216751099,0.6159660220146179,0.6804511547088623
Age: 50-65,8,0.6524869799613953,0.5996854901313782,0.5617391467094421,0.5568227767944336,0.6794520616531372
Race: White,8,0.6868550181388855,0.6821304559707642,0.6518059372901917,0.6460360288619995,0.6679841876029968
Race: Black,8,0.5506412982940674,0.5309677124023438,0.5203696489334106,0.5140189528465271,0.6778115630149841
Race: Other,8,0.5430107116699219,0.5505083203315735,0.5416666865348816,0.5245093703269958,0.5492227673530579
Overall,9,0.6385732889175415,0.6419899463653564,0.5968733429908752,0.5923524498939514,0.6666666865348816
Gender: Female,9,0.6385732889175415,0.6419899463653564,0.5968733429908752,0.5923524498939514,0.6666666865348816
Age: <40,9,0.6451321840286255,0.647195041179657,0.625,0.6187406778335571,0.640625
Age: 40-50,9,0.6229135990142822,0.6260154247283936,0.5837264060974121,0.5815818905830383,0.6783439517021179
Age: 50-65,9,0.6129860877990723,0.6030303239822388,0.5459443926811218,0.527045488357544,0.6837838292121887
Race: White,9,0.67631995677948,0.6801013946533203,0.6256520748138428,0.6171373724937439,0.6673189997673035
Race: Black,9,0.5871037244796753,0.5815027952194214,0.5467216372489929,0.5392720699310303,0.6876876950263977
Race: Other,9,0.6061677932739258,0.601190447807312,0.5802156925201416,0.5772807002067566,0.6339285969734192
Overall,10,0.6641049385070801,0.6311699748039246,0.5958259105682373,0.5876131057739258,0.6408162713050842
Gender: Female,10,0.6641049385070801,0.6311699748039246,0.5958259105682373,0.5876131057739258,0.6408162713050842
Age: <40,10,0.6974442005157471,0.6656336188316345,0.6522852778434753,0.6508712768554688,0.6631016135215759
Age: 40-50,10,0.6047587394714355,0.5846920013427734,0.5557917356491089,0.5234755873680115,0.5732758641242981
Age: 50-65,10,0.6523874998092651,0.5672070384025574,0.5323640704154968,0.5104661583900452,0.6604278087615967
Race: White,10,0.6302593946456909,0.5735208988189697,0.563670814037323,0.5502640008926392,0.5668103694915771
Race: Black,10,0.6749929785728455,0.659904420375824,0.5846976041793823,0.5897436141967773,0.75
Race: Other,10,0.6751974821090698,0.6827439069747925,0.6192528605461121,0.5986368656158447,0.6462264060974121
Overall,11,0.6347284317016602,0.6052805185317993,0.5843518972396851,0.5786007642745972,0.621730387210846
Gender: Female,11,0.6347284317016602,0.6052805185317993,0.5843518972396851,0.5786007642745972,0.621730387210846
Age: <40,11,0.6789461374282837,0.6354483366012573,0.6308803558349609,0.6300034523010254,0.6353887319564819
Age: 40-50,11,0.6002752780914307,0.5661996603012085,0.5486161708831787,0.5315364003181458,0.5822784304618835
Age: 50-65,11,0.578168511390686,0.5481271743774414,0.5264805555343628,0.505222499370575,0.6328125
Race: White,11,0.7014668583869934,0.6538302302360535,0.6349138617515564,0.6321702003479004,0.6521739363670349
Race: Black,11,0.6023550629615784,0.5420454740524292,0.5239388942718506,0.5024992227554321,0.6230769157409668
Race: Other,11,0.5080183744430542,0.5159347057342529,0.5130199790000916,0.5030769109725952,0.5526315569877625
Overall,12,0.6500686407089233,0.6268369555473328,0.598570704460144,0.5914619565010071,0.6338027715682983
Gender: Female,12,0.6500686407089233,0.6268369555473328,0.598570704460144,0.5914619565010071,0.6338027715682983
Age: <40,12,0.6353884935379028,0.6012820601463318,0.5972906351089478,0.5953817367553711,0.6015424132347107
Age: 40-50,12,0.7255771160125732,0.7099862694740295,0.6613175868988037,0.6643611192703247,0.7090163826942444
