group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6467812061309814,0.5991195440292358,0.5928919315338135,0.5934457778930664,0.6176154613494873
Gender: Male,0,0.6467812061309814,0.5991195440292358,0.5928919315338135,0.5934457778930664,0.6176154613494873
Age: <40,0,0.5797120332717896,0.5781188607215881,0.5786553621292114,0.5777778029441833,0.5789473652839661
Age: 40-50,0,0.6523886919021606,0.5549665689468384,0.5467525720596313,0.5414811968803406,0.5816326141357422
Age: 50-65,0,0.6485258340835571,0.6020525693893433,0.5930180549621582,0.5953565239906311,0.6516392827033997
Race: White,0,0.6238299012184143,0.584811806678772,0.5796602964401245,0.572922945022583,0.5792253613471985
Race: Black,0,0.7112269401550293,0.6410098671913147,0.6705455183982849,0.6482324004173279,0.7151162624359131
Race: Other,0,0.6372994184494019,0.5618676543235779,0.5604946613311768,0.5610975623130798,0.6439790725708008
Overall,1,0.6540714502334595,0.6060121059417725,0.599987268447876,0.5992517471313477,0.6127291917800903
Gender: Male,1,0.6540714502334595,0.6060121059417725,0.599987268447876,0.5992517471313477,0.6127291917800903
Age: <40,1,0.6548038721084595,0.6208964586257935,0.6209791898727417,0.6195602416992188,0.6195652484893799
Age: 40-50,1,0.7894231081008911,0.717886209487915,0.6717948913574219,0.6633459329605103,0.6875000596046448
Age: 50-65,1,0.5828129053115845,0.5391952395439148,0.5377862453460693,0.5378570556640625,0.5690866112709045
Race: White,1,0.6067670583724976,0.57054603099823,0.5679891705513,0.560819149017334,0.5632582306861877
Race: Black,1,0.7609755992889404,0.6866933107376099,0.7205030918121338,0.6992379426956177,0.7860696315765381
Race: Other,1,0.6321777105331421,0.5685499310493469,0.565727710723877,0.5633699893951416,0.5704697966575623
Overall,2,0.6412531137466431,0.5989211797714233,0.5907227993011475,0.5903361439704895,0.614814817905426
Gender: Male,2,0.6412531137466431,0.5989211797714233,0.5907227993011475,0.5903361439704895,0.614814817905426
Age: <40,2,0.6561071872711182,0.6161904335021973,0.6147162914276123,0.6151498556137085,0.6230529546737671
Age: 40-50,2,0.7112282514572144,0.6405128240585327,0.6274813413619995,0.6250902414321899,0.640350878238678
Age: 50-65,2,0.5861062407493591,0.5488288998603821,0.5405730605125427,0.5363031625747681,0.5934343338012695
Race: White,2,0.5960444211959839,0.5732394456863403,0.5684330463409424,0.5599982142448425,0.5663716793060303
Race: Black,2,0.6881206035614014,0.6143410801887512,0.6203014254570007,0.6170056462287903,0.7292817831039429
Race: Other,2,0.6809364557266235,0.6080941557884216,0.6049609780311584,0.6062301993370056,0.6482412219047546
Overall,3,0.6061388254165649,0.5798013210296631,0.5717130303382874,0.5670620799064636,0.5864744782447815
Gender: Male,3,0.6061388254165649,0.5798013210296631,0.5717130303382874,0.5670620799064636,0.5864744782447815
Age: <40,3,0.595331072807312,0.566046416759491,0.5657517313957214,0.5644564032554626,0.5646687746047974
Age: 40-50,3,0.6688849329948425,0.6105222702026367,0.6064034104347229,0.5801005363464355,0.5808383226394653
Age: 50-65,3,0.5422171950340271,0.5350703001022339,0.5265265107154846,0.5190209150314331,0.6052631139755249
Race: White,3,0.6087062358856201,0.5819088220596313,0.5765172243118286,0.5642062425613403,0.5688073635101318
Race: Black,3,0.6977554559707642,0.6460317373275757,0.654282808303833,0.6493107676506042,0.6994818449020386
Race: Other,3,0.4937500059604645,0.4344193935394287,0.45093750953674316,0.4308519661426544,0.5121951103210449
Overall,4,0.6744347214698792,0.6356010437011719,0.6180826425552368,0.6146025657653809,0.6370370388031006
Gender: Male,4,0.6744347214698792,0.6356010437011719,0.6180826425552368,0.6146025657653809,0.6370370388031006
Age: <40,4,0.6381819844245911,0.6227317452430725,0.6199634075164795,0.611670970916748,0.612456738948822
Age: 40-50,4,0.8141483068466187,0.7307316064834595,0.7101746201515198,0.7133222222328186,0.7289719581604004
Age: 50-65,4,0.6136407852172852,0.5710059404373169,0.553634762763977,0.5452215075492859,0.6085973381996155
Race: White,4,0.653360903263092,0.6030784249305725,0.5952473878860474,0.5798007249832153,0.5845323801040649
Race: Black,4,0.8108108043670654,0.7518634796142578,0.7238341569900513,0.7353723049163818,0.8090451955795288
Race: Other,4,0.5911016464233398,0.5716230869293213,0.5619114637374878,0.5606799125671387,0.6105263233184814
Overall,5,0.680829644203186,0.623032808303833,0.6138527393341064,0.615005612373352,0.640350878238678
Gender: Male,5,0.680829644203186,0.623032808303833,0.6138527393341064,0.615005612373352,0.640350878238678
Age: <40,5,0.6187400817871094,0.5781699419021606,0.5769078135490417,0.5730490684509277,0.5739436745643616
Age: 40-50,5,0.69921875,0.6328125,0.6264880895614624,0.6257575750350952,0.634615421295166
Age: 50-65,5,0.6858724355697632,0.6185491681098938,0.6047002077102661,0.6088968515396118,0.6880952715873718
Race: White,5,0.678451657295227,0.6226359605789185,0.6153196096420288,0.611842155456543,0.6195856928825378
Race: Black,5,0.8094704747200012,0.7027187347412109,0.718285083770752,0.7092307806015015,0.7666667103767395
Race: Other,5,0.5322866439819336,0.5092592835426331,0.5081269145011902,0.5057376623153687,0.5820895433425903
Overall,6,0.6344202756881714,0.5882558822631836,0.5792924165725708,0.5781424641609192,0.6079429984092712
Gender: Male,6,0.6344202756881714,0.5882558822631836,0.5792924165725708,0.5781424641609192,0.6079429984092712
Age: <40,6,0.6859323382377625,0.6351338624954224,0.6349892616271973,0.6341285705566406,0.6341463327407837
Age: 40-50,6,0.6637499928474426,0.5899804830551147,0.5767083168029785,0.5712522268295288,0.6018099784851074
Age: 50-65,6,0.5641816854476929,0.5159086585044861,0.5127611756324768,0.5072017908096313,0.5949366688728333
Race: White,6,0.6023846864700317,0.5614151954650879,0.5557132959365845,0.5492779016494751,0.5645161271095276
Race: Black,6,0.7219434976577759,0.6371897459030151,0.6455329060554504,0.6408482789993286,0.7354497313499451
Race: Other,6,0.6585298180580139,0.602751612663269,0.5906380414962769,0.5900324583053589,0.6242774724960327
Overall,7,0.6425776481628418,0.6020433902740479,0.5936728715896606,0.5937879085540771,0.6201232075691223
Gender: Male,7,0.6425776481628418,0.6020433902740479,0.5936728715896606,0.5937879085540771,0.6201232075691223
Age: <40,7,0.6726435422897339,0.6296627521514893,0.6297399997711182,0.6286714673042297,0.6286764740943909
Age: 40-50,7,0.623428225517273,0.5909482836723328,0.5839567184448242,0.5809541344642639,0.5955555438995361
