group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.628374457359314,0.5651829242706299,0.5678979754447937,0.5656883716583252,0.5945945978164673
Gender: Male,0,0.648813784122467,0.5921635627746582,0.596552312374115,0.5919361114501953,0.6052104234695435
Gender: Female,0,0.567478597164154,0.5061240792274475,0.5060895085334778,0.5061007738113403,0.5777778029441833
Age: 50-65,0,0.628374457359314,0.5651829242706299,0.5678979754447937,0.5656883716583252,0.5945945978164673
Race: White,0,0.5820058584213257,0.538528561592102,0.5388277173042297,0.5381035804748535,0.5397148728370667
Race: Black,0,0.6570469737052917,0.5335076451301575,0.5458613038063049,0.5322881937026978,0.6871508359909058
Race: Other,0,0.5946524143218994,0.5290178656578064,0.5278074741363525,0.5282555222511292,0.6666666865348816
Overall,1,0.672725260257721,0.6139605641365051,0.6136810779571533,0.6138169169425964,0.6363636255264282
Gender: Male,1,0.6701821088790894,0.6152191162109375,0.6173050403594971,0.6154958009719849,0.6216768622398376
Gender: Female,1,0.6377354264259338,0.5976788997650146,0.5878526568412781,0.590383768081665,0.6570605039596558
Age: 50-65,1,0.672725260257721,0.6139605641365051,0.6136810779571533,0.6138169169425964,0.6363636255264282
Race: White,1,0.6529920101165771,0.5997320413589478,0.5994915962219238,0.5995568037033081,0.6011450290679932
Race: Black,1,0.5687142014503479,0.5457855463027954,0.5540083646774292,0.5462962985038757,0.6462584733963013
Race: Other,1,0.6552541255950928,0.5977433919906616,0.5830103158950806,0.5880987048149109,0.7393938899040222
Overall,2,0.6096973419189453,0.5634275078773499,0.5686794519424438,0.5628412961959839,0.5918854475021362
Gender: Male,2,0.6769111752510071,0.5875390768051147,0.6032873392105103,0.5741993188858032,0.5928853750228882
Gender: Female,2,0.5321298241615295,0.5491006374359131,0.5424620509147644,0.5398475527763367,0.5903614163398743
Age: 50-65,2,0.6096973419189453,0.5634275078773499,0.5686794519424438,0.5628412961959839,0.5918854475021362
Race: White,2,0.5636855363845825,0.5466932058334351,0.5489246845245361,0.5415805578231812,0.5469061732292175
Race: Black,2,0.6331456303596497,0.6081860065460205,0.5935639142990112,0.5966386795043945,0.6666666865348816
Race: Other,2,0.5817734003067017,0.5111053586006165,0.515886664390564,0.5038563013076782,0.6508876085281372
Overall,3,0.6378395557403564,0.565477728843689,0.5712940692901611,0.5645850896835327,0.5926772952079773
Gender: Male,3,0.6647859811782837,0.5721284747123718,0.5813157558441162,0.5664895176887512,0.5871743559837341
Gender: Female,3,0.585586428642273,0.5596998929977417,0.5605502128601074,0.5600519180297852,0.5999999642372131
Age: 50-65,3,0.6378395557403564,0.565477728843689,0.5712940692901611,0.5645850896835327,0.5926772952079773
Race: White,3,0.6133460998535156,0.5705199241638184,0.5738427639007568,0.5677284002304077,0.5749129056930542
Race: Black,3,0.710138201713562,0.5534330010414124,0.566705048084259,0.5558894276618958,0.7017543911933899
Race: Other,3,0.520310640335083,0.447674423456192,0.4422042965888977,0.4435330033302307,0.5271317958831787
Overall,4,0.603148341178894,0.5405079126358032,0.5451043844223022,0.5380582213401794,0.57351154088974
Gender: Male,4,0.602523922920227,0.5382807850837708,0.5444373488426208,0.5197168588638306,0.5347368121147156
Gender: Female,4,0.6115314960479736,0.5546025633811951,0.5486531257629395,0.5492587089538574,0.6264367699623108
Age: 50-65,4,0.603148341178894,0.5405079126358032,0.5451043844223022,0.5380582213401794,0.57351154088974
Race: White,4,0.5933090448379517,0.5354796051979065,0.5377016067504883,0.5282607078552246,0.5349794030189514
Race: Black,4,0.6542580127716064,0.5486437082290649,0.5634030103683472,0.5491949915885925,0.6785714030265808
Race: Other,4,0.47797030210494995,0.44007939100265503,0.44393566250801086,0.4416198432445526,0.5602836608886719
Overall,5,0.6189867258071899,0.5480045080184937,0.5502206683158875,0.5483410358428955,0.5869017243385315
Gender: Male,5,0.6459381580352783,0.5658251643180847,0.5791037678718567,0.5574139356613159,0.5898004174232483
Gender: Female,5,0.6118631362915039,0.5481401681900024,0.5404471755027771,0.5352963805198669,0.5830904245376587
Age: 50-65,5,0.6189867258071899,0.5480045080184937,0.5502206683158875,0.5483410358428955,0.5869017243385315
Race: White,5,0.5881175994873047,0.5477845668792725,0.5499080419540405,0.5463309288024902,0.557729959487915
Race: Black,5,0.6597479581832886,0.46653345227241516,0.47516679763793945,0.4679054021835327,0.6888889074325562
Race: Other,5,0.5568996667861938,0.4971334934234619,0.49686378240585327,0.4950980544090271,0.553398072719574
Overall,6,0.662175178527832,0.5872547626495361,0.5900052189826965,0.588172197341919,0.6190476417541504
Gender: Male,6,0.7038404941558838,0.6103284358978271,0.622255802154541,0.6102734804153442,0.6356275677680969
Gender: Female,6,0.5806064605712891,0.5609492063522339,0.5555790662765503,0.5551882386207581,0.5953757166862488
Age: 50-65,6,0.662175178527832,0.5872547626495361,0.5900052189826965,0.588172197341919,0.6190476417541504
Race: White,6,0.5987272262573242,0.564241886138916,0.5649999976158142,0.5635976791381836,0.5656566023826599
Race: Black,6,0.8195530772209167,0.6577144861221313,0.6607542037963867,0.6591970324516296,0.7945204973220825
Race: Other,6,0.39833760261535645,0.3957800567150116,0.3957800567150116,0.3957800567150116,0.523809552192688
Overall,7,0.6380906105041504,0.569074273109436,0.5766538977622986,0.568845272064209,0.6080402135848999
