group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6693280935287476,0.6241302490234375,0.6236635446548462,0.6237804889678955,0.6255666613578796
Gender: Male,0,0.6742116212844849,0.6234511137008667,0.622593879699707,0.6227691769599915,0.6255778074264526
Gender: Female,0,0.6627857685089111,0.6248832941055298,0.6247861981391907,0.6248225569725037,0.6255506277084351
Age: <40,0,0.6596022844314575,0.6304763555526733,0.6244210600852966,0.6254595518112183,0.6418918967247009
Age: 40-50,0,0.8088761568069458,0.7123109698295593,0.7093473672866821,0.7090193033218384,0.7104247212409973
Age: 50-65,0,0.5726112127304077,0.5568086504936218,0.5551155805587769,0.5553192496299744,0.5766423344612122
Race: White,0,0.6693280935287476,0.6241302490234375,0.6236635446548462,0.6237804889678955,0.6255666613578796
Overall,1,0.6866350769996643,0.6521991491317749,0.6512070894241333,0.6513323783874512,0.6529680490493774
Gender: Male,1,0.6800669431686401,0.6418872475624084,0.642261266708374,0.6420280933380127,0.6441821455955505
Gender: Female,1,0.6905714273452759,0.6659554243087769,0.6635873317718506,0.6622194051742554,0.6633466482162476
Age: <40,1,0.6813807487487793,0.68613201379776,0.6732755899429321,0.6740574836730957,0.6864407062530518
Age: 40-50,1,0.7337802052497864,0.6594551205635071,0.655397891998291,0.6542845964431763,0.6572580337524414
Age: 50-65,1,0.6474915742874146,0.6118786931037903,0.602719783782959,0.6028510332107544,0.6267748475074768
Race: White,1,0.6866350769996643,0.6521991491317749,0.6512070894241333,0.6513323783874512,0.6529680490493774
Overall,2,0.6773622035980225,0.6282761693000793,0.6283773183822632,0.6281129121780396,0.6281553506851196
Gender: Male,2,0.6220312118530273,0.589954137802124,0.5896750688552856,0.5892258882522583,0.5894737243652344
Gender: Female,2,0.7408734560012817,0.6750891208648682,0.6751720905303955,0.675127387046814,0.6760869026184082
Age: <40,2,0.6696398258209229,0.6237563490867615,0.6167601346969604,0.6193375587463379,0.6717790961265564
Age: 40-50,2,0.7184516191482544,0.6146048307418823,0.6145161390304565,0.6144018769264221,0.6144577860832214
Age: 50-65,2,0.5796352624893188,0.5856994986534119,0.5809422135353088,0.5812369585037231,0.6043956279754639
Race: White,2,0.6773622035980225,0.6282761693000793,0.6283773183822632,0.6281129121780396,0.6281553506851196
Overall,3,0.7051447629928589,0.6479871869087219,0.647435188293457,0.6458668112754822,0.6459748148918152
