group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6122804880142212,0.6316262483596802,0.5546503663063049,0.49471089243888855,0.5856031179428101
Gender: Female,0,0.6122804880142212,0.6316262483596802,0.5546503663063049,0.49471089243888855,0.5856031179428101
Age: <40,0,0.5942723155021667,0.5753166675567627,0.5378206968307495,0.4639403223991394,0.5231958627700806
Age: 40-50,0,0.6496785879135132,0.6810035705566406,0.5794962644577026,0.515350878238678,0.5870445370674133
Age: 50-65,0,0.5792441368103027,0.6508396863937378,0.5479288101196289,0.5011460781097412,0.6463104486465454
Race: White,0,0.6270495653152466,0.6419752836227417,0.5860577821731567,0.510709822177887,0.5414141416549683
Race: Black,0,0.576553463935852,0.35669782757759094,0.4914163053035736,0.4133574068546295,0.7046154141426086
Race: Other,0,0.45908623933792114,0.46978023648262024,0.48674821853637695,0.4110240638256073,0.504807710647583
Overall,1,0.6564723253250122,0.656731128692627,0.5633603930473328,0.5114490389823914,0.610119104385376
Gender: Female,1,0.6564723253250122,0.656731128692627,0.5633603930473328,0.5114490389823914,0.610119104385376
Age: <40,1,0.6685214638710022,0.5906579494476318,0.5448208451271057,0.47851982712745667,0.5440180897712708
Age: 40-50,1,0.6418434381484985,0.7094662189483643,0.5905604958534241,0.5399844646453857,0.6202531456947327
Age: 50-65,1,0.6015692949295044,0.7191558480262756,0.5560468435287476,0.5183133482933044,0.6920731663703918
Race: White,1,0.7244170904159546,0.6771584749221802,0.6001689434051514,0.5432184338569641,0.5873016119003296
Race: Black,1,0.5769988298416138,0.871666669845581,0.5304877758026123,0.48385751247406006,0.7475410103797913
Race: Other,1,0.5295145511627197,0.4739976227283478,0.4885496199131012,0.40535229444503784,0.4885496199131012
Overall,2,0.6539578437805176,0.6392534375190735,0.554234504699707,0.4920748770236969,0.5887662768363953
Gender: Female,2,0.6539578437805176,0.6392534375190735,0.554234504699707,0.4920748770236969,0.5887662768363953
Age: <40,2,0.6618149280548096,0.6646465063095093,0.588651180267334,0.5344691276550293,0.5877862572669983
Age: 40-50,2,0.6554797887802124,0.5989044904708862,0.5377152562141418,0.4775463044643402,0.5878378748893738
Age: 50-65,2,0.6223958730697632,0.581632673740387,0.5145833492279053,0.42342662811279297,0.5909090638160706
Race: White,2,0.7019608020782471,0.6318578720092773,0.5765151381492615,0.4932209253311157,0.5260960459709167
Race: Black,2,0.6134787797927856,0.5447424650192261,0.5106228590011597,0.46968188881874084,0.71378093957901
Race: Other,2,0.4740527868270874,0.5347533226013184,0.5068553686141968,0.4093731641769409,0.5659574270248413
Overall,3,0.6348118782043457,0.6395076513290405,0.561661422252655,0.5185567140579224,0.6169102191925049
Gender: Female,3,0.6348118782043457,0.6395076513290405,0.561661422252655,0.5185567140579224,0.6169102191925049
Age: <40,3,0.6793308258056641,0.5959587693214417,0.5538305044174194,0.5133566856384277,0.582172691822052
Age: 40-50,3,0.656566858291626,0.748358964920044,0.6133352518081665,0.5852280855178833,0.670412003993988
Age: 50-65,3,0.5518590211868286,0.5792748928070068,0.5222551226615906,0.4571519196033478,0.6114457845687866
Race: White,3,0.6824529767036438,0.6472052335739136,0.5935425758361816,0.5633106231689453,0.6120332479476929
Race: Black,3,0.5513008832931519,0.46655404567718506,0.49720022082328796,0.4314939081668854,0.724252462387085
Race: Other,3,0.4729729890823364,0.5189313292503357,0.5071581602096558,0.382480263710022,0.4457142949104309
Overall,4,0.6668888330459595,0.633650541305542,0.5552858710289001,0.5172311067581177,0.6360000371932983
Gender: Female,4,0.6668888330459595,0.633650541305542,0.5552858710289001,0.5172311067581177,0.6360000371932983
Age: <40,4,0.6598849296569824,0.5384571552276611,0.5188165307044983,0.45842936635017395,0.5394737124443054
Age: 40-50,4,0.7257378101348877,0.800236701965332,0.6392587423324585,0.6315066814422607,0.7228915691375732
Age: 50-65,4,0.5951858758926392,0.5949275493621826,0.5282702445983887,0.4883699417114258,0.6765498518943787
Race: White,4,0.6846317648887634,0.6790662407875061,0.5972995162010193,0.5553439259529114,0.6141414642333984
Race: Black,4,0.6387227773666382,0.5779660940170288,0.5068763494491577,0.45333948731422424,0.75
Race: Other,4,0.5523415803909302,0.39750751852989197,0.45306965708732605,0.39121213555336,0.5219511985778809
Overall,5,0.6178416013717651,0.6230509281158447,0.552264928817749,0.5187699198722839,0.6436328291893005
Gender: Female,5,0.6178416013717651,0.6230509281158447,0.552264928817749,0.5187699198722839,0.6436328291893005
Age: <40,5,0.6027141809463501,0.5823096036911011,0.5456311106681824,0.49938714504241943,0.5664160251617432
Age: 40-50,5,0.6150891780853271,0.7580215930938721,0.5932098627090454,0.5722336769104004,0.7023810148239136
Age: 50-65,5,0.5930129885673523,0.5360831022262573,0.5112028121948242,0.4734240472316742,0.6878453493118286
Race: White,5,0.6461595296859741,0.6413938403129578,0.5808514952659607,0.5564457178115845,0.631970226764679
Race: Black,5,0.5733821392059326,0.3764705955982208,0.4923076927661896,0.4266666769981384,0.7441860437393188
Race: Other,5,0.5209306478500366,0.49744898080825806,0.49909183382987976,0.4262232482433319,0.5529953837394714
Overall,6,0.6743712425231934,0.6510629653930664,0.5559146404266357,0.5160155296325684,0.6463878154754639
Gender: Female,6,0.6743712425231934,0.6510629653930664,0.5559146404266357,0.5160155296325684,0.6463878154754639
