group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7073204517364502,0.6442500352859497,0.648091197013855,0.6446084976196289,0.6509130001068115
Gender: Male,0,0.7073204517364502,0.6442500352859497,0.648091197013855,0.6446084976196289,0.6509130001068115
Age: <40,0,0.6649715900421143,0.6121019124984741,0.6046096682548523,0.6027796268463135,0.6153846383094788
Age: 40-50,0,0.7993558645248413,0.7171443700790405,0.7236714959144592,0.7128205299377441,0.714285671710968
Age: 50-65,0,0.6670844554901123,0.6037202477455139,0.6043179035186768,0.6040069460868835,0.6434425711631775
Race: White,0,0.6771805286407471,0.6273265480995178,0.6266319751739502,0.6261998414993286,0.6267605423927307
Race: Black,0,0.7330106496810913,0.6277152299880981,0.6499720811843872,0.6340425610542297,0.7093023061752319
Race: Other,0,0.7164438962936401,0.6189622282981873,0.633021354675293,0.6222808361053467,0.6701570749282837
Overall,1,0.673818826675415,0.636135995388031,0.6367064714431763,0.6363458633422852,0.6396979093551636
Gender: Male,1,0.673818826675415,0.636135995388031,0.6367064714431763,0.6363458633422852,0.6396979093551636
Age: <40,1,0.6755988597869873,0.5999469757080078,0.5993156433105469,0.5993454456329346,0.6014493107795715
Age: 40-50,1,0.8193910121917725,0.7640554904937744,0.759294867515564,0.7604084610939026,0.7633928656578064
Age: 50-65,1,0.589613676071167,0.5829384922981262,0.5850335359573364,0.5834099054336548,0.5995315909385681
Race: White,1,0.6075617074966431,0.5930343866348267,0.5922636985778809,0.5921891927719116,0.5944540500640869
Race: Black,1,0.6486281156539917,0.6234344244003296,0.614176869392395,0.6182336211204529,0.7611939907073975
Race: Other,1,0.7717587947845459,0.6500905752182007,0.6496027708053589,0.6497287750244141,0.6510066986083984
Overall,2,0.6953643560409546,0.6560155153274536,0.6600844860076904,0.6550724506378174,0.6582010388374329
Gender: Male,2,0.6953643560409546,0.6560155153274536,0.6600844860076904,0.6550724506378174,0.6582010388374329
Age: <40,2,0.7038613557815552,0.6374980211257935,0.6354609727859497,0.6228187084197998,0.6230529546737671
Age: 40-50,2,0.8052884340286255,0.7260427474975586,0.7273573279380798,0.7235512733459473,0.7236841917037964
Age: 50-65,2,0.6221110820770264,0.628343403339386,0.6286660432815552,0.62850022315979,0.6489899158477783
Race: White,2,0.6403379440307617,0.6258505582809448,0.6237810850143433,0.6227924227714539,0.6247787475585938
Race: Black,2,0.6650708913803101,0.5822137594223022,0.5954787731170654,0.5859476923942566,0.6906077861785889
Race: Other,2,0.8028985261917114,0.7109072208404541,0.7306577563285828,0.7119812965393066,0.7236180901527405
Overall,3,0.6242951154708862,0.5865422487258911,0.5870723724365234,0.5865447521209717,0.588691771030426
Gender: Male,3,0.6242951154708862,0.5865422487258911,0.5870723724365234,0.5865447521209717,0.588691771030426
Age: <40,3,0.6360050439834595,0.596321702003479,0.5940960645675659,0.5928066968917847,0.5962145328521729
