group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6537431478500366,0.6086773872375488,0.6165230870246887,0.6088493466377258,0.627764105796814
Gender: Male,0,0.6678102016448975,0.6041264533996582,0.610556423664093,0.6000032424926758,0.6072144508361816
Gender: Female,0,0.6120567917823792,0.6095238327980042,0.6135615706443787,0.6111604571342468,0.6603174805641174
Age: 50-65,0,0.6537431478500366,0.6086773872375488,0.6165230870246887,0.6088493466377258,0.627764105796814
Race: White,0,0.6231677532196045,0.6248009204864502,0.6258449554443359,0.624280571937561,0.6252546310424805
Race: Black,0,0.5970917344093323,0.48676472902297974,0.4788590669631958,0.4656716287136078,0.597765326499939
Race: Other,0,0.6946524381637573,0.5868687033653259,0.6034759283065796,0.5900914669036865,0.6736111044883728
Overall,1,0.6768958568572998,0.6016260385513306,0.604417085647583,0.6023930311203003,0.619617223739624
Gender: Male,1,0.6838200092315674,0.5864197611808777,0.5887323617935181,0.5839875340461731,0.5869120359420776
Gender: Female,1,0.646282434463501,0.6124929785728455,0.6057030558586121,0.6081386208534241,0.6657060384750366
Age: 50-65,1,0.6768958568572998,0.6016260385513306,0.604417085647583,0.6023930311203003,0.619617223739624
Race: White,1,0.6595664024353027,0.5904335975646973,0.5904335975646973,0.5904335975646973,0.5916030406951904
Race: Black,1,0.5330556631088257,0.536738395690918,0.5480218529701233,0.5296778678894043,0.6054421663284302
Race: Other,1,0.7260981798171997,0.6091753840446472,0.6214470267295837,0.6138583421707153,0.7212120890617371
Overall,2,0.6093714237213135,0.5528690814971924,0.5586773157119751,0.5481319427490234,0.5692124366760254
Gender: Male,2,0.6756751537322998,0.5712477564811707,0.5836038589477539,0.5442262887954712,0.5553359985351562
Gender: Female,2,0.5498367547988892,0.5534828901290894,0.5484540462493896,0.5476658344268799,0.5903614163398743
Age: 50-65,2,0.6093714237213135,0.5528690814971924,0.5586773157119751,0.5481319427490234,0.5692124366760254
Race: White,2,0.5745892524719238,0.5261747241020203,0.5274011492729187,0.5188983082771301,0.5229541063308716
Race: Black,2,0.6382944583892822,0.6003731489181519,0.6038616299629211,0.6017069816589355,0.6428571343421936
