group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6751060485839844,0.6156389713287354,0.6130739450454712,0.6072921752929688,0.608340859413147
Gender: Male,0,0.6811461448669434,0.622419536113739,0.6217259168624878,0.617763876914978,0.6178736686706543
Gender: Female,0,0.668053150177002,0.6057232618331909,0.5996734499931335,0.590509831905365,0.5947136282920837
Age: <40,0,0.6671345233917236,0.6484944820404053,0.6181286573410034,0.6139146685600281,0.6520270705223083
Age: 40-50,0,0.7726079225540161,0.6970587968826294,0.6958363056182861,0.6946893930435181,0.6949806809425354
Age: 50-65,0,0.5880648493766785,0.5462033748626709,0.5478302836418152,0.5408354997634888,0.543795645236969
Race: White,0,0.6751060485839844,0.6156389713287354,0.6130739450454712,0.6072921752929688,0.608340859413147
Overall,1,0.7061165571212769,0.6554611921310425,0.6533347368240356,0.6496626138687134,0.6502283215522766
Gender: Male,1,0.69489586353302,0.6502560377120972,0.6513029336929321,0.6488807201385498,0.6492411494255066
Gender: Female,1,0.71317458152771,0.660707950592041,0.6509047746658325,0.6458160877227783,0.6513944268226624
Age: <40,1,0.6832536458969116,0.6962355375289917,0.6312968134880066,0.6153289079666138,0.6610169410705566
Age: 40-50,1,0.7499837875366211,0.6880366802215576,0.6866662502288818,0.6851562261581421,0.6854838728904724
Age: 50-65,1,0.6782077550888062,0.6134481430053711,0.6126230359077454,0.6129690408706665,0.6247464418411255
Race: White,1,0.7061165571212769,0.6554611921310425,0.6533347368240356,0.6496626138687134,0.6502283215522766
Overall,2,0.679030179977417,0.6429344415664673,0.6396037340164185,0.6386737823486328,0.6417475938796997
Gender: Male,2,0.6616392135620117,0.6511111259460449,0.6506999731063843,0.6505663394927979,0.6508771777153015
Gender: Female,2,0.7045760154724121,0.633076548576355,0.6228404641151428,0.6194943189620972,0.6304347515106201
Age: <40,2,0.653075098991394,0.6582081317901611,0.6139993071556091,0.6184005737304688,0.7024539709091187
Age: 40-50,2,0.6886451244354248,0.6520805358886719,0.6461935639381409,0.6429874897003174,0.6465862989425659
Age: 50-65,2,0.6014246940612793,0.5818318128585815,0.5815607905387878,0.5816844701766968,0.595604419708252
Race: White,2,0.679030179977417,0.6429344415664673,0.6396037340164185,0.6386737823486328,0.6417475938796997
Overall,3,0.6984566450119019,0.6451048254966736,0.6428741216659546,0.6425753831863403,0.6450048685073853
Gender: Male,3,0.6733572483062744,0.634749174118042,0.6350200176239014,0.6346149444580078,0.6348314881324768
Gender: Female,3,0.7282774448394775,0.663873553276062,0.6525927782058716,0.6485599279403687,0.6559355854988098
Age: <40,3,0.6900060772895813,0.649372398853302,0.6083181500434875,0.6081649661064148,0.6776315569877625
Age: 40-50,3,0.7061061859130859,0.6364299058914185,0.6335097551345825,0.6335831880569458,0.6384615302085876
Age: 50-65,3,0.6525872945785522,0.6191856265068054,0.6175602674484253,0.6180766820907593,0.6274089813232422
Race: White,3,0.6984566450119019,0.6451048254966736,0.6428741216659546,0.6425753831863403,0.6450048685073853
Overall,4,0.6671713590621948,0.6389069557189941,0.6326140761375427,0.6319769620895386,0.640159010887146
Gender: Male,4,0.676985502243042,0.6504576802253723,0.6512362957000732,0.6507526636123657,0.6547619700431824
Gender: Female,4,0.6710191965103149,0.6378903388977051,0.6206474900245667,0.6112822890281677,0.6254980564117432
Age: <40,4,0.6608824729919434,0.678162693977356,0.6298314332962036,0.62978595495224,0.6872963905334473
Age: 40-50,4,0.6895937323570251,0.6704221367835999,0.6650926470756531,0.6664935350418091,0.6775700449943542
Age: 50-65,4,0.6307996511459351,0.5942357778549194,0.5945090651512146,0.5936416387557983,0.5938144326210022
Race: White,4,0.6671713590621948,0.6389069557189941,0.6326140761375427,0.6319769620895386,0.640159010887146
Overall,5,0.6407718658447266,0.6147755980491638,0.6125103235244751,0.6096441745758057,0.6111111044883728
Gender: Male,5,0.6250675916671753,0.610805869102478,0.6100562810897827,0.6101996302604675,0.613152801990509
Gender: Female,5,0.662298321723938,0.6221197843551636,0.6196196675300598,0.6085994243621826,0.6091081500053406
Age: <40,5,0.5471320152282715,0.582564115524292,0.5522727370262146,0.5322701930999756,0.6101083159446716
Age: 40-50,5,0.654468297958374,0.6353902816772461,0.6315841674804688,0.6264097690582275,0.6280701756477356
Age: 50-65,5,0.640633761882782,0.594001293182373,0.5933297872543335,0.5935704708099365,0.6016597747802734
Race: White,5,0.6407718658447266,0.6147755980491638,0.6125103235244751,0.6096441745758057,0.6111111044883728
Overall,6,0.6111024022102356,0.5863494873046875,0.5849653482437134,0.5823663473129272,0.5835641622543335
Gender: Male,6,0.5946387052536011,0.5781816244125366,0.5781351923942566,0.5781432390213013,0.5784983038902283
Gender: Female,6,0.6373193264007568,0.6029729843139648,0.5924642086029053,0.5799721479415894,0.5895372033119202
Age: <40,6,0.6431206464767456,0.6549019813537598,0.6084234118461609,0.5948725342750549,0.6428571343421936
Age: 40-50,6,0.730989933013916,0.6822448372840881,0.6926709413528442,0.6766073107719421,0.6804511547088623
Age: 50-65,6,0.5073953866958618,0.49696558713912964,0.4969816207885742,0.4963512420654297,0.4970530569553375
Race: White,6,0.6111024022102356,0.5863494873046875,0.5849653482437134,0.5823663473129272,0.5835641622543335
Overall,7,0.687073290348053,0.6208756566047668,0.6194547414779663,0.617021918296814,0.6176753044128418
Gender: Male,7,0.6906028389930725,0.6242303848266602,0.6242552995681763,0.6237102150917053,0.623711347579956
Gender: Female,7,0.6863837242126465,0.6188946962356567,0.6132286787033081,0.6064049005508423,0.6100217700004578
Age: <40,7,0.6880371570587158,0.656623363494873,0.6196499466896057,0.6177863478660583,0.6677524447441101
Age: 40-50,7,0.7408130168914795,0.6562936902046204,0.654700517654419,0.6480233669281006,0.6482213735580444
Age: 50-65,7,0.6127274036407471,0.559255063533783,0.5591774582862854,0.5592137575149536,0.5696465969085693
Race: White,7,0.687073290348053,0.6208756566047668,0.6194547414779663,0.617021918296814,0.6176753044128418
Overall,8,0.6214016675949097,0.6154974699020386,0.6115784645080566,0.6066489219665527,0.6091954112052917
Gender: Male,8,0.5711079835891724,0.5693314075469971,0.5687286853790283,0.5664105415344238,0.5668549537658691
Gender: Female,8,0.6735329627990723,0.667554497718811,0.6549254655838013,0.6470001339912415,0.6530214548110962
Age: <40,8,0.5168789625167847,0.5948783159255981,0.5564820766448975,0.5249114036560059,0.5936599373817444
Age: 40-50,8,0.7487915754318237,0.6958532333374023,0.6914860010147095,0.6919945478439331,0.6960352063179016
Age: 50-65,8,0.5902808904647827,0.5678107142448425,0.5685604810714722,0.5680147409439087,0.5787233710289001
Race: White,8,0.6214016675949097,0.6154974699020386,0.6115784645080566,0.6066489219665527,0.6091954112052917
Overall,9,0.6662346124649048,0.6102572679519653,0.6106853485107422,0.6035714149475098,0.6036036014556885
Gender: Male,9,0.6485177278518677,0.5914063453674316,0.592513918876648,0.5913121700286865,0.5946791768074036
Gender: Female,9,0.6890995502471924,0.6455162763595581,0.6331661939620972,0.6116782426834106,0.6157112717628479
Age: <40,9,0.6037780046463013,0.5453543066978455,0.5309967994689941,0.5110827088356018,0.5810810923576355
Age: 40-50,9,0.6953139305114746,0.6473712921142578,0.6433449983596802,0.6254085302352905,0.6259542107582092
Age: 50-65,9,0.6305639743804932,0.5805224776268005,0.5823191404342651,0.5811194777488708,0.6050724983215332
Race: White,9,0.6662346124649048,0.6102572679519653,0.6106853485107422,0.6035714149475098,0.6036036014556885
Overall,10,0.6397334337234497,0.6036064624786377,0.5988715887069702,0.5951941013336182,0.600566565990448
Gender: Male,10,0.6108113527297974,0.5941442251205444,0.5913786888122559,0.5881705284118652,0.5910714268684387
Gender: Female,10,0.670559823513031,0.6140873432159424,0.6063786745071411,0.6022368669509888,0.6112224459648132
Age: <40,10,0.6417587995529175,0.6242660284042358,0.5744059085845947,0.552964448928833,0.6282051205635071
Age: 40-50,10,0.6855803728103638,0.6500998735427856,0.6482669115066528,0.6483631134033203,0.6509804129600525
Age: 50-65,10,0.5812225341796875,0.5562992691993713,0.5568783283233643,0.5554708242416382,0.5569105744361877
Race: White,10,0.6397334337234497,0.6036064624786377,0.5988715887069702,0.5951941013336182,0.600566565990448
Overall,11,0.6713355779647827,0.6135097146034241,0.6104143857955933,0.6097075939178467,0.6147144436836243
Gender: Male,11,0.6532586812973022,0.6017725467681885,0.6013573408126831,0.601533055305481,0.6093189716339111
Gender: Female,11,0.6979899406433105,0.630582332611084,0.6253373622894287,0.6184806823730469,0.621052622795105
Age: <40,11,0.6750351190567017,0.6580460071563721,0.6157804727554321,0.6169856190681458,0.684684693813324
Age: 40-50,11,0.7210750579833984,0.6425868272781372,0.635857105255127,0.6356837749481201,0.6451612710952759
Age: 50-65,11,0.576948344707489,0.5376602411270142,0.5374240875244141,0.5374747514724731,0.5464601516723633
Race: White,11,0.6713355779647827,0.6135097146034241,0.6104143857955933,0.6097075939178467,0.6147144436836243
Overall,12,0.644564151763916,0.6126700043678284,0.6094449758529663,0.6061278581619263,0.6086556315422058
Gender: Male,12,0.6190279722213745,0.5810595750808716,0.5799680948257446,0.5789611339569092,0.5807560086250305
Gender: Female,12,0.6752597093582153,0.6530928015708923,0.6451681852340698,0.6374461054801941,0.6408730745315552
Age: <40,12,0.5875096321105957,0.6372301578521729,0.5784370303153992,0.5523676872253418,0.6267123222351074
Age: 40-50,12,0.69095778465271,0.6421464681625366,0.639941930770874,0.6384024620056152,0.6397306323051453
Age: 50-65,12,0.6114495992660522,0.5751062035560608,0.5752907395362854,0.5751771926879883,0.5794768333435059
Race: White,12,0.644564151763916,0.6126700043678284,0.6094449758529663,0.6061278581619263,0.6086556315422058
Overall,13,0.6698837280273438,0.630685567855835,0.6274263262748718,0.624706506729126,0.6268382668495178
Gender: Male,13,0.6825790405273438,0.641242504119873,0.6405218243598938,0.6405680179595947,0.6417657136917114
Gender: Female,13,0.6639264822006226,0.6242972612380981,0.6168923377990723,0.6055687665939331,0.609218418598175
Age: <40,13,0.6377315521240234,0.6600115299224854,0.5973206162452698,0.5870996117591858,0.6677419543266296
Age: 40-50,13,0.7092707753181458,0.6608828902244568,0.6608828902244568,0.6572437882423401,0.6572438478469849
Age: 50-65,13,0.6117974519729614,0.5785318613052368,0.5788179636001587,0.5786364078521729,0.5838384032249451
Race: White,13,0.6698837280273438,0.630685567855835,0.6274263262748718,0.624706506729126,0.6268382668495178
Overall,14,0.6917461156845093,0.6479462385177612,0.645862340927124,0.6444640159606934,0.6456400752067566
Gender: Male,14,0.7096716165542603,0.6697887778282166,0.6711432933807373,0.6694185137748718,0.6702508926391602
Gender: Female,14,0.6654143333435059,0.6155028343200684,0.6086833477020264,0.6074723601341248,0.6192307472229004
Age: <40,14,0.5432931184768677,0.6031762957572937,0.5697712898254395,0.565424919128418,0.6622951030731201
Age: 40-50,14,0.7769190073013306,0.7469969987869263,0.7455223798751831,0.7443075776100159,0.7445255517959595
Age: 50-65,14,0.6216455101966858,0.5668883919715881,0.5673900842666626,0.5670794248580933,0.5811623334884644
Race: White,14,0.6917461156845093,0.6479462385177612,0.645862340927124,0.6444640159606934,0.6456400752067566
Overall,15,0.654064416885376,0.6233090162277222,0.6222730875015259,0.6202471256256104,0.6206572651863098
Gender: Male,15,0.6563493013381958,0.6226314902305603,0.6226314902305603,0.6226314902305603,0.6226415038108826
