group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5305764079093933,0.5212255716323853,0.5146661400794983,0.4757131338119507,0.5180000066757202
Gender: Male,0,0.5595905780792236,0.5396080017089844,0.5318794846534729,0.5013771057128906,0.5207468867301941
Gender: Female,0,0.4940755367279053,0.4867071807384491,0.49246519804000854,0.4410304129123688,0.5154439806938171
Age: <40,0,0.5114054679870605,0.5473775863647461,0.529024600982666,0.4840659499168396,0.5399360656738281
Age: 40-50,0,0.580228328704834,0.5358620882034302,0.5249999761581421,0.4871945381164551,0.5271317958831787
Age: 50-65,0,0.5128885507583618,0.496075838804245,0.497098445892334,0.46175649762153625,0.4965035021305084
Race: White,0,0.5639707446098328,0.5246478915214539,0.5192128419876099,0.48781371116638184,0.513059675693512
Race: Black,0,0.49795520305633545,0.49506524205207825,0.4973447918891907,0.4330011010169983,0.5
Race: Other,0,0.48097825050354004,0.5276134014129639,0.5170539617538452,0.4818803071975708,0.5528846383094788
Overall,1,0.5250944495201111,0.5193418860435486,0.5142002105712891,0.47630828619003296,0.5080000162124634
Gender: Male,1,0.5475644469261169,0.543315589427948,0.5372979640960693,0.5119509100914001,0.5234042406082153
Gender: Female,1,0.49980059266090393,0.48031872510910034,0.48831906914711,0.433254599571228,0.49433964490890503
Age: <40,1,0.5033161640167236,0.47245848178863525,0.48013836145401,0.43847620487213135,0.4746268689632416
Age: 40-50,1,0.5532639026641846,0.5232919454574585,0.5166666507720947,0.4796651005744934,0.5166667103767395
Age: 50-65,1,0.5243766903877258,0.5522100925445557,0.5394042134284973,0.5035510659217834,0.5294117331504822
Race: White,1,0.5415223836898804,0.5354278087615967,0.5262246131896973,0.4868781864643097,0.5148147940635681
Race: Black,1,0.5436179637908936,0.5050003528594971,0.5037878751754761,0.4717661142349243,0.5037878751754761
Race: Other,1,0.4514785408973694,0.4925520420074463,0.4948979616165161,0.4517250061035156,0.4948979616165161
Overall,2,0.5409672260284424,0.5425535440444946,0.531582236289978,0.496795117855072,0.5270000100135803
Gender: Male,2,0.5445905327796936,0.5639535188674927,0.5521763563156128,0.5214142203330994,0.5375000238418579
Gender: Female,2,0.5349884033203125,0.5143015384674072,0.5095483064651489,0.46889328956604004,0.517307698726654
Age: <40,2,0.4801996946334839,0.4850422739982605,0.4899818003177643,0.43485382199287415,0.47246378660202026
Age: 40-50,2,0.55180823802948,0.5376089811325073,0.5276635885238647,0.4854786992073059,0.5125000476837158
Age: 50-65,2,0.5877302885055542,0.5893478393554688,0.5717127323150635,0.5543252825737,0.5807229280471802
Race: White,2,0.5677703619003296,0.5516544580459595,0.541815459728241,0.5171822905540466,0.5387324094772339
Race: Black,2,0.5116246342658997,0.5344082117080688,0.5217437148094177,0.4739341735839844,0.5230125188827515
Race: Other,2,0.49450546503067017,0.5223110318183899,0.5144365429878235,0.45806920528411865,0.49740931391716003
Overall,3,0.5050179958343506,0.5293852090835571,0.5219888091087341,0.4924233555793762,0.5270000100135803
Gender: Male,3,0.4871446490287781,0.5202797055244446,0.5171107053756714,0.49682021141052246,0.5158562064170837
Gender: Female,3,0.5185570120811462,0.5372764468193054,0.524004340171814,0.4839305281639099,0.53700190782547
Age: <40,3,0.5327943563461304,0.5263769030570984,0.5180693864822388,0.47562217712402344,0.5156695246696472
Age: 40-50,3,0.48148974776268005,0.5119326114654541,0.5079542398452759,0.46566659212112427,0.5129310488700867
Age: 50-65,3,0.5050020813941956,0.5421022176742554,0.53509521484375,0.5194220542907715,0.5443645119667053
Race: White,3,0.5118862986564636,0.5223122239112854,0.5173987746238708,0.49192771315574646,0.5227273106575012
Race: Black,3,0.45398378372192383,0.4923585057258606,0.49527889490127563,0.44422316551208496,0.5
Race: Other,3,0.5670992136001587,0.5832304358482361,0.567280650138855,0.5478036403656006,0.5714285969734192
Overall,4,0.5014258623123169,0.5044128894805908,0.5033783912658691,0.4835888147354126,0.531000018119812
Gender: Male,4,0.49024319648742676,0.4880998134613037,0.4900999665260315,0.47595858573913574,0.511904776096344
Gender: Female,4,0.5108738541603088,0.5236648321151733,0.5162530541419983,0.48975664377212524,0.5504032373428345
Age: <40,4,0.44850099086761475,0.4741895794868469,0.4799678921699524,0.46196749806404114,0.5173410177230835
Age: 40-50,4,0.5601896047592163,0.5225546956062317,0.5159916281700134,0.48882240056991577,0.5401785969734192
Age: 50-65,4,0.5131478309631348,0.5197091102600098,0.5154937505722046,0.4974127411842346,0.5372092723846436
Race: White,4,0.49268651008605957,0.486224889755249,0.48864272236824036,0.47165215015411377,0.5045537352561951
Race: Black,4,0.5179554224014282,0.4860696792602539,0.4903653562068939,0.46448221802711487,0.53515625
Race: Other,4,0.49136626720428467,0.5814516544342041,0.5545003414154053,0.5348054766654968,0.6000000238418579
Overall,5,0.5159916877746582,0.5199719667434692,0.5140793323516846,0.4651952385902405,0.4960000216960907
Gender: Male,5,0.5613308548927307,0.5491141676902771,0.5408811569213867,0.5025333166122437,0.5137420892715454
Gender: Female,5,0.4660472571849823,0.4727417230606079,0.48442092537879944,0.42047935724258423,0.4800758957862854
Age: <40,5,0.495272159576416,0.49084848165512085,0.49421966075897217,0.4429161548614502,0.4942196309566498
Age: 40-50,5,0.5617939233779907,0.5528702139854431,0.5380244851112366,0.47406524419784546,0.49392715096473694
Age: 50-65,5,0.5045355558395386,0.5200402140617371,0.515219509601593,0.47477227449417114,0.4987714886665344
Race: White,5,0.5019360780715942,0.504745364189148,0.5035357475280762,0.4600100517272949,0.486136794090271
Race: Black,5,0.5129280090332031,0.4981481432914734,0.4989374279975891,0.42646563053131104,0.4750957787036896
Race: Other,5,0.5729337334632874,0.5849198698997498,0.5634206533432007,0.526022732257843,0.5505050420761108
Overall,6,0.511316180229187,0.5070630311965942,0.505064070224762,0.466840922832489,0.5040000081062317
Gender: Male,6,0.532981276512146,0.5198112726211548,0.5160320997238159,0.4836381673812866,0.501984179019928
Gender: Female,6,0.47897499799728394,0.48097601532936096,0.48837020993232727,0.44117170572280884,0.5060483813285828
Age: <40,6,0.47452312707901,0.47128623723983765,0.4785406291484833,0.44536373019218445,0.4828571379184723
Age: 40-50,6,0.5153346061706543,0.5321937203407288,0.522027313709259,0.4670467972755432,0.4979919493198395
Age: 50-65,6,0.5410505533218384,0.5264278650283813,0.5188449025154114,0.4853139817714691,0.5261845588684082
Race: White,6,0.5058575868606567,0.48860591650009155,0.4911186397075653,0.45037397742271423,0.47155964374542236
Race: Black,6,0.5607989430427551,0.545201301574707,0.5284615159034729,0.4850073456764221,0.5375940203666687
Race: Other,6,0.42769694328308105,0.4984615445137024,0.4989604949951172,0.4739168882369995,0.5502645373344421
Overall,7,0.5219216346740723,0.5234083533287048,0.5172969698905945,0.48830291628837585,0.5270000100135803
Gender: Male,7,0.5551333427429199,0.5285601615905762,0.5229166746139526,0.4956473112106323,0.518367350101471
Gender: Female,7,0.4831417202949524,0.5122305154800415,0.5082390904426575,0.476433664560318,0.5352941751480103
Age: <40,7,0.46031641960144043,0.5151355862617493,0.5104482173919678,0.47715121507644653,0.5272206664085388
Age: 40-50,7,0.5612945556640625,0.5257896184921265,0.5193963050842285,0.4899549186229706,0.5239852666854858
Age: 50-65,7,0.5460569858551025,0.5277508497238159,0.5214064121246338,0.4961145520210266,0.5289474129676819
Race: White,7,0.5053499341011047,0.49840235710144043,0.4986625015735626,0.47201913595199585,0.4889298975467682
Race: Black,7,0.5173444747924805,0.4774475693702698,0.4914274215698242,0.41095781326293945,0.5203251838684082
Race: Other,7,0.5680396556854248,0.6041879057884216,0.5859718322753906,0.5841046571731567,0.6320754885673523
Overall,8,0.5181900262832642,0.47687047719955444,0.48346593976020813,0.444070965051651,0.484000027179718
Gender: Male,8,0.5038347244262695,0.4593749940395355,0.46690911054611206,0.4393162727355957,0.46341460943222046
Gender: Female,8,0.5258873701095581,0.4961523413658142,0.4976973533630371,0.4446353316307068,0.5039370059967041
Age: <40,8,0.48322102427482605,0.43420207500457764,0.4512796998023987,0.4093937277793884,0.4431487023830414
Age: 40-50,8,0.5747385025024414,0.5042372941970825,0.5027755498886108,0.45778071880340576,0.5067265033721924
Age: 50-65,8,0.5171256065368652,0.4980054497718811,0.49855518341064453,0.46433597803115845,0.5046082735061646
Race: White,8,0.515976071357727,0.4884437620639801,0.49085479974746704,0.4634210467338562,0.4920634627342224
Race: Black,8,0.5470792651176453,0.4383651912212372,0.4675534963607788,0.39779260754585266,0.47148287296295166
Race: Other,8,0.49051380157470703,0.47547847032546997,0.4829663336277008,0.43702325224876404,0.47647058963775635
Overall,9,0.5094094276428223,0.4949566125869751,0.4963819086551666,0.4548276662826538,0.49000000953674316
Gender: Male,9,0.497427761554718,0.4774729013442993,0.48178139328956604,0.4515758752822876,0.4736842215061188
Gender: Female,9,0.5192456841468811,0.5172964334487915,0.510424017906189,0.4547693729400635,0.5071868896484375
Age: <40,9,0.44712141156196594,0.4679487347602844,0.4793144166469574,0.4121552109718323,0.4486803412437439
