group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7258390188217163,0.6218702793121338,0.611131489276886,0.6092337369918823,0.6262626051902771
Gender: Male,0,0.6996378898620605,0.5838286876678467,0.5673140287399292,0.5633305311203003,0.6187500357627869
Gender: Female,0,0.7541612982749939,0.6386971473693848,0.6372172236442566,0.6345497369766235,0.6350364685058594
Age: <40,0,0.7287415266036987,0.5867456793785095,0.5684523582458496,0.535737931728363,0.5546218752861023
Age: 40-50,0,0.6824073791503906,0.5978261232376099,0.5958333611488342,0.5966799259185791,0.6376811861991882
Age: 50-65,0,0.7939958572387695,0.6901166439056396,0.691166341304779,0.6905806064605713,0.6972476840019226
Race: White,0,0.7042605876922607,0.6171697378158569,0.613095223903656,0.6146554946899414,0.6525423526763916
Race: Black,0,0.5,0.5416666865348816,0.75,0.41025641560554504,0.52173912525177
Race: Other,0,0.7326337099075317,0.615384578704834,0.6039479970932007,0.6017481088638306,0.6217948794364929
Overall,1,0.6348869800567627,0.5713477730751038,0.5682909488677979,0.568630039691925,0.5925925970077515
Gender: Male,1,0.659980058670044,0.5625346899032593,0.5560344457626343,0.5561643838882446,0.6111111044883728
Gender: Female,1,0.5901458263397217,0.5666667222976685,0.5662837028503418,0.5663491487503052,0.5703703761100769
Age: <40,1,0.663804292678833,0.5924199819564819,0.5774134993553162,0.5613605380058289,0.5806451439857483
Age: 40-50,1,0.6350677013397217,0.5278996825218201,0.5317177176475525,0.5265251994132996,0.5952380895614624
Age: 50-65,1,0.6200209856033325,0.5998475551605225,0.6029874086380005,0.5994599461555481,0.6067416071891785
Race: White,1,0.5866181254386902,0.5494483709335327,0.5507377982139587,0.5498379468917847,0.5878378748893738
Race: Black,1,0.203125,0.27142858505249023,0.25,0.24475525319576263,0.25
Race: Other,1,0.7387316226959229,0.6554169058799744,0.6436058878898621,0.6448863744735718,0.6640000343322754
Overall,2,0.6737703084945679,0.6235603094100952,0.6130732297897339,0.6126936674118042,0.6329966187477112
Gender: Male,2,0.6739130020141602,0.6277310848236084,0.5932678580284119,0.5861631035804749,0.6428571343421936
Gender: Female,2,0.6816214323043823,0.6201298236846924,0.6201298236846924,0.6201298236846924,0.6223776340484619
Age: <40,2,0.7613058090209961,0.6885964870452881,0.6674153804779053,0.6654976606369019,0.681034505367279
Age: 40-50,2,0.5601851940155029,0.5109127163887024,0.5109127163887024,0.5109127163887024,0.6091954112052917
Age: 50-65,2,0.6402188539505005,0.6060606241226196,0.6037391424179077,0.5950113534927368,0.5957446694374084
Race: White,2,0.5908288955688477,0.5672042965888977,0.5606260895729065,0.5590804815292358,0.5912408828735352
Race: Black,2,0.6571428775787354,0.2666666805744171,0.4000000059604645,0.3199999928474426,0.47058823704719543
Race: Other,2,0.7457188367843628,0.698727011680603,0.6678614020347595,0.6675823926925659,0.692307710647583
Overall,3,0.6510778665542603,0.592323899269104,0.5822296142578125,0.5769230723381042,0.5959596037864685
