group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6437740325927734,0.5492587089538574,0.5283330678939819,0.4882025420665741,0.5622895359992981
Gender: Male,0,0.6380842924118042,0.5190369486808777,0.5083936452865601,0.4627821743488312,0.59375
Gender: Female,0,0.6056337356567383,0.5492559671401978,0.5353179574012756,0.4944075345993042,0.525547444820404
Age: <40,0,0.7684240341186523,0.7022935748100281,0.5625,0.4566210210323334,0.5378151535987854
Age: 40-50,0,0.5712963342666626,0.4415789544582367,0.4486111104488373,0.44259485602378845,0.52173912525177
Age: 50-65,0,0.6086956262588501,0.6057993173599243,0.5698757767677307,0.5511764883995056,0.6146788597106934
Race: White,0,0.647243082523346,0.6627746820449829,0.5742481350898743,0.5551587343215942,0.6779661178588867
Race: Black,0,1.0,0.529411792755127,0.6363636255264282,0.2698412835597992,0.30434784293174744
Race: Other,0,0.6231883764266968,0.46554839611053467,0.4777611196041107,0.4407547116279602,0.5128205418586731
Overall,1,0.6669491529464722,0.5757899880409241,0.5433616042137146,0.5161991119384766,0.6060605645179749
Gender: Male,1,0.7511605024337769,0.6493076086044312,0.5411140322685242,0.4936061501502991,0.6604938507080078
Gender: Female,1,0.5406539440155029,0.5283504724502563,0.523088812828064,0.5076470375061035,0.5407407283782959
Age: <40,1,0.6929482221603394,0.6022012233734131,0.5507416129112244,0.48917680978775024,0.5564516186714172
Age: 40-50,1,0.6642907857894897,0.550000011920929,0.5349251627922058,0.5320817232131958,0.6785714626312256
Age: 50-65,1,0.6514675617218018,0.5772058963775635,0.5495283007621765,0.5298113226890564,0.6067416071891785
Race: White,1,0.669294536113739,0.6200854778289795,0.5568020939826965,0.5369980335235596,0.6689189076423645
Race: Black,1,0.359375,0.2052631676197052,0.28125,0.19576719403266907,0.2083333432674408
Race: Other,1,0.7303459644317627,0.5965423583984375,0.56512051820755,0.5465985536575317,0.6080000400543213
Overall,2,0.6642011404037476,0.6452023983001709,0.5815689563751221,0.553347110748291,0.6262626051902771
Gender: Male,2,0.6812763214111328,0.6240941882133484,0.5480364561080933,0.5021181702613831,0.6233766078948975
Gender: Female,2,0.6369539499282837,0.653030276298523,0.6093073487281799,0.59061199426651,0.6293706297874451
Age: <40,2,0.7648996710777283,0.783719539642334,0.6430069208145142,0.6112874746322632,0.6724137663841248
Age: 40-50,2,0.6190476417541504,0.5484344363212585,0.5327380895614624,0.5286377668380737,0.6781609058380127
