group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.676141619682312,0.6387425661087036,0.5990509986877441,0.5826592445373535,0.6262626051902771
Gender: Male,0,0.6394009590148926,0.6214286088943481,0.5559578537940979,0.5244927406311035,0.637499988079071
Gender: Female,0,0.6816047430038452,0.6302668452262878,0.618757963180542,0.6063432097434998,0.6131386756896973
Age: <40,0,0.7647392153739929,0.7527778148651123,0.641865074634552,0.5837543606758118,0.6218487620353699
Age: 40-50,0,0.7055555582046509,0.6595022678375244,0.6305555701255798,0.6356550455093384,0.695652186870575
Age: 50-65,0,0.6097308397293091,0.5657567977905273,0.5548654198646545,0.5482177138328552,0.5871559381484985
Race: White,0,0.564223051071167,0.47679924964904785,0.484649121761322,0.46402615308761597,0.5762711763381958
Race: Black,0,1.0,0.53125,0.6590908765792847,0.3002028465270996,0.3478260934352875
Race: Other,0,0.7619523406028748,0.7350427508354187,0.6786606311798096,0.6742919683456421,0.7051281929016113
Overall,1,0.6475046873092651,0.5369046330451965,0.5286723375320435,0.5177577137947083,0.5757575631141663
Gender: Male,1,0.6901525259017944,0.5766666531562805,0.5228779911994934,0.47154104709625244,0.6419752836227417
Gender: Female,1,0.5600972175598145,0.49292972683906555,0.49292972683906555,0.49292972683906555,0.4962962865829468
Age: <40,1,0.666406512260437,0.6152482032775879,0.5845693349838257,0.5573598146438599,0.5887096524238586
Age: 40-50,1,0.6892373561859131,0.5509622097015381,0.5509622097015381,0.5509622097015381,0.6428571343421936
Age: 50-65,1,0.6084905862808228,0.42226892709732056,0.44182389974594116,0.4193127751350403,0.49438202381134033
Race: White,1,0.6159288883209229,0.49235475063323975,0.49343037605285645,0.48910462856292725,0.5675675868988037
Race: Black,1,0.328125,0.2310924530029297,0.25,0.20695652067661285,0.2083333432674408
Race: Other,1,0.7552410960197449,0.6640279293060303,0.6167452931404114,0.6073489785194397,0.656000018119812
Overall,2,0.6218103170394897,0.5686567425727844,0.548909068107605,0.5304800271987915,0.5858585834503174
Gender: Male,2,0.6335904598236084,0.6590278148651123,0.5401472449302673,0.47434085607528687,0.6233766078948975
Gender: Female,2,0.6099960803985596,0.5392696857452393,0.5378787517547607,0.5363858342170715,0.5454545617103577
Age: <40,2,0.6771488189697266,0.6269230842590332,0.5889487862586975,0.5681310892105103,0.6120689511299133
Age: 40-50,2,0.7063491344451904,0.5928792953491211,0.579365074634552,0.5829930901527405,0.6896551847457886
Age: 50-65,2,0.5047879219055176,0.4722222089767456,0.4799361526966095,0.42894577980041504,0.45744678378105164
Race: White,2,0.5429894924163818,0.4575892984867096,0.46858465671539307,0.44758063554763794,0.5182482004165649
Race: Black,2,0.34285712242126465,0.27142858505249023,0.27142858505249023,0.27142858505249023,0.29411765933036804
Race: Other,2,0.7118678092956543,0.7462711334228516,0.6446635127067566,0.6283139586448669,0.6853146553039551
Overall,3,0.6344081163406372,0.586423397064209,0.5725932121276855,0.5628136992454529,0.5892255902290344
Gender: Male,3,0.6804804801940918,0.6834094524383545,0.5723723769187927,0.5165807008743286,0.6097560524940491
Gender: Female,3,0.5999546051025391,0.5658730268478394,0.5659927129745483,0.5638850927352905,0.5639097690582275
Age: <40,3,0.6254801750183105,0.5880434513092041,0.5777848958969116,0.5683966279029846,0.5839415788650513
Age: 40-50,3,0.6948469877243042,0.6246973276138306,0.5829307436943054,0.5760743618011475,0.6575342416763306
Age: 50-65,3,0.580866813659668,0.5431034564971924,0.5383192300796509,0.5261437892913818,0.540229856967926
Race: White,3,0.5772290229797363,0.5269138813018799,0.5246913433074951,0.5239181518554688,0.5793651342391968
Race: Black,3,0.28125,0.26249998807907104,0.26249998807907104,0.2142857164144516,0.2142857313156128
Race: Other,3,0.7546948194503784,0.7047383189201355,0.6698943376541138,0.6561972498893738,0.6713286638259888
Overall,4,0.6565126180648804,0.6420729160308838,0.6152493357658386,0.6058082580566406,0.6329966187477112
Gender: Male,4,0.6300097703933716,0.6418439745903015,0.5586510300636292,0.5146520137786865,0.6226415038108826
Gender: Female,4,0.6693277359008789,0.6458377242088318,0.6453781127929688,0.6447596549987793,0.6449275612831116
Age: <40,4,0.6249417066574097,0.6614614725112915,0.6241258978843689,0.602218508720398,0.6259542107582092
Age: 40-50,4,0.6895999908447266,0.6267748475074768,0.6000000238418579,0.60317462682724,0.6800000071525574
Age: 50-65,4,0.6681159734725952,0.6162605881690979,0.6060386896133423,0.5961538553237915,0.6043956279754639
Race: White,4,0.5460317134857178,0.5593652129173279,0.5480952262878418,0.5450617671012878,0.6153846383094788
Race: Black,4,0.20000001788139343,0.375,0.33157896995544434,0.28042328357696533,0.2916666865348816
Race: Other,4,0.7851852178573608,0.7294466495513916,0.6911110877990723,0.6827484369277954,0.6987179517745972
Overall,5,0.658527672290802,0.6193277835845947,0.5969135761260986,0.586936354637146,0.616161584854126
Gender: Male,5,0.6457195281982422,0.576298713684082,0.5214025378227234,0.4528985619544983,0.6026490330696106
Gender: Female,5,0.6631006002426147,0.6302552223205566,0.6302552223205566,0.6301369667053223,0.6301369667053223
Age: <40,5,0.6325156092643738,0.618398904800415,0.6013708710670471,0.5836643576622009,0.5968992114067078
Age: 40-50,5,0.7939508557319641,0.7471719980239868,0.70652174949646,0.718367338180542,0.7681159377098083
Age: 50-65,5,0.5849056243896484,0.5239726305007935,0.5186628103256226,0.4980158805847168,0.5353535413742065
Race: White,5,0.547996997833252,0.4933333396911621,0.4949609637260437,0.481781929731369,0.5615384578704834
