group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5578122138977051,0.5322248339653015,0.5315423011779785,0.5212287902832031,0.5218855142593384
Gender: Male,0,0.5204081535339355,0.5096935629844666,0.5102040767669678,0.5047619342803955,0.512499988079071
Gender: Female,0,0.5527101755142212,0.530541181564331,0.5252881050109863,0.5076370239257812,0.5328466892242432
Age: <40,0,0.6621315479278564,0.5858451128005981,0.5823413133621216,0.5806544423103333,0.5882353186607361
Age: 40-50,0,0.5759259462356567,0.5551257133483887,0.5527777671813965,0.49232709407806396,0.49275362491607666
Age: 50-65,0,0.4568668007850647,0.47001346945762634,0.4692891836166382,0.46568626165390015,0.4678898751735687
Race: White,0,0.4548872113227844,0.47212642431259155,0.4696115255355835,0.46205881237983704,0.47457626461982727
Race: Black,0,0.5909091234207153,0.4642857015132904,0.2954545319080353,0.3611111044883728,0.5652173757553101
Race: Other,0,0.6565051078796387,0.5777615308761597,0.5707146525382996,0.5465116500854492,0.5512820482254028
Overall,1,0.6044726371765137,0.5810421705245972,0.5835452079772949,0.5711459517478943,0.5723905563354492
Gender: Male,1,0.6448938846588135,0.6184110045433044,0.6284814476966858,0.605687141418457,0.6111111044883728
Gender: Female,1,0.5459567308425903,0.5315566062927246,0.5312638282775879,0.5256916880607605,0.5259259343147278
Age: <40,1,0.5948477983474731,0.5748677253723145,0.5736404061317444,0.5712141990661621,0.5725806355476379
Age: 40-50,1,0.5630791187286377,0.4897959232330322,0.48752671480178833,0.4409722089767456,0.4523809552192688
Age: 50-65,1,0.6818658113479614,0.6805977821350098,0.6868448257446289,0.6805128455162048,0.6853932738304138
Race: White,1,0.5712553262710571,0.5525640845298767,0.558014988899231,0.545690655708313,0.5608108043670654
Race: Black,1,0.171875,0.220279723405838,0.1875,0.19576719403266907,0.2083333432674408
Race: Other,1,0.7486897706985474,0.6923611164093018,0.6814727783203125,0.6545851826667786,0.656000018119812
Overall,2,0.6188516616821289,0.57773756980896,0.5765301585197449,0.5620462894439697,0.5622895359992981
Gender: Male,2,0.6365708112716675,0.5839602947235107,0.5860799551010132,0.5707770586013794,0.5714285969734192
Gender: Female,2,0.5970090627670288,0.5668762922286987,0.5627705454826355,0.5487179756164551,0.5524475574493408
Age: <40,2,0.7421383857727051,0.6977375745773315,0.6963162422180176,0.6895629167556763,0.6896551847457886
Age: 40-50,2,0.5496031641960144,0.5204545259475708,0.523809552192688,0.45516324043273926,0.4597701132297516
Age: 50-65,2,0.4988600015640259,0.49154132604599,0.49179208278656006,0.4902503788471222,0.4999999701976776
Race: White,2,0.5835537910461426,0.5105848908424377,0.5106922388076782,0.4962430000305176,0.49635034799575806
Race: Black,2,0.1428571343421936,0.4523809552192688,0.4714285731315613,0.4333333373069763,0.529411792755127
Race: Other,2,0.6881720423698425,0.6437751054763794,0.6425726413726807,0.6292980909347534,0.6293706297874451
Overall,3,0.6266441345214844,0.5880550146102905,0.5833257436752319,0.5695799589157104,0.5723905563354492
Gender: Male,3,0.6533032655715942,0.6090686321258545,0.6069068908691406,0.5970215797424316,0.5975609421730042
Gender: Female,3,0.6047251224517822,0.5596271753311157,0.5530440807342529,0.5327958464622498,0.5413534045219421
Age: <40,3,0.6912078857421875,0.6367114782333374,0.6258002519607544,0.6145021915435791,0.6204379796981812
Age: 40-50,3,0.5394525527954102,0.5333333611488342,0.5354267358779907,0.5172869563102722,0.5205479264259338
Age: 50-65,3,0.5840380191802979,0.546491265296936,0.5420190095901489,0.5297297239303589,0.540229856967926
Race: White,3,0.6471879482269287,0.5697940587997437,0.5753086805343628,0.5514874458312988,0.5555555820465088
Race: Black,3,0.21250000596046448,0.2647058963775635,0.22499999403953552,0.2432432472705841,0.3214285969734192
Race: Other,3,0.6862285137176514,0.6616162061691284,0.6377151608467102,0.6229208707809448,0.6363636255264282
Overall,4,0.694282054901123,0.6397906541824341,0.6372624635696411,0.6291208863258362,0.6296296119689941
Gender: Male,4,0.7031606435775757,0.6678855419158936,0.6720430254936218,0.6682183146476746,0.6729559302330017
Gender: Female,4,0.6726890802383423,0.5931122303009033,0.5766806602478027,0.5588624477386475,0.5797101259231567
Age: <40,4,0.7981351613998413,0.7487975358963013,0.7411421537399292,0.7386150360107422,0.7404580116271973
Age: 40-50,4,0.5823999643325806,0.4906296730041504,0.49000000953674316,0.4517739415168762,0.4533333480358124
