group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.625298023223877,0.6274510025978088,0.5625802278518677,0.5179952383041382,0.5993266105651855
Gender: Male,0,0.6186635494232178,0.8181818127632141,0.5483871102333069,0.4771241843700409,0.6500000357627869
Gender: Female,0,0.6039265394210815,0.5629813075065613,0.5488690137863159,0.5169847011566162,0.540145993232727
Age: <40,0,0.7060657739639282,0.726190447807312,0.5942460298538208,0.5104460716247559,0.5714285969734192
Age: 40-50,0,0.5324074029922485,0.6425438523292542,0.5902777910232544,0.5866013169288635,0.6811594367027283
Age: 50-65,0,0.5938578248023987,0.545698881149292,0.5234644412994385,0.48159635066986084,0.5779816508293152
Race: White,0,0.5494987368583679,0.4748774468898773,0.48715540766716003,0.45137542486190796,0.5932203531265259
Race: Black,0,0.6818181872367859,0.53125,0.6590908765792847,0.3002028465270996,0.3478260934352875
Race: Other,0,0.6425120830535889,0.7276219725608826,0.5987006425857544,0.5568181872367859,0.6410256624221802
Overall,1,0.5864877700805664,0.5261188745498657,0.5165960788726807,0.49132776260375977,0.5757575631141663
Gender: Male,1,0.5971485376358032,0.628947377204895,0.5324933528900146,0.4788602888584137,0.654321014881134
Gender: Female,1,0.5322580337524414,0.46494871377944946,0.46829429268836975,0.45987653732299805,0.4814814627170563
Age: <40,1,0.6377829909324646,0.5601603984832764,0.5351288318634033,0.48389923572540283,0.5403225421905518
Age: 40-50,1,0.5523877143859863,0.5951417088508606,0.5837491154670715,0.5873016119003296,0.6904761791229248
Age: 50-65,1,0.5581761002540588,0.4171171188354492,0.4517819583415985,0.409140020608902,0.516853928565979
Race: White,1,0.5443702936172485,0.47203391790390015,0.47998785972595215,0.46459949016571045,0.5743243098258972
Race: Black,1,0.234375,0.3222222328186035,0.3125,0.2904347777366638,0.2916666865348816
Race: Other,1,0.6653563976287842,0.6631263494491577,0.578485369682312,0.5436508059501648,0.6320000290870667
Overall,2,0.5974019765853882,0.5592329502105713,0.5354105234146118,0.5033644437789917,0.5791245698928833
Gender: Male,2,0.583450198173523,0.581226110458374,0.5185834765434265,0.4417305588722229,0.6038960814476013
Gender: Female,2,0.5954349040985107,0.5441918969154358,0.5378788113594055,0.5272727012634277,0.5524475574493408
Age: <40,2,0.7023060917854309,0.5974999666213989,0.546720564365387,0.49462077021598816,0.5775862336158752
Age: 40-50,2,0.5833333730697632,0.6265479922294617,0.608134925365448,0.6138824820518494,0.7126436829566956
Age: 50-65,2,0.5102599263191223,0.4736841917037964,0.48358413577079773,0.4161490797996521,0.45744678378105164
Race: White,2,0.5787037014961243,0.5047935247421265,0.5028659701347351,0.47036081552505493,0.5620437860488892
Race: Black,2,0.27142858505249023,0.3499999940395355,0.37142857909202576,0.35606062412261963,0.4117647111415863
Race: Other,2,0.6111111640930176,0.6545284986495972,0.5659099817276001,0.5190485119819641,0.615384578704834
Overall,3,0.6279228925704956,0.6011397838592529,0.5640299320220947,0.533066987991333,0.5892255902290344
