group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.655722975730896,0.5995790362358093,0.5880395174026489,0.5875954627990723,0.6230000257492065
Gender: Male,0,0.6667385101318359,0.5969358086585999,0.5965876579284668,0.5967506766319275,0.6141079068183899
Gender: Female,0,0.6490299701690674,0.6121761798858643,0.5809990167617798,0.571835994720459,0.6312741041183472
Age: <40,0,0.6229864954948425,0.5770069360733032,0.5754437446594238,0.5752084851264954,0.5814696550369263
Age: 40-50,0,0.6840105056762695,0.6706911325454712,0.6446956992149353,0.6435479521751404,0.6705426573753357
Age: 50-65,0,0.6448037624359131,0.5545454621315002,0.5431289076805115,0.5401071906089783,0.6247086524963379
Race: White,0,0.6543490886688232,0.5951830744743347,0.5919746160507202,0.59164959192276,0.6007462739944458
Race: Black,0,0.670255184173584,0.6359648704528809,0.5692185163497925,0.5699887871742249,0.7421875
Race: Other,0,0.5484445095062256,0.5139859914779663,0.5121814012527466,0.5038241147994995,0.5336538553237915
Overall,1,0.6325536966323853,0.5644516944885254,0.5571739673614502,0.5538395643234253,0.5840000510215759
Gender: Male,1,0.6496410369873047,0.5630048513412476,0.5605128407478333,0.5605579614639282,0.5808510184288025
Gender: Female,1,0.6252323389053345,0.5693517923355103,0.5557395219802856,0.5459257364273071,0.5867924690246582
Age: <40,1,0.6278537511825562,0.5764923095703125,0.5757532119750977,0.5757017731666565,0.579104483127594
Age: 40-50,1,0.6505938768386841,0.5736081600189209,0.5670248866081238,0.5646358132362366,0.5875000357627869
Age: 50-65,1,0.6124489307403564,0.5247673392295837,0.5172393918037415,0.5013333559036255,0.585882306098938
Race: White,1,0.5948214530944824,0.5425567626953125,0.5414835214614868,0.5398428440093994,0.5444444417953491
Race: Black,1,0.6535047292709351,0.569993793964386,0.5429292917251587,0.5408908724784851,0.7159091234207153
Race: Other,1,0.5862751007080078,0.5160714387893677,0.5131208896636963,0.4907976984977722,0.5153061151504517
Overall,2,0.6425933837890625,0.5893473029136658,0.5814749598503113,0.5797698497772217,0.6020000576972961
Gender: Male,2,0.6589173674583435,0.607081413269043,0.6069225072860718,0.6069992184638977,0.6187500357627869
Gender: Female,2,0.6437469124794006,0.579511284828186,0.5632561445236206,0.5506268739700317,0.5865384340286255
Age: <40,2,0.6681678295135498,0.6088383793830872,0.6086335182189941,0.6084851026535034,0.6086956858634949
Age: 40-50,2,0.6893293857574463,0.6492674350738525,0.6389599442481995,0.6401140689849854,0.6583333611488342
Age: 50-65,2,0.5691276788711548,0.49367547035217285,0.4954809546470642,0.47837167978286743,0.5638554096221924
Race: White,2,0.6382688283920288,0.594407856464386,0.5922619104385376,0.5905060768127441,0.5933098196983337
Race: Black,2,0.6083996295928955,0.4673324525356293,0.48293545842170715,0.4593213200569153,0.6610878705978394
Race: Other,2,0.5725439786911011,0.5439457893371582,0.5407720804214478,0.5374024510383606,0.5544041395187378
Overall,3,0.6522356271743774,0.582797110080719,0.5700178146362305,0.5643296241760254,0.5980000495910645
Gender: Male,3,0.6811683773994446,0.5807973146438599,0.5722514390945435,0.5686366558074951,0.5919661521911621
Gender: Female,3,0.6250110864639282,0.5840784311294556,0.5667420625686646,0.55855393409729,0.6034155488014221
Age: <40,3,0.6585206985473633,0.60835862159729,0.6045454740524292,0.5964037179946899,0.5982906222343445
Age: 40-50,3,0.6373509168624878,0.5631944537162781,0.5552897453308105,0.5508452653884888,0.5818965435028076
Age: 50-65,3,0.6184625625610352,0.5183604955673218,0.5125916004180908,0.4995023310184479,0.60671466588974
Race: White,3,0.6166561841964722,0.5731033086776733,0.569075345993042,0.5625327229499817,0.5681818127632141
Race: Black,3,0.7194896936416626,0.6260504126548767,0.553093433380127,0.5435652136802673,0.7290076613426208
Race: Other,3,0.5545320510864258,0.48517900705337524,0.48691967129707336,0.478782594203949,0.5095238089561462
Overall,4,0.6755783557891846,0.6137489676475525,0.5999324321746826,0.5990098714828491,0.6300000548362732
Gender: Male,4,0.6554417610168457,0.5720751285552979,0.5688220262527466,0.568317174911499,0.5833333730697632
Gender: Female,4,0.6905168294906616,0.6659492254257202,0.626339852809906,0.6259427070617676,0.6774193048477173
Age: <40,4,0.6640256643295288,0.6034791469573975,0.6024136543273926,0.6005020141601562,0.6011560559272766
Age: 40-50,4,0.711214542388916,0.6777087450027466,0.652560293674469,0.6569368839263916,0.6964285969734192
Age: 50-65,4,0.6230831146240234,0.5504902005195618,0.5365628600120544,0.5284709334373474,0.6186046600341797
