group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6012722253799438,0.5503593683242798,0.5345380306243896,0.5171871185302734,0.5910000205039978
Gender: Male,0,0.5726473331451416,0.5429704785346985,0.5364762544631958,0.5316468477249146,0.5788382291793823
Gender: Female,0,0.6278936862945557,0.5681695938110352,0.5335005521774292,0.495899498462677,0.6023166179656982
Age: <40,0,0.6030161380767822,0.5152992606163025,0.5121835470199585,0.49390074610710144,0.5303514003753662
Age: 40-50,0,0.6427651643753052,0.6701095104217529,0.5999264717102051,0.5773504376411438,0.643410861492157
Age: 50-65,0,0.5511157512664795,0.50356125831604,0.5023597478866577,0.48646628856658936,0.6037296056747437
Race: White,0,0.5964549779891968,0.5358659029006958,0.5265874266624451,0.5045545697212219,0.5503731369972229
Race: Black,0,0.6286283731460571,0.5063545107841492,0.5030303001403809,0.4832298159599304,0.6953125
Race: Other,0,0.5241754055023193,0.5512820482254028,0.5389804840087891,0.5220588445663452,0.567307710647583
Overall,1,0.5803433656692505,0.5571017861366272,0.541559636592865,0.5251532196998596,0.5820000171661377
Gender: Male,1,0.5787039995193481,0.530702531337738,0.5266667008399963,0.5212365388870239,0.5595744252204895
Gender: Female,1,0.5803706645965576,0.5993400812149048,0.5566254258155823,0.5252004861831665,0.6018868088722229
Age: <40,1,0.5739283561706543,0.5641213655471802,0.5562513470649719,0.5474027395248413,0.5671641826629639
Age: 40-50,1,0.6414027214050293,0.5730501413345337,0.5511877536773682,0.5314626097679138,0.5875000357627869
Age: 50-65,1,0.538703441619873,0.519818902015686,0.5115593671798706,0.48422330617904663,0.5905882120132446
Race: White,1,0.5847665071487427,0.5378718376159668,0.5310439467430115,0.5127819776535034,0.5388888716697693
Race: Black,1,0.5717018842697144,0.5746517181396484,0.5479797720909119,0.5476870536804199,0.7159091234207153
Race: Other,1,0.5269186496734619,0.5271925926208496,0.5173383355140686,0.47081801295280457,0.5204081535339355
Overall,2,0.5941289663314819,0.5786956548690796,0.5599732995033264,0.5468912124633789,0.593000054359436
Gender: Male,2,0.6021745800971985,0.5803209543228149,0.5733113884925842,0.5723751187324524,0.6000000238418579
Gender: Female,2,0.5937103033065796,0.5918604731559753,0.5531620383262634,0.5172523856163025,0.5865384340286255
Age: <40,2,0.6116413474082947,0.5635871291160583,0.5560222864151001,0.5426900386810303,0.5565217733383179
Age: 40-50,2,0.6138107776641846,0.6135135293006897,0.5820545554161072,0.5693241953849792,0.6208333373069763
Age: 50-65,2,0.5442545413970947,0.5549271702766418,0.5365955829620361,0.5210939645767212,0.6072289347648621
Race: White,2,0.6286582946777344,0.593130350112915,0.576240062713623,0.557809591293335,0.5792253613471985
Race: Black,2,0.4640141725540161,0.43801313638687134,0.45994696021080017,0.44136881828308105,0.6276150345802307
Race: Other,2,0.5537844896316528,0.587202787399292,0.5676100850105286,0.553044319152832,0.590673565864563
Overall,3,0.5785621404647827,0.550872266292572,0.5379879474639893,0.5219391584396362,0.5740000009536743
Gender: Male,3,0.575054407119751,0.555400013923645,0.5466618537902832,0.538043737411499,0.5708245038986206
Gender: Female,3,0.5780764818191528,0.5439215898513794,0.5281548500061035,0.5022679567337036,0.5768501162528992
Age: <40,3,0.5765395760536194,0.5435968637466431,0.538025438785553,0.5160309672355652,0.5270655155181885
Age: 40-50,3,0.6176046133041382,0.5775448083877563,0.5601124167442322,0.5489369034767151,0.5948275923728943
Age: 50-65,3,0.5205026865005493,0.4985179305076599,0.4990842640399933,0.47827857732772827,0.6019184589385986
Race: White,3,0.586624026298523,0.5438127517700195,0.5339924097061157,0.505353569984436,0.5321969985961914
Race: Black,3,0.6044539213180542,0.5861513614654541,0.5631222128868103,0.565341591835022,0.6984732747077942
Race: Other,3,0.47291821241378784,0.4935064911842346,0.4948415756225586,0.4783386290073395,0.523809552192688
Overall,4,0.6198537349700928,0.585412323474884,0.5632924437522888,0.5517786741256714,0.6070000529289246
Gender: Male,4,0.582890510559082,0.545976996421814,0.5399487614631653,0.5333961844444275,0.5634921193122864
Gender: Female,4,0.6472827196121216,0.6437938213348389,0.580852746963501,0.5628442168235779,0.6512096524238586
Age: <40,4,0.6096346378326416,0.5633318424224854,0.5559957027435303,0.5404101610183716,0.5520231127738953
Age: 40-50,4,0.6537452340126038,0.6160554885864258,0.5878544449806213,0.5846691727638245,0.6473214626312256
Age: 50-65,4,0.5802489519119263,0.5570476651191711,0.5336283445358276,0.5158583521842957,0.630232572555542
Race: White,4,0.6254844069480896,0.5502079725265503,0.5403726696968079,0.516040027141571,0.5391620993614197
Race: Black,4,0.6408357620239258,0.6037777066230774,0.5837961435317993,0.589902937412262,0.7421875
Race: Other,4,0.5273987650871277,0.6089743375778198,0.5717998743057251,0.5546296238899231,0.620512843132019
Overall,5,0.616653561592102,0.5604495406150818,0.5444063544273376,0.529719352722168,0.5870000123977661
Gender: Male,5,0.6004928946495056,0.5326982736587524,0.5302085876464844,0.5281324982643127,0.5560253858566284
Gender: Female,5,0.6256617307662964,0.6190934181213379,0.557692289352417,0.5202064514160156,0.614800751209259
Age: <40,5,0.6258019208908081,0.5433089733123779,0.5364207625389099,0.5178372263908386,0.5375722646713257
Age: 40-50,5,0.6173199415206909,0.587831437587738,0.5628983974456787,0.550295889377594,0.6113360524177551
Age: 50-65,5,0.5863121747970581,0.5382882952690125,0.524835467338562,0.5096197128295898,0.6142506003379822
Race: White,5,0.6304847002029419,0.5685595870018005,0.5533366203308105,0.5287456512451172,0.556377112865448
Race: Black,5,0.6338918209075928,0.6257206201553345,0.5833333730697632,0.5877491235733032,0.7203065156936646
Race: Other,5,0.5154770612716675,0.4247363209724426,0.44154876470565796,0.42280784249305725,0.49494948983192444
Overall,6,0.6120692491531372,0.5557891726493835,0.5423709154129028,0.528672456741333,0.5800000429153442
Gender: Male,6,0.6125640273094177,0.5537214875221252,0.5477913022041321,0.543110191822052,0.569444477558136
Gender: Female,6,0.6050900220870972,0.5568861961364746,0.5327357053756714,0.5023698210716248,0.5907257795333862
Age: <40,6,0.5956716537475586,0.5290436744689941,0.5251888036727905,0.511904776096344,0.5314285755157471
Age: 40-50,6,0.6749837398529053,0.5928159952163696,0.5774853825569153,0.5675671100616455,0.5943775177001953
Age: 50-65,6,0.5525095462799072,0.520982027053833,0.5120294690132141,0.48884427547454834,0.6134663820266724
Race: White,6,0.6343055963516235,0.5703600645065308,0.5563725829124451,0.5329409837722778,0.5559632778167725
Race: Black,6,0.582575798034668,0.5302147269248962,0.5235605835914612,0.5224618315696716,0.6804511547088623
Race: Other,6,0.5123302936553955,0.47783684730529785,0.48303166031837463,0.4605800211429596,0.5079364776611328
Overall,7,0.5989717245101929,0.5535770058631897,0.5397994518280029,0.5293158888816833,0.5980000495910645
Gender: Male,7,0.5590969920158386,0.5335144996643066,0.5284014344215393,0.5232731103897095,0.573469340801239
Gender: Female,7,0.6342129111289978,0.5804374814033508,0.5498342514038086,0.5321123003959656,0.6215686798095703
Age: <40,7,0.586189866065979,0.5107194185256958,0.5088497400283813,0.4920650124549866,0.5214899778366089
Age: 40-50,7,0.6400159597396851,0.6245609521865845,0.5808354020118713,0.5683367252349854,0.6420664191246033
Age: 50-65,7,0.5502328872680664,0.5361841917037964,0.5270410180091858,0.5224217772483826,0.6368421316146851
Race: White,7,0.5892699956893921,0.5598975419998169,0.5474199652671814,0.5328882336616516,0.5701106786727905
Race: Black,7,0.6836673021316528,0.5752801299095154,0.555945873260498,0.5580657124519348,0.7032520174980164
Race: Other,7,0.4895872473716736,0.46666669845581055,0.47767356038093567,0.45290321111679077,0.5471698045730591
Overall,8,0.6037998795509338,0.5781292915344238,0.5560445785522461,0.5386703014373779,0.5920000076293945
Gender: Male,8,0.5995873212814331,0.5630409121513367,0.5542472004890442,0.5475621819496155,0.577235758304596
Gender: Female,8,0.6014554500579834,0.6047704219818115,0.5557141304016113,0.5213598012924194,0.6062992215156555
Age: <40,8,0.6067734956741333,0.5646704435348511,0.5587973594665527,0.5392325520515442,0.5451894998550415
Age: 40-50,8,0.6406224966049194,0.6213651895523071,0.5881712436676025,0.5650734901428223,0.6008968949317932
Age: 50-65,8,0.5281097888946533,0.48599281907081604,0.49268707633018494,0.46483391523361206,0.6244239807128906
Race: White,8,0.5871388912200928,0.55958491563797,0.5453674793243408,0.5153254270553589,0.5432098507881165
Race: Black,8,0.5321136713027954,0.46251145005226135,0.4742854833602905,0.46276021003723145,0.661596953868866
Race: Other,8,0.6660199165344238,0.6805555820465088,0.6387194991111755,0.6217178702354431,0.6470588445663452
Overall,9,0.5947240591049194,0.5882688760757446,0.5636363625526428,0.54584139585495,0.5950000286102295
Gender: Male,9,0.6248956322669983,0.6081470251083374,0.5888588428497314,0.58213871717453,0.6159844398498535
Gender: Female,9,0.56282639503479,0.5646120309829712,0.5383768677711487,0.5026708841323853,0.5728952884674072
Age: <40,9,0.6300539970397949,0.5997655391693115,0.5869045853614807,0.562820553779602,0.5718474984169006
Age: 40-50,9,0.5844584703445435,0.6126067638397217,0.5805084705352783,0.548321008682251,0.5805084705352783
Age: 50-65,9,0.5380879640579224,0.5071458220481873,0.5043859481811523,0.4866504669189453,0.6217494010925293
Race: White,9,0.5801069736480713,0.5578244924545288,0.5434224605560303,0.5138472318649292,0.5447897911071777
Race: Black,9,0.6330620646476746,0.6530691385269165,0.6210073828697205,0.6286393404006958,0.7200000286102295
Race: Other,9,0.5781768560409546,0.5833333730697632,0.5549970865249634,0.524564266204834,0.5763546824455261
Overall,10,0.6206245422363281,0.6000432968139648,0.5770053863525391,0.5685843825340271,0.6170000433921814
Gender: Male,10,0.6037372350692749,0.576866865158081,0.5681772828102112,0.5660282373428345,0.5983935594558716
Gender: Female,10,0.6350129842758179,0.6392065286636353,0.5863503217697144,0.5674920082092285,0.6354581713676453
