group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6501109600067139,0.6151335835456848,0.5910599231719971,0.5871443152427673,0.6360000371932983
Gender: Male,0,0.6398347616195679,0.581660270690918,0.5640624761581421,0.5576527714729309,0.6120332479476929
Gender: Female,0,0.659528374671936,0.6456390023231506,0.6160403490066528,0.6142768859863281,0.6583011746406555
Age: <40,0,0.6527366638183594,0.6011743545532227,0.5920447111129761,0.588192880153656,0.6038338541984558
Age: 40-50,0,0.6832751035690308,0.6710696220397949,0.630171000957489,0.623862624168396,0.6627907156944275
Age: 50-65,0,0.614647388458252,0.5728462934494019,0.5506317019462585,0.5443172454833984,0.6433566808700562
Race: White,0,0.671540379524231,0.6128448247909546,0.6007106900215149,0.5967864394187927,0.6156716346740723
Race: Black,0,0.6495214700698853,0.628602147102356,0.5715311169624329,0.5739162564277649,0.73828125
Race: Other,0,0.5403860807418823,0.54413902759552,0.5312968492507935,0.5084019303321838,0.5625
Overall,1,0.6283048987388611,0.5872554779052734,0.5675643682479858,0.557553768157959,0.6040000319480896
Gender: Male,1,0.642554759979248,0.5687581300735474,0.5550116896629333,0.5468427538871765,0.5936170220375061
Gender: Female,1,0.6146595478057861,0.6050474643707275,0.5789183378219604,0.5670814514160156,0.6132075786590576
Age: <40,1,0.6178702116012573,0.5600935816764832,0.5560724139213562,0.5521062612533569,0.5641791224479675
Age: 40-50,1,0.6565327644348145,0.5963144898414612,0.5692873597145081,0.5532827377319336,0.6041666865348816
Age: 50-65,1,0.6111580729484558,0.6004762053489685,0.5619044303894043,0.5465683937072754,0.6352940797805786
Race: White,1,0.6472389698028564,0.6008017063140869,0.5879120826721191,0.5778704881668091,0.5944444537162781
Race: Black,1,0.5957300662994385,0.5117871165275574,0.5075757503509521,0.4994403123855591,0.685606062412262
Race: Other,1,0.543580174446106,0.5256118178367615,0.5175465941429138,0.47777777910232544,0.5204081535339355
Overall,2,0.6374013423919678,0.6172963380813599,0.5922013521194458,0.5837708115577698,0.6230000257492065
Gender: Male,2,0.6512813568115234,0.6091267466545105,0.5865984559059143,0.5807127952575684,0.6250000596046448
Gender: Female,2,0.6295105218887329,0.6247702240943909,0.5974413156509399,0.5862665176391602,0.6211538314819336
Age: <40,2,0.6470627784729004,0.622643232345581,0.6141114234924316,0.6075152158737183,0.6144927740097046
Age: 40-50,2,0.6612673997879028,0.6403940916061401,0.6052855849266052,0.596875011920929,0.6416667103767395
Age: 50-65,2,0.5978919267654419,0.5730088353157043,0.5463231801986694,0.5298428535461426,0.6192771196365356
Race: White,2,0.6894593238830566,0.6442235708236694,0.6241567730903625,0.6122167706489563,0.6267605423927307
Race: Black,2,0.4791334867477417,0.4477052092552185,0.4685676395893097,0.4480665922164917,0.6401673555374146
Race: Other,2,0.5576881170272827,0.587202787399292,0.5676100850105286,0.553044319152832,0.590673565864563
Overall,3,0.6280561685562134,0.5727403163909912,0.5586649179458618,0.5494505167007446,0.5900000333786011
Gender: Male,3,0.6445209980010986,0.5812575817108154,0.5660468339920044,0.55636066198349,0.5919661521911621
Gender: Female,3,0.6124420166015625,0.5646364092826843,0.5517848134040833,0.5428802967071533,0.5882353186607361
Age: <40,3,0.6126099824905396,0.5434389114379883,0.5406647324562073,0.5280711054801941,0.5327635407447815
Age: 40-50,3,0.6429710388183594,0.5830343961715698,0.5703273415565491,0.5649912357330322,0.5991379022598267
Age: 50-65,3,0.5995116233825684,0.5563874244689941,0.5360195636749268,0.5234783887863159,0.633093535900116
Race: White,3,0.6230987310409546,0.5853049159049988,0.5751736164093018,0.5614018440246582,0.5738636255264282
Race: Black,3,0.6335078477859497,0.5187426805496216,0.5130152702331543,0.5067180395126343,0.6641221642494202
