group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5892156362533569,0.5441364645957947,0.5409348011016846,0.5399353504180908,0.5720000267028809
Gender: Male,0,0.5739223957061768,0.54193514585495,0.542079746723175,0.5419976115226746,0.5601660013198853
Gender: Female,0,0.6044812202453613,0.5492597222328186,0.5405459403991699,0.533994197845459,0.5830115675926208
Age: <40,0,0.5792242288589478,0.5318560004234314,0.5314554572105408,0.5312096476554871,0.5367411971092224
Age: 40-50,0,0.6436232328414917,0.6049157381057739,0.591560959815979,0.5885300040245056,0.6162790656089783
Age: 50-65,0,0.5418945550918579,0.5009304285049438,0.5008350014686584,0.498729944229126,0.5710955858230591
Race: White,0,0.5804997682571411,0.5434843897819519,0.5412856936454773,0.5392484068870544,0.5522388219833374
Race: Black,0,0.618341326713562,0.5493197441101074,0.5462520122528076,0.5473312139511108,0.6640625
Race: Other,0,0.5255809426307678,0.4910130500793457,0.49175411462783813,0.4866434335708618,0.509615421295166
Overall,1,0.5561988353729248,0.5351874232292175,0.5338610410690308,0.5333333015441895,0.5520000457763672
Gender: Male,1,0.5604661703109741,0.5338827967643738,0.5344988107681274,0.533633291721344,0.542553186416626
Gender: Female,1,0.5559138059616089,0.540035605430603,0.5352474451065063,0.5298753380775452,0.5603773593902588
Age: <40,1,0.5575037598609924,0.5243701934814453,0.5244399905204773,0.5242879986763,0.5253731608390808
Age: 40-50,1,0.6246464848518372,0.6062271595001221,0.598416268825531,0.5977848768234253,0.6166666746139526
Age: 50-65,1,0.5115476846694946,0.4893285632133484,0.49035346508026123,0.4869823157787323,0.5364705920219421
Race: White,1,0.5409890413284302,0.5223428010940552,0.5221153497695923,0.5215786099433899,0.5240740776062012
Race: Black,1,0.5444597005844116,0.5171683430671692,0.5176767706871033,0.517331063747406,0.6325757503509521
Race: Other,1,0.5413932800292969,0.5208839178085327,0.5187962055206299,0.5072742700576782,0.5204081535339355
Overall,2,0.5811407566070557,0.5798247456550598,0.5741066932678223,0.5728877186775208,0.593000054359436
Gender: Male,2,0.5837729573249817,0.5836835503578186,0.5836835503578186,0.5836835503578186,0.5958333611488342
Gender: Female,2,0.5838854312896729,0.5831664800643921,0.5695667862892151,0.5607811808586121,0.5903846025466919
Age: <40,2,0.6095577478408813,0.593448281288147,0.5910741090774536,0.5885944366455078,0.591304361820221
Age: 40-50,2,0.6437908411026001,0.6355011463165283,0.6293691396713257,0.6304280757904053,0.6458333730697632
Age: 50-65,2,0.507856011390686,0.5146130919456482,0.5125473737716675,0.5078460574150085,0.5638554096221924
Race: White,2,0.5928819179534912,0.5843706130981445,0.5814484357833862,0.5785017609596252,0.5827464461326599
Race: Black,2,0.4965516924858093,0.5105409026145935,0.5090627670288086,0.5077065229415894,0.6359832286834717
Race: Other,2,0.546844482421875,0.5607059001922607,0.5559531450271606,0.5526043772697449,0.5699481964111328
Overall,3,0.5751043558120728,0.537131667137146,0.5349670648574829,0.5334240198135376,0.5540000200271606
Gender: Male,3,0.5865747332572937,0.5547517538070679,0.5534107685089111,0.5532498359680176,0.5644820332527161
Gender: Female,3,0.5580545663833618,0.5185705423355103,0.5167169570922852,0.5126086473464966,0.544592022895813
Age: <40,3,0.570250928401947,0.531818151473999,0.531818151473999,0.5299145579338074,0.5299144983291626
Age: 40-50,3,0.5689982175827026,0.531562864780426,0.5289739370346069,0.5260469913482666,0.5517241358757019
Age: 50-65,3,0.5490689277648926,0.5094872117042542,0.5084707140922546,0.5064692497253418,0.5755395889282227
Race: White,3,0.5469781160354614,0.5143879652023315,0.5139327049255371,0.5096961259841919,0.5132575631141663
Race: Black,3,0.6186859011650085,0.5481376647949219,0.5449819564819336,0.545996367931366,0.652671754360199
Race: Other,3,0.5338062047958374,0.5197115540504456,0.5188835859298706,0.5175356268882751,0.5333333611488342
Overall,4,0.619326114654541,0.585551381111145,0.5811486840248108,0.5814315676689148,0.6030000448226929
