group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6496280431747437,0.6104059219360352,0.6025483012199402,0.6035799980163574,0.6310000419616699
Gender: Male,0,0.6294540166854858,0.5820474624633789,0.5791666507720947,0.5798155069351196,0.6037344932556152
Gender: Female,0,0.6692370772361755,0.6398733854293823,0.624487042427063,0.625825822353363,0.6563706398010254
Age: <40,0,0.6179323196411133,0.5914850234985352,0.5913872718811035,0.5914300084114075,0.5942491888999939
Age: 40-50,0,0.6900778412818909,0.6706911325454712,0.6446956992149353,0.6435479521751404,0.6705426573753357
Age: 50-65,0,0.6230940818786621,0.5774572491645813,0.568432629108429,0.5695881843566895,0.634032666683197
Race: White,0,0.6593351364135742,0.6263018250465393,0.6234918832778931,0.6238089799880981,0.6305969953536987
Race: Black,0,0.6699361801147461,0.6050600409507751,0.5781499147415161,0.583175003528595,0.71875
Race: Other,0,0.5354198217391968,0.5063740015029907,0.5058096051216125,0.5006668567657471,0.5240384936332703
Overall,1,0.6305910348892212,0.5751093626022339,0.5691540241241455,0.5679357647895813,0.5920000076293945
Gender: Male,1,0.6421818733215332,0.5595155954360962,0.5564568638801575,0.5561469793319702,0.5787233710289001
Gender: Female,1,0.6228360533714294,0.5904086232185364,0.5808498859405518,0.5784090757369995,0.6037735939025879
Age: <40,1,0.606347918510437,0.5801970958709717,0.580065131187439,0.5801103115081787,0.5820895433425903
Age: 40-50,1,0.6731476187705994,0.6123427152633667,0.5953054428100586,0.5908196568489075,0.6208333373069763
Age: 50-65,1,0.6191850900650024,0.5367461442947388,0.5307468175888062,0.5260551571846008,0.5835294127464294
Race: White,1,0.6218405961990356,0.5710484981536865,0.5695054531097412,0.5683722496032715,0.5722222328186035
Race: Black,1,0.6441689729690552,0.5469862222671509,0.5378787517547607,0.5386461615562439,0.685606062412262
Race: Other,1,0.560554027557373,0.5213032960891724,0.5185879468917847,0.5036637783050537,0.5204081535339355
Overall,2,0.6483315229415894,0.6138839721679688,0.6044437885284424,0.6037617325782776,0.6240000128746033
Gender: Male,2,0.636277437210083,0.6051853895187378,0.599903404712677,0.6006144285202026,0.6208333373069763
Gender: Female,2,0.6619610786437988,0.6239316463470459,0.6099355220794678,0.6066688299179077,0.6269230842590332
Age: <40,2,0.6516332626342773,0.6306585669517517,0.6288143396377563,0.6276057362556458,0.6289855241775513
Age: 40-50,2,0.7252770662307739,0.6670904755592346,0.6447144150733948,0.6447775363922119,0.6708333492279053
Age: 50-65,2,0.5785598158836365,0.5503212213516235,0.5432078838348389,0.5404750108718872,0.5927711129188538
Race: White,2,0.6649677753448486,0.6264728307723999,0.621924638748169,0.619269609451294,0.6232393980026245
Race: Black,2,0.5961980819702148,0.5227822065353394,0.5166666507720947,0.5123308897018433,0.6610878705978394
Race: Other,2,0.5739535093307495,0.5722416043281555,0.5674474239349365,0.5651823282241821,0.5803108811378479
Overall,3,0.6357431411743164,0.5719583034515381,0.5664723515510559,0.5649769306182861,0.5870000123977661
Gender: Male,3,0.6298803091049194,0.5656145811080933,0.5616291761398315,0.560163676738739,0.5771670341491699
Gender: Female,3,0.6435689926147461,0.5773582458496094,0.5702614188194275,0.568771243095398,0.5958254337310791
Age: <40,3,0.6145650148391724,0.5722980499267578,0.5721896886825562,0.5697866082191467,0.5698005557060242
Age: 40-50,3,0.6450976133346558,0.59846031665802,0.5854788422584534,0.5822328925132751,0.6120689511299133
Age: 50-65,3,0.6167328357696533,0.5202869176864624,0.5176281929016113,0.5152735710144043,0.5875300168991089
Race: White,3,0.6247058510780334,0.5683388710021973,0.5668512582778931,0.5641475915908813,0.5662878751754761
Race: Black,3,0.663594126701355,0.5143573880195618,0.5113929510116577,0.5085229873657227,0.6488549709320068
Race: Other,3,0.5549005270004272,0.5464285612106323,0.541912317276001,0.5377548336982727,0.561904788017273
Overall,4,0.649111270904541,0.6076468229293823,0.6001302599906921,0.6006101369857788,0.6240000128746033
Gender: Male,4,0.6389884948730469,0.5732429027557373,0.5685338973999023,0.5672433376312256,0.5853174924850464
Gender: Female,4,0.664436399936676,0.6427624225616455,0.6322625875473022,0.6346104145050049,0.6633064150810242
Age: <40,4,0.6152509450912476,0.5996975898742676,0.5991876125335693,0.5979939103126526,0.5982658863067627
Age: 40-50,4,0.6936098337173462,0.6363636255264282,0.6306390762329102,0.6325649619102478,0.660714328289032
Age: 50-65,4,0.6185867190361023,0.5695292353630066,0.5568676590919495,0.5552457571029663,0.6255813837051392
Race: White,4,0.6532090902328491,0.6098882555961609,0.6070035099983215,0.6041288375854492,0.6065573692321777
Race: Black,4,0.6431279182434082,0.5654222965240479,0.5611830949783325,0.5629111528396606,0.70703125
Race: Other,4,0.5543643236160278,0.5383822321891785,0.534275472164154,0.5307323932647705,0.5641025900840759
Overall,5,0.6518892049789429,0.6200957298278809,0.6159464716911316,0.6169002056121826,0.6330000162124634
Gender: Male,5,0.6612778902053833,0.6026714444160461,0.6041896343231201,0.6030286550521851,0.6109936237335205
Gender: Female,5,0.6475616097450256,0.6422021985054016,0.6268225312232971,0.6271874904632568,0.6527514457702637
Age: <40,5,0.6543370485305786,0.650436282157898,0.6503608822822571,0.650262713432312,0.650288999080658
Age: 40-50,5,0.6781500577926636,0.6413664817810059,0.6341381072998047,0.6357879638671875,0.6558704376220703
Age: 50-65,5,0.6036062240600586,0.5498789548873901,0.5433798432350159,0.5422461628913879,0.6044225692749023
Race: White,5,0.6414062976837158,0.5990380644798279,0.5983692407608032,0.5979623794555664,0.5988909602165222
Race: Black,5,0.6731334924697876,0.681932806968689,0.6431878805160522,0.6543187499046326,0.7509578466415405
Race: Other,5,0.5639825463294983,0.5516025424003601,0.551377534866333,0.5514751076698303,0.5707070827484131
Overall,6,0.6894285678863525,0.6365333199501038,0.6310272216796875,0.6321380138397217,0.6470000147819519
Gender: Male,6,0.6927816867828369,0.6419038772583008,0.6392125487327576,0.639963686466217,0.648809552192688
Gender: Female,6,0.6861401796340942,0.6301335096359253,0.6210716962814331,0.6223111152648926,0.6451612710952759
Age: <40,6,0.6559220552444458,0.623069167137146,0.6231979131698608,0.6228078603744507,0.6228571534156799
Age: 40-50,6,0.7761533260345459,0.7193976640701294,0.7049707770347595,0.7056688070297241,0.7148594260215759
Age: 50-65,6,0.6336606740951538,0.5725094079971313,0.5622203946113586,0.5622015595436096,0.6259351968765259
Race: White,6,0.6842948198318481,0.6378011703491211,0.6367768049240112,0.6360490322113037,0.6366972327232361
Race: Black,6,0.6765151619911194,0.6071951985359192,0.5942423939704895,0.5988417863845825,0.7180451154708862
Race: Other,6,0.6298642158508301,0.5684530735015869,0.5648755431175232,0.5634095668792725,0.5767195820808411
Overall,7,0.636665403842926,0.5822237730026245,0.5788058638572693,0.5795795917510986,0.6080000400543213
Gender: Male,7,0.6203311085700989,0.5644551515579224,0.5618272423744202,0.5622102618217468,0.5897958874702454
Gender: Female,7,0.6538249254226685,0.5994044542312622,0.5952001810073853,0.5963635444641113,0.6254902482032776
Age: <40,7,0.6042517423629761,0.5670815706253052,0.5673203468322754,0.5668231248855591,0.5673352479934692
Age: 40-50,7,0.6679393649101257,0.6434566974639893,0.6139445900917053,0.6129533052444458,0.660516619682312
Age: 50-65,7,0.6193233728408813,0.533142626285553,0.5316664576530457,0.5320312976837158,0.607894778251648
Race: White,7,0.6302260756492615,0.588417649269104,0.5870558023452759,0.5872105956077576,0.5940959453582764
Race: Black,7,0.6847948431968689,0.584373950958252,0.5638824105262756,0.5671131014823914,0.707317054271698
Race: Other,7,0.5410882234573364,0.500568151473999,0.500562846660614,0.5005183219909668,0.5283018946647644
Overall,8,0.6562132835388184,0.606316089630127,0.5941249132156372,0.5916839838027954,0.6170000433921814
Gender: Male,8,0.63675856590271,0.5817224979400635,0.5785024166107178,0.5782767534255981,0.5914633870124817
