group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6265915632247925,0.5893532037734985,0.5747205018997192,0.5754038691520691,0.6430000066757202
Gender: Male,0,0.6066529750823975,0.5813782811164856,0.5685185194015503,0.5683023929595947,0.6309524178504944
Gender: Female,0,0.6479988098144531,0.5974182486534119,0.5809020400047302,0.5825306177139282,0.6552419066429138
Age: <40,0,0.5775378942489624,0.5766594409942627,0.5760467648506165,0.5763173699378967,0.602996289730072
Age: 40-50,0,0.6692415475845337,0.6176083087921143,0.6044007539749146,0.6072138547897339,0.6605839133262634
Age: 50-65,0,0.6257174015045166,0.5734403133392334,0.5470873713493347,0.5390160083770752,0.655773401260376
Race: White,0,0.6362375020980835,0.6076371669769287,0.591237485408783,0.5859997868537903,0.6153846383094788
Race: Black,0,0.618180513381958,0.5679824352264404,0.5587557554244995,0.561678409576416,0.7168458700180054
Race: Other,0,0.5415723919868469,0.4934731721878052,0.49406108260154724,0.4928869605064392,0.6117020845413208
Overall,1,0.6282384395599365,0.600420355796814,0.5819997191429138,0.5825399160385132,0.6490000486373901
Gender: Male,1,0.6054397821426392,0.5897996425628662,0.5797901153564453,0.5808956623077393,0.6322067379951477
Gender: Female,1,0.6518495082855225,0.6136587858200073,0.582741379737854,0.5818025469779968,0.6659959554672241
Age: <40,1,0.6642497777938843,0.6047747731208801,0.6045361757278442,0.6046463251113892,0.6130267977714539
Age: 40-50,1,0.6667589545249939,0.6140351295471191,0.593576967716217,0.5918626189231873,0.6384976506233215
Age: 50-65,1,0.5622011423110962,0.5598654747009277,0.5368701815605164,0.528886079788208,0.6711026430130005
Race: White,1,0.63283371925354,0.5944960117340088,0.5795202255249023,0.5759136080741882,0.614545464515686
Race: Black,1,0.6240019202232361,0.595864474773407,0.5727403163909912,0.5779803991317749,0.7310606241226196
Race: Other,1,0.5482838153839111,0.5769927501678467,0.5653176307678223,0.5656593441963196,0.6344085931777954
Overall,2,0.6544644832611084,0.6289482116699219,0.6072605848312378,0.6099821329116821,0.6690000295639038
Gender: Male,2,0.644312858581543,0.6088672876358032,0.5980169773101807,0.6011778116226196,0.6698841452598572
Gender: Female,2,0.6707102060317993,0.6542186737060547,0.6193943619728088,0.6183085441589355,0.6680498123168945
Age: <40,2,0.6222443580627441,0.5966497659683228,0.5950759053230286,0.5954490303993225,0.6051660776138306
Age: 40-50,2,0.7460842132568359,0.7349414825439453,0.6925675868988037,0.7008747458457947,0.741525411605835
Age: 50-65,2,0.6088652610778809,0.5689690113067627,0.5462287068367004,0.5419808626174927,0.6693711876869202
Race: White,2,0.6750715970993042,0.6427263617515564,0.6223834753036499,0.6208177804946899,0.6495413184165955
Race: Black,2,0.5766946077346802,0.5481225252151489,0.5425401926040649,0.5443518161773682,0.7218044996261597
Race: Other,2,0.6164251565933228,0.6110278367996216,0.5894927382469177,0.5895630121231079,0.6507936120033264
Overall,3,0.6566937565803528,0.6259092092514038,0.6054723858833313,0.606324315071106,0.6540000438690186
Gender: Male,3,0.6334149837493896,0.6194312572479248,0.6064271330833435,0.6086834669113159,0.6535432934761047
Gender: Female,3,0.6818134784698486,0.6356668472290039,0.6059295535087585,0.6037671566009521,0.6544715166091919
Age: <40,3,0.6186659336090088,0.5960680246353149,0.5926573276519775,0.5910947918891907,0.5970696210861206
Age: 40-50,3,0.689913272857666,0.6511694192886353,0.6270997524261475,0.6326215267181396,0.6974790096282959
Age: 50-65,3,0.6467794179916382,0.6184450387954712,0.5857512354850769,0.584252655506134,0.6646216511726379
Race: White,3,0.6508370637893677,0.6146782040596008,0.5987654328346252,0.593292236328125,0.6173469424247742
Race: Black,3,0.6020768284797668,0.5894472599029541,0.5610305666923523,0.5638709664344788,0.7222222685813904
Race: Other,3,0.6692779064178467,0.6416851282119751,0.6365190148353577,0.6386834979057312,0.6853932738304138
Overall,4,0.6589207053184509,0.6236760020256042,0.6074541807174683,0.6109045743942261,0.6710000038146973
Gender: Male,4,0.6336826086044312,0.614680290222168,0.603326678276062,0.6059930324554443,0.6575875282287598
Gender: Female,4,0.6841853857040405,0.6337969303131104,0.6110367774963379,0.6154168248176575,0.6851851940155029
Age: <40,4,0.6580533981323242,0.6155662536621094,0.6149871349334717,0.6152275800704956,0.6228070259094238
Age: 40-50,4,0.6724175214767456,0.6404710412025452,0.6271113157272339,0.6303870677947998,0.6721311211585999
Age: 50-65,4,0.6355730295181274,0.5966435074806213,0.5698562264442444,0.5716994404792786,0.6912878751754761
Race: White,4,0.6680059432983398,0.6233813762664795,0.6099043488502502,0.6112238168716431,0.6467486619949341
Race: Black,4,0.5789949893951416,0.5785714387893677,0.5646733641624451,0.5690503120422363,0.7469879388809204
Race: Other,4,0.6345459222793579,0.6091121435165405,0.5962332487106323,0.5976600646972656,0.6428571343421936
Overall,5,0.6033909320831299,0.5600347518920898,0.5478390455245972,0.5443680286407471,0.6180000305175781
Gender: Male,5,0.5540292263031006,0.5278116464614868,0.5226470232009888,0.5181350111961365,0.5971369743347168
Gender: Female,5,0.650686502456665,0.5918096899986267,0.5716707706451416,0.5693264603614807,0.6379647850990295
Age: <40,5,0.5664290189743042,0.517703115940094,0.5175579786300659,0.5175607204437256,0.5323193669319153
Age: 40-50,5,0.6850416660308838,0.645035445690155,0.6174274682998657,0.6214481592178345,0.6854838728904724
Age: 50-65,5,0.5587410926818848,0.5209866166114807,0.5122045874595642,0.49309012293815613,0.6298568248748779
Race: White,5,0.5972521901130676,0.5661664009094238,0.5543400049209595,0.5473248958587646,0.5901060104370117
Race: Black,5,0.5882731676101685,0.5186046361923218,0.5138530731201172,0.5106825232505798,0.6782945990562439
Race: Other,5,0.5767359733581543,0.5374911427497864,0.5311071872711182,0.5292050838470459,0.6193181872367859
Overall,6,0.6179667711257935,0.5888074040412903,0.5771729350090027,0.5785272121429443,0.6410000324249268
Gender: Male,6,0.5786715745925903,0.5798771381378174,0.568874180316925,0.5709113478660583,0.657841145992279
Gender: Female,6,0.6481137275695801,0.5923212766647339,0.5811938643455505,0.5812864303588867,0.6247544288635254
Age: <40,6,0.6087251901626587,0.5691967010498047,0.5703752040863037,0.5685287117958069,0.5719844102859497
Age: 40-50,6,0.6318037509918213,0.582207202911377,0.5660465955734253,0.5643669962882996,0.6326530575752258
Age: 50-65,6,0.5921856164932251,0.5816211104393005,0.5560497641563416,0.5546042919158936,0.6807228922843933
Race: White,6,0.6101614236831665,0.615936279296875,0.5962725281715393,0.5925354957580566,0.6290322542190552
Race: Black,6,0.6128764152526855,0.5016968250274658,0.5018691420555115,0.5013329386711121,0.6988416910171509
Race: Other,6,0.5966289043426514,0.5573770403862,0.5549408197402954,0.5554753541946411,0.5956283807754517
Overall,7,0.6075713634490967,0.5804054141044617,0.5698612332344055,0.5712839365005493,0.6430000066757202
Gender: Male,7,0.5738308429718018,0.569858968257904,0.562885582447052,0.5644865036010742,0.6453608274459839
Gender: Female,7,0.6358222961425781,0.5903063416481018,0.5762646198272705,0.5769785642623901,0.6407766938209534
Age: <40,7,0.5756024122238159,0.543764591217041,0.5452409386634827,0.5436853170394897,0.5639097690582275
Age: 40-50,7,0.6667168736457825,0.6209356784820557,0.6167921423912048,0.6185316443443298,0.6707316637039185
Age: 50-65,7,0.5920568704605103,0.5771428346633911,0.5469570159912109,0.5393510460853577,0.6721311211585999
Race: White,7,0.63706374168396,0.6203068494796753,0.6048375964164734,0.606585681438446,0.6518650054931641
Race: Black,7,0.580815851688385,0.49817073345184326,0.49859189987182617,0.49410808086395264,0.6586345434188843
Race: Other,7,0.5202893018722534,0.5170198082923889,0.5166733264923096,0.5167748928070068,0.5957446694374084
Overall,8,0.5933271646499634,0.5579794645309448,0.5437072515487671,0.5369126200675964,0.6140000224113464
Gender: Male,8,0.5967632532119751,0.5643290281295776,0.5531755685806274,0.5525432229042053,0.6322957277297974
Gender: Female,8,0.6014333963394165,0.5542625784873962,0.5372475385665894,0.5206068754196167,0.5946502089500427
Age: <40,8,0.616492509841919,0.5692210793495178,0.5697014927864075,0.5693651437759399,0.576923131942749
Age: 40-50,8,0.689800500869751,0.6396783590316772,0.6090471148490906,0.6132217049598694,0.6899563670158386
Age: 50-65,8,0.5322766304016113,0.48015230894088745,0.48992112278938293,0.45478132367134094,0.5977653861045837
Race: White,8,0.6471362113952637,0.6024305820465088,0.5718837380409241,0.5544530153274536,0.6072664260864258
Race: Black,8,0.4923206567764282,0.4805145263671875,0.4811171889305115,0.48076924681663513,0.6707818508148193
Race: Other,8,0.4695628881454468,0.502680778503418,0.5023464560508728,0.4984927773475647,0.5586591958999634
Overall,9,0.6539384126663208,0.607841432094574,0.5870815515518188,0.5872154831886292,0.6500000357627869
Gender: Male,9,0.6299327611923218,0.5866930484771729,0.5674369931221008,0.5665406584739685,0.6485437154769897
Gender: Female,9,0.6753759384155273,0.6254506707191467,0.604897141456604,0.6053093671798706,0.6515464186668396
Age: <40,9,0.7251286506652832,0.6416319608688354,0.6416319608688354,0.6416319608688354,0.6538461446762085
Age: 40-50,9,0.6139512062072754,0.5741584300994873,0.551122784614563,0.5421136021614075,0.6309524178504944
Age: 50-65,9,0.6327798366546631,0.5930500626564026,0.5636082291603088,0.5589637756347656,0.6577868461608887
Race: White,9,0.6849929690361023,0.6366627216339111,0.6093907356262207,0.6043875217437744,0.6421052813529968
Race: Black,9,0.599490761756897,0.5474206209182739,0.5390064120292664,0.5396723747253418,0.6725978851318359
Race: Other,9,0.5785140991210938,0.5623853206634521,0.5574082136154175,0.5586880445480347,0.6375839114189148
Overall,10,0.6406018733978271,0.5987399816513062,0.5815396904945374,0.5815801620483398,0.6420000195503235
Gender: Male,10,0.6163010597229004,0.5901839733123779,0.5756893157958984,0.5758191347122192,0.63671875
Gender: Female,10,0.6654372215270996,0.6080632209777832,0.5877131223678589,0.587635338306427,0.6475409269332886
Age: <40,10,0.6105690598487854,0.579741358757019,0.5792961716651917,0.579444408416748,0.5858208537101746
Age: 40-50,10,0.6782879829406738,0.6288477182388306,0.6133078336715698,0.6144512891769409,0.6502057313919067
Age: 50-65,10,0.6022826433181763,0.5548239350318909,0.5310989022254944,0.5187007784843445,0.6687116622924805
Race: White,10,0.6542166471481323,0.6249790191650391,0.6033824682235718,0.5975253582000732,0.6284658312797546
Race: Black,10,0.6208436489105225,0.5531914830207825,0.5416519045829773,0.5432206392288208,0.7092198133468628
Race: Other,10,0.5579423308372498,0.5222107172012329,0.5212690830230713,0.5212593078613281,0.5762711763381958
Overall,11,0.6160932779312134,0.585598886013031,0.5686806440353394,0.5674446821212769,0.6370000243186951
Gender: Male,11,0.5987859964370728,0.58203125,0.5687503218650818,0.5694572925567627,0.642578125
Gender: Female,11,0.6367642879486084,0.5903018712997437,0.5693988800048828,0.5652432441711426,0.6311475038528442
Age: <40,11,0.6114267110824585,0.5639187097549438,0.5630359649658203,0.5629692077636719,0.5687732100486755
Age: 40-50,11,0.6381950378417969,0.6167573928833008,0.5933118462562561,0.5933098793029785,0.6536796689033508
Age: 50-65,11,0.5650529861450195,0.5409074425697327,0.5239173769950867,0.5118072628974915,0.6660000085830688
Race: White,11,0.6296789646148682,0.5991969108581543,0.5803173780441284,0.5759939551353455,0.6221033930778503
Race: Black,11,0.5680299997329712,0.5227948427200317,0.5166979432106018,0.5138888955116272,0.6888888478279114
Race: Other,11,0.5666667222976685,0.5658025741577148,0.5589286088943481,0.5584714412689209,0.6035503149032593
Overall,12,0.6376752257347107,0.5997946262359619,0.5886039733886719,0.5912970304489136,0.6600000262260437
Gender: Male,12,0.6221616268157959,0.5917287468910217,0.5837746262550354,0.5863006114959717,0.6653992533683777
Gender: Female,12,0.6546119451522827,0.6079524755477905,0.5935103893280029,0.5957061648368835,0.6540083885192871
Age: <40,12,0.6677333116531372,0.6334919929504395,0.6383333206176758,0.6332159638404846,0.64000004529953
Age: 40-50,12,0.6281358003616333,0.6005996465682983,0.5784867405891418,0.5799655914306641,0.6680672764778137
Age: 50-65,12,0.6092775464057922,0.5569866895675659,0.5425823926925659,0.5412642955780029,0.666015625
Race: White,12,0.6644433736801147,0.62230384349823,0.6116114854812622,0.6134899854660034,0.6482758522033691
