group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7073272466659546,0.6490340828895569,0.6560322046279907,0.6513294577598572,0.6760000586509705
Gender: Male,0,0.7354080677032471,0.6805920600891113,0.6882716417312622,0.6832048296928406,0.7023810148239136
Gender: Female,0,0.681670069694519,0.6160462498664856,0.6220446825027466,0.6178736686706543,0.649193525314331
Age: <40,0,0.659787654876709,0.6102777719497681,0.6122509837150574,0.5803772211074829,0.5805243253707886
Age: 40-50,0,0.7917251586914062,0.6953417658805847,0.6953417658805847,0.6953417658805847,0.7226277589797974
Age: 50-65,0,0.6823301315307617,0.6583820581436157,0.6461488604545593,0.6505597829818726,0.7037037014961243
Race: White,0,0.6904435157775879,0.6434486508369446,0.6449713706970215,0.6437571048736572,0.6472795605659485
Race: Black,0,0.6620335578918457,0.6295421123504639,0.632488489151001,0.6309523582458496,0.7419354915618896
Race: Other,0,0.7207295894622803,0.6212406158447266,0.6459276080131531,0.6209677457809448,0.6595744490623474
Overall,1,0.6914151906967163,0.6497665643692017,0.6526833772659302,0.6510302424430847,0.6780000329017639
Gender: Male,1,0.6843141317367554,0.6327893733978271,0.6337167620658875,0.6332271099090576,0.6600397229194641
Gender: Female,1,0.6994941234588623,0.6669502258300781,0.6724787354469299,0.669170618057251,0.696177065372467
Age: <40,1,0.6843839883804321,0.6441270709037781,0.6457334756851196,0.6358228921890259,0.6360152959823608
Age: 40-50,1,0.7090254426002502,0.679335355758667,0.6733112335205078,0.6754951477050781,0.6948356628417969
Age: 50-65,1,0.6657345294952393,0.628878653049469,0.6249632835388184,0.6267150044441223,0.6920152306556702
Race: White,1,0.6722221374511719,0.6517208814620972,0.6552965641021729,0.6522219181060791,0.6581818461418152
Race: Black,1,0.6342222690582275,0.6208574771881104,0.5882306098937988,0.595933735370636,0.7462121248245239
Race: Other,1,0.7044057846069336,0.6164065599441528,0.6251280307769775,0.6173896789550781,0.6397849321365356
Overall,2,0.7119729518890381,0.6645464897155762,0.6691341996192932,0.6663954854011536,0.690000057220459
Gender: Male,2,0.725246787071228,0.671647310256958,0.6828311681747437,0.6755772829055786,0.7084941864013672
Gender: Female,2,0.7005947828292847,0.6548371315002441,0.6551189422607422,0.6549749374389648,0.6701245307922363
Age: <40,2,0.6942505836486816,0.6440635323524475,0.6431539058685303,0.6309510469436646,0.6309963464736938
