group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.568911612033844,0.5521140098571777,0.5472108125686646,0.5456315279006958,0.581000030040741
Gender: Male,0,0.5625897645950317,0.5356927514076233,0.5350754261016846,0.5351850390434265,0.5580913424491882
Gender: Female,0,0.5748130083084106,0.5730597376823425,0.5590499043464661,0.5530368089675903,0.6023166179656982
Age: <40,0,0.5245726108551025,0.5295464396476746,0.5283735990524292,0.5265145301818848,0.5367411971092224
Age: 40-50,0,0.5974137783050537,0.587027907371521,0.5779554843902588,0.5754613280296326,0.6007751822471619
Age: 50-65,0,0.5722445249557495,0.5332978963851929,0.5287768244743347,0.5271462798118591,0.6013985872268677
Race: White,0,0.5642495155334473,0.5469056367874146,0.5439963936805725,0.5412543416023254,0.5559701323509216
Race: Black,0,0.5606061220169067,0.5108081102371216,0.5103667974472046,0.5104166269302368,0.6328125
Race: Other,0,0.5565029978752136,0.5698115229606628,0.5586581826210022,0.5502870082855225,0.5817307829856873
Overall,1,0.5758857131004333,0.5555540323257446,0.5496105551719666,0.5462639331817627,0.5760000348091125
Gender: Male,1,0.5590676069259644,0.5199999809265137,0.5192540884017944,0.5186344385147095,0.5404255390167236
Gender: Female,1,0.5970431566238403,0.5954444408416748,0.577712893486023,0.5703216791152954,0.6075471639633179
Age: <40,1,0.5126315355300903,0.5355556011199951,0.5343519449234009,0.5325976610183716,0.5402985215187073
Age: 40-50,1,0.6510888338088989,0.6462675333023071,0.6091628670692444,0.5993477702140808,0.6416667103767395
Age: 50-65,1,0.5755761861801147,0.5235295295715332,0.5209947228431702,0.5184729099273682,0.567058801651001
Race: White,1,0.5534752607345581,0.5286179780960083,0.5267857313156128,0.5212346315383911,0.5314814448356628
Race: Black,1,0.596877932548523,0.5338782072067261,0.5328282713890076,0.5332517027854919,0.6553030610084534
Race: Other,1,0.58575439453125,0.6087340712547302,0.5897115468978882,0.5721925497055054,0.5918367505073547
Overall,2,0.5735238790512085,0.5665320158004761,0.5616034269332886,0.559891939163208,0.581000030040741
Gender: Male,2,0.5733292698860168,0.5432651042938232,0.5428566336631775,0.5429720878601074,0.5583333373069763
Gender: Female,2,0.5807449817657471,0.596611738204956,0.5820385217666626,0.5749469995498657,0.6019230484962463
Age: <40,2,0.5700026750564575,0.5781828761100769,0.5766063928604126,0.5745776891708374,0.5768116116523743
Age: 40-50,2,0.5466041564941406,0.5482540130615234,0.5411338806152344,0.5345597267150879,0.5708333849906921
Age: 50-65,2,0.580603837966919,0.5532388687133789,0.5485765933990479,0.5480345487594604,0.590361475944519
Race: White,2,0.6045386791229248,0.5715311765670776,0.5691468119621277,0.5662059187889099,0.5704225301742554
Race: Black,2,0.412466824054718,0.43901246786117554,0.4447391629219055,0.4411880373954773,0.5774058699607849
Race: Other,2,0.5801345109939575,0.6138847470283508,0.5994361639022827,0.5945378541946411,0.6165803074836731
Overall,3,0.590343713760376,0.5555510520935059,0.5504451990127563,0.5475884675979614,0.5730000138282776
Gender: Male,3,0.6071661710739136,0.5620875954627991,0.5594067573547363,0.558687150478363,0.5729386806488037
Gender: Female,3,0.5745127201080322,0.5477960109710693,0.5405982732772827,0.5343151688575745,0.5730550289154053
Age: <40,3,0.559237539768219,0.5431610941886902,0.5416421890258789,0.5334311723709106,0.5356125235557556
Age: 40-50,3,0.6460849046707153,0.5883125066757202,0.5766689777374268,0.5729491710662842,0.6034482717514038
Age: 50-65,3,0.565908670425415,0.5282161831855774,0.5258318185806274,0.5252832770347595,0.5875300168991089
Race: White,3,0.5679560899734497,0.5328612923622131,0.5311657190322876,0.524566113948822,0.5303030610084534
Race: Black,3,0.5937615036964417,0.5549193620681763,0.5502175092697144,0.5516027808189392,0.6603053212165833
Race: Other,3,0.574613094329834,0.5566487312316895,0.550386905670166,0.5456730723381042,0.5714285969734192
Overall,4,0.6153443455696106,0.5625641345977783,0.5565736889839172,0.5546631813049316,0.5850000381469727
Gender: Male,4,0.6176697015762329,0.5668896436691284,0.5627400875091553,0.5614008903503418,0.5793651342391968
Gender: Female,4,0.6078718900680542,0.5543790459632874,0.5468525886535645,0.5438512563705444,0.5907257795333862
Age: <40,4,0.5906462669372559,0.550654947757721,0.548607587814331,0.5425708293914795,0.5462427735328674
Age: 40-50,4,0.643673300743103,0.5513868927955627,0.5489208698272705,0.5491592288017273,0.5848214626312256
Age: 50-65,4,0.5975955724716187,0.5592787265777588,0.5496734380722046,0.5481208562850952,0.6162790656089783
Race: White,4,0.5810506343841553,0.5248914361000061,0.5234313011169434,0.5159838199615479,0.5227686762809753
Race: Black,4,0.5903199911117554,0.5286295413970947,0.5322666168212891,0.52901291847229,0.65234375
Race: Other,4,0.6730561256408691,0.6723511219024658,0.6335282325744629,0.6307692527770996,0.6717948913574219
Overall,5,0.6019952893257141,0.5625309944152832,0.5544854402542114,0.5505111813545227,0.5850000381469727
Gender: Male,5,0.6063783168792725,0.5559419393539429,0.5541455149650574,0.5541899800300598,0.5729386806488037
Gender: Female,5,0.598305344581604,0.573853075504303,0.5551784634590149,0.5424470901489258,0.5958254337310791
Age: <40,5,0.5872761011123657,0.5670164823532104,0.5597434043884277,0.5479922890663147,0.560693621635437
Age: 40-50,5,0.5771056413650513,0.5553820133209229,0.5480808019638062,0.5442723035812378,0.5829959511756897
Age: 50-65,5,0.617241382598877,0.5547200441360474,0.548367977142334,0.5479033589363098,0.6068795919418335
Race: White,5,0.6145192384719849,0.5728126764297485,0.5675933957099915,0.5606455206871033,0.5693160891532898
Race: Black,5,0.5996472835540771,0.5198748707771301,0.5158730149269104,0.5134543776512146,0.6475095748901367
Race: Other,5,0.5164344310760498,0.5006992816925049,0.5005850791931152,0.4924233555793762,0.5454545617103577
Overall,6,0.6104068756103516,0.5718611478805542,0.5657429099082947,0.5641010403633118,0.5890000462532043
Gender: Male,6,0.6316901445388794,0.5867725014686584,0.5826824307441711,0.5823846459388733,0.5972222685813904
Gender: Female,6,0.5883024334907532,0.5535880327224731,0.5463336110115051,0.5420454740524292,0.5806451439857483
Age: <40,6,0.5778547525405884,0.5440840721130371,0.5429239273071289,0.5411255359649658,0.545714259147644
Age: 40-50,6,0.6376218199729919,0.5863165855407715,0.5758284330368042,0.5693502426147461,0.5903614163398743
Age: 50-65,6,0.6030551195144653,0.5745573043823242,0.5654664635658264,0.5660173296928406,0.6259351968765259
Race: White,6,0.6072909832000732,0.5770086646080017,0.5726944804191589,0.5664990544319153,0.5724770426750183
Race: Black,6,0.5462120771408081,0.48903846740722656,0.4887121319770813,0.48879557847976685,0.6127819418907166
Race: Other,6,0.6440045237541199,0.5978682041168213,0.5856900215148926,0.5804350972175598,0.6031745672225952
Overall,7,0.6139119863510132,0.5747242569923401,0.5684115886688232,0.5684564709663391,0.6050000190734863
Gender: Male,7,0.6023447513580322,0.5669330358505249,0.5654559135437012,0.5658842921257019,0.5897958874702454
Gender: Female,7,0.6240413188934326,0.58426833152771,0.5702911615371704,0.5681813955307007,0.6196078658103943
Age: <40,7,0.5903427600860596,0.5637999773025513,0.560052752494812,0.55672287940979,0.5673352479934692
Age: 40-50,7,0.6049692630767822,0.5689182281494141,0.5586676597595215,0.5556837320327759,0.6014760136604309
Age: 50-65,7,0.6190645694732666,0.5773587226867676,0.5751067399978638,0.5760459303855896,0.6421052813529968
Race: White,7,0.6259902119636536,0.5651655197143555,0.5611728429794312,0.5590904355049133,0.5738007426261902
Race: Black,7,0.5788880586624146,0.573118269443512,0.5707780718803406,0.5718157291412354,0.6788617372512817
Race: Other,7,0.557692289352417,0.5622082352638245,0.5537523627281189,0.5515516400337219,0.599056601524353
Overall,8,0.5905059576034546,0.5512206554412842,0.5454975366592407,0.5409966707229614,0.5690000057220459
Gender: Male,8,0.5706186294555664,0.5418252348899841,0.5405595898628235,0.5400696992874146,0.5528454780578613
Gender: Female,8,0.6136637926101685,0.5629920959472656,0.5483257174491882,0.5356590747833252,0.584645688533783
Age: <40,8,0.5411615371704102,0.5335919857025146,0.5311279892921448,0.5141768455505371,0.5189504623413086
Age: 40-50,8,0.6724721193313599,0.6035996675491333,0.5865586400032043,0.5741385221481323,0.5964125990867615
Age: 50-65,8,0.5516763925552368,0.5295003056526184,0.5285714268684387,0.5288195610046387,0.5944700241088867
Race: White,8,0.5690963864326477,0.5285691022872925,0.526702880859375,0.5182302594184875,0.525573194026947
Race: Black,8,0.48162686824798584,0.4523928165435791,0.45500943064689636,0.45350927114486694,0.608364999294281
Race: Other,8,0.7089800834655762,0.6736694574356079,0.646064281463623,0.6356834173202515,0.6529411673545837
Overall,9,0.5858644247055054,0.561904788017273,0.5527597069740295,0.5452595353126526,0.5760000348091125
Gender: Male,9,0.6090922951698303,0.5861943960189819,0.5774856805801392,0.5747843384742737,0.5984405279159546
Gender: Female,9,0.5661717057228088,0.5346084833145142,0.5275473594665527,0.5126602053642273,0.5523614287376404
Age: <40,9,0.627007782459259,0.5866711139678955,0.5804486274719238,0.5645862817764282,0.5689149498939514
Age: 40-50,9,0.5141482353210449,0.5260531902313232,0.5211864113807678,0.4977304935455322,0.5211864709854126
Age: 50-65,9,0.5596491098403931,0.5375544428825378,0.532875657081604,0.5322310924530029,0.6122931241989136
Race: White,9,0.5773395299911499,0.5490368604660034,0.5439037084579468,0.5321236848831177,0.5447897911071777
Race: Black,9,0.5691800117492676,0.5319194793701172,0.5282555222511292,0.5281583070755005,0.628000020980835
Race: Other,9,0.6004294157028198,0.6008575558662415,0.5792016386985779,0.564058244228363,0.5960590839385986
Overall,10,0.5890411138534546,0.5481241941452026,0.5424460172653198,0.5386133193969727,0.5730000138282776
Gender: Male,10,0.6092565655708313,0.560660183429718,0.5559083223342896,0.5547225475311279,0.582329273223877
