group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6343531608581543,0.6186083555221558,0.6112765073776245,0.6126121282577515,0.6380000114440918
Gender: Male,0,0.6003592014312744,0.5919667482376099,0.5895833373069763,0.5903055667877197,0.6120332479476929
Gender: Female,0,0.6666666269302368,0.646462082862854,0.6316640973091125,0.6334396600723267,0.6621621251106262
Age: <40,0,0.6205621361732483,0.5960736274719238,0.596523642539978,0.5940999984741211,0.5942491888999939
Age: 40-50,0,0.6805172562599182,0.691676676273346,0.6661151051521301,0.6667742729187012,0.6899224519729614
Age: 50-65,0,0.5924777984619141,0.5752837657928467,0.5603610873222351,0.559393584728241,0.6386946439743042
Race: White,0,0.6472703218460083,0.6326186656951904,0.6261534690856934,0.625879168510437,0.6361939907073975
Race: Black,0,0.6506379842758179,0.5824297070503235,0.5745614171028137,0.5773193836212158,0.69140625
Race: Other,0,0.5574400424957275,0.5677506923675537,0.5655921697616577,0.5653082132339478,0.5769230723381042
Overall,1,0.6158207654953003,0.5922762751579285,0.5882263779640198,0.5885392427444458,0.6060000061988831
Gender: Male,1,0.6248018741607666,0.5817728042602539,0.5806993246078491,0.5810580253601074,0.5957446694374084
Gender: Female,1,0.6051324605941772,0.6034179329872131,0.595619797706604,0.5950198173522949,0.6150943636894226
Age: <40,1,0.6097115874290466,0.5794179439544678,0.5780254602432251,0.5723875164985657,0.5731343030929565
Age: 40-50,1,0.6585124731063843,0.6406060457229614,0.623020350933075,0.6213738322257996,0.6458333730697632
Age: 50-65,1,0.5939773917198181,0.5659297704696655,0.551659345626831,0.5458466410636902,0.6094117164611816
Race: White,1,0.6119780540466309,0.5944486260414124,0.5909340381622314,0.5888482332229614,0.5944444537162781
Race: Black,1,0.6460820436477661,0.5437408089637756,0.5454545617103577,0.5444177389144897,0.6515151858329773
Race: Other,1,0.5785691738128662,0.5773809552192688,0.5758095979690552,0.5740357637405396,0.5765305757522583
Overall,2,0.6147748827934265,0.6052495241165161,0.599064290523529,0.5989824533462524,0.6160000562667847
Gender: Male,2,0.6340420842170715,0.6071982383728027,0.6050358414649963,0.6057121157646179,0.6208333373069763
Gender: Female,2,0.5992283821105957,0.6058799028396606,0.5955945253372192,0.5926408767700195,0.6115384697914124
Age: <40,2,0.625319242477417,0.5977195501327515,0.5972073078155518,0.5966134071350098,0.5971014499664307
Age: 40-50,2,0.6231883764266968,0.6714425086975098,0.6496163606643677,0.6501196622848511,0.675000011920929
Age: 50-65,2,0.5767374038696289,0.5502707362174988,0.5397847890853882,0.5333279371261597,0.5975903868675232
Race: White,2,0.6651041507720947,0.6438289880752563,0.6376488208770752,0.6345891356468201,0.63908451795578
Race: Black,2,0.5015914440155029,0.49421632289886475,0.49469494819641113,0.4937373399734497,0.6150627732276917
Race: Other,2,0.5342658758163452,0.5420354008674622,0.5412058234214783,0.5408908128738403,0.5492227673530579
Overall,3,0.6185810565948486,0.5893430709838867,0.5845345854759216,0.5843619704246521,0.6020000576972961
Gender: Male,3,0.6283199787139893,0.593782901763916,0.59047532081604,0.5905289649963379,0.6025369763374329
Gender: Female,3,0.6054328680038452,0.5845575332641602,0.5783056616783142,0.577763020992279,0.6015180349349976
Age: <40,3,0.578331708908081,0.5534487962722778,0.5532746315002441,0.5532894134521484,0.5555555820465088
Age: 40-50,3,0.6128958463668823,0.6084539294242859,0.6007442474365234,0.6006259918212891,0.6206896305084229
Age: 50-65,3,0.5910917520523071,0.565509557723999,0.550595223903656,0.547275960445404,0.6306954622268677
Race: White,3,0.6303305625915527,0.6132806539535522,0.6087212562561035,0.6042623519897461,0.6079545617103577
Race: Black,3,0.6431679129600525,0.5295386910438538,0.529275119304657,0.5293965339660645,0.6297709941864014
Race: Other,3,0.5394251346588135,0.5416666269302368,0.5406227111816406,0.5403316020965576,0.5523809790611267
Overall,4,0.6400347948074341,0.6199697256088257,0.6123518347740173,0.6132782101631165,0.6350000500679016
Gender: Male,4,0.6131402254104614,0.6013586521148682,0.5955185890197754,0.5951740741729736,0.6111111640930176
Gender: Female,4,0.6646071076393127,0.638331949710846,0.6289513111114502,0.6311326622962952,0.659274160861969
Age: <40,4,0.617056131362915,0.5834255218505859,0.5831912755966187,0.5831325054168701,0.5838150382041931
Age: 40-50,4,0.676936149597168,0.6660482287406921,0.6590774655342102,0.6615729928016663,0.6875000596046448
Age: 50-65,4,0.5991338491439819,0.5959174633026123,0.5688896179199219,0.5647510886192322,0.6488372087478638
Race: White,4,0.6494797468185425,0.6233394145965576,0.6163202524185181,0.6103698015213013,0.6156648397445679
Race: Black,4,0.6695759296417236,0.5658373832702637,0.574891984462738,0.5683855414390564,0.6796875
Race: Other,4,0.572124719619751,0.6163675785064697,0.6109486818313599,0.6118974089622498,0.6307692527770996
Overall,5,0.6210435628890991,0.5985589027404785,0.5928821563720703,0.5932234525680542,0.6140000224113464
Gender: Male,5,0.6489553451538086,0.602222204208374,0.6023688316345215,0.6022927165031433,0.6131078004837036
Gender: Female,5,0.5872889161109924,0.598264217376709,0.5847159624099731,0.5818195939064026,0.614800751209259
Age: <40,5,0.6101644039154053,0.5751879811286926,0.5751804113388062,0.5751409530639648,0.5751444697380066
Age: 40-50,5,0.6297979354858398,0.6107239723205566,0.6055879592895508,0.6065789461135864,0.6275303959846497
Age: 50-65,5,0.5897867679595947,0.5858350992202759,0.565477728843689,0.5624904036521912,0.6388206481933594
Race: White,5,0.6394652128219604,0.6199052333831787,0.6141228675842285,0.6102413535118103,0.6155267953872681
Race: Black,5,0.6271311044692993,0.5874180197715759,0.5783730149269104,0.5812861323356628,0.6819922924041748
Race: Other,5,0.5233485698699951,0.5050125122070312,0.5051058530807495,0.5047262907028198,0.5202020406723022
