group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6286870241165161,0.5856698751449585,0.5706247687339783,0.5666638016700745,0.6130000352859497
Gender: Male,0,0.6058369278907776,0.5548979043960571,0.545976996421814,0.5411466360092163,0.589211642742157
Gender: Female,0,0.6509499549865723,0.6151792407035828,0.5935259461402893,0.5905104279518127,0.6351351141929626
Age: <40,0,0.6783777475357056,0.6279864311218262,0.6193088293075562,0.6175851225852966,0.6293929815292358
Age: 40-50,0,0.6200894117355347,0.5824021100997925,0.5646258592605591,0.554019033908844,0.5968992114067078
Age: 50-65,0,0.5791906118392944,0.5281065106391907,0.5209230780601501,0.5132187604904175,0.6107226014137268
Race: White,0,0.6090394258499146,0.5801010727882385,0.5674377679824829,0.5582089424133301,0.5858208537101746
Race: Black,0,0.6535087823867798,0.5795626044273376,0.5673046112060547,0.570506751537323,0.6953125
Race: Other,0,0.64673912525177,0.5698115229606628,0.5586581826210022,0.5502870082855225,0.5817307829856873
Overall,1,0.5805892944335938,0.5526190400123596,0.5452737212181091,0.5396801233291626,0.5750000476837158
Gender: Male,1,0.562666654586792,0.5386460423469543,0.5324475765228271,0.5253682136535645,0.5680850744247437
Gender: Female,1,0.5961136817932129,0.5639811754226685,0.5561461448669434,0.5516074895858765,0.5811320543289185
Age: <40,1,0.5991197824478149,0.5915653705596924,0.590549647808075,0.5905234217643738,0.5940298438072205
Age: 40-50,1,0.5974264144897461,0.5310633182525635,0.5220588445663452,0.499960720539093,0.5583333373069763
Age: 50-65,1,0.552340030670166,0.5083193778991699,0.5063019394874573,0.49407726526260376,0.5694117546081543
Race: White,1,0.564629077911377,0.5474525690078735,0.5417582392692566,0.5307425260543823,0.5481481552124023
Race: Black,1,0.5287725925445557,0.4973350465297699,0.4974747598171234,0.4971626102924347,0.6325757503509521
Race: Other,1,0.6411538124084473,0.5797828435897827,0.5696136355400085,0.5564655065536499,0.5714285373687744
Overall,2,0.6080994009971619,0.5949814319610596,0.5814423561096191,0.5768328309059143,0.6070000529289246
Gender: Male,2,0.6310555934906006,0.605654776096344,0.5914179086685181,0.5894741415977478,0.6229166984558105
Gender: Female,2,0.5880875587463379,0.5850923657417297,0.5725201964378357,0.5651282072067261,0.5923076868057251
Age: <40,2,0.6374849081039429,0.620917022228241,0.6201773881912231,0.6196635961532593,0.6202898621559143
Age: 40-50,2,0.6582125425338745,0.6257102489471436,0.6005967855453491,0.5948123931884766,0.6333333849906921
Age: 50-65,2,0.5326799154281616,0.5102906227111816,0.506661593914032,0.48489129543304443,0.5807229280471802
Race: White,2,0.6219121813774109,0.609714686870575,0.5961309671401978,0.584667444229126,0.5985915660858154
Race: Black,2,0.5186560153961182,0.5025719404220581,0.502387285232544,0.5019122958183289,0.6192468404769897
Race: Other,2,0.6538711786270142,0.6147862672805786,0.5984060168266296,0.5924086570739746,0.6165803074836731
Overall,3,0.6126331090927124,0.585281252861023,0.5737980604171753,0.5695425271987915,0.6000000238418579
Gender: Male,3,0.6315312385559082,0.5885788202285767,0.5742924213409424,0.5671001672744751,0.5983086824417114
Gender: Female,3,0.5982757806777954,0.5831336975097656,0.5739064812660217,0.5717238187789917,0.6015180349349976
Age: <40,3,0.5653307437896729,0.5622496604919434,0.5617790818214417,0.5581750273704529,0.5584045648574829
Age: 40-50,3,0.5924659967422485,0.5339532494544983,0.5274549722671509,0.51631098985672,0.5603448152542114
Age: 50-65,3,0.6080585718154907,0.6008327603340149,0.5723824501037598,0.5695911049842834,0.6570743322372437
Race: White,3,0.6073868274688721,0.5953670740127563,0.5863944292068481,0.5757293701171875,0.5852273106575012
Race: Black,3,0.5953100919723511,0.5430170893669128,0.5351375341415405,0.5351612567901611,0.6641221642494202
Race: Other,3,0.6029845476150513,0.5407030582427979,0.5364775061607361,0.5316434502601624,0.5571428537368774
Overall,4,0.6169519424438477,0.5994951725006104,0.5857941508293152,0.58344966173172,0.6180000305175781
Gender: Male,4,0.6055217981338501,0.5831339359283447,0.5711907744407654,0.5654290914535522,0.5952381491661072
Gender: Female,4,0.6318358778953552,0.6159687042236328,0.6011469960212708,0.6017322540283203,0.6411290168762207
Age: <40,4,0.6456390619277954,0.6447332501411438,0.6407414674758911,0.6368323564529419,0.6387283205986023
Age: 40-50,4,0.6269149780273438,0.573437511920929,0.5636479258537292,0.562568724155426,0.6116071939468384
Age: 50-65,4,0.5607014894485474,0.529411792755127,0.5212987661361694,0.51121985912323,0.604651153087616
Race: White,4,0.6050857305526733,0.5909485816955566,0.5819199085235596,0.5707671642303467,0.5810564756393433
Race: Black,4,0.6269946098327637,0.571189284324646,0.571189284324646,0.571189284324646,0.703125
Race: Other,4,0.6204245090484619,0.5904862880706787,0.5737491846084595,0.5679804086685181,0.6102564334869385
Overall,5,0.6427432298660278,0.5876213908195496,0.5775826573371887,0.5755115151405334,0.6060000061988831
Gender: Male,5,0.6377547383308411,0.5660498738288879,0.5613827109336853,0.5605422854423523,0.5856236815452576
Gender: Female,5,0.648212194442749,0.609887957572937,0.5922574400901794,0.5887096524238586,0.6242884397506714
Age: <40,5,0.6406041383743286,0.6023128032684326,0.6008086204528809,0.5995370149612427,0.6011560559272766
Age: 40-50,5,0.620914101600647,0.5708938241004944,0.5629323124885559,0.56087327003479,0.5951417088508606
Age: 50-65,5,0.6208212375640869,0.5499451756477356,0.535983145236969,0.52730792760849,0.6167076230049133
Race: White,5,0.6315509080886841,0.5946296453475952,0.5858415961265564,0.5771141052246094,0.5878003835678101
Race: Black,5,0.6723251342773438,0.5786407589912415,0.5654761791229248,0.5681650638580322,0.6819922924041748
Race: Other,5,0.6051483750343323,0.5293334722518921,0.5281352996826172,0.5278048515319824,0.5555555820465088
Overall,6,0.6363502740859985,0.5959727168083191,0.5839065909385681,0.581139862537384,0.6110000014305115
Gender: Male,6,0.6464148759841919,0.6035928130149841,0.5921574831008911,0.5894308090209961,0.6130952835083008
Gender: Female,6,0.6263430118560791,0.5871232748031616,0.5747381448745728,0.5717667937278748,0.6088709235191345
Age: <40,6,0.6259766817092896,0.6140018701553345,0.6121644973754883,0.6116193532943726,0.6142857074737549
Age: 40-50,6,0.6875243186950684,0.6096798181533813,0.5957114696502686,0.589688241481781,0.6104417443275452
Age: 50-65,6,0.58316969871521,0.5284392833709717,0.5195444822311401,0.506904125213623,0.608478844165802
Race: White,6,0.614899754524231,0.6002964973449707,0.591103732585907,0.5813482999801636,0.5908256769180298
Race: Black,6,0.6449999809265137,0.561836838722229,0.5565151572227478,0.5583491325378418,0.6842105388641357
Race: Other,6,0.6416289806365967,0.5552638173103333,0.548812210559845,0.542453944683075,0.5661375522613525
Overall,7,0.6364045739173889,0.5977022051811218,0.5894483327865601,0.5903067588806152,0.625
Gender: Male,7,0.6392421722412109,0.5851074457168579,0.5776242613792419,0.5777778029441833,0.6122448444366455
Gender: Female,7,0.6347166299819946,0.6098106503486633,0.6009196639060974,0.6024003624916077,0.6372549533843994
Age: <40,7,0.643803596496582,0.6344380378723145,0.6335695385932922,0.6337456703186035,0.6361031532287598
Age: 40-50,7,0.5789833664894104,0.5468314290046692,0.5401755571365356,0.536331295967102,0.5830258131027222
Age: 50-65,7,0.6282831430435181,0.5576271414756775,0.5467395782470703,0.5463027954101562,0.6447368860244751
Race: White,7,0.6240097284317017,0.6180418729782104,0.60665363073349,0.6039409637451172,0.6217712163925171
Race: Black,7,0.6507936716079712,0.5660063028335571,0.5653135776519775,0.5656458139419556,0.6707316637039185
Race: Other,7,0.6509380340576172,0.5514841675758362,0.5496247410774231,0.549893856048584,0.5801886916160583
Overall,8,0.6195594072341919,0.5945888757705688,0.5766823291778564,0.5687220692634583,0.6060000061988831
Gender: Male,8,0.6136103868484497,0.5726315975189209,0.5625,0.5562629699707031,0.5853658318519592
Gender: Female,8,0.6245243549346924,0.6188256144523621,0.5897070169448853,0.5800557136535645,0.625984251499176
Age: <40,8,0.6125950813293457,0.6222516894340515,0.6184336543083191,0.6081269979476929,0.6093294620513916
Age: 40-50,8,0.6739236116409302,0.5982235670089722,0.5757942199707031,0.5563915967941284,0.5874439477920532
Age: 50-65,8,0.5327259302139282,0.4987395703792572,0.4991496801376343,0.48544812202453613,0.6129032373428345
Race: White,8,0.6076077222824097,0.5834827423095703,0.5729972720146179,0.5582314133644104,0.5714285373687744
Race: Black,8,0.5207286477088928,0.42809271812438965,0.44861024618148804,0.4347924292087555,0.6387832760810852
Race: Other,8,0.7073171138763428,0.6966666579246521,0.6635255217552185,0.6532633900642395,0.6705882549285889
Overall,9,0.6151095628738403,0.5856397151947021,0.5735389590263367,0.5676665902137756,0.5960000157356262
Gender: Male,9,0.6324107050895691,0.5839368104934692,0.5695453882217407,0.5619779825210571,0.5964912176132202
Gender: Female,9,0.5975422263145447,0.5871167182922363,0.5772913694381714,0.5728926062583923,0.595482587814331
Age: <40,9,0.6114649772644043,0.6028317213058472,0.603330135345459,0.6010048985481262,0.6011730432510376
Age: 40-50,9,0.5874748229980469,0.5321584343910217,0.5254237651824951,0.49920421838760376,0.5254237055778503
Age: 50-65,9,0.5613526701927185,0.5337289571762085,0.5226163268089294,0.5120962858200073,0.631205677986145
Race: White,9,0.631751298904419,0.59952712059021,0.5858221650123596,0.5716493129730225,0.5868372917175293
Race: Black,9,0.6271498799324036,0.5958443284034729,0.591907262802124,0.5935437083244324,0.6680000424385071
Race: Other,9,0.5694905519485474,0.5210317373275757,0.518104612827301,0.506689190864563,0.5320196747779846
Overall,10,0.6086958646774292,0.5921831130981445,0.5841510891914368,0.5835540294647217,0.6100000143051147
Gender: Male,10,0.5795484781265259,0.5535890460014343,0.5504887700080872,0.5498746633529663,0.5742971897125244
Gender: Female,10,0.641438364982605,0.6336519718170166,0.6176451444625854,0.6173321604728699,0.6454183459281921
