group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6832209825515747,0.6530323028564453,0.6131749153137207,0.6090569496154785,0.6620000600814819
Gender: Male,0,0.6900861859321594,0.6552982330322266,0.6238146424293518,0.6233786344528198,0.6680498123168945
Gender: Female,0,0.6822130680084229,0.6521135568618774,0.6035830974578857,0.5947433114051819,0.6563706398010254
Age: <40,0,0.6464908123016357,0.605732798576355,0.5939760208129883,0.5887430310249329,0.6070287227630615
Age: 40-50,0,0.7128148078918457,0.7003134489059448,0.6370656490325928,0.6269879341125488,0.6744186282157898
Age: 50-65,0,0.6738709211349487,0.6581114530563354,0.5994482040405273,0.5984092950820923,0.694638729095459
Race: White,0,0.6898692846298218,0.6515955924987793,0.6307743191719055,0.6264147162437439,0.6473880410194397
Race: Black,0,0.6545454263687134,0.5876436829566956,0.5389154553413391,0.5281727313995361,0.7265625
Race: Other,0,0.6209707260131836,0.6346575021743774,0.5863943099975586,0.5634315609931946,0.6201923489570618
Overall,1,0.681191086769104,0.6614294052124023,0.6209832429885864,0.6144758462905884,0.6580000519752502
Gender: Male,1,0.6987413167953491,0.6980389356613159,0.6576223969459534,0.6578292846679688,0.6936169862747192
Gender: Female,1,0.6674363613128662,0.6266661286354065,0.5894330143928528,0.5752173662185669,0.6264151334762573
Age: <40,1,0.6237744092941284,0.6264822483062744,0.6145065426826477,0.6100908517837524,0.6238806247711182
Age: 40-50,1,0.7319004535675049,0.7068129777908325,0.6326357126235962,0.6183497905731201,0.6708333492279053
Age: 50-65,1,0.6968267560005188,0.6701543927192688,0.6091630458831787,0.6032881736755371,0.677647054195404
Race: White,1,0.6672664880752563,0.6419433355331421,0.6252747178077698,0.617567777633667,0.6314814686775208
Race: Black,1,0.68878173828125,0.6797820925712585,0.5909091234207153,0.5987842082977295,0.7651515603065491
Race: Other,1,0.6358429789543152,0.6392360925674438,0.5835155844688416,0.5391180515289307,0.5867346525192261
Overall,2,0.6797486543655396,0.6394351720809937,0.6073943376541138,0.5992339849472046,0.6390000581741333
Gender: Male,2,0.7022478580474854,0.6947492361068726,0.659981369972229,0.6610934734344482,0.6937500238418579
Gender: Female,2,0.66217041015625,0.5849955081939697,0.5613644123077393,0.541763424873352,0.5884615182876587
Age: <40,2,0.6582874059677124,0.6171817779541016,0.6082974672317505,0.6009715795516968,0.6086956858634949
Age: 40-50,2,0.7477266788482666,0.711583137512207,0.6489769816398621,0.6426799297332764,0.6875000596046448
Age: 50-65,2,0.6455203294754028,0.6012744903564453,0.5635989904403687,0.5494999885559082,0.6361445784568787
Race: White,2,0.6957465410232544,0.6413751840591431,0.626240074634552,0.6173619031906128,0.6285211443901062
Race: Black,2,0.5937223434448242,0.5632227659225464,0.5222369432449341,0.49699556827545166,0.7112970352172852
Race: Other,2,0.6108219623565674,0.5760372281074524,0.5540555119514465,0.5320161581039429,0.5803108811378479
Overall,3,0.6625884771347046,0.6130081415176392,0.5858041644096375,0.5754303932189941,0.6200000047683716
Gender: Male,3,0.6991835832595825,0.6487603187561035,0.6149492263793945,0.606208086013794,0.6427060961723328
Gender: Female,3,0.6263419389724731,0.5790681838989258,0.5590749382972717,0.5467433333396912,0.5996204614639282
Age: <40,3,0.6243401765823364,0.5735034942626953,0.5705767273902893,0.5616976022720337,0.5641025900840759
Age: 40-50,3,0.6801093816757202,0.6373908519744873,0.6015796661376953,0.5917888879776001,0.6379310488700867
Age: 50-65,3,0.6455789804458618,0.5940027236938477,0.5461309552192688,0.5248109102249146,0.6570743322372437
Race: White,3,0.6492136716842651,0.6024993658065796,0.5903260111808777,0.5769964456558228,0.5890151858329773
Race: Black,3,0.674065351486206,0.5347517728805542,0.5162598490715027,0.4979400038719177,0.694656491279602
Race: Other,3,0.5968128442764282,0.6015533208847046,0.5716654062271118,0.5537520051002502,0.6047618985176086
Overall,4,0.6721694469451904,0.6628024578094482,0.6278132200241089,0.6251823902130127,0.6660000085830688
Gender: Male,4,0.6708706617355347,0.6521228551864624,0.6212868094444275,0.6151759028434753,0.648809552192688
Gender: Female,4,0.6784495115280151,0.6731129884719849,0.6340718269348145,0.6348409652709961,0.6834677457809448
Age: <40,4,0.6784341335296631,0.6841825246810913,0.6734195947647095,0.6664975881576538,0.6705201864242554
Age: 40-50,4,0.6803216934204102,0.6461538672447205,0.614980936050415,0.6155843734741211,0.6696428656578064
Age: 50-65,4,0.6365959644317627,0.6130952835083008,0.5674460530281067,0.5567511320114136,0.6604651212692261
Race: White,4,0.6658438444137573,0.6387626528739929,0.6256171464920044,0.6159952878952026,0.624772310256958
Race: Black,4,0.6157982349395752,0.5883336067199707,0.5512651205062866,0.552789568901062,0.75
Race: Other,4,0.6434913873672485,0.6939787864685059,0.6228070259094238,0.6111664772033691,0.6717948913574219
Overall,5,0.6809262037277222,0.6313420534133911,0.5998660326004028,0.5927488803863525,0.6390000581741333
Gender: Male,5,0.7005259990692139,0.6431848406791687,0.6222596168518066,0.6215261220932007,0.6532769203186035
Gender: Female,5,0.6648774147033691,0.6213306188583374,0.5800653696060181,0.5632884502410889,0.626185953617096
Age: <40,5,0.6696739196777344,0.6297954320907593,0.6206228137016296,0.6142697930335999,0.621387243270874
Age: 40-50,5,0.7039197087287903,0.6656148433685303,0.6245761513710022,0.6209955215454102,0.6680161952972412
Age: 50-65,5,0.6521979570388794,0.5691846609115601,0.5373914241790771,0.5159434080123901,0.6363636255264282
Race: White,5,0.6698242425918579,0.6273303031921387,0.6094207167625427,0.5966355800628662,0.611829936504364
Race: Black,5,0.677101731300354,0.6455376744270325,0.5783730149269104,0.579729437828064,0.7318007349967957
Race: Other,5,0.6202532052993774,0.5503246784210205,0.5362727642059326,0.5223800539970398,0.5909090638160706
Overall,6,0.713234543800354,0.6765516996383667,0.6441299915313721,0.6426211595535278,0.675000011920929
Gender: Male,6,0.7349231243133545,0.7019017934799194,0.6682138442993164,0.6671425104141235,0.6924603581428528
Gender: Female,6,0.6917304992675781,0.648717999458313,0.6187885999679565,0.6163296699523926,0.6572580337524414
Age: <40,6,0.6709274053573608,0.628765881061554,0.6218411922454834,0.6188409328460693,0.6257143020629883
Age: 40-50,6,0.7868096232414246,0.7750560641288757,0.707212507724762,0.701228141784668,0.7269076108932495
Age: 50-65,6,0.68276047706604,0.6515055894851685,0.6051282286643982,0.6053889393806458,0.6857855319976807
Race: White,6,0.6944758892059326,0.6633623838424683,0.6498060822486877,0.6422126293182373,0.6495413184165955
Race: Black,6,0.6879545450210571,0.6231638193130493,0.5660606026649475,0.5678516626358032,0.7443609237670898
Race: Other,6,0.695927619934082,0.6619778871536255,0.6289592981338501,0.6209893226623535,0.6507936120033264
Overall,7,0.6486016511917114,0.614105224609375,0.5880641341209412,0.5844132900238037,0.6410000324249268
Gender: Male,7,0.6537220478057861,0.6142252683639526,0.5904380679130554,0.5873360633850098,0.6387754678726196
Gender: Female,7,0.644806981086731,0.6138446927070618,0.5855647921562195,0.581295907497406,0.6431372761726379
Age: <40,7,0.6249505281448364,0.5854426026344299,0.5796638131141663,0.5760847330093384,0.5873925685882568
Age: 40-50,7,0.6496466398239136,0.6651719212532043,0.6007522344589233,0.5888805389404297,0.6642066240310669
Age: 50-65,7,0.6387307643890381,0.5871453285217285,0.5584163665771484,0.5554046034812927,0.6736842393875122
Race: White,7,0.6417785882949829,0.6046197414398193,0.5915667414665222,0.586509644985199,0.6088560819625854
Race: Black,7,0.6167057156562805,0.519707202911377,0.5091074705123901,0.4903363287448883,0.7032520174980164
Race: Other,7,0.6242964267730713,0.6278156042098999,0.5915572047233582,0.5859375,0.650943398475647
Overall,8,0.6798423528671265,0.6559592485427856,0.6122196316719055,0.6011655330657959,0.6470000147819519
Gender: Male,8,0.683407187461853,0.6753520965576172,0.6443236470222473,0.6408517956733704,0.6686991453170776
Gender: Female,8,0.6821569204330444,0.6332269906997681,0.5794647336006165,0.5557396411895752,0.625984251499176
Age: <40,8,0.637969970703125,0.6173776984214783,0.6079720258712769,0.5902383327484131,0.5947521924972534
Age: 40-50,8,0.7527011632919312,0.683468222618103,0.6279632449150085,0.6056587100028992,0.6412556171417236
Age: 50-65,8,0.6358357667922974,0.6322450637817383,0.5700680613517761,0.5616161823272705,0.6912442445755005
Race: White,8,0.6416643857955933,0.6121541261672974,0.5960355997085571,0.579951286315918,0.5943562388420105
Race: Black,8,0.60042405128479,0.5600975751876831,0.5164494514465332,0.48820969462394714,0.7414448857307434
Race: Other,8,0.7638580799102783,0.7360540628433228,0.6671286225318909,0.6471564769744873,0.6764705777168274
Overall,9,0.6531655788421631,0.6200598478317261,0.5873376727104187,0.5725749731063843,0.6180000305175781
Gender: Male,9,0.7028607130050659,0.6582079529762268,0.6105767488479614,0.5972825884819031,0.6452241539955139
Gender: Female,9,0.6008533835411072,0.5829381942749023,0.5626899003982544,0.5469093322753906,0.5893223881721497
Age: <40,9,0.6291193962097168,0.5968073606491089,0.5895354747772217,0.5732165575027466,0.5777125954627991
Age: 40-50,9,0.6356650590896606,0.5915336608886719,0.5593219995498657,0.5168123245239258,0.5593220591545105
Age: 50-65,9,0.6436053514480591,0.6207782030105591,0.5705568194389343,0.5642795562744141,0.6832151412963867
Race: White,9,0.6551069021224976,0.6256136894226074,0.6039839386940002,0.5868580341339111,0.6051188707351685
Race: Black,9,0.6120239496231079,0.5832087993621826,0.5384674668312073,0.5223206877708435,0.6920000314712524
Race: Other,9,0.6102869510650635,0.5586470365524292,0.5419675707817078,0.5164726376533508,0.5615763664245605
Overall,10,0.6909905076026917,0.6608332991600037,0.6227937340736389,0.6184050440788269,0.6620000600814819
Gender: Male,10,0.7000764608383179,0.6541314125061035,0.6188322901725769,0.6147966384887695,0.6586345434188843
Gender: Female,10,0.6804957389831543,0.6676445007324219,0.6267449259757996,0.6219879388809204,0.6653386354446411
Age: <40,10,0.665848970413208,0.6162267327308655,0.6023995280265808,0.5905133485794067,0.6028985977172852
Age: 40-50,10,0.7110291719436646,0.6905573606491089,0.6459052562713623,0.6395662426948547,0.6739130020141602
Age: 50-65,10,0.6808263063430786,0.6680952310562134,0.6094207167625427,0.6113256216049194,0.7035293579101562
Race: White,10,0.6852062940597534,0.6538839340209961,0.6306098103523254,0.6171766519546509,0.6323268413543701
Race: Black,10,0.5933040976524353,0.5271929502487183,0.5148266553878784,0.5032879114151001,0.7015503644943237
Race: Other,10,0.7222222089767456,0.7004208564758301,0.6545301079750061,0.6556711196899414,0.6983240246772766
Overall,11,0.6688889265060425,0.6335785388946533,0.6048721671104431,0.6011655330657959,0.6470000147819519
Gender: Male,11,0.6713201999664307,0.6471799612045288,0.6189719438552856,0.6173315048217773,0.6580000519752502
Gender: Female,11,0.6734338402748108,0.6192459464073181,0.5907017588615417,0.5845203995704651,0.6360000371932983
Age: <40,11,0.6582720279693604,0.6297932863235474,0.617590069770813,0.6094329357147217,0.6193181872367859
Age: 40-50,11,0.7127451300621033,0.6491336822509766,0.6063883304595947,0.6017600297927856,0.6627907156944275
Age: 50-65,11,0.6276720762252808,0.600318431854248,0.5702959895133972,0.567307710647583,0.6615384817123413
Race: White,11,0.6540012359619141,0.6257641315460205,0.6126099824905396,0.6066800355911255,0.6208178400993347
Race: Black,11,0.5722553730010986,0.4800207018852234,0.49127328395843506,0.46873489022254944,0.7211155891418457
Race: Other,11,0.6807622909545898,0.6350991725921631,0.6013611555099487,0.5876561403274536,0.6255924701690674
Overall,12,0.6731644868850708,0.6273794174194336,0.5992167592048645,0.5903951525688171,0.6290000081062317
Gender: Male,12,0.6758190989494324,0.6354837417602539,0.6030626893043518,0.5933061838150024,0.633891224861145
Gender: Female,12,0.6688419580459595,0.6203768253326416,0.5956992506980896,0.5876976251602173,0.6245210766792297
Age: <40,12,0.6077418327331543,0.5812802314758301,0.5755839943885803,0.5656876564025879,0.571865439414978
Age: 40-50,12,0.7414882779121399,0.7195602655410767,0.6628609895706177,0.6550595164299011,0.6885245442390442
Age: 50-65,12,0.663692831993103,0.5923508405685425,0.559636116027832,0.5481970310211182,0.6386946439743042
Race: White,12,0.6638723015785217,0.623161792755127,0.612148642539978,0.5954089164733887,0.6011132001876831
Race: Black,12,0.662015438079834,0.5612947940826416,0.5394241213798523,0.5391552448272705,0.730215847492218
Race: Other,12,0.5704665184020996,0.551833987236023,0.5322871804237366,0.4956962466239929,0.5573770403862
Overall,13,0.7043476104736328,0.6502956748008728,0.617256760597229,0.6105763912200928,0.6480000019073486
Gender: Male,13,0.7111347913742065,0.6636679172515869,0.6377890110015869,0.6363507509231567,0.6653225421905518
Gender: Female,13,0.7045454978942871,0.637381911277771,0.5977593064308167,0.5835747122764587,0.6309524178504944
Age: <40,13,0.6630820035934448,0.6120082139968872,0.6022727489471436,0.5931638479232788,0.6018236875534058
Age: 40-50,13,0.713179349899292,0.6820665597915649,0.6419259309768677,0.6240219473838806,0.6465862989425659
Age: 50-65,13,0.7110917568206787,0.643519937992096,0.5939624309539795,0.5923534631729126,0.6848341226577759
Race: White,13,0.6804698705673218,0.622571587562561,0.6110489368438721,0.5926902294158936,0.5985267162322998
Race: Black,13,0.6938344240188599,0.6368778347969055,0.5715371370315552,0.5733561515808105,0.7429718375205994
Race: Other,13,0.6309808492660522,0.6286031007766724,0.5925040245056152,0.5900900959968567,0.6634615659713745
Overall,14,0.6657905578613281,0.6258863210678101,0.5973485708236694,0.5909082889556885,0.6360000371932983
Gender: Male,14,0.6678392291069031,0.6214523315429688,0.593375563621521,0.5892629027366638,0.6428571343421936
Gender: Female,14,0.6688488721847534,0.6292087435722351,0.6007328033447266,0.5916975736618042,0.6294118165969849
Age: <40,14,0.6023724675178528,0.5607012510299683,0.5538821816444397,0.5398138761520386,0.5518292188644409
Age: 40-50,14,0.7721661329269409,0.6944684982299805,0.6578282713890076,0.6594834327697754,0.6954732537269592
Age: 50-65,14,0.6314601898193359,0.6243912577629089,0.5800755023956299,0.5741004347801208,0.6666666865348816
Race: White,14,0.672483503818512,0.6413524150848389,0.6292296648025513,0.6266507506370544,0.6399999856948853
Race: Black,14,0.6131817102432251,0.4645833373069763,0.4883529841899872,0.43897175788879395,0.6461538672447205
