group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5666030645370483,0.5574930906295776,0.5501688122749329,0.5472527742385864,0.5879999995231628
Gender: Male,0,0.49945223331451416,0.5229250192642212,0.5230423808097839,0.5229625105857849,0.541493833065033
Gender: Female,0,0.6357752084732056,0.6145252585411072,0.5763537287712097,0.5627996921539307,0.6312741041183472
Age: <40,0,0.6011669635772705,0.5763089656829834,0.5703073740005493,0.5665873885154724,0.5814696550369263
Age: 40-50,0,0.6178218722343445,0.5879510641098022,0.5669240951538086,0.5546878576278687,0.6007751822471619
Age: 50-65,0,0.5055181980133057,0.5215494632720947,0.5197250843048096,0.5190098285675049,0.5850815773010254
Race: White,0,0.5567353963851929,0.5509186387062073,0.5477604866027832,0.5451093316078186,0.5597015023231506
Race: Black,0,0.4759170711040497,0.4695512652397156,0.4757575988769531,0.46962884068489075,0.6328125
Race: Other,0,0.6169415712356567,0.6014910936355591,0.5790854692459106,0.5673261880874634,0.6057692766189575
Overall,1,0.5333704352378845,0.527371883392334,0.5221042633056641,0.5109031200408936,0.5570000410079956
Gender: Male,1,0.5000699758529663,0.5212658047676086,0.5203263163566589,0.5194754004478455,0.542553186416626
Gender: Female,1,0.571104884147644,0.5428240299224854,0.526330292224884,0.4949933886528015,0.5698113441467285
Age: <40,1,0.6205180883407593,0.606393575668335,0.5914621353149414,0.5826190114021301,0.6029850840568542
Age: 40-50,1,0.5748727321624756,0.5361033082008362,0.524604082107544,0.49975186586380005,0.5625
Age: 50-65,1,0.44082993268966675,0.45329591631889343,0.4609209895133972,0.4510808289051056,0.5176470279693604
Race: White,1,0.5190110206604004,0.5351136922836304,0.5299450755119324,0.5154412984848022,0.5370370149612427
Race: Black,1,0.5148454308509827,0.48419034481048584,0.4848484992980957,0.484375,0.6212121248245239
Race: Other,1,0.5670102834701538,0.5335497856140137,0.522597074508667,0.48167315125465393,0.5255101919174194
Overall,2,0.5509014129638672,0.5498291254043579,0.5427262783050537,0.5359159111976624,0.5690000057220459
Gender: Male,2,0.5588976740837097,0.5555018186569214,0.5554194450378418,0.555458128452301,0.5687500238418579
Gender: Female,2,0.5671815872192383,0.5596144199371338,0.5382901430130005,0.5075757503509521,0.5692307949066162
Age: <40,2,0.6152372360229492,0.5790290832519531,0.5735313892364502,0.5662010908126831,0.573913037776947
Age: 40-50,2,0.5356635451316833,0.550000011920929,0.5383631587028503,0.5248078107833862,0.5750000476837158
Age: 50-65,2,0.48790818452835083,0.5096607804298401,0.5081638097763062,0.5023587346076965,0.5614457726478577
Race: White,2,0.5746403932571411,0.571593165397644,0.5647321343421936,0.5552330017089844,0.5669013857841492
Race: Black,2,0.36136162281036377,0.4165608286857605,0.43028292059898376,0.42175111174583435,0.5774058699607849
Race: Other,2,0.5682064890861511,0.5534914135932922,0.544025182723999,0.5320941805839539,0.5647668242454529
Overall,3,0.555760383605957,0.5223960280418396,0.5192726254463196,0.5116634964942932,0.5470000505447388
Gender: Male,3,0.5292180776596069,0.5229016542434692,0.5225235819816589,0.5223073959350586,0.5327695608139038
Gender: Female,3,0.5764498710632324,0.5183466672897339,0.5121920704841614,0.4865618348121643,0.5597723126411438
Age: <40,3,0.5899966955184937,0.5461658239364624,0.5433529019355774,0.5312138795852661,0.5356125235557556
Age: 40-50,3,0.5324676036834717,0.48248589038848877,0.48705095052719116,0.46543776988983154,0.5258620381355286
Age: 50-65,3,0.507834792137146,0.4996563196182251,0.4996947646141052,0.4970517158508301,0.568345308303833
Race: White,3,0.5848411321640015,0.547993540763855,0.5429030656814575,0.5297650694847107,0.5416666865348816
Race: Black,3,0.43949562311172485,0.4221007227897644,0.426443487405777,0.4240448772907257,0.5572519302368164
Race: Other,3,0.5420044660568237,0.5253676176071167,0.5208179950714111,0.5088505744934082,0.5476190447807312
Overall,4,0.567996621131897,0.560393214225769,0.5510461330413818,0.5456520915031433,0.5860000252723694
Gender: Male,4,0.5182978510856628,0.5352504253387451,0.5340589284896851,0.5333939790725708,0.547619104385376
Gender: Female,4,0.5979381799697876,0.5935212969779968,0.5593295693397522,0.5430971384048462,0.625
Age: <40,4,0.6755256652832031,0.6222020387649536,0.6080466508865356,0.5937818288803101,0.6040462255477905
Age: 40-50,4,0.5098603963851929,0.5158765316009521,0.512018620967865,0.5005515813827515,0.5758928656578064
Age: 50-65,4,0.4964028596878052,0.5164466500282288,0.5146251320838928,0.512593150138855,0.5767441987991333
