group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6351567506790161,0.5942022800445557,0.5814033150672913,0.5799222588539124,0.6190000176429749
Gender: Male,0,0.6423312425613403,0.5739818811416626,0.5704741477966309,0.570914626121521,0.5975103974342346
Gender: Female,0,0.6245025396347046,0.6217659711837769,0.5921168923377991,0.5862178206443787,0.6389961242675781
Age: <40,0,0.644477367401123,0.6251672506332397,0.6153229475021362,0.6129063367843628,0.6261980533599854
Age: 40-50,0,0.6879328489303589,0.6832437515258789,0.6503952741622925,0.6485994458198547,0.6782945990562439
Age: 50-65,0,0.577786922454834,0.5013598799705505,0.5011616945266724,0.49727755784988403,0.5780885815620422
Race: White,0,0.645907998085022,0.5818331241607666,0.5796780586242676,0.579452633857727,0.5876865386962891
Race: Black,0,0.5606858134269714,0.6133779287338257,0.5540670156478882,0.5494824051856995,0.734375
Race: Other,0,0.5744940042495728,0.5379747152328491,0.5281109809875488,0.5081731081008911,0.5576923489570618
Overall,1,0.6428825855255127,0.5846995115280151,0.5724563598632812,0.5681423544883728,0.6020000576972961
Gender: Male,1,0.6669650077819824,0.6047038435935974,0.5965501070022583,0.5967104434967041,0.6212765574455261
Gender: Female,1,0.6231265068054199,0.5667886734008789,0.5524718165397644,0.5409520864486694,0.5849056839942932
Age: <40,1,0.5966864824295044,0.5697683095932007,0.5648751258850098,0.5608631372451782,0.5731343030929565
Age: 40-50,1,0.6884897947311401,0.6223435401916504,0.6037895679473877,0.5998126268386841,0.6291667222976685
Age: 50-65,1,0.6413415670394897,0.5659297704696655,0.551659345626831,0.5458466410636902,0.6094117164611816
Race: White,1,0.6260439157485962,0.5832625031471252,0.579395592212677,0.5764174461364746,0.5833333134651184
Race: Black,1,0.6210590600967407,0.5160818696022034,0.5101010203361511,0.5017951130867004,0.689393937587738
Race: Other,1,0.6181402206420898,0.5436986684799194,0.5332188010215759,0.5047619342803955,0.5357142686843872
