group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6271591186523438,0.5918081998825073,0.584246814250946,0.5844841003417969,0.6150000095367432
Gender: Male,0,0.5862607955932617,0.5487411022186279,0.5471444129943848,0.5472899079322815,0.5726141333580017
Gender: Female,0,0.6577631235122681,0.6381399035453796,0.6189978122711182,0.6194849610328674,0.65444016456604
Age: <40,0,0.6464496850967407,0.6101526021957397,0.6091387271881104,0.60933518409729,0.6134185194969177
Age: 40-50,0,0.634920597076416,0.6446815729141235,0.6287920475006104,0.6282896995544434,0.6511628031730652
Age: 50-65,0,0.5915581583976746,0.5200761556625366,0.5168449282646179,0.5134406089782715,0.5944055914878845
Race: White,0,0.6315538287162781,0.5910485982894897,0.5854014754295349,0.5836594104766846,0.5970149040222168
Race: Black,0,0.6557415723800659,0.5961262583732605,0.5801435708999634,0.5845504999160767,0.70703125
Race: Other,0,0.5225824117660522,0.5367187261581421,0.5352323651313782,0.5341212153434753,0.5480769276618958
Overall,1,0.6071470975875854,0.570102334022522,0.5637949705123901,0.5619183778762817,0.5879999995231628
Gender: Male,1,0.6050349473953247,0.539893627166748,0.5394405722618103,0.5395418405532837,0.5553191304206848
Gender: Female,1,0.6068025827407837,0.6073892116546631,0.5870657563209534,0.5801382064819336,0.6169811487197876
Age: <40,1,0.6142919063568115,0.5599107146263123,0.5600264668464661,0.559923529624939,0.5611940622329712
Age: 40-50,1,0.665229082107544,0.636904776096344,0.6170814633369446,0.614234447479248,0.6416667103767395
Age: 50-65,1,0.562549889087677,0.522735595703125,0.5174623131752014,0.5072256326675415,0.5788235068321228
Race: White,1,0.6087362766265869,0.5578380823135376,0.5557692050933838,0.5533716082572937,0.5592592358589172
Race: Black,1,0.5991735458374023,0.5637945532798767,0.5530303120613098,0.5553060173988342,0.6931818127632141
Race: Other,1,0.5407685041427612,0.5269886255264282,0.5237425565719604,0.5098813772201538,0.5255101919174194
Overall,2,0.6137845516204834,0.5893473029136658,0.5814749598503113,0.5797698497772217,0.6020000576972961
Gender: Male,2,0.5957188606262207,0.5439740419387817,0.5431695580482483,0.5432714819908142,0.5604166984558105
Gender: Female,2,0.6282992362976074,0.6442341804504395,0.6197081208229065,0.6135611534118652,0.6403846144676208
Age: <40,2,0.6403078436851501,0.6124847531318665,0.6114565134048462,0.6106488108634949,0.6115942001342773
Age: 40-50,2,0.6430804133415222,0.6230158805847168,0.605711817741394,0.6033356189727783,0.6333333849906921
Age: 50-65,2,0.5602374076843262,0.5254843235015869,0.5210559964179993,0.515058159828186,0.5759036540985107
Race: White,2,0.6515748500823975,0.6053259968757629,0.6006448268890381,0.5969961881637573,0.6021126508712769
Race: Black,2,0.5041556358337402,0.5065892934799194,0.5051724314689636,0.501313328742981,0.6443514227867126
Race: Other,2,0.5400130152702332,0.5379999876022339,0.5350249409675598,0.5310431718826294,0.5492227673530579
Overall,3,0.610943078994751,0.5638819932937622,0.5586037039756775,0.5565410256385803,0.5800000429153442
Gender: Male,3,0.6218613982200623,0.5555135011672974,0.5532293319702148,0.5524823069572449,0.5665962100028992
Gender: Female,3,0.5984532833099365,0.5713641047477722,0.561965823173523,0.5581152439117432,0.5920303463935852
Age: <40,3,0.601531445980072,0.5546920299530029,0.5546920299530029,0.5527065396308899,0.5527065396308899
Age: 40-50,3,0.6040859222412109,0.5800015926361084,0.5743145942687988,0.5733959674835205,0.5948275923728943
Age: 50-65,3,0.5853428840637207,0.5149558782577515,0.5116376876831055,0.5044267177581787,0.5947242379188538
Race: White,3,0.5942145586013794,0.5582412481307983,0.5557165741920471,0.5503940582275391,0.5549242496490479
Race: Black,3,0.633065402507782,0.5766886472702026,0.5677310228347778,0.5703241229057312,0.6793892979621887
Race: Other,3,0.5490972995758057,0.5001999735832214,0.5001842379570007,0.4959001839160919,0.5190476179122925
Overall,4,0.6431550979614258,0.6032154560089111,0.59600830078125,0.5963612794876099,0.6200000047683716
Gender: Male,4,0.605217695236206,0.5462311506271362,0.5449103713035583,0.5445863008499146,0.557539701461792
Gender: Female,4,0.6710588932037354,0.6670694351196289,0.6451320648193359,0.6482222080230713,0.6834677457809448
Age: <40,4,0.6354762315750122,0.5877952575683594,0.5874870419502258,0.5865359306335449,0.586705207824707
Age: 40-50,4,0.6727888584136963,0.6282482743263245,0.625730037689209,0.6267623901367188,0.6517857313156128
Age: 50-65,4,0.6049791574478149,0.5730987787246704,0.5574829578399658,0.5547987222671509,0.630232572555542
