group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5646401643753052,0.5483087301254272,0.5255017280578613,0.4909090995788574,0.5940000414848328
Gender: Male,0,0.5118354558944702,0.5279983282089233,0.5207076072692871,0.5066481232643127,0.5746888518333435
Gender: Female,0,0.6255555152893066,0.6088815927505493,0.5307520627975464,0.46574097871780396,0.6119691133499146
Age: <40,0,0.5987426042556763,0.529711127281189,0.5163132548332214,0.46744006872177124,0.5431309938430786
Age: 40-50,0,0.600784420967102,0.6940836906433105,0.5741864442825317,0.5251897573471069,0.6279069781303406
Age: 50-65,0,0.5071155428886414,0.5070618987083435,0.5043443441390991,0.48494216799736023,0.6107226014137268
Race: White,0,0.573168158531189,0.5379141569137573,0.5226758718490601,0.48312437534332275,0.5522388219833374
Race: Black,0,0.5042264461517334,0.48010674118995667,0.49019140005111694,0.4678574204444885,0.68359375
Race: Other,0,0.5703710317611694,0.6123497486114502,0.5481634140014648,0.4946116805076599,0.5913462042808533
Overall,1,0.5276538133621216,0.49784308671951294,0.4988425374031067,0.4549321234226227,0.5520000457763672
Gender: Male,1,0.5088484287261963,0.4901408553123474,0.4924941658973694,0.47537124156951904,0.5361701846122742
Gender: Female,1,0.5490152835845947,0.5242347121238708,0.5068984627723694,0.4256935119628906,0.5660377740859985
Age: <40,1,0.5883489847183228,0.5687108635902405,0.5416159629821777,0.5014123916625977,0.5611940622329712
Age: 40-50,1,0.5568438768386841,0.5488879680633545,0.5172511339187622,0.4485958218574524,0.5708333849906921
Age: 50-65,1,0.4578463137149811,0.41720321774482727,0.45170867443084717,0.41308167576789856,0.5341176390647888
Race: White,1,0.5297939777374268,0.48888230323791504,0.49354395270347595,0.4398057162761688,0.5055555701255798
Race: Black,1,0.5195133090019226,0.5188034176826477,0.5126262307167053,0.5066531896591187,0.685606062412262
Race: Other,1,0.49713629484176636,0.48952382802963257,0.4959908425807953,0.40591365098953247,0.5
Overall,2,0.5646110773086548,0.549776017665863,0.5271257162094116,0.48722195625305176,0.5730000138282776
Gender: Male,2,0.5443052053451538,0.5529647469520569,0.5392799973487854,0.5251662135124207,0.5833333730697632
Gender: Female,2,0.6113263368606567,0.5642542839050293,0.5209507942199707,0.4440440833568573,0.5634615421295166
Age: <40,2,0.614094614982605,0.5762825012207031,0.5498722791671753,0.5076918601989746,0.5507246851921082
Age: 40-50,2,0.5828360319137573,0.5879629850387573,0.532395601272583,0.4726930260658264,0.5916666984558105
Age: 50-65,2,0.49290743470191956,0.49661681056022644,0.49812835454940796,0.4650160074234009,0.5807229280471802
Race: White,2,0.5753719806671143,0.5461163520812988,0.5271825194358826,0.4754398763179779,0.5316901206970215
Race: Black,2,0.48470380902290344,0.46297207474708557,0.4800618886947632,0.45705893635749817,0.6569037437438965
Race: Other,2,0.5450010895729065,0.6123376488685608,0.5562784671783447,0.5107653141021729,0.590673565864563
Overall,3,0.5595507621765137,0.5551514625549316,0.532505452632904,0.4995161294937134,0.578000009059906
Gender: Male,3,0.5396226644515991,0.543876051902771,0.5349782109260559,0.5216503143310547,0.562367856502533
Gender: Female,3,0.5767456293106079,0.5787447690963745,0.5267722606658936,0.4634290635585785,0.5920303463935852
Age: <40,3,0.577386736869812,0.5567901134490967,0.540469229221344,0.4953119158744812,0.5242165327072144
Age: 40-50,3,0.5405179262161255,0.5906926393508911,0.5318219661712646,0.46895402669906616,0.5905172228813171
Age: 50-65,3,0.524852454662323,0.5263285040855408,0.5166361331939697,0.5001797676086426,0.6163069605827332
Race: White,3,0.5809705853462219,0.5335631370544434,0.5212363004684448,0.47162556648254395,0.5189394354820251
Race: Black,3,0.508590817451477,0.5352011322975159,0.5180665254592896,0.5032652616500854,0.6908397078514099
Race: Other,3,0.5275423526763916,0.5763458013534546,0.5487288236618042,0.5213643908500671,0.5857142806053162
Overall,4,0.5713961720466614,0.5515587329864502,0.5294224619865417,0.4973287880420685,0.5860000252723694
Gender: Male,4,0.5261203646659851,0.5009925961494446,0.5007362365722656,0.4792633056640625,0.5337302088737488
Gender: Female,4,0.6041510105133057,0.6515151262283325,0.5524851679801941,0.5066651105880737,0.6391128897666931
Age: <40,4,0.6536957025527954,0.6511797904968262,0.5965967774391174,0.552189290523529,0.589595377445221
Age: 40-50,4,0.5446466207504272,0.5605883002281189,0.5306813716888428,0.49979227781295776,0.6160714626312256
Age: 50-65,4,0.4995266795158386,0.43439894914627075,0.46270352602005005,0.42853468656539917,0.5674418807029724
Race: White,4,0.5765912532806396,0.5252078771591187,0.5153687000274658,0.46208271384239197,0.5136612057685852
Race: Black,4,0.4756237268447876,0.5320707559585571,0.5223926901817322,0.5204147100448608,0.71484375
Race: Other,4,0.5971410274505615,0.6243386268615723,0.5610786080360413,0.5262017250061035,0.620512843132019
Overall,5,0.5760247707366943,0.5724798440933228,0.5418413877487183,0.511713445186615,0.5950000286102295
Gender: Male,5,0.5455749034881592,0.5377241373062134,0.5301809906959534,0.5197682976722717,0.5687103271484375
Gender: Female,5,0.6094253659248352,0.6679841876029968,0.5527903437614441,0.49337828159332275,0.6185958385467529
Age: <40,5,0.5955960750579834,0.5719789266586304,0.5474472045898438,0.5062206983566284,0.5491329431533813
Age: 40-50,5,0.5585243701934814,0.5981929302215576,0.5445883274078369,0.5037669539451599,0.6113360524177551
Age: 50-65,5,0.5452487468719482,0.5496090054512024,0.5293893218040466,0.5105750560760498,0.624078631401062
Race: White,5,0.580264687538147,0.55650395154953,0.5337967276573181,0.4838889539241791,0.5378928184509277
Race: Black,5,0.5431363582611084,0.5655555725097656,0.5390211939811707,0.533011257648468,0.6934865713119507
Race: Other,5,0.5763217210769653,0.596484899520874,0.5572279691696167,0.5356327295303345,0.6212121248245239
Overall,6,0.540663480758667,0.5250704288482666,0.5154775977134705,0.48413383960723877,0.5630000233650208
Gender: Male,6,0.5281690359115601,0.5210425853729248,0.5169334411621094,0.5033884644508362,0.545634925365448
Gender: Female,6,0.5581688284873962,0.5260416865348816,0.5094010233879089,0.44676104187965393,0.5806451439857483
Age: <40,6,0.5569648742675781,0.5238118767738342,0.5157409310340881,0.47580209374427795,0.5257142782211304
Age: 40-50,6,0.537166953086853,0.5648320913314819,0.5406432747840881,0.5059523582458496,0.5662650465965271
Age: 50-65,6,0.5083469748497009,0.48602095246315,0.491775780916214,0.46592310070991516,0.5935162305831909
Race: White,6,0.5448852777481079,0.5099697709083557,0.5069287419319153,0.4659684896469116,0.5064220428466797
Race: Black,6,0.4559090733528137,0.4887445867061615,0.49310606718063354,0.4806000292301178,0.6804511547088623
Race: Other,6,0.5569005012512207,0.5504658222198486,0.5257353186607361,0.4761395752429962,0.5608465671539307
Overall,7,0.5644630193710327,0.5259395837783813,0.5128239989280701,0.4744148552417755,0.593000054359436
Gender: Male,7,0.5501474142074585,0.5246363282203674,0.5172536969184875,0.49997782707214355,0.577551007270813
Gender: Female,7,0.5828675031661987,0.5283734202384949,0.5070518851280212,0.4351408779621124,0.6078431606292725
Age: <40,7,0.5948911905288696,0.5471217036247253,0.5283289551734924,0.4854236841201782,0.5472779273986816
Age: 40-50,7,0.47464096546173096,0.5182856917381287,0.5054706931114197,0.4374622702598572,0.5940959453582764
Age: 50-65,7,0.573166012763977,0.4905238747596741,0.4948570430278778,0.4711601138114929,0.6342105269432068
Race: White,7,0.5785702466964722,0.5125552415847778,0.5068351626396179,0.45852842926979065,0.5405904054641724
Race: Black,7,0.5065487027168274,0.5570118427276611,0.5301847457885742,0.5213614106178284,0.7113820910453796
Race: Other,7,0.5581613779067993,0.49675893783569336,0.4987804889678955,0.4421558976173401,0.5896226763725281
Overall,8,0.5662086009979248,0.54038006067276,0.5218929052352905,0.4807068109512329,0.5680000185966492
Gender: Male,8,0.5474201440811157,0.5229732394218445,0.5168075561523438,0.4954172372817993,0.5487804412841797
Gender: Female,8,0.5890094041824341,0.5797057151794434,0.5247336626052856,0.45450085401535034,0.586614191532135
Age: <40,8,0.558626115322113,0.4881571829319,0.4926717281341553,0.42511335015296936,0.466472327709198
