group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.682958722114563,0.6337906718254089,0.6229625940322876,0.6246359348297119,0.6520000100135803
Gender: Male,0,0.6563936471939087,0.5973554849624634,0.5956717133522034,0.5962874889373779,0.6161826252937317
Gender: Female,0,0.7047119140625,0.6768853664398193,0.6487588882446289,0.6507456302642822,0.6853281855583191
Age: <40,0,0.6650640964508057,0.619436502456665,0.620192289352417,0.619046151638031,0.6198083162307739
Age: 40-50,0,0.7042961120605469,0.6948633790016174,0.663908839225769,0.6637340784072876,0.6899224519729614
Age: 50-65,0,0.6582603454589844,0.5939394235610962,0.5742775201797485,0.5743849277496338,0.6526806950569153
Race: White,0,0.6765263676643372,0.6146700382232666,0.6104439496994019,0.6102818250656128,0.6194029450416565
Race: Black,0,0.6669058799743652,0.6343685388565063,0.6035087704658508,0.6114285588264465,0.734375
Race: Other,0,0.6438342928886414,0.6290849447250366,0.6184407472610474,0.617499053478241,0.634615421295166
Overall,1,0.6769710779190063,0.6185897588729858,0.6064198613166809,0.6057654619216919,0.6310000419616699
Gender: Male,1,0.6868997812271118,0.6107900142669678,0.6061538457870483,0.6070234179496765,0.6255319118499756
Gender: Female,1,0.6723742485046387,0.6298467516899109,0.6079208850860596,0.6036792397499084,0.6358490586280823
Age: <40,1,0.636227011680603,0.5982078909873962,0.5980462431907654,0.5981055498123169,0.6000000238418579
Age: 40-50,1,0.7037613391876221,0.6689534783363342,0.6332013607025146,0.6280920505523682,0.6625000238418579
Age: 50-65,1,0.6832135915756226,0.6042910814285278,0.582770049571991,0.5803841352462769,0.6376470327377319
Race: White,1,0.6531593799591064,0.598015546798706,0.5949175953865051,0.5932930707931519,0.5981481671333313
Race: Black,1,0.7241352796554565,0.6344916224479675,0.5959596037864685,0.6042327880859375,0.7424242496490479
Race: Other,1,0.6116838455200195,0.5810564756393433,0.5695095062255859,0.5546900629997253,0.5714285373687744
Overall,2,0.6803476810455322,0.6229202747344971,0.6117631793022156,0.6110659837722778,0.6320000290870667
Gender: Male,2,0.6844543218612671,0.6351685523986816,0.6311003565788269,0.6322739124298096,0.6479166746139526
Gender: Female,2,0.6851251125335693,0.6153041124343872,0.5971871018409729,0.5905203819274902,0.617307722568512
Age: <40,2,0.6662521362304688,0.6262626647949219,0.6260249614715576,0.6258857846260071,0.626086950302124
Age: 40-50,2,0.7486501932144165,0.7034100890159607,0.6813725233078003,0.6837357878684998,0.7041667103767395
Age: 50-65,2,0.6236763000488281,0.5427188873291016,0.5317440629005432,0.5213379263877869,0.5951807498931885
Race: White,2,0.6802951097488403,0.6166954040527344,0.6132440567016602,0.6110501289367676,0.6144366264343262
Race: Black,2,0.6216622591018677,0.5531774163246155,0.5319628715515137,0.5250805616378784,0.6903765797615051
