group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.691081166267395,0.6290583610534668,0.612617015838623,0.6131868362426758,0.6480000019073486
Gender: Male,0,0.6721444129943848,0.6048809885978699,0.6016882061958313,0.6026417016983032,0.6244813799858093
Gender: Female,0,0.7120980024337769,0.6649900674819946,0.6234264373779297,0.6204152703285217,0.6698841452598572
Age: <40,0,0.6468605995178223,0.606714129447937,0.6015573740005493,0.6004310846328735,0.610223650932312
Age: 40-50,0,0.7510571479797363,0.7084431648254395,0.6696083545684814,0.6689478158950806,0.6976743936538696
Age: 50-65,0,0.6736773252487183,0.5881360173225403,0.5739508271217346,0.5749595761299133,0.6456876397132874
Race: White,0,0.6963580846786499,0.6206027269363403,0.6155633926391602,0.6153261065483093,0.625
Race: Black,0,0.6777511835098267,0.6504194736480713,0.6015151739120483,0.6106235980987549,0.74609375
Race: Other,0,0.611600399017334,0.5769230723381042,0.5584707856178284,0.5433006286621094,0.5865384936332703
Overall,1,0.6828545331954956,0.6243905425071716,0.6057847738265991,0.6032224893569946,0.6350000500679016
Gender: Male,1,0.6980699300765991,0.6237133741378784,0.6140792369842529,0.6148358583450317,0.6382978558540344
Gender: Female,1,0.6737539768218994,0.6288326382637024,0.5997734665870667,0.5915197134017944,0.6320754885673523
Age: <40,1,0.6308237314224243,0.6201879382133484,0.6139519214630127,0.6122579574584961,0.620895504951477
Age: 40-50,1,0.7261029481887817,0.6963592767715454,0.660916268825531,0.6593425273895264,0.6875000596046448
Age: 50-65,1,0.6964981555938721,0.5741618871688843,0.5561774969100952,0.5493693351745605,0.6164705753326416
Race: White,1,0.6583379507064819,0.5971674919128418,0.5921703577041626,0.5889894366264343,0.5962963104248047
Race: Black,1,0.7178604602813721,0.6852775812149048,0.6136363744735718,0.6265912055969238,0.7689394354820251
Race: Other,1,0.6157450675964355,0.5763353705406189,0.5587837100028992,0.5332299470901489,0.5612244606018066
Overall,2,0.6875530481338501,0.6265482902526855,0.6099210977554321,0.607464611530304,0.6340000033378601
Gender: Male,2,0.6892647743225098,0.6508474349975586,0.6472219228744507,0.6484375,0.6625000238418579
Gender: Female,2,0.6939629912376404,0.6112101078033447,0.5812085866928101,0.5643603205680847,0.607692301273346
Age: <40,2,0.6745866537094116,0.6241656541824341,0.6200262308120728,0.6169947385787964,0.6202898621559143
Age: 40-50,2,0.7661267518997192,0.739811897277832,0.695652186870575,0.6978021860122681,0.7250000238418579
Age: 50-65,2,0.6389942169189453,0.5428359508514404,0.5334556102752686,0.5257591605186462,0.5927711129188538
Race: White,2,0.6789309978485107,0.616382896900177,0.6112103462219238,0.6076954007148743,0.6126760244369507
Race: Black,2,0.6747126579284668,0.5552129745483398,0.5174182057380676,0.48717230558395386,0.7112970352172852
Race: Other,2,0.6183040142059326,0.5947647094726562,0.5873454809188843,0.5849462747573853,0.6010362505912781
Overall,3,0.6843553185462952,0.6273293495178223,0.6050196290016174,0.6003930568695068,0.6340000033378601
Gender: Male,3,0.7005442380905151,0.6406009793281555,0.6261429786682129,0.6249008774757385,0.6448202729225159
Gender: Female,3,0.6680418252944946,0.6131641864776611,0.5840874910354614,0.5740423202514648,0.6242884397506714
Age: <40,3,0.6336917877197266,0.6111111640930176,0.6055718660354614,0.5953344702720642,0.5982906222343445
Age: 40-50,3,0.7408673763275146,0.7040797472000122,0.663362979888916,0.6623413562774658,0.693965494632721
Age: 50-65,3,0.6727461814880371,0.559577465057373,0.5423916578292847,0.5352180004119873,0.6306954622268677
