group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6798362731933594,0.6180270910263062,0.6170051097869873,0.6174493432044983,0.6340000033378601
Gender: Male,0,0.6780890822410583,0.6250768303871155,0.6278735399246216,0.6258344650268555,0.6369295120239258
Gender: Female,0,0.6793638467788696,0.6127798557281494,0.6073225736618042,0.6084749102592468,0.6312741041183472
Age: <40,0,0.6269723773002625,0.5881105661392212,0.5879150629043579,0.5879884958267212,0.5910543203353882
Age: 40-50,0,0.719862699508667,0.6346093416213989,0.6308144330978394,0.6317030787467957,0.643410861492157
Age: 50-65,0,0.6788809299468994,0.621886134147644,0.6226825714111328,0.6222680807113647,0.6596736907958984
Race: White,0,0.6845180988311768,0.6169697046279907,0.6179159879684448,0.6152377128601074,0.6156716346740723
Race: Black,0,0.6643540859222412,0.5899208188056946,0.5606858134269714,0.5627003908157349,0.71484375
Race: Other,0,0.6001687049865723,0.5715773105621338,0.5676536560058594,0.5664901733398438,0.5817307829856873
Overall,1,0.7037993669509888,0.6607882976531982,0.6547275185585022,0.65625,0.6700000166893005
Gender: Male,1,0.7292493581771851,0.6882580518722534,0.6843823194503784,0.6858347654342651,0.6978723406791687
Gender: Female,1,0.6811461448669434,0.6363677978515625,0.6290954947471619,0.6299157738685608,0.645283043384552
Age: <40,1,0.6764116287231445,0.6491892337799072,0.6488048434257507,0.6489444971084595,0.6507462859153748
Age: 40-50,1,0.7188913822174072,0.6574656367301941,0.6433823108673096,0.643792986869812,0.6625000238418579
Age: 50-65,1,0.7128808498382568,0.6685413122177124,0.6589682102203369,0.6620156168937683,0.6894117593765259
Race: White,1,0.6919093132019043,0.6562414169311523,0.6563186645507812,0.6555508375167847,0.6555555462837219
Race: Black,1,0.697428822517395,0.6113719940185547,0.558080792427063,0.5571653842926025,0.7386363744735718
Race: Other,1,0.6469852924346924,0.6261904835700989,0.6159012913703918,0.6087824106216431,0.6173469424247742
Overall,2,0.6940165162086487,0.648415207862854,0.6456376910209656,0.646492063999176,0.656000018119812
Gender: Male,2,0.6965968608856201,0.6652300357818604,0.6652300357818604,0.6652300357818604,0.675000011920929
Gender: Female,2,0.6937087774276733,0.6334494948387146,0.628867506980896,0.629241943359375,0.6384615302085876
Age: <40,2,0.6838957071304321,0.6406376361846924,0.6405431032180786,0.6405042409896851,0.6405797600746155
Age: 40-50,2,0.7686842679977417,0.6930082440376282,0.6867007613182068,0.68855881690979,0.7000000476837158
Age: 50-65,2,0.6458405256271362,0.617914617061615,0.6133207082748413,0.614815354347229,0.6433734893798828
Race: White,2,0.6849578619003296,0.6429723501205444,0.6428571343421936,0.6425778865814209,0.6426056027412415
Race: Black,2,0.6818744540214539,0.6493737101554871,0.5780283212661743,0.5794721245765686,0.7364016771316528
Race: Other,2,0.6200390458106995,0.5907447934150696,0.589839518070221,0.590032696723938,0.5958548784255981
Overall,3,0.715972900390625,0.6548811197280884,0.6489636898040771,0.650240421295166,0.6630000472068787
Gender: Male,3,0.720482587814331,0.6670094728469849,0.6620464324951172,0.6631441116333008,0.6723044514656067
Gender: Female,3,0.7112352848052979,0.6433324813842773,0.6366264820098877,0.6380057334899902,0.6546489596366882
Age: <40,3,0.676963210105896,0.645665168762207,0.6458455324172974,0.6438630819320679,0.6438746452331543
Age: 40-50,3,0.6893749237060547,0.5938228368759155,0.5855927467346191,0.5844012498855591,0.607758641242981
Age: 50-65,3,0.7446836233139038,0.6773443222045898,0.6717414855957031,0.6741451025009155,0.7098321318626404
Race: White,3,0.6866928339004517,0.6363741159439087,0.6362566947937012,0.6362331509590149,0.6363636255264282
Race: Black,3,0.740653395652771,0.5808823704719543,0.5462355017662048,0.5414478778839111,0.7061069011688232
Race: Other,3,0.6866248846054077,0.6729928255081177,0.6603721380233765,0.6613224744796753,0.6761904954910278
Overall,4,0.6746220588684082,0.6302148103713989,0.6273309588432312,0.628279447555542,0.6430000066757202
Gender: Male,4,0.691501259803772,0.6417020559310913,0.6371638774871826,0.6380236148834229,0.648809552192688
