group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6630085706710815,0.6115827560424805,0.6144072413444519,0.6120690107345581,0.6220000386238098
Gender: Male,0,0.685650110244751,0.6454402804374695,0.6499460935592651,0.6319420337677002,0.632780134677887
Gender: Female,0,0.6459794640541077,0.5896625518798828,0.5826249122619629,0.5827853679656982,0.6119691133499146
Age: <40,0,0.624753475189209,0.5703476667404175,0.5706771612167358,0.5703016519546509,0.5718849897384644
Age: 40-50,0,0.6809462308883667,0.6310380697250366,0.6328369379043579,0.6313165426254272,0.6356589198112488
Age: 50-65,0,0.6725882291793823,0.6224960088729858,0.6305363178253174,0.6242818832397461,0.6503496766090393
Race: White,0,0.6752763390541077,0.6287132501602173,0.6292574405670166,0.6249359846115112,0.625
Race: Black,0,0.5937799215316772,0.541727602481842,0.5386762619018555,0.5395969152450562,0.66015625
Race: Other,0,0.6018552780151367,0.5623366832733154,0.5625936985015869,0.5624123215675354,0.567307710647583
Overall,1,0.6403833627700806,0.5913311243057251,0.5926513075828552,0.5915148854255676,0.5980000495910645
Gender: Male,1,0.6583683490753174,0.6011592149734497,0.6034965515136719,0.5928040742874146,0.5936170220375061
Gender: Female,1,0.6305042505264282,0.5898919105529785,0.5856424570083618,0.585623025894165,0.6018868088722229
Age: <40,1,0.5588992834091187,0.5444786548614502,0.5444786548614502,0.5444786548614502,0.5462686419487
Age: 40-50,1,0.6638150215148926,0.6192412376403809,0.6213235259056091,0.6184419393539429,0.6208333373069763
Age: 50-65,1,0.6821573972702026,0.6090760231018066,0.6123785376548767,0.6099094152450562,0.6258823275566101
Race: White,1,0.6464285850524902,0.5989975929260254,0.5982142686843872,0.5959415435791016,0.5962963104248047
Race: Black,1,0.5522650480270386,0.4904513955116272,0.4898989796638489,0.4898550808429718,0.6060606241226196
Race: Other,1,0.604706883430481,0.5932402610778809,0.5910652875900269,0.5890985727310181,0.5918367505073547
Overall,2,0.6673431396484375,0.6246204972267151,0.625798761844635,0.6249533891677856,0.6300000548362732
