group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6708770990371704,0.6212741136550903,0.6203335523605347,0.6207494735717773,0.6370000243186951
Gender: Male,0,0.6729526519775391,0.615811824798584,0.620204746723175,0.6151915788650513,0.6224066615104675
Gender: Female,0,0.6689738631248474,0.6330952644348145,0.6211811304092407,0.6226176619529724,0.6505791544914246
Age: <40,0,0.6315746307373047,0.6138909459114075,0.6136382222175598,0.6137392520904541,0.6166133880615234
Age: 40-50,0,0.7189434170722961,0.7045645713806152,0.678525447845459,0.6799677610397339,0.7015503644943237
Age: 50-65,0,0.6625441908836365,0.5835225582122803,0.5890047550201416,0.5842052698135376,0.6130536198616028
Race: White,0,0.6844899654388428,0.632462739944458,0.6336254477500916,0.6316614151000977,0.6324626803398132
Race: Black,0,0.6417862176895142,0.5759223699569702,0.5623604655265808,0.5653082728385925,0.6953125
Race: Other,0,0.5688718557357788,0.5657522678375244,0.5610944628715515,0.5589397549629211,0.5769230723381042
Overall,1,0.6609593629837036,0.598049521446228,0.5944520235061646,0.5949599742889404,0.6110000014305115
Gender: Male,1,0.6723729372024536,0.6099767088890076,0.6099767088890076,0.6099767088890076,0.6212765574455261
Gender: Female,1,0.6534216403961182,0.5887860059738159,0.581881046295166,0.5807512402534485,0.6018868088722229
Age: <40,1,0.6217705607414246,0.586434543132782,0.586434543132782,0.586434543132782,0.5880597233772278
Age: 40-50,1,0.6962669491767883,0.6075630187988281,0.5904977321624756,0.585305392742157,0.6166666746139526
Age: 50-65,1,0.6652818918228149,0.5998573899269104,0.5969699621200562,0.5979616641998291,0.6258823275566101
Race: White,1,0.6426510810852051,0.5922266244888306,0.5923076868057251,0.5922346115112305,0.5925925970077515
Race: Black,1,0.6678144931793213,0.5637945532798767,0.5530303120613098,0.5553060173988342,0.6931818127632141
Race: Other,1,0.5999166965484619,0.5563910007476807,0.5492033958435059,0.5353448390960693,0.5510203838348389
Overall,2,0.6743569374084473,0.6220368146896362,0.6186424493789673,0.6193423271179199,0.6310000419616699
Gender: Male,2,0.6617071032524109,0.6215895414352417,0.62273108959198,0.6220220327377319,0.6312500238418579
Gender: Female,2,0.6904935836791992,0.6261341571807861,0.6174575090408325,0.6165899038314819,0.6307692527770996
Age: <40,2,0.6699825525283813,0.6377750635147095,0.6376360654830933,0.6375715732574463,0.6376811861991882
Age: 40-50,2,0.7684000730514526,0.7089216709136963,0.6849957704544067,0.6874767541885376,0.7083333730697632
Age: 50-65,2,0.6003299951553345,0.551635205745697,0.5505467057228088,0.5508658289909363,0.5807229280471802
Race: White,2,0.6653150320053101,0.6302816867828369,0.6303075551986694,0.6302633285522461,0.6302816867828369
Race: Black,2,0.6316534280776978,0.5233997702598572,0.5137047171592712,0.5020428895950317,0.6778242588043213
Race: Other,2,0.6231837272644043,0.567957878112793,0.5658208727836609,0.565315306186676,0.575129508972168
Overall,3,0.6648745536804199,0.5979013442993164,0.5947219729423523,0.5951437950134277,0.609000027179718
Gender: Male,3,0.681694507598877,0.612838864326477,0.6117743253707886,0.6121255159378052,0.6194503307342529
Gender: Female,3,0.6443823575973511,0.5830889344215393,0.5779286026954651,0.5777259469032288,0.5996204614639282
Age: <40,3,0.6712284088134766,0.6359783411026001,0.636412501335144,0.6351824998855591,0.6353276371955872
Age: 40-50,3,0.6861851215362549,0.6086081266403198,0.5942887663841248,0.5915166139602661,0.6206896305084229
Age: 50-65,3,0.6306979656219482,0.5352202653884888,0.5351037979125977,0.5351585149765015,0.5803357362747192
Race: White,3,0.6389685869216919,0.5930403470993042,0.5929374694824219,0.5927314758300781,0.5928030610084534
Race: Black,3,0.6674286127090454,0.6027721166610718,0.5896689295768738,0.5937984585762024,0.6984732747077942
Race: Other,3,0.6074060201644897,0.5211979150772095,0.5195283889770508,0.5158645510673523,0.538095235824585
Overall,4,0.6862046718597412,0.638883113861084,0.6325287222862244,0.6339600682258606,0.6520000100135803
Gender: Male,4,0.6622599363327026,0.6128023266792297,0.6099551916122437,0.6104674935340881,0.6210317611694336
Gender: Female,4,0.7055199146270752,0.6656073331832886,0.6534273028373718,0.6564899682998657,0.6834677457809448
Age: <40,4,0.6676361560821533,0.6229503154754639,0.622321367263794,0.6211309432983398,0.621387243270874
Age: 40-50,4,0.7210326194763184,0.7123605012893677,0.6787135004997253,0.685022234916687,0.723214328289032
Age: 50-65,4,0.6531853675842285,0.6018980741500854,0.5989682078361511,0.6001200079917908,0.6395348906517029
Race: White,4,0.6615304946899414,0.6358421444892883,0.6357700228691101,0.6356710195541382,0.6357012987136841
Race: Black,4,0.6947015523910522,0.6089230179786682,0.5863087177276611,0.5930246710777283,0.74609375
Race: Other,4,0.587286114692688,0.5457053184509277,0.537686824798584,0.5298475027084351,0.5743589997291565
Overall,5,0.6606611013412476,0.6040675640106201,0.6038532257080078,0.6039546728134155,0.6150000095367432
Gender: Male,5,0.6647539138793945,0.600679874420166,0.6034907698631287,0.5963438749313354,0.5983086824417114
Gender: Female,5,0.6590068340301514,0.6159597039222717,0.6047008633613586,0.6044045686721802,0.6299810409545898
Age: <40,5,0.649893045425415,0.6329323053359985,0.6329190135002136,0.6329203844070435,0.6329479813575745
Age: 40-50,5,0.7060219645500183,0.6279813051223755,0.6208124160766602,0.622166633605957,0.6437247395515442
Age: 50-65,5,0.6334035396575928,0.5521910786628723,0.5539220571517944,0.5525274276733398,0.5823095440864563
