group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6692992448806763,0.6166470050811768,0.6186016798019409,0.6172791719436646,0.6290000081062317
Gender: Male,0,0.6637033224105835,0.6054507493972778,0.6099677085876465,0.6002501249313354,0.6037344932556152
Gender: Female,0,0.6779392957687378,0.635635495185852,0.6274446249008179,0.6291522979736328,0.6525096297264099
Age: <40,0,0.6663790345191956,0.6274517774581909,0.6281640529632568,0.625953733921051,0.6261980533599854
Age: 40-50,0,0.7361646890640259,0.6848484873771667,0.6738371253013611,0.6757164597511292,0.6899224519729614
Age: 50-65,0,0.6151071786880493,0.5640358924865723,0.5682390332221985,0.5641669034957886,0.5944055914878845
Race: White,0,0.6788718700408936,0.6373692750930786,0.6381410360336304,0.6342010498046875,0.6343283653259277
Race: Black,0,0.6108453273773193,0.5388745069503784,0.5251196622848511,0.5199278593063354,0.69140625
Race: Other,0,0.5756184458732605,0.5384615659713745,0.5389804840087891,0.5369201898574829,0.5384615659713745
Overall,1,0.676630973815918,0.6287433505058289,0.6292861700057983,0.628982663154602,0.6370000243186951
Gender: Male,1,0.6857062578201294,0.6301630735397339,0.6339859962463379,0.6285094022750854,0.6319148540496826
Gender: Female,1,0.6722725629806519,0.6323485374450684,0.6268589496612549,0.6277209520339966,0.6415094137191772
Age: <40,1,0.6664638519287109,0.621854305267334,0.62128746509552,0.6178253293037415,0.6179104447364807
Age: 40-50,1,0.7263150215148926,0.6599999666213989,0.6527149677276611,0.653954267501831,0.6666666865348816
Age: 50-65,1,0.6447683572769165,0.6118927597999573,0.6105008721351624,0.6111022233963013,0.6352940797805786
Race: White,1,0.6448900699615479,0.6047512292861938,0.6038461923599243,0.601456880569458,0.6018518209457397
Race: Black,1,0.6666667461395264,0.6532325148582458,0.5984848737716675,0.6079954504966736,0.7537878751754761
Race: Other,1,0.6182442903518677,0.5764583349227905,0.5764344334602356,0.576431393623352,0.5765305757522583
Overall,2,0.6793451309204102,0.6452778577804565,0.6462245583534241,0.6456388831138611,0.6510000228881836
Gender: Male,2,0.6708990335464478,0.6350435018539429,0.6388615369796753,0.629705548286438,0.6312500238418579
Gender: Female,2,0.6957874298095703,0.6666666865348816,0.6579533815383911,0.6585425138473511,0.6692307591438293
Age: <40,2,0.7061097025871277,0.674196183681488,0.6726038455963135,0.6717578172683716,0.6724637746810913
Age: 40-50,2,0.770247220993042,0.7015447616577148,0.6965047121047974,0.6981891393661499,0.7083333730697632
Age: 50-65,2,0.5862680673599243,0.5775752663612366,0.578301191329956,0.5778799057006836,0.6000000238418579
Race: White,2,0.6655629873275757,0.6320329904556274,0.6309523582458496,0.629726231098175,0.6302816867828369
Race: Black,2,0.6696728467941284,0.6588089466094971,0.5905393362045288,0.5959314703941345,0.7405857443809509
Race: Other,2,0.6125569343566895,0.6054991483688354,0.6058881282806396,0.6009933948516846,0.6010362505912781
Overall,3,0.6909891366958618,0.6296001672744751,0.6296747922897339,0.6296367645263672,0.6370000243186951
Gender: Male,3,0.6986937522888184,0.6357418298721313,0.6377267837524414,0.6347949504852295,0.6363636255264282
Gender: Female,3,0.6758939027786255,0.6251233220100403,0.6200351715087891,0.6210616827011108,0.6375711560249329
Age: <40,3,0.6944282054901123,0.6567843556404114,0.656549334526062,0.6566453576087952,0.6581196784973145
Age: 40-50,3,0.711475670337677,0.6179380416870117,0.6095541715621948,0.6097026467323303,0.6293103694915771
Age: 50-65,3,0.6550416946411133,0.5930949449539185,0.5976037979125977,0.5942297577857971,0.6235012412071228
Race: White,3,0.6716122627258301,0.6198982000350952,0.6189950108528137,0.6184628009796143,0.6193181872367859
Race: Black,3,0.6540815830230713,0.585145115852356,0.5568910837173462,0.5571255087852478,0.7022900581359863
Race: Other,3,0.6442520618438721,0.5983115434646606,0.5997605323791504,0.597664475440979,0.6000000238418579
Overall,4,0.7211340665817261,0.6628388166427612,0.6641275882720947,0.6633826494216919,0.6720000505447388
Gender: Male,4,0.7023847699165344,0.6499013304710388,0.6519526243209839,0.6499874591827393,0.6527777910232544
Gender: Female,4,0.7316685914993286,0.6753630042076111,0.6729534864425659,0.6740080118179321,0.6915322542190552
Age: <40,4,0.7057466506958008,0.658777117729187,0.658777117729187,0.658777117729187,0.6589595079421997
